ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-01-04 01:55:00,2021-02-02 14:05:00,708.17,PROFIT_TARGET,AUDNZD,NZDCAD,75.6,78.1,0.00029,0.00029,1.07148,1.06136,0.91554,0.91673,1.0,1.01,1.0138,101.2,-11.9,89.3,616.76,-88.31,528.45
2,SHORT,2021-03-01 01:20:00,2021-03-05 00:00:00,94.67,PROFIT_TARGET,AUDNZD,NZDCAD,79.1,79.8,0.00071,0.00067,1.06647,1.07347,0.92214,0.91022,1.0,1.06,1.0625,-70.0,119.2,49.2,-426.62,928.42,501.8
3,SHORT,2021-03-30 05:15:00,2021-04-01 03:25:00,46.17,PROFIT_TARGET,AUDNZD,NZDCAD,76.5,78.8,0.00018,0.00027,1.09029,1.08765,0.88299,0.87602,1.0,0.69,0.6866,26.4,69.7,96.1,160.89,353.38,514.27
4,LONG,2021-04-01 07:55:00,2021-04-01 15:15:00,7.33,PROFIT_TARGET,AUDNZD,NZDCAD,12.5,20.5,0.00078,0.00045,1.08493,1.08416,0.87547,0.87997,1.0,1.73,1.7301,-7.7,45.0,37.3,-46.94,572.11,525.17
5,SHORT,2021-04-05 19:35:00,2021-04-29 23:25:00,579.83,PROFIT_TARGET,AUDNZD,NZDCAD,78.4,92.1,0.00016,0.00026,1.08327,1.07207,0.88535,0.88909,1.0,0.63,0.6279,112.0,-37.4,74.6,682.58,-173.13,509.45
6,LONG,2021-05-07 23:45:00,2021-08-16 00:00:00,2400.25,TIME_LIMIT,AUDNZD,NZDCAD,23.4,24.5,0.00026,0.00031,1.07684,1.04583,0.8831,0.88114,1.0,0.85,0.8506,-310.1,-19.6,-329.7,-1890.28,-122.43,-2012.71
7,SHORT,2021-09-01 02:30:00,2021-09-27 00:00:00,621.5,PROFIT_TARGET,AUDNZD,NZDCAD,76.2,78.5,0.00015,0.00017,1.03796,1.03403,0.88908,0.88445,1.0,0.85,0.8506,39.3,46.3,85.6,239.52,289.18,528.7
8,LONG,2021-09-28 00:05:00,2021-10-20 15:35:00,543.5,PROFIT_TARGET,AUDNZD,NZDCAD,22.6,23.9,0.00045,0.00044,1.03812,1.044,0.88455,0.88649,1.0,1.02,1.0182,58.8,19.4,78.2,358.43,145.42,503.85
9,LONG,2021-10-26 00:00:00,2021-10-27 04:00:00,28.0,PROFIT_TARGET,AUDNZD,NZDCAD,24.7,16.9,0.0004,0.00069,1.04446,1.0517,0.88551,0.88749,1.0,0.58,0.5785,72.4,19.8,92.2,441.33,84.39,525.72
10,SHORT,2021-11-08 16:25:00,2021-11-11 00:15:00,55.83,PROFIT_TARGET,AUDNZD,NZDCAD,78.4,79.1,0.00028,0.0004,1.0344,1.03678,0.89332,0.88056,1.0,0.7,0.695,-23.8,127.6,103.8,-145.05,656.32,511.27
11,SHORT,2021-12-08 04:45:00,2022-01-27 20:30:00,1215.75,PROFIT_TARGET,AUDNZD,NZDCAD,84.3,82.5,0.00032,0.00031,1.05068,1.06836,0.85862,0.83736,1.0,1.02,1.0192,-176.8,212.6,35.8,-1077.53,1593.41,515.88
