ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-02-25 18:15:00,2020-03-12 16:05:00,381.83,PROFIT_TARGET,AUDUSD,EURAUD,80.3,75.1,0.0003,0.00102,0.66068,0.63328,1.64623,1.763,1.0,0.29,0.293,274.0,-1167.7,-893.7,2740.0,-2228.71,511.29
2,LONG,2020-07-20 15:50:00,2020-07-21 17:55:00,26.08,PROFIT_TARGET,AUDUSD,EURAUD,24.8,23.4,0.00038,0.00073,0.69948,0.71064,1.63387,1.61638,1.0,0.52,0.5204,111.6,-174.9,-63.3,1116.0,-598.65,517.35
3,SHORT,2020-10-19 14:55:00,2020-10-28 16:25:00,217.5,PROFIT_TARGET,AUDUSD,EURAUD,83.3,83.0,0.00022,0.00065,0.71112,0.70454,1.65724,1.66428,1.0,0.34,0.3415,65.8,-70.4,-4.6,658.0,-157.53,500.47
4,SHORT,2020-12-16 22:35:00,2021-01-18 11:45:00,781.17,PROFIT_TARGET,AUDUSD,EURAUD,76.9,80.4,0.00052,0.00087,0.75712,0.76606,1.61063,1.5747200000000001,1.0,0.59,0.594,-89.4,359.1,269.7,-894.0,1394.42,500.42
5,SHORT,2021-06-22 19:35:00,2021-06-30 17:20:00,189.75,PROFIT_TARGET,AUDUSD,EURAUD,79.2,80.5,0.00043,0.0008,0.754,0.74965,1.58332,1.58134,1.0,0.54,0.5362,43.5,19.8,63.3,435.0,70.37,505.37
6,LONG,2021-07-06 11:15:00,2021-10-14 11:15:00,2400.0,TIME_LIMIT,AUDUSD,EURAUD,23.4,20.3,0.0004,0.00072,0.75747,0.74126,1.56456,1.56662,1.0,0.56,0.5596,-162.1,20.6,-141.5,-1621.0,75.93,-1545.07
7,LONG,2021-11-15 22:45:00,2022-02-23 22:45:00,2400.0,TIME_LIMIT,AUDUSD,EURAUD,20.4,24.8,0.00021,0.00047,0.73454,0.72292,1.54691,1.56342,1.0,0.44,0.4388,-116.2,165.1,48.9,-1162.0,478.16,-683.84
8,LONG,2022-02-28 00:00:00,2022-02-28 12:55:00,12.92,PROFIT_TARGET,AUDUSD,EURAUD,10.8,9.8,0.00135,0.00281,0.71815,0.72203,1.54884,1.5550199999999998,1.0,0.48,0.4812,38.8,61.8,100.6,388.0,195.25,583.25
9,LONG,2022-03-01 19:05:00,2022-03-17 17:40:00,382.58,PROFIT_TARGET,AUDUSD,EURAUD,18.3,24.8,0.00045,0.00102,0.72428,0.73714,1.53101,1.50528,1.0,0.44,0.4392,128.6,-257.3,-128.7,1286.0,-745.18,540.82
10,LONG,2022-04-14 16:45:00,2022-04-21 09:55:00,161.17,PROFIT_TARGET,AUDUSD,EURAUD,21.9,12.8,0.00062,0.00168,0.74183,0.74447,1.45443,1.46436,1.0,0.37,0.3671,26.4,99.3,125.7,264.0,241.84,505.84
