ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-02 17:00:00,2020-04-13 00:05:00,2431.08,TIME_LIMIT,AUDUSD,EURNZD,24.7,18.0,0.00039,0.00101,0.69865,0.6343,1.6669100000000001,1.79593,1.0,0.38,0.3837,-643.5,1290.2,646.7,-6435.0,2988.82,-3446.18
2,SHORT,2020-05-27 13:20:00,2020-05-27 16:25:00,3.08,PROFIT_TARGET,AUDUSD,EURNZD,75.5,77.4,0.0006,0.0018,0.66734,0.66081,1.7701799999999999,1.77722,1.0,0.33,0.3341,65.3,-70.4,-5.1,653.0,-141.6,511.4
3,LONG,2020-07-01 12:30:00,2020-07-06 16:30:00,124.0,PROFIT_TARGET,AUDUSD,EURNZD,13.8,23.5,0.00026,0.00048,0.69065,0.69837,1.73658,1.7299099999999998,1.0,0.55,0.5458,77.2,-66.7,10.5,772.0,-223.64,548.36
4,SHORT,2020-07-16 14:35:00,2020-10-26 00:05:00,2433.5,TIME_LIMIT,AUDUSD,EURNZD,78.7,81.2,0.00035,0.00084,0.69839,0.71359,1.74386,1.77152,1.0,0.42,0.4157,-152.0,-276.6,-428.6,-1520.0,-708.08,-2228.08
5,SHORT,2020-12-01 23:25:00,2021-03-11 23:25:00,2400.0,TIME_LIMIT,AUDUSD,EURNZD,85.7,75.1,0.00013,0.00039,0.737,0.77869,1.70839,1.65805,1.0,0.35,0.3472,-416.9,503.4,86.5,-4169.0,1073.9,-3095.1
6,LONG,2021-04-07 00:10:00,2021-04-14 19:15:00,187.08,PROFIT_TARGET,AUDUSD,EURNZD,20.9,19.6,0.00033,0.00054,0.76606,0.7733,1.68144,1.67574,1.0,0.61,0.6066,72.4,-57.0,15.4,724.0,-211.96,512.04
7,LONG,2021-04-22 17:10:00,2021-04-23 21:25:00,28.25,PROFIT_TARGET,AUDUSD,EURNZD,19.9,17.9,0.00048,0.00081,0.77157,0.77511,1.6764700000000001,1.68068,1.0,0.59,0.5897,35.4,42.1,77.5,354.0,151.42,505.42
8,LONG,2021-04-30 00:00:00,2021-05-07 15:45:00,183.75,PROFIT_TARGET,AUDUSD,EURNZD,16.9,23.5,0.00024,0.00125,0.77634,0.78167,1.67097,1.67116,1.0,0.2,0.2,53.3,1.9,55.2,533.0,2.32,535.32
9,SHORT,2021-05-28 01:35:00,2021-06-03 18:45:00,161.17,PROFIT_TARGET,AUDUSD,EURNZD,75.3,80.3,0.00014,0.00051,0.77435,0.76514,1.67268,1.69705,1.0,0.27,0.2727,92.1,-243.7,-151.6,921.0,-401.05,519.95
10,LONG,2021-06-21 00:05:00,2021-06-21 17:40:00,17.58,PROFIT_TARGET,AUDUSD,EURNZD,16.7,24.4,0.00032,0.00249,0.74801,0.75339,1.70674,1.70507,1.0,0.2,0.2,53.8,-16.7,37.1,538.0,-20.36,517.64
11,LONG,2021-06-28 00:00:00,2021-10-06 00:00:00,2400.0,TIME_LIMIT,AUDUSD,EURNZD,17.7,11.7,0.00078,0.00175,0.75752,0.72847,1.68276,1.6625999999999999,1.0,0.45,0.4474,-290.5,-201.6,-492.1,-2905.0,-553.07,-3458.07
12,SHORT,2021-10-08 01:35:00,2021-11-10 15:35:00,806.0,PROFIT_TARGET,AUDUSD,EURNZD,75.2,75.8,0.00011,0.00029,0.73142,0.73462,1.66695,1.6303800000000002,1.0,0.37,0.3681,-32.0,365.7,333.7,-320.0,824.71,504.71
13,LONG,2021-11-17 05:40:00,2021-12-23 11:40:00,870.0,PROFIT_TARGET,AUDUSD,EURNZD,18.0,23.5,0.00043,0.0014,0.72677,0.72399,1.6155,1.65672,1.0,0.31,0.3053,-27.8,412.2,384.4,-278.0,779.0,501.0
14,SHORT,2021-12-24 04:30:00,2022-01-06 07:45:00,315.25,PROFIT_TARGET,AUDUSD,EURNZD,75.4,76.1,0.00011,0.00089,0.72363,0.71704,1.6619199999999998,1.67465,1.0,0.2,0.2,65.9,-127.3,-61.4,659.0,-155.18,503.82
15,LONG,2022-01-18 00:05:00,2022-01-20 17:30:00,65.42,PROFIT_TARGET,AUDUSD,EURNZD,23.8,23.6,0.00023,0.00279,0.72073,0.7271,1.6776499999999999,1.66825,1.0,0.2,0.2,63.7,-94.0,-30.3,637.0,-114.61,522.39
