ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-02 18:55:00,2020-04-13 00:05:00,2429.17,TIME_LIMIT,AUDUSD,GBPAUD,24.0,24.3,0.00024,0.0013,0.69812,0.6343,1.88003,1.96122,1.0,0.2,0.2,-638.2,811.9,173.7,-6382.0,1068.8,-5313.2
2,LONG,2020-08-10 13:30:00,2020-08-17 17:30:00,172.0,PROFIT_TARGET,AUDUSD,GBPAUD,23.3,20.7,0.00026,0.00078,0.71496,0.72259,1.8231899999999999,1.81256,1.0,0.34,0.3402,76.3,-106.3,-30.0,763.0,-237.89,525.11
3,SHORT,2020-08-20 19:05:00,2020-08-21 18:00:00,22.92,PROFIT_TARGET,AUDUSD,GBPAUD,76.9,80.6,0.00035,0.00117,0.71798,0.71488,1.8377599999999998,1.82697,1.0,0.3,0.2998,31.0,107.9,138.9,310.0,213.03,523.03
4,LONG,2020-09-07 08:50:00,2020-11-18 17:05:00,1736.25,PROFIT_TARGET,AUDUSD,GBPAUD,23.7,24.0,0.00035,0.00065,0.72781,0.73139,1.81432,1.81853,1.0,0.55,0.5463,35.8,42.1,77.9,358.0,152.41,510.41
5,LONG,2020-11-27 18:45:00,2020-12-03 09:55:00,135.17,PROFIT_TARGET,AUDUSD,GBPAUD,21.9,23.4,0.00031,0.00145,0.73849,0.74325,1.80056,1.80255,1.0,0.21,0.213,47.6,19.9,67.5,476.0,27.51,503.51
6,LONG,2020-12-04 21:40:00,2020-12-11 03:00:00,149.33,PROFIT_TARGET,AUDUSD,GBPAUD,20.1,21.8,0.00026,0.00129,0.74343,0.75435,1.8070300000000001,1.7641,1.0,0.2,0.2043,109.2,-429.3,-320.1,1092.0,-565.1,526.9
7,SHORT,2020-12-14 00:00:00,2020-12-21 11:45:00,179.75,PROFIT_TARGET,AUDUSD,GBPAUD,81.1,84.2,0.00054,0.00321,0.75507,0.75039,1.76651,1.76237,1.0,0.2,0.2,46.8,41.4,88.2,468.0,54.49,522.49
8,SHORT,2020-12-21 21:05:00,2020-12-22 12:00:00,14.92,PROFIT_TARGET,AUDUSD,GBPAUD,77.3,82.6,0.00038,0.00287,0.7589,0.75326,1.7726899999999999,1.77671,1.0,0.2,0.2,56.4,-40.2,16.2,564.0,-52.91,511.09
9,SHORT,2020-12-23 16:20:00,2021-04-02 16:20:00,2400.0,TIME_LIMIT,AUDUSD,GBPAUD,81.8,75.2,0.0005,0.00191,0.75749,0.76046,1.78352,1.81714,1.0,0.26,0.261,-29.7,-336.2,-365.9,-297.0,-575.2,-872.2
10,LONG,2021-04-07 00:10:00,2021-04-15 12:20:00,204.17,PROFIT_TARGET,AUDUSD,GBPAUD,20.9,24.6,0.00033,0.00109,0.76606,0.77582,1.80261,1.77895,1.0,0.3,0.3028,97.6,-236.6,-139.0,976.0,-467.13,508.87
11,SHORT,2021-05-05 13:20:00,2021-06-17 15:50:00,1034.5,PROFIT_TARGET,AUDUSD,GBPAUD,77.3,87.0,0.00033,0.00077,0.77335,0.75641,1.80029,1.84145,1.0,0.43,0.4334,169.4,-411.6,-242.2,1694.0,-1164.63,529.37
12,SHORT,2021-07-09 20:05:00,2021-07-15 20:40:00,144.58,PROFIT_TARGET,AUDUSD,GBPAUD,81.2,77.9,0.00014,0.00048,0.74843,0.7416,1.85239,1.8617599999999999,1.0,0.29,0.2863,68.3,-93.7,-25.4,683.0,-178.81,504.19
