ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-02 17:00:00,2020-04-13 00:05:00,2431.08,TIME_LIMIT,AUDUSD,GBPNZD,24.7,22.0,0.00039,0.00139,0.69865,0.6343,1.96164,2.0456,1.0,0.28,0.2781,-643.5,839.6,196.1,-6435.0,1433.05,-5001.95
2,LONG,2020-04-15 09:50:00,2020-04-27 10:20:00,288.5,PROFIT_TARGET,AUDUSD,GBPNZD,5.5,24.6,0.00069,0.00215,0.6358,0.64615,2.07995,2.05335,1.0,0.32,0.3197,103.5,-266.0,-162.5,1035.0,-518.87,516.13
3,SHORT,2020-04-27 22:00:00,2020-05-04 02:45:00,148.75,PROFIT_TARGET,AUDUSD,GBPNZD,76.1,87.0,0.00023,0.00067,0.64641,0.63803,2.05275,2.06886,1.0,0.34,0.3383,83.8,-161.1,-77.3,838.0,-333.83,504.17
4,SHORT,2020-05-05 21:55:00,2020-05-06 18:45:00,20.83,PROFIT_TARGET,AUDUSD,GBPNZD,77.2,81.0,0.00027,0.00104,0.64584,0.64091,2.05319,2.05218,1.0,0.26,0.2596,49.3,10.1,59.4,493.0,16.0,509.0
5,LONG,2020-05-07 01:45:00,2020-05-07 09:00:00,7.25,PROFIT_TARGET,AUDUSD,GBPNZD,24.5,22.0,0.00044,0.00115,0.63859,0.64431,2.05215,2.05476,1.0,0.38,0.3819,57.2,26.1,83.3,572.0,60.46,632.46
6,SHORT,2020-05-11 04:50:00,2020-05-11 13:15:00,8.42,PROFIT_TARGET,AUDUSD,GBPNZD,80.6,75.4,0.00062,0.00085,0.65467,0.64908,2.0235,2.02359,1.0,0.72,0.7213,55.9,-0.9,55.0,559.0,-3.95,555.05
7,SHORT,2020-05-11 20:25:00,2020-05-12 03:25:00,7.0,PROFIT_TARGET,AUDUSD,GBPNZD,81.0,75.6,0.00038,0.00114,0.64967,0.64431,2.03229,2.03131,1.0,0.33,0.3298,53.6,9.8,63.4,536.0,19.71,555.71
8,SHORT,2020-05-12 08:15:00,2020-05-13 02:55:00,18.67,PROFIT_TARGET,AUDUSD,GBPNZD,78.6,75.7,0.00053,0.00134,0.64733,0.64513,2.0302,2.01512,1.0,0.39,0.3931,22.0,150.8,172.8,220.0,358.44,578.44
9,LONG,2020-05-14 05:15:00,2020-05-15 13:05:00,31.83,PROFIT_TARGET,AUDUSD,GBPNZD,23.5,22.0,0.00057,0.00109,0.64261,0.64615,2.03872,2.04608,1.0,0.52,0.5201,35.4,73.6,109.0,354.0,233.3,587.3
10,SHORT,2020-05-19 03:15:00,2020-05-19 06:15:00,3.0,PROFIT_TARGET,AUDUSD,GBPNZD,89.4,75.8,0.00079,0.0014,0.65467,0.65103,2.02231,2.01774,1.0,0.57,0.5655,36.4,45.7,82.1,364.0,158.76,522.76
11,SHORT,2020-05-19 21:15:00,2020-05-22 06:30:00,57.25,PROFIT_TARGET,AUDUSD,GBPNZD,80.0,77.6,0.00029,0.00179,0.65705,0.65358,2.01299,1.9999,1.0,0.2,0.2,34.7,130.9,165.6,347.0,159.56,506.56
12,LONG,2020-05-22 08:25:00,2020-05-26 09:00:00,96.58,PROFIT_TARGET,AUDUSD,GBPNZD,23.9,12.9,0.0005,0.00129,0.65297,0.65824,1.99566,1.99647,1.0,0.39,0.3872,52.7,8.1,60.8,527.0,19.26,546.26
13,LONG,2020-05-26 19:20:00,2020-06-01 03:15:00,127.92,PROFIT_TARGET,AUDUSD,GBPNZD,20.2,16.1,0.0003,0.00094,0.66412,0.66941,1.98564,1.98905,1.0,0.31,0.3149,52.9,34.1,87.0,529.0,64.44,593.44
