ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-06 00:50:00,2020-01-23 02:30:00,409.67,PROFIT_TARGET,AUDUSD,USDCAD,16.2,20.4,0.00012,0.00011,0.69406,0.68683,1.2986,1.31518,1.0,1.13,1.1273,-72.3,165.8,93.5,-723.0,1424.55,701.55
2,SHORT,2020-01-23 02:35:00,2020-01-23 18:45:00,16.17,PROFIT_TARGET,AUDUSD,USDCAD,81.5,78.0,0.00101,0.00038,0.68721,0.6831,1.31511,1.31464,1.0,2.64,2.6354,41.1,4.7,45.8,411.0,94.38,505.38
3,LONG,2020-02-05 19:55:00,2020-05-15 19:55:00,2400.0,TIME_LIMIT,AUDUSD,USDCAD,24.2,17.5,0.0001,0.00031,0.67444,0.64095,1.32773,1.41018,1.0,0.33,0.3333,-334.9,824.5,489.6,-3349.0,1929.43,-1419.57
4,LONG,2020-07-15 19:45:00,2020-07-21 10:35:00,134.83,PROFIT_TARGET,AUDUSD,USDCAD,24.8,21.2,0.00033,0.00043,0.69959,0.70483,1.35087,1.3507,1.0,0.77,0.7674,52.4,-1.7,50.7,524.0,-9.69,514.31
5,SHORT,2020-07-30 21:45:00,2020-07-31 19:35:00,21.83,PROFIT_TARGET,AUDUSD,USDCAD,77.5,87.7,0.00026,0.00043,0.71724,0.71357,1.34433,1.34134,1.0,0.6,0.6047,36.7,29.9,66.6,367.0,133.75,500.75
6,SHORT,2020-09-07 19:50:00,2020-09-24 08:05:00,396.25,PROFIT_TARGET,AUDUSD,USDCAD,78.9,78.5,0.00013,0.00016,0.72809,0.70376,1.3090899999999999,1.34059,1.0,0.82,0.8228,243.3,-315.0,-71.7,2433.0,-1926.76,506.24
7,SHORT,2020-12-10 19:40:00,2021-03-22 00:00:00,2428.33,TIME_LIMIT,AUDUSD,USDCAD,81.9,75.3,0.00027,0.00048,0.75313,0.7724,1.27315,1.25234,1.0,0.56,0.5643,-192.7,208.1,15.4,-1927.0,930.55,-996.45
8,LONG,2021-03-31 22:20:00,2021-04-06 19:45:00,141.42,PROFIT_TARGET,AUDUSD,USDCAD,23.9,24.5,0.00033,0.00033,0.7598,0.76626,1.25682,1.25516,1.0,1.02,1.0183,64.6,-16.6,48.0,646.0,-134.9,511.1
9,SHORT,2021-05-31 16:30:00,2021-06-03 16:40:00,72.17,PROFIT_TARGET,AUDUSD,USDCAD,77.6,75.2,0.0002,0.00031,0.77398,0.76796,1.20837,1.21023,1.0,0.65,0.6471,60.2,-18.6,41.6,602.0,-99.9,502.1
10,LONG,2021-08-23 00:00:00,2021-08-31 17:30:00,209.5,PROFIT_TARGET,AUDUSD,USDCAD,23.8,22.6,0.00053,0.00056,0.7121,0.73182,1.28165,1.26233,1.0,0.95,0.9532,197.2,-193.2,4.0,1972.0,-1453.98,518.02
11,SHORT,2021-10-15 01:20:00,2021-11-24 16:15:00,974.92,PROFIT_TARGET,AUDUSD,USDCAD,75.0,80.3,0.00017,0.00024,0.74191,0.71888,1.23735,1.2699,1.0,0.7,0.6967,230.3,-325.5,-95.2,2303.0,-1794.24,508.76
