ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2021-01-20 17:10:00,2021-01-21 19:25:00,26.25,PROFIT_TARGET,EURAUD,AUDCAD,13.7,22.8,0.00107,0.00114,1.56047,1.5676700000000001,0.97877,0.9792,1.0,0.94,0.9438,72.0,4.3,76.3,473.91,29.71,503.62
2,SHORT,2021-01-22 10:35:00,2021-02-02 12:50:00,266.25,PROFIT_TARGET,EURAUD,AUDCAD,75.1,77.8,0.00084,0.00043,1.57439,1.5816599999999998,0.98115,0.97418,1.0,1.94,1.9447,-72.7,69.7,-3.0,-478.43,993.74,515.31
3,LONG,2021-02-23 22:30:00,2021-02-25 23:25:00,48.92,PROFIT_TARGET,EURAUD,AUDCAD,10.1,11.5,0.00027,0.00024,1.53434,1.5467300000000002,0.99588,0.99229,1.0,1.11,1.1066,123.9,-35.9,88.0,815.52,-292.89,522.63
4,SHORT,2021-03-18 18:55:00,2021-03-26 15:25:00,188.5,PROFIT_TARGET,EURAUD,AUDCAD,76.9,80.3,0.00057,0.00035,1.53124,1.5461399999999998,0.97001,0.95769,1.0,1.64,1.6437,-149.0,123.2,-25.8,-980.55,1484.88,504.33
5,SHORT,2021-04-05 20:05:00,2021-05-05 11:10:00,711.08,PROFIT_TARGET,EURAUD,AUDCAD,82.1,84.9,0.00031,0.00021,1.54379,1.55408,0.95932,0.94814,1.0,1.44,1.4434,-102.9,111.8,8.9,-677.17,1183.16,505.99
6,LONG,2021-05-10 00:00:00,2021-05-19 11:15:00,227.25,PROFIT_TARGET,EURAUD,AUDCAD,21.1,16.2,0.00096,0.00069,1.54696,1.57668,0.95122,0.9371,1.0,1.4,1.3965,297.2,-141.2,156.0,1956.17,-1452.95,503.22
7,SHORT,2021-05-27 01:15:00,2021-06-04 22:00:00,212.75,PROFIT_TARGET,EURAUD,AUDCAD,75.1,77.3,0.00022,0.00024,1.5745900000000002,1.5709,0.93869,0.93483,1.0,0.91,0.9083,36.9,38.6,75.5,242.84,258.15,500.99
8,LONG,2021-07-16 00:00:00,2021-07-19 07:05:00,79.08,PROFIT_TARGET,EURAUD,AUDCAD,21.8,20.9,0.00081,0.00042,1.58907,1.59774,0.93424,0.93386,1.0,1.94,1.9378,86.7,-3.8,82.9,570.66,-54.18,516.48
9,LONG,2021-07-20 21:50:00,2021-08-20 04:45:00,726.92,PROFIT_TARGET,EURAUD,AUDCAD,14.1,12.6,0.00038,0.00027,1.6068099999999998,1.63857,0.93068,0.91627,1.0,1.4,1.4044,317.6,-144.1,173.5,2090.44,-1482.8,607.64
10,LONG,2021-08-20 17:15:00,2021-09-20 15:30:00,742.25,PROFIT_TARGET,EURAUD,AUDCAD,22.0,19.9,0.00081,0.0006,1.63412,1.62108,0.91704,0.93083,1.0,1.35,1.3488,-130.4,137.9,7.5,-858.29,1368.33,510.04
