ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-09-02 01:35:00,2020-09-02 13:20:00,11.75,PROFIT_TARGET,EURAUD,AUDCHF,78.0,80.7,0.00032,0.00017,1.61608,1.61518,0.67057,0.66863,1.0,1.9,1.9036,9.0,19.4,28.4,59.21,464.72,523.93
2,LONG,2020-09-28 19:20:00,2020-09-29 18:05:00,22.75,PROFIT_TARGET,EURAUD,AUDCHF,23.8,24.4,0.00057,0.00033,1.64995,1.6482999999999999,0.6531,0.65597,1.0,1.72,1.7169,-16.5,28.7,12.2,-108.56,622.44,513.88
3,LONG,2021-05-25 00:15:00,2021-05-31 17:20:00,161.08,PROFIT_TARGET,EURAUD,AUDCHF,21.4,19.7,0.00096,0.00084,1.5738699999999999,1.57667,0.69456,0.69683,1.0,1.14,1.1401,28.0,22.7,50.7,184.23,326.3,510.53
4,SHORT,2021-07-05 01:45:00,2021-07-08 00:00:00,70.25,PROFIT_TARGET,EURAUD,AUDCHF,75.3,80.5,0.00032,0.00014,1.5765799999999999,1.57376,0.69304,0.69111,1.0,2.25,2.25,28.2,19.3,47.5,185.51,547.49,733.0
5,LONG,2021-07-16 00:10:00,2021-07-16 04:35:00,4.42,PROFIT_TARGET,EURAUD,AUDCHF,23.3,21.7,0.00121,0.00057,1.58893,1.5901399999999999,0.68019,0.68192,1.0,2.11,2.1084,12.1,17.3,29.4,79.61,460.29,539.9
6,LONG,2021-10-15 00:25:00,2021-10-15 14:40:00,14.25,PROFIT_TARGET,EURAUD,AUDCHF,19.4,24.3,0.00085,0.00049,1.56182,1.56474,0.68408,0.68558,1.0,1.74,1.7377,29.2,15.0,44.2,192.12,329.11,521.23
7,LONG,2022-02-28 00:00:00,2022-02-28 00:15:00,0.25,PROFIT_TARGET,EURAUD,AUDCHF,9.8,12.4,0.00281,0.00138,1.54884,1.55138,0.66408,0.66599,1.0,2.04,2.0391,25.4,19.1,44.5,167.12,491.31,658.43
8,LONG,2022-04-20 14:55:00,2022-04-20 18:40:00,3.75,PROFIT_TARGET,EURAUD,AUDCHF,22.0,15.0,0.00068,0.00039,1.45691,1.4558,0.70346,0.70626,1.0,1.76,1.7565,-11.1,28.0,16.9,-73.03,621.38,548.35
9,LONG,2022-06-30 14:25:00,2022-06-30 17:55:00,3.5,PROFIT_TARGET,EURAUD,AUDCHF,24.9,8.1,0.00071,0.00038,1.51143,1.5197699999999998,0.65858,0.65841,1.0,1.86,1.8632,83.4,-1.7,81.7,548.74,-39.87,508.87
10,LONG,2022-09-15 00:00:00,2022-09-15 05:00:00,5.0,PROFIT_TARGET,EURAUD,AUDCHF,21.3,22.5,0.00105,0.00048,1.47723,1.47458,0.64852,0.65098,1.0,2.18,2.1784,-26.5,24.6,-1.9,-174.36,676.21,501.85
