ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-05-27 01:20:00,2021-06-17 10:15:00,512.92,PROFIT_TARGET,EURAUD,AUDJPY,80.8,76.3,0.00021,0.0198,1.57476,1.56934,84.509,84.318,1.0,1.08,1.0808,54.2,19.1,73.3,356.74,143.36,500.1
2,SHORT,2021-07-05 01:25:00,2021-07-06 12:10:00,34.75,PROFIT_TARGET,EURAUD,AUDJPY,77.1,78.0,0.00043,0.0266,1.57659,1.56269,83.582,83.943,1.0,1.62,1.6165,139.0,-36.1,102.9,914.88,-406.44,508.44
3,SHORT,2021-08-31 01:30:00,2021-09-16 00:05:00,382.58,PROFIT_TARGET,EURAUD,AUDJPY,75.2,78.0,0.00015,0.0104,1.6168,1.61007,80.207,80.149,1.0,1.46,1.4615,67.3,5.8,73.1,442.96,58.85,501.81
4,LONG,2022-02-28 00:00:00,2022-02-28 01:20:00,1.33,PROFIT_TARGET,EURAUD,AUDJPY,9.8,12.6,0.00281,0.2268,1.54884,1.55427,82.879,83.102,1.0,1.24,1.2407,54.3,22.3,76.6,357.46,192.18,549.64
5,LONG,2022-04-25 09:45:00,2022-05-09 13:05:00,339.33,PROFIT_TARGET,EURAUD,AUDJPY,19.2,22.7,0.00125,0.1132,1.49858,1.50399,91.664,91.861,1.0,1.1,1.1025,54.1,19.7,73.8,356.14,150.61,506.75
6,SHORT,2022-06-08 01:10:00,2022-06-10 15:40:00,62.5,PROFIT_TARGET,EURAUD,AUDJPY,79.8,76.4,0.0005,0.0356,1.4803600000000001,1.48636,95.907,94.983,1.0,1.42,1.4157,-60.0,92.4,32.4,-394.91,911.86,516.95
7,SHORT,2022-06-17 01:10:00,2022-07-06 13:05:00,467.92,PROFIT_TARGET,EURAUD,AUDJPY,86.3,79.8,0.0006,0.0608,1.49764,1.50316,93.244,91.941,1.0,0.99,0.9901,-55.2,130.3,75.1,-363.32,896.5,533.18
8,SHORT,2022-07-19 11:00:00,2022-07-21 19:20:00,56.33,PROFIT_TARGET,EURAUD,AUDJPY,75.4,75.6,0.00128,0.1092,1.48808,1.47679,94.805,95.078,1.0,1.17,1.1722,112.9,-27.3,85.6,743.1,-221.98,521.12
9,LONG,2022-07-26 13:15:00,2022-08-31 18:15:00,869.0,PROFIT_TARGET,EURAUD,AUDJPY,24.6,25.0,0.00108,0.0814,1.4632,1.46521,94.755,95.164,1.0,1.32,1.3219,20.1,40.9,61.0,132.32,375.23,507.55
10,SHORT,2022-09-06 10:25:00,2022-09-22 14:55:00,388.5,PROFIT_TARGET,EURAUD,AUDJPY,79.2,83.0,0.00097,0.1048,1.46997,1.48335,96.117,93.937,1.0,0.93,0.9294,-133.8,218.0,84.2,-880.66,1409.02,528.36
11,LONG,2022-09-22 15:30:00,2022-09-28 08:10:00,136.67,PROFIT_TARGET,EURAUD,AUDJPY,23.2,18.4,0.0009,0.2444,1.48392,1.49716,93.693,92.257,1.0,0.37,0.3691,132.4,-143.6,-11.2,871.59,-369.27,502.32
12,LONG,2022-11-10 23:05:00,2022-11-11 03:30:00,4.42,PROFIT_TARGET,EURAUD,AUDJPY,22.4,18.1,0.00106,0.1916,1.54108,1.5444200000000001,92.945,93.793,1.0,0.55,0.5511,33.4,84.8,118.2,219.87,324.15,544.02
13,LONG,2022-12-12 00:00:00,2022-12-12 08:15:00,8.25,PROFIT_TARGET,EURAUD,AUDJPY,22.1,24.2,0.00088,0.086,1.54684,1.55358,92.659,92.749,1.0,1.03,1.0256,67.4,9.0,76.4,443.69,64.43,508.12
14,LONG,2022-12-19 00:00:00,2022-12-19 01:35:00,1.58,PROFIT_TARGET,EURAUD,AUDJPY,24.7,22.3,0.00191,0.1264,1.57797,1.58178,91.06,91.3,1.0,1.51,1.5095,38.1,24.0,62.1,250.81,251.87,502.68
15,LONG,2022-12-20 05:05:00,2023-02-28 10:05:00,1685.0,PROFIT_TARGET,EURAUD,AUDJPY,22.7,8.0,0.00209,0.4146,1.57883,1.57952,90.516,91.83,1.0,0.5,0.5046,6.9,131.4,138.3,45.42,456.61,502.03
16,LONG,2023-02-28 20:15:00,2023-03-01 12:20:00,16.08,PROFIT_TARGET,EURAUD,AUDJPY,24.6,23.5,0.00047,0.0422,1.57028,1.5758100000000002,91.65,91.84,1.0,1.11,1.109,55.3,19.0,74.3,364.04,146.58,510.62
17,LONG,2023-03-15 11:30:00,2023-03-29 14:00:00,338.5,PROFIT_TARGET,EURAUD,AUDJPY,19.0,2.9,0.00104,0.1174,1.60524,1.62609,89.501,88.079,1.0,0.88,0.8842,208.5,-142.2,66.3,1372.51,-869.69,502.82
18,SHORT,2023-03-30 15:40:00,2023-03-31 22:10:00,30.5,PROFIT_TARGET,EURAUD,AUDJPY,75.5,78.4,0.00097,0.0794,1.6282,1.6232,88.942,88.704,1.0,1.23,1.2267,50.0,23.8,73.8,329.08,203.45,532.53
19,SHORT,2023-04-17 08:10:00,2023-04-17 19:55:00,11.75,PROFIT_TARGET,EURAUD,AUDJPY,75.3,77.7,0.00044,0.0572,1.63784,1.63019,90.008,89.993,1.0,0.77,0.7657,76.5,1.5,78.0,503.49,8.03,511.52
20,SHORT,2023-04-28 10:00:00,2023-05-02 17:20:00,103.33,PROFIT_TARGET,EURAUD,AUDJPY,79.6,76.0,0.00154,0.1446,1.6695600000000002,1.64207,89.567,91.296,1.0,1.06,1.0622,274.9,-172.9,102.0,1809.28,-1273.71,535.57
21,LONG,2023-05-10 00:00:00,2023-05-16 18:25:00,162.42,PROFIT_TARGET,EURAUD,AUDJPY,13.3,18.2,0.00049,0.0578,1.62026,1.63122,91.312,90.947,1.0,0.84,0.8408,109.6,-36.5,73.1,721.47,-213.09,508.38
22,LONG,2023-06-12 00:05:00,2023-06-13 09:10:00,33.08,PROFIT_TARGET,EURAUD,AUDJPY,24.4,17.9,0.00048,0.0582,1.59303,1.5953300000000001,93.8,94.414,1.0,0.82,0.8247,23.0,61.4,84.4,151.4,349.92,501.32
23,LONG,2023-06-23 10:35:00,2023-06-23 14:45:00,4.17,PROFIT_TARGET,EURAUD,AUDJPY,15.6,24.3,0.00234,0.1382,1.62377,1.6277,95.554,95.762,1.0,1.69,1.6946,39.3,20.8,60.1,258.7,244.31,503.01
24,LONG,2023-07-04 00:05:00,2023-08-10 13:10:00,901.08,PROFIT_TARGET,EURAUD,AUDJPY,23.6,20.5,0.00131,0.0716,1.63327,1.6803,96.4,94.361,1.0,1.83,1.8324,470.3,-203.9,266.4,3095.89,-2593.3,502.59
