ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-02 13:50:00,2020-03-18 19:10:00,1829.33,STOP_LOSS,EURAUD,AUDNZD,76.9,84.4,0.00049,0.00039,1.6018400000000002,1.8814600000000001,1.04448,1.00288,1.0,1.25,1.2526,-2796.2,416.0,-2380.2,-18405.43,3169.82,-15235.61
2,LONG,2020-03-26 05:05:00,2020-05-15 16:15:00,1211.17,PROFIT_TARGET,EURAUD,AUDNZD,24.6,20.8,0.00232,0.00082,1.84867,1.6848800000000002,1.01263,1.07878,1.0,2.82,2.818,-1637.9,661.5,-976.4,-10782.95,11373.71,590.76
3,SHORT,2020-05-15 18:20:00,2020-05-18 05:05:00,58.75,PROFIT_TARGET,EURAUD,AUDNZD,87.2,77.2,0.0012,0.00052,1.68869,1.67916,1.08103,1.08193,1.0,2.31,2.3065,95.3,-9.0,86.3,627.28,-126.73,500.55
4,LONG,2020-06-05 15:20:00,2020-06-11 14:25:00,143.08,PROFIT_TARGET,EURAUD,AUDNZD,21.7,15.1,0.0012,0.00034,1.6230099999999998,1.6426699999999999,1.07148,1.06783,1.0,3.56,3.5562,196.6,-36.5,160.1,1294.3,-792.26,502.04
5,SHORT,2020-06-11 18:50:00,2020-06-12 00:00:00,5.17,PROFIT_TARGET,EURAUD,AUDNZD,76.7,75.5,0.00126,0.00055,1.6522299999999999,1.6484999999999999,1.06627,1.06417,1.0,2.28,2.2826,37.3,21.0,58.3,245.52,291.87,537.39
6,SHORT,2020-06-30 11:45:00,2020-06-30 17:40:00,5.92,PROFIT_TARGET,EURAUD,AUDNZD,79.1,76.4,0.00095,0.00037,1.63826,1.63025,1.07032,1.07012,1.0,2.55,2.5538,80.1,2.0,82.1,527.23,31.09,558.32
7,LONG,2020-06-30 21:30:00,2020-07-17 17:25:00,403.92,PROFIT_TARGET,EURAUD,AUDNZD,11.0,23.4,0.00062,0.0003,1.62877,1.63838,1.06818,1.06723,1.0,2.04,2.0397,96.1,-9.5,86.6,632.66,-118.16,514.5
8,LONG,2020-07-28 00:15:00,2020-07-28 08:45:00,8.5,PROFIT_TARGET,EURAUD,AUDNZD,24.0,17.7,0.00098,0.00043,1.64318,1.6441400000000002,1.0688900000000001,1.07224,1.0,2.27,2.2673,9.6,33.5,43.1,63.2,463.65,526.85
9,LONG,2020-07-30 23:50:00,2020-07-31 04:20:00,4.5,PROFIT_TARGET,EURAUD,AUDNZD,24.1,23.9,0.00071,0.00035,1.6465,1.64906,1.07349,1.07622,1.0,2.03,2.0284,25.6,27.3,52.9,168.54,337.9,506.44
10,SHORT,2020-08-03 17:05:00,2020-09-02 03:30:00,706.42,PROFIT_TARGET,EURAUD,AUDNZD,81.7,81.0,0.00109,0.0004,1.65511,1.6155,1.07617,1.08867,1.0,2.74,2.735,396.1,-125.0,271.1,2607.21,-2087.85,519.36
11,SHORT,2020-09-03 20:00:00,2020-09-04 21:15:00,25.25,PROFIT_TARGET,EURAUD,AUDNZD,75.4,78.7,0.0007,0.00032,1.62892,1.62501,1.08512,1.08315,1.0,2.23,2.2278,39.1,19.7,58.8,257.36,267.8,525.16
12,SHORT,2020-09-11 20:10:00,2020-09-14 02:50:00,54.67,PROFIT_TARGET,EURAUD,AUDNZD,78.2,85.7,0.00075,0.00031,1.6284,1.62609,1.09235,1.08986,1.0,2.38,2.3822,23.1,24.9,48.0,152.05,361.26,513.31
13,SHORT,2020-09-22 14:35:00,2020-10-28 06:55:00,856.33,PROFIT_TARGET,EURAUD,AUDNZD,75.2,75.9,0.00064,0.00039,1.62833,1.64872,1.08299,1.06453,1.0,1.64,1.6443,-203.9,184.6,-19.3,-1342.11,1845.5,503.39
14,LONG,2020-11-11 04:40:00,2020-11-12 22:05:00,41.42,PROFIT_TARGET,EURAUD,AUDNZD,23.7,21.6,0.00123,0.00081,1.61905,1.63324,1.06138,1.05676,1.0,1.52,1.516,141.9,-46.2,95.7,934.18,-428.17,506.01
15,LONG,2020-11-24 03:05:00,2020-12-01 11:55:00,176.83,PROFIT_TARGET,EURAUD,AUDNZD,19.1,15.0,0.00094,0.00152,1.61965,1.62931,1.0487,1.04537,1.0,0.62,0.6174,96.6,-33.3,63.3,635.96,-125.88,510.08
16,SHORT,2020-12-04 19:45:00,2020-12-07 19:45:00,72.0,PROFIT_TARGET,EURAUD,AUDNZD,76.9,76.2,0.00054,0.00024,1.6333600000000001,1.6285699999999999,1.05625,1.0549,1.0,2.26,2.2605,47.9,13.5,61.4,315.29,185.99,501.28
17,LONG,2020-12-14 00:00:00,2020-12-14 18:50:00,18.83,PROFIT_TARGET,EURAUD,AUDNZD,25.0,24.4,0.00079,0.00042,1.60622,1.6114899999999999,1.06298,1.06434,1.0,1.87,1.8726,52.7,13.6,66.3,346.95,155.06,502.01
18,SHORT,2020-12-16 17:10:00,2020-12-16 23:45:00,6.58,PROFIT_TARGET,EURAUD,AUDNZD,81.2,76.9,0.00074,0.0004,1.6143399999999999,1.60999,1.06739,1.06531,1.0,1.87,1.8693,43.5,20.8,64.3,286.33,237.11,523.44
19,SHORT,2020-12-21 10:15:00,2020-12-21 23:00:00,12.75,PROFIT_TARGET,EURAUD,AUDNZD,79.0,78.5,0.00095,0.00055,1.61816,1.6124800000000001,1.06905,1.06782,1.0,1.72,1.7236,56.8,12.3,69.1,373.87,128.96,502.83
20,LONG,2020-12-22 10:35:00,2020-12-22 12:30:00,1.92,PROFIT_TARGET,EURAUD,AUDNZD,21.6,24.5,0.00065,0.0003,1.61608,1.62099,1.06842,1.06986,1.0,2.17,2.1745,49.1,14.4,63.5,323.24,190.53,513.77
21,LONG,2020-12-23 10:10:00,2021-04-02 10:10:00,2400.0,TIME_LIMIT,EURAUD,AUDNZD,22.2,23.8,0.00084,0.00039,1.6103800000000001,1.54541,1.06917,1.08444,1.0,2.17,2.1701,-649.7,152.7,-497.0,-4277.23,2020.36,-2256.87
22,SHORT,2021-04-06 10:15:00,2021-04-15 10:05:00,215.83,PROFIT_TARGET,EURAUD,AUDNZD,80.8,79.1,0.00078,0.00045,1.54735,1.54886,1.0852,1.07927,1.0,1.73,1.7301,-15.1,59.3,44.2,-99.39,625.38,525.99
23,SHORT,2021-04-22 01:10:00,2021-08-02 00:00:00,2446.83,TIME_LIMIT,EURAUD,AUDNZD,81.9,76.4,0.00023,0.00031,1.5519500000000002,1.61639,1.07584,1.05228,1.0,0.74,0.7355,-644.4,235.6,-408.8,-4241.57,1062.77,-3178.8
24,LONG,2021-08-02 20:20:00,2021-08-19 12:00:00,399.67,PROFIT_TARGET,EURAUD,AUDNZD,23.8,20.3,0.00042,0.00017,1.61102,1.6335600000000001,1.05568,1.04918,1.0,2.47,2.4651,225.4,-65.0,160.4,1483.92,-978.91,505.01
25,SHORT,2021-08-20 21:00:00,2021-08-23 18:20:00,69.33,PROFIT_TARGET,EURAUD,AUDNZD,78.7,76.8,0.00034,0.00014,1.6392099999999998,1.62892,1.04477,1.04587,1.0,2.45,2.4493,102.9,-11.0,91.9,677.31,-164.28,513.03
26,LONG,2021-08-25 00:05:00,2021-12-03 00:05:00,2400.0,TIME_LIMIT,EURAUD,AUDNZD,23.6,22.8,0.00048,0.00073,1.61895,1.59302,1.0429,1.04006,1.0,0.66,0.6639,-259.3,-28.4,-287.7,-1707.18,-114.29,-1821.47
27,SHORT,2021-12-03 02:05:00,2022-03-01 15:25:00,2125.33,PROFIT_TARGET,EURAUD,AUDNZD,75.6,77.4,0.00046,0.00025,1.5954700000000002,1.5340799999999999,1.04085,1.07309,1.0,1.8,1.7953,613.9,-322.4,291.5,4041.0,-3537.69,503.31
28,SHORT,2022-03-07 05:00:00,2022-06-15 05:00:00,2400.0,TIME_LIMIT,EURAUD,AUDNZD,78.7,75.9,0.00097,0.00051,1.46393,1.5100099999999999,1.07443,1.10833,1.0,1.9,1.902,-460.8,-339.0,-799.8,-3033.22,-3926.63,-6959.85
29,SHORT,2022-06-15 23:40:00,2022-06-20 11:25:00,107.75,PROFIT_TARGET,EURAUD,AUDNZD,77.9,79.7,0.00067,0.00041,1.49203,1.50564,1.11367,1.09936,1.0,1.62,1.6165,-136.1,143.1,7.0,-895.88,1413.26,517.38
30,SHORT,2022-06-22 01:10:00,2022-07-06 13:20:00,348.17,PROFIT_TARGET,EURAUD,AUDNZD,77.2,100.0,0.0006,0.0003,1.51163,1.50214,1.1007,1.1017,1.0,1.99,1.9868,94.9,-10.0,84.9,624.68,-121.32,503.36
31,SHORT,2022-07-18 17:45:00,2022-07-19 11:45:00,18.0,PROFIT_TARGET,EURAUD,AUDNZD,75.9,86.4,0.00114,0.00032,1.48803,1.48487,1.10783,1.10635,1.0,3.55,3.5528,31.6,14.8,46.4,208.01,320.3,528.31
32,LONG,2022-07-20 06:35:00,2022-07-21 09:05:00,26.5,PROFIT_TARGET,EURAUD,AUDNZD,21.2,23.4,0.00058,0.00025,1.4809999999999999,1.48014,1.10408,1.10814,1.0,2.27,2.2677,-8.6,40.6,32.0,-56.62,561.95,505.33
33,LONG,2022-07-25 00:00:00,2022-07-25 03:40:00,3.67,PROFIT_TARGET,EURAUD,AUDNZD,15.0,17.8,0.00094,0.00072,1.47323,1.47804,1.10507,1.10795,1.0,1.3,1.2964,48.1,28.8,76.9,316.68,228.29,544.97
34,LONG,2022-07-25 13:40:00,2022-07-27 20:50:00,55.17,PROFIT_TARGET,EURAUD,AUDNZD,21.7,22.6,0.00073,0.00034,1.47049,1.4622600000000001,1.10848,1.11659,1.0,2.12,2.1228,-82.3,81.1,-1.2,-541.85,1048.34,506.49
35,SHORT,2022-07-29 13:45:00,2022-08-01 14:20:00,72.58,PROFIT_TARGET,EURAUD,AUDNZD,78.9,80.6,0.00079,0.00031,1.46417,1.45388,1.1106,1.11135,1.0,2.54,2.5419,102.9,-7.5,95.4,677.34,-116.13,561.21
36,SHORT,2022-08-03 01:55:00,2022-08-03 18:50:00,16.92,PROFIT_TARGET,EURAUD,AUDNZD,77.8,75.7,0.00091,0.0015,1.47105,1.46407,1.10968,1.10852,1.0,0.61,0.6077,69.8,11.6,81.4,459.46,43.14,502.6
37,SHORT,2022-08-05 11:10:00,2022-08-08 00:00:00,60.83,PROFIT_TARGET,EURAUD,AUDNZD,77.2,75.7,0.00073,0.00026,1.46978,1.47103,1.10601,1.10199,1.0,2.78,2.7786,-12.5,40.2,27.7,-82.28,681.3,599.02
38,SHORT,2022-08-15 01:20:00,2022-11-23 01:20:00,2400.0,TIME_LIMIT,EURAUD,AUDNZD,80.6,77.3,0.00049,0.00064,1.4411100000000001,1.5505200000000001,1.10364,1.08051,1.0,0.76,0.7632,-1094.1,231.3,-862.8,-7201.91,1071.66,-6130.25
39,SHORT,2022-11-23 13:25:00,2022-11-23 16:45:00,3.33,PROFIT_TARGET,EURAUD,AUDNZD,77.5,75.0,0.00084,0.00033,1.55341,1.54848,1.07701,1.07487,1.0,2.57,2.5671,49.3,21.4,70.7,324.52,335.28,659.8
40,SHORT,2022-12-01 21:05:00,2022-12-02 10:25:00,13.33,PROFIT_TARGET,EURAUD,AUDNZD,75.2,75.5,0.00061,0.00027,1.5450599999999999,1.54362,1.06862,1.06504,1.0,2.25,2.25,14.4,35.8,50.2,94.79,491.06,585.85
41,SHORT,2022-12-05 17:10:00,2022-12-06 05:05:00,11.92,PROFIT_TARGET,EURAUD,AUDNZD,80.3,75.6,0.00163,0.00077,1.5588,1.5645,1.06408,1.05687,1.0,2.1,2.1008,-57.0,72.1,15.1,-375.2,923.04,547.84
42,LONG,2022-12-09 13:10:00,2022-12-14 21:05:00,127.92,PROFIT_TARGET,EURAUD,AUDNZD,7.8,21.7,0.00066,0.00029,1.55857,1.55959,1.05975,1.0639,1.0,2.29,2.2917,10.2,41.5,51.7,67.15,579.47,646.62
43,LONG,2022-12-26 10:35:00,2022-12-26 16:25:00,5.83,PROFIT_TARGET,EURAUD,AUDNZD,19.7,24.0,0.0004,0.00038,1.5781,1.58029,1.06535,1.07161,1.0,1.05,1.0469,21.9,62.6,84.5,144.19,400.78,544.97
44,SHORT,2022-12-26 23:00:00,2022-12-28 10:00:00,35.0,PROFIT_TARGET,EURAUD,AUDNZD,75.9,90.0,0.00046,0.00095,1.58109,1.57213,1.0705,1.07206,1.0,0.48,0.4811,89.6,-15.6,74.0,589.79,-45.65,544.14
45,LONG,2022-12-28 12:35:00,2023-01-03 04:15:00,135.67,PROFIT_TARGET,EURAUD,AUDNZD,23.3,23.9,0.00065,0.00041,1.5708199999999999,1.57142,1.07135,1.0761,1.0,1.59,1.5854,6.0,47.5,53.5,39.5,460.51,500.01
46,LONG,2023-01-03 05:10:00,2023-01-03 10:00:00,4.83,PROFIT_TARGET,EURAUD,AUDNZD,6.9,24.1,0.00129,0.0008,1.56541,1.5657999999999999,1.0728,1.07794,1.0,1.62,1.6165,3.9,51.4,55.3,25.68,507.72,533.4
