ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-07 16:55:00,2020-03-18 21:35:00,1708.67,PROFIT_TARGET,EURAUD,CADCHF,17.6,24.2,0.00072,0.00043,1.6227,1.88098,0.74598,0.66924,1.0,1.69,1.6869,2582.8,-767.4,1815.4,16998.18,-16353.81,644.37
2,LONG,2020-04-06 00:15:00,2020-04-06 00:35:00,0.33,PROFIT_TARGET,EURAUD,CADCHF,21.5,18.7,0.00266,0.0015,1.79562,1.80205,0.68436,0.68479,1.0,1.77,1.771,64.3,4.3,68.6,423.18,95.97,519.15
3,LONG,2020-04-10 09:25:00,2020-04-10 11:00:00,1.58,PROFIT_TARGET,EURAUD,CADCHF,24.2,21.8,0.00164,0.00021,1.7184599999999999,1.72046,0.69155,0.69227,1.0,5.0,5.0,20.0,7.2,27.2,131.63,453.96,585.59
4,SHORT,2020-04-15 06:10:00,2020-04-15 12:20:00,6.17,PROFIT_TARGET,EURAUD,CADCHF,75.8,80.8,0.00055,0.00016,1.71269,1.72465,0.69095,0.68784,1.0,3.41,3.4074,-119.6,31.1,-88.5,-787.02,1337.09,550.07
5,LONG,2020-04-30 00:30:00,2020-04-30 03:40:00,3.17,PROFIT_TARGET,EURAUD,CADCHF,21.8,24.1,0.00043,0.0002,1.6577600000000001,1.6608399999999999,0.70111,0.70219,1.0,2.19,2.1919,30.8,10.8,41.6,202.7,298.25,500.95
6,SHORT,2020-05-18 19:15:00,2020-05-20 12:05:00,40.83,PROFIT_TARGET,EURAUD,CADCHF,80.7,76.7,0.00118,0.00071,1.67655,1.6715499999999999,0.69527,0.69443,1.0,1.67,1.6742,50.0,8.4,58.4,329.02,176.86,505.88
7,SHORT,2020-07-16 03:40:00,2020-07-16 10:40:00,7.0,PROFIT_TARGET,EURAUD,CADCHF,76.7,82.4,0.00066,0.00012,1.631,1.63022,0.69947,0.69872,1.0,5.0,5.0,7.8,7.5,15.3,51.33,472.8,524.13
8,SHORT,2020-07-20 09:05:00,2020-07-20 15:25:00,6.33,PROFIT_TARGET,EURAUD,CADCHF,77.9,75.3,0.00106,0.00023,1.64024,1.6355499999999998,0.69153,0.69107,1.0,4.63,4.6316,46.9,4.6,51.5,308.62,268.52,577.14
9,SHORT,2020-07-21 02:10:00,2020-07-21 18:15:00,16.08,PROFIT_TARGET,EURAUD,CADCHF,76.5,77.6,0.00028,0.00011,1.63157,1.61489,0.6938,0.69561,1.0,2.49,2.4912,166.8,-18.1,148.7,1097.61,-568.23,529.38
10,LONG,2020-07-28 12:05:00,2020-08-03 16:25:00,148.33,PROFIT_TARGET,EURAUD,CADCHF,24.9,18.8,0.00077,0.00038,1.6411099999999998,1.6525400000000001,0.68782,0.6872,1.0,2.05,2.0479,114.3,-6.2,108.1,752.24,-160.27,591.97
11,SHORT,2020-08-19 15:20:00,2020-08-27 10:10:00,186.83,PROFIT_TARGET,EURAUD,CADCHF,81.9,83.5,0.00051,0.00033,1.6436,1.63423,0.68915,0.68958,1.0,1.55,1.5549,93.7,-4.3,89.4,616.57,-84.03,532.54
12,SHORT,2020-09-02 01:15:00,2020-09-15 10:25:00,321.17,PROFIT_TARGET,EURAUD,CADCHF,76.0,75.6,0.00029,0.00027,1.61578,1.62366,0.69612,0.68828,1.0,1.07,1.0735,-78.8,78.4,-0.4,-518.53,1057.66,539.13
13,SHORT,2020-09-16 19:35:00,2020-12-21 04:55:00,2289.33,PROFIT_TARGET,EURAUD,CADCHF,76.2,82.1,0.0004,0.00017,1.61471,1.61044,0.69018,0.68943,1.0,2.32,2.3218,42.7,7.5,50.2,280.98,219.38,500.36
14,SHORT,2020-12-21 07:00:00,2020-12-21 10:35:00,3.58,PROFIT_TARGET,EURAUD,CADCHF,77.1,89.4,0.00064,0.00015,1.6112199999999999,1.6194899999999999,0.69039,0.68846,1.0,4.41,4.411,-82.7,19.3,-63.4,-544.2,1073.1,528.9
15,LONG,2021-01-14 07:20:00,2021-01-14 12:05:00,4.75,PROFIT_TARGET,EURAUD,CADCHF,14.7,22.8,0.00056,0.00014,1.5669300000000002,1.56619,0.69936,0.70059,1.0,3.97,3.9718,-7.4,12.3,4.9,-48.7,615.75,567.05
16,SHORT,2021-02-01 01:15:00,2021-02-12 09:35:00,272.33,PROFIT_TARGET,EURAUD,CADCHF,80.1,80.6,0.0013,0.00045,1.59335,1.56511,0.69572,0.6994,1.0,2.87,2.8722,282.4,-36.8,245.6,1858.3,-1331.6,526.7
17,SHORT,2021-03-04 13:10:00,2021-06-14 00:00:00,2434.83,TIME_LIMIT,EURAUD,CADCHF,75.2,76.9,0.00073,0.00066,1.54935,1.5705200000000001,0.73081,0.73812,1.0,1.1,1.1024,-211.7,-73.1,-284.8,-1393.05,-1013.82,-2406.87
18,SHORT,2021-06-25 17:20:00,2021-07-06 13:25:00,260.08,PROFIT_TARGET,EURAUD,CADCHF,81.4,78.5,0.00069,0.00045,1.57363,1.5623,0.74576,0.74677,1.0,1.56,1.5561,113.3,-10.1,103.2,745.53,-198.65,546.88
19,LONG,2021-07-19 00:00:00,2021-07-20 22:00:00,46.0,PROFIT_TARGET,EURAUD,CADCHF,22.7,22.8,0.00081,0.00063,1.5939999999999999,1.60683,0.72781,0.7259,1.0,1.28,1.2848,128.3,-19.1,109.2,844.36,-308.29,536.07
20,LONG,2021-07-28 00:10:00,2021-07-28 05:10:00,5.0,PROFIT_TARGET,EURAUD,CADCHF,21.4,20.8,0.00071,0.00048,1.60365,1.60614,0.72471,0.72661,1.0,1.49,1.4875,24.9,19.0,43.9,163.87,356.99,520.86
21,LONG,2021-08-05 11:15:00,2021-08-05 15:35:00,4.33,PROFIT_TARGET,EURAUD,CADCHF,16.2,22.9,0.00047,0.0002,1.59903,1.59893,0.72299,0.72506,1.0,2.31,2.3069,-1.0,20.7,19.7,-6.58,602.97,596.39
22,LONG,2021-08-13 00:05:00,2021-09-30 14:15:00,1166.17,PROFIT_TARGET,EURAUD,CADCHF,12.9,3.9,0.00121,0.00056,1.59578,1.6085,0.73659,0.73538,1.0,2.16,2.1607,127.2,-12.1,115.1,837.12,-329.57,507.55
23,SHORT,2021-10-05 14:20:00,2021-10-06 15:05:00,24.75,PROFIT_TARGET,EURAUD,CADCHF,76.3,76.6,0.00053,0.00031,1.59618,1.5913,0.736,0.73515,1.0,1.72,1.719,48.8,8.5,57.3,321.11,184.33,505.44
24,LONG,2021-10-07 13:55:00,2021-10-07 16:00:00,2.08,PROFIT_TARGET,EURAUD,CADCHF,20.5,21.9,0.00064,0.00029,1.5846200000000001,1.5859100000000002,0.73567,0.73724,1.0,2.25,2.2517,12.9,15.7,28.6,84.9,445.44,530.34
25,SHORT,2021-10-14 02:15:00,2021-10-19 17:10:00,134.92,PROFIT_TARGET,EURAUD,CADCHF,75.9,86.7,0.00033,0.00019,1.5715599999999998,1.55994,0.74246,0.74358,1.0,1.78,1.7849,116.2,-11.2,105.0,764.61,-251.36,513.25
26,SHORT,2021-10-22 02:05:00,2021-10-22 18:05:00,16.0,PROFIT_TARGET,EURAUD,CADCHF,77.4,80.0,0.00038,0.00016,1.55716,1.5554000000000001,0.74227,0.74102,1.0,2.45,2.4487,17.6,12.5,30.1,115.81,386.12,501.93
27,LONG,2021-11-01 13:55:00,2021-11-02 14:10:00,24.25,PROFIT_TARGET,EURAUD,CADCHF,23.4,17.5,0.00057,0.00036,1.53963,1.55408,0.73801,0.73592,1.0,1.59,1.5899,144.5,-20.9,123.6,950.97,-419.04,531.93
28,SHORT,2021-11-10 01:30:00,2021-11-11 17:30:00,40.0,PROFIT_TARGET,EURAUD,CADCHF,79.5,82.2,0.00044,0.00014,1.57227,1.57063,0.73258,0.73128,1.0,3.11,3.1127,16.4,13.0,29.4,107.91,509.75,617.66
29,SHORT,2021-12-03 16:10:00,2021-12-06 00:00:00,55.83,PROFIT_TARGET,EURAUD,CADCHF,79.6,78.3,0.00105,0.00069,1.60171,1.61279,0.7209,0.7142,1.0,1.52,1.5188,-110.8,67.0,-43.8,-729.08,1284.01,554.93
30,SHORT,2021-12-17 01:10:00,2021-12-17 15:05:00,13.92,PROFIT_TARGET,EURAUD,CADCHF,80.5,76.6,0.00073,0.00037,1.57854,1.58223,0.71937,0.716,1.0,1.97,1.9728,-36.9,33.7,-3.2,-242.81,837.04,594.23
31,SHORT,2021-12-30 01:20:00,2021-12-30 16:50:00,15.5,PROFIT_TARGET,EURAUD,CADCHF,77.7,80.3,0.00056,0.00021,1.56525,1.55856,0.71513,0.7148,1.0,2.6,2.5981,66.9,3.3,70.2,440.21,108.18,548.39
32,SHORT,2021-12-31 01:10:00,2021-12-31 13:30:00,12.33,PROFIT_TARGET,EURAUD,CADCHF,80.5,79.8,0.00118,0.00028,1.56281,1.56102,0.71722,0.7164,1.0,4.24,4.2446,17.9,8.2,26.1,117.78,438.36,556.14
33,SHORT,2022-01-07 01:15:00,2022-02-18 18:30:00,1025.25,PROFIT_TARGET,EURAUD,CADCHF,82.1,76.8,0.00076,0.00026,1.5772599999999999,1.57958,0.72396,0.72211,1.0,2.86,2.8636,-23.2,18.5,-4.7,-152.66,667.1,514.44
34,SHORT,2022-02-25 14:40:00,2022-02-28 00:00:00,57.33,PROFIT_TARGET,EURAUD,CADCHF,76.0,83.9,0.00096,0.00048,1.5562,1.54884,0.72492,0.72391,1.0,1.98,1.9793,73.6,10.1,83.7,484.29,252.14,736.43
35,LONG,2022-03-01 19:05:00,2022-03-02 17:40:00,22.58,PROFIT_TARGET,EURAUD,CADCHF,24.8,21.5,0.00102,0.00061,1.53101,1.5247899999999999,0.72286,0.72723,1.0,1.68,1.6776,-62.2,43.7,-18.5,-409.34,925.77,516.43
36,LONG,2022-03-03 07:00:00,2022-03-14 02:20:00,259.33,PROFIT_TARGET,EURAUD,CADCHF,16.6,23.5,0.00035,0.00015,1.52032,1.49957,0.72846,0.7346,1.0,2.41,2.411,-207.5,61.4,-146.1,-1365.56,1865.93,500.37
37,LONG,2022-04-04 15:55:00,2022-04-11 09:30:00,161.58,PROFIT_TARGET,EURAUD,CADCHF,24.8,25.0,0.00063,0.00043,1.46322,1.46386,0.74091,0.74335,1.0,1.49,1.4883,6.4,24.4,30.8,42.12,458.44,500.56
38,LONG,2022-04-21 22:45:00,2022-04-22 06:00:00,7.25,PROFIT_TARGET,EURAUD,CADCHF,23.5,24.7,0.00062,0.00035,1.46894,1.47669,0.75698,0.75715,1.0,1.78,1.7803,77.5,1.7,79.2,510.03,38.16,548.19
39,SHORT,2022-04-28 15:45:00,2022-04-29 17:40:00,25.92,PROFIT_TARGET,EURAUD,CADCHF,76.8,75.7,0.00141,0.00083,1.48293,1.47674,0.75807,0.75759,1.0,1.7,1.6995,61.9,4.8,66.7,407.3,102.88,510.18
40,LONG,2022-05-02 09:30:00,2022-05-02 17:55:00,8.42,PROFIT_TARGET,EURAUD,CADCHF,18.4,23.8,0.00077,0.00029,1.49195,1.49282,0.7566,0.75794,1.0,2.66,2.6597,8.7,13.4,22.1,57.25,449.47,506.72
41,LONG,2022-05-04 22:45:00,2022-05-05 01:25:00,2.67,PROFIT_TARGET,EURAUD,CADCHF,13.5,22.7,0.00249,0.00063,1.46033,1.46273,0.76382,0.76457,1.0,3.92,3.9243,24.0,7.5,31.5,157.94,370.73,528.67
42,SHORT,2022-05-30 13:45:00,2022-05-31 13:55:00,24.17,PROFIT_TARGET,EURAUD,CADCHF,80.5,75.1,0.00068,0.00042,1.50022,1.48842,0.75604,0.75721,1.0,1.61,1.6132,118.0,-11.7,106.3,776.44,-237.5,538.94
43,LONG,2022-06-02 09:30:00,2022-06-03 18:40:00,33.17,PROFIT_TARGET,EURAUD,CADCHF,23.8,19.4,0.0006,0.00099,1.4883899999999999,1.4852699999999999,0.75608,0.7653,1.0,0.61,0.6101,-31.2,92.2,61.0,-205.33,709.2,503.87
44,LONG,2022-06-06 00:00:00,2022-06-06 01:00:00,1.0,PROFIT_TARGET,EURAUD,CADCHF,22.4,23.3,0.00095,0.00059,1.48396,1.4868000000000001,0.76274,0.76479,1.0,1.6,1.6034,28.4,20.5,48.9,186.9,413.6,600.5
45,SHORT,2022-06-06 01:10:00,2022-06-16 10:35:00,249.42,PROFIT_TARGET,EURAUD,CADCHF,77.0,75.7,0.00081,0.00062,1.48731,1.49315,0.76429,0.75635,1.0,1.29,1.2917,-58.4,79.4,21.0,-384.27,1291.4,907.13
46,SHORT,2022-06-17 17:50:00,2022-06-20 09:20:00,63.5,PROFIT_TARGET,EURAUD,CADCHF,89.3,75.2,0.0015,0.00101,1.51349,1.51115,0.74427,0.74215,1.0,1.48,1.4822,23.4,21.2,44.6,153.97,395.59,549.56
47,LONG,2022-06-30 14:25:00,2022-06-30 17:55:00,3.5,PROFIT_TARGET,EURAUD,CADCHF,24.9,24.4,0.00071,0.00043,1.51143,1.5197699999999998,0.74138,0.74245,1.0,1.65,1.6465,83.4,10.7,94.1,548.87,222.63,771.5
48,SHORT,2022-07-08 18:50:00,2022-07-11 00:00:00,53.17,PROFIT_TARGET,EURAUD,CADCHF,76.8,76.4,0.00087,0.00038,1.48427,1.48457,0.75494,0.75189,1.0,2.31,2.3085,-3.0,30.5,27.5,-19.74,888.3,868.56
49,LONG,2022-07-13 10:40:00,2022-07-13 15:55:00,5.25,PROFIT_TARGET,EURAUD,CADCHF,17.7,22.9,0.00123,0.00054,1.47945,1.48512,0.75232,0.75279,1.0,2.27,2.2731,56.7,4.7,61.4,373.15,134.53,507.68
50,SHORT,2022-07-18 18:00:00,2022-07-19 00:05:00,6.08,PROFIT_TARGET,EURAUD,CADCHF,80.3,75.2,0.00089,0.00057,1.48879,1.48803,0.75506,0.75273,1.0,1.57,1.5724,7.6,23.3,30.9,50.01,461.22,511.23
51,LONG,2022-07-25 00:00:00,2022-07-25 01:05:00,1.08,PROFIT_TARGET,EURAUD,CADCHF,15.0,24.7,0.00094,0.00053,1.47323,1.47538,0.74307,0.74503,1.0,1.75,1.7528,21.5,19.6,41.1,141.5,432.52,574.02
52,SHORT,2022-07-26 01:10:00,2022-07-26 13:15:00,12.08,PROFIT_TARGET,EURAUD,CADCHF,86.6,78.6,0.00039,0.00039,1.46967,1.4632,0.75054,0.74963,1.0,1.01,1.0051,64.7,9.1,73.8,425.73,115.88,541.61
53,LONG,2022-08-10 10:05:00,2022-08-29 17:45:00,463.67,PROFIT_TARGET,EURAUD,CADCHF,24.8,21.3,0.0006,0.00028,1.46558,1.44916,0.73887,0.74488,1.0,2.19,2.1884,-164.2,60.1,-104.1,-1080.63,1659.7,579.07
54,SHORT,2022-09-02 13:35:00,2022-09-02 21:25:00,7.83,PROFIT_TARGET,EURAUD,CADCHF,79.7,75.1,0.00055,0.00054,1.46913,1.46209,0.74722,0.7468,1.0,1.02,1.0186,70.4,4.2,74.6,463.24,54.01,517.25
55,LONG,2022-09-15 00:00:00,2022-10-03 18:15:00,450.25,PROFIT_TARGET,EURAUD,CADCHF,21.3,14.8,0.00105,0.00034,1.47723,1.51145,0.73057,0.72606,1.0,3.05,3.0523,342.2,-45.1,297.1,2252.09,-1734.55,517.54
56,SHORT,2022-10-04 18:50:00,2022-10-05 15:25:00,20.58,PROFIT_TARGET,EURAUD,CADCHF,89.4,75.7,0.0015,0.00055,1.5376699999999999,1.53777,0.72321,0.72126,1.0,2.73,2.7273,-1.0,19.5,18.5,-6.58,671.19,664.61
57,LONG,2022-10-06 20:20:00,2022-10-07 12:55:00,16.58,PROFIT_TARGET,EURAUD,CADCHF,23.1,14.2,0.00062,0.00037,1.5272999999999999,1.52649,0.72003,0.72265,1.0,1.7,1.7049,-8.1,26.2,18.1,-53.31,561.64,508.33
58,SHORT,2022-10-24 01:10:00,2022-10-24 02:40:00,1.5,PROFIT_TARGET,EURAUD,CADCHF,81.2,77.3,0.00191,0.00066,1.54684,1.5459100000000001,0.73175,0.73054,1.0,2.89,2.8852,9.3,12.1,21.4,61.19,440.89,502.08
59,LONG,2022-11-01 09:10:00,2022-11-03 11:35:00,50.42,PROFIT_TARGET,EURAUD,CADCHF,21.4,19.7,0.00075,0.00031,1.5410300000000001,1.55002,0.73585,0.73563,1.0,2.39,2.391,89.9,-2.2,87.7,591.65,-66.3,525.35
60,LONG,2022-11-18 10:35:00,2022-11-21 20:35:00,82.0,PROFIT_TARGET,EURAUD,CADCHF,23.3,23.8,0.00087,0.00045,1.5449199999999998,1.5503,0.71351,0.71417,1.0,1.91,1.9075,53.8,6.6,60.4,354.07,158.96,513.03
61,LONG,2022-11-23 17:10:00,2022-11-25 13:35:00,44.42,PROFIT_TARGET,EURAUD,CADCHF,22.8,24.4,0.00181,0.00071,1.5481099999999999,1.5424,0.70547,0.7082,1.0,2.55,2.5537,-57.1,27.3,-29.8,-375.79,877.84,502.05
62,SHORT,2022-11-30 14:55:00,2022-11-30 18:10:00,3.25,PROFIT_TARGET,EURAUD,CADCHF,77.9,76.3,0.00102,0.00025,1.54157,1.53759,0.70297,0.7023,1.0,4.04,4.0397,39.8,6.7,46.5,261.89,341.28,603.17
63,LONG,2022-11-30 18:20:00,2023-03-10 18:20:00,2400.0,TIME_LIMIT,EURAUD,CADCHF,21.9,22.9,0.00169,0.00068,1.5384,1.6110600000000002,0.70224,0.66746,1.0,2.49,2.4853,726.6,-347.8,378.8,4781.9,-10920.42,-6138.52
64,SHORT,2023-03-14 04:30:00,2023-03-14 08:10:00,3.67,PROFIT_TARGET,EURAUD,CADCHF,84.4,78.6,0.00094,0.00016,1.6135000000000002,1.60861,0.66486,0.66382,1.0,5.0,5.0,48.9,10.4,59.3,321.77,655.62,977.39
65,SHORT,2023-03-15 18:55:00,2023-05-03 23:50:00,1180.92,PROFIT_TARGET,EURAUD,CADCHF,83.2,80.7,0.00131,0.00085,1.59853,1.6570200000000002,0.6722,0.64972,1.0,1.54,1.5376,-584.9,224.8,-360.1,-3848.7,4364.83,516.13
66,LONG,2023-05-10 00:00:00,2023-05-10 15:00:00,15.0,PROFIT_TARGET,EURAUD,CADCHF,13.3,19.1,0.00049,0.00038,1.62026,1.62178,0.66419,0.66677,1.0,1.27,1.2723,15.2,25.8,41.0,100.03,413.17,513.2
67,LONG,2023-05-12 00:00:00,2023-05-12 16:35:00,16.58,PROFIT_TARGET,EURAUD,CADCHF,17.0,23.6,0.00062,0.00038,1.62759,1.62843,0.66162,0.66394,1.0,1.62,1.6178,8.4,23.2,31.6,55.28,473.93,529.21
68,SHORT,2023-05-16 14:45:00,2023-05-22 12:30:00,141.75,PROFIT_TARGET,EURAUD,CADCHF,76.8,77.4,0.00053,0.00021,1.63157,1.62853,0.66378,0.66282,1.0,2.55,2.5481,30.4,9.6,40.0,200.04,308.65,508.69
69,LONG,2023-05-24 00:00:00,2023-05-24 05:05:00,5.08,PROFIT_TARGET,EURAUD,CADCHF,23.2,14.0,0.00072,0.00052,1.62797,1.63484,0.66663,0.66723,1.0,1.39,1.39,68.7,6.0,74.7,452.13,105.17,557.3
70,LONG,2023-05-25 00:00:00,2023-05-25 04:20:00,4.33,PROFIT_TARGET,EURAUD,CADCHF,12.3,22.6,0.00076,0.00056,1.64096,1.6451799999999999,0.66379,0.66524,1.0,1.35,1.3488,42.2,14.5,56.7,277.73,246.84,524.57
71,SHORT,2023-05-26 01:10:00,2023-05-26 13:25:00,12.25,PROFIT_TARGET,EURAUD,CADCHF,81.7,76.3,0.00031,0.00028,1.64894,1.6433499999999999,0.66393,0.6627,1.0,1.12,1.1151,55.9,12.3,68.2,367.83,173.69,541.52
72,SHORT,2023-05-31 15:50:00,2023-06-02 17:55:00,50.08,PROFIT_TARGET,EURAUD,CADCHF,76.8,77.8,0.00065,0.00041,1.65027,1.6214499999999998,0.66791,0.6748,1.0,1.59,1.5882,288.2,-68.9,219.3,1896.38,-1381.23,515.15
73,LONG,2023-06-06 00:00:00,2023-06-06 04:45:00,4.75,PROFIT_TARGET,EURAUD,CADCHF,20.2,19.5,0.00092,0.00077,1.6161400000000001,1.6207500000000001,0.67248,0.67391,1.0,1.19,1.1886,46.1,14.3,60.4,303.39,214.58,517.97
74,SHORT,2023-06-06 21:35:00,2023-06-07 15:15:00,17.67,PROFIT_TARGET,EURAUD,CADCHF,76.2,78.7,0.00035,0.00017,1.60285,1.59998,0.67716,0.6759,1.0,2.03,2.0349,28.7,12.6,41.3,188.85,322.49,511.34
75,SHORT,2023-06-07 17:50:00,2023-06-08 15:30:00,21.67,PROFIT_TARGET,EURAUD,CADCHF,78.6,79.7,0.00154,0.00065,1.60545,1.6049799999999999,0.67965,0.67691,1.0,2.37,2.3681,4.7,27.4,32.1,30.93,818.75,849.68
76,LONG,2023-06-09 15:45:00,2023-06-13 21:25:00,101.67,PROFIT_TARGET,EURAUD,CADCHF,14.6,22.9,0.00087,0.00079,1.5989499999999999,1.59534,0.67493,0.6803,1.0,1.1,1.0987,-36.1,53.7,17.6,-237.58,744.86,507.28
77,LONG,2023-06-14 00:05:00,2023-06-20 05:45:00,149.67,PROFIT_TARGET,EURAUD,CADCHF,22.4,24.4,0.00078,0.00044,1.5933199999999998,1.60519,0.67872,0.67775,1.0,1.79,1.79,118.7,-9.7,109.0,781.19,-218.95,562.24
78,LONG,2023-06-29 00:00:00,2023-06-29 02:45:00,2.75,PROFIT_TARGET,EURAUD,CADCHF,17.4,20.5,0.00112,0.00029,1.65029,1.6531500000000001,0.67586,0.6765,1.0,3.88,3.875,28.6,6.4,35.0,188.22,313.13,501.35
79,LONG,2023-07-05 00:05:00,2023-07-05 09:40:00,9.58,PROFIT_TARGET,EURAUD,CADCHF,20.8,19.3,0.00092,0.00081,1.6241400000000001,1.62962,0.67701,0.67812,1.0,1.14,1.1414,54.8,11.1,65.9,360.65,159.57,520.22
80,SHORT,2023-07-07 15:20:00,2023-07-07 17:05:00,1.75,PROFIT_TARGET,EURAUD,CADCHF,75.8,77.7,0.00104,0.0004,1.64289,1.63898,0.67105,0.67026,1.0,2.6,2.597,39.1,7.9,47.0,257.28,258.97,516.25
81,SHORT,2023-07-10 02:30:00,2023-07-10 19:20:00,16.83,PROFIT_TARGET,EURAUD,CADCHF,76.5,87.0,0.00046,0.00013,1.63981,1.6477,0.66986,0.66752,1.0,3.5,3.5,-78.9,23.4,-55.5,-519.17,1032.6,513.43
82,LONG,2023-07-10 19:35:00,2023-09-19 05:25:00,1689.83,PROFIT_TARGET,EURAUD,CADCHF,24.0,22.8,0.00039,0.00021,1.64764,1.66119,0.66724,0.66566,1.0,1.91,1.9126,135.5,-15.8,119.7,891.75,-380.54,511.21
83,LONG,2023-09-19 10:55:00,2023-09-19 15:05:00,4.17,PROFIT_TARGET,EURAUD,CADCHF,17.6,16.8,0.00068,0.00042,1.65739,1.6564100000000002,0.66481,0.66762,1.0,1.61,1.6095,-9.8,28.1,18.3,-64.5,570.48,505.98
84,LONG,2023-09-22 00:00:00,2023-09-22 01:05:00,1.08,PROFIT_TARGET,EURAUD,CADCHF,14.4,24.3,0.00132,0.00066,1.65922,1.6613799999999999,0.6694,0.67095,1.0,2.01,2.0061,21.6,15.5,37.1,142.15,392.86,535.01
85,SHORT,2023-09-22 01:10:00,2023-09-25 00:00:00,70.83,PROFIT_TARGET,EURAUD,CADCHF,79.1,84.6,0.00051,0.00027,1.6615,1.6514799999999998,0.67107,0.67069,1.0,1.92,1.9248,100.2,3.8,104.0,659.33,91.99,751.32
86,SHORT,2023-09-26 02:05:00,2023-09-26 14:30:00,12.42,PROFIT_TARGET,EURAUD,CADCHF,82.1,75.8,0.00035,0.00011,1.64917,1.6537,0.678,0.67603,1.0,3.22,3.2182,-45.3,19.7,-25.6,-298.08,799.78,501.7
87,SHORT,2023-09-27 19:30:00,2023-09-28 12:20:00,16.83,PROFIT_TARGET,EURAUD,CADCHF,84.3,77.6,0.00071,0.00019,1.65222,1.65129,0.68089,0.67977,1.0,3.64,3.6392,9.3,11.2,20.5,61.19,514.01,575.2
