ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2021-01-05 00:15:00,2021-04-15 00:15:00,2400.0,TIME_LIMIT,EURAUD,NZDCAD,20.5,20.4,0.00166,0.00098,1.59565,1.55004,0.91611,0.89307,1.0,1.7,1.7049,-456.1,-230.4,-686.5,-3002.0,-2878.45,-5880.45
2,SHORT,2021-04-20 17:45:00,2021-04-21 17:10:00,23.42,PROFIT_TARGET,EURAUD,NZDCAD,77.4,80.1,0.0012,0.0005,1.55295,1.55401,0.90369,0.89913,1.0,2.39,2.392,-10.6,45.6,35.0,-69.76,800.79,731.03
3,LONG,2021-04-21 17:15:00,2021-05-19 17:05:00,671.83,PROFIT_TARGET,EURAUD,NZDCAD,23.6,16.1,0.00111,0.00212,1.5531000000000001,1.57892,0.89916,0.86895,1.0,0.53,0.5255,258.2,-302.1,-43.9,1699.45,-1176.67,522.78
4,LONG,2021-05-27 15:00:00,2021-07-08 12:20:00,1005.33,PROFIT_TARGET,EURAUD,NZDCAD,22.9,21.7,0.00055,0.00048,1.57381,1.59109,0.88215,0.87513,1.0,1.16,1.159,172.8,-70.2,102.6,1137.35,-598.44,538.91
5,LONG,2021-07-15 13:45:00,2021-07-15 18:55:00,5.17,PROFIT_TARGET,EURAUD,NZDCAD,23.3,23.6,0.0005,0.00027,1.58468,1.5877599999999998,0.87685,0.87947,1.0,1.85,1.8519,30.8,26.2,57.0,202.72,356.21,558.93
6,LONG,2021-07-16 00:05:00,2021-07-16 17:20:00,17.25,PROFIT_TARGET,EURAUD,NZDCAD,23.1,18.0,0.00097,0.0014,1.5891600000000001,1.59405,0.87778,0.88213,1.0,0.69,0.689,48.9,43.5,92.4,321.85,220.58,542.43
7,LONG,2021-07-20 22:10:00,2021-08-04 15:35:00,353.42,PROFIT_TARGET,EURAUD,NZDCAD,24.8,11.0,0.00052,0.00047,1.60628,1.6028799999999999,0.87743,0.88648,1.0,1.1,1.1026,-34.0,90.5,56.5,-223.78,731.59,507.81
8,LONG,2021-08-09 00:00:00,2021-08-16 03:00:00,171.0,PROFIT_TARGET,EURAUD,NZDCAD,20.3,17.2,0.00075,0.00063,1.5969,1.60179,0.87898,0.88125,1.0,1.19,1.1943,48.9,22.7,71.6,321.85,198.52,520.37
9,LONG,2021-08-16 19:05:00,2021-08-19 11:10:00,64.08,PROFIT_TARGET,EURAUD,NZDCAD,24.9,21.7,0.00039,0.00029,1.60488,1.63147,0.88257,0.86996,1.0,1.34,1.3379,265.9,-126.1,139.8,1750.13,-1241.79,508.34
10,LONG,2021-08-20 13:25:00,2021-09-08 10:20:00,452.92,PROFIT_TARGET,EURAUD,NZDCAD,19.9,12.1,0.00084,0.00044,1.63895,1.60655,0.87994,0.89893,1.0,1.89,1.8874,-324.0,189.9,-134.1,-2132.54,2637.64,505.1
