ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-07 16:55:00,2020-01-08 09:40:00,16.75,PROFIT_TARGET,EURAUD,NZDCHF,17.6,23.3,0.00072,0.00037,1.6227,1.62056,0.64349,0.64641,1.0,1.97,1.9727,-21.4,29.2,7.8,-140.88,725.4,584.52
2,SHORT,2020-01-15 13:10:00,2020-01-15 15:05:00,1.92,PROFIT_TARGET,EURAUD,NZDCHF,88.5,78.5,0.00061,0.00025,1.61762,1.61867,0.6386,0.6361,1.0,2.46,2.4597,-10.5,25.0,14.5,-69.11,775.42,706.31
3,SHORT,2020-06-29 01:15:00,2020-07-30 07:10:00,749.92,PROFIT_TARGET,EURAUD,NZDCHF,80.4,76.2,0.00125,0.00028,1.6374499999999999,1.64059,0.60755,0.60623,1.0,4.51,4.5145,-31.4,13.2,-18.2,-206.67,750.58,543.91
4,LONG,2020-08-17 02:00:00,2020-08-19 12:40:00,58.67,PROFIT_TARGET,EURAUD,NZDCHF,20.3,13.0,0.00038,0.00026,1.64957,1.64256,0.59425,0.59957,1.0,1.45,1.4538,-70.1,53.2,-16.9,-461.48,972.74,511.26
5,SHORT,2020-09-14 02:30:00,2020-12-23 02:30:00,2400.0,TIME_LIMIT,EURAUD,NZDCHF,78.5,76.7,0.00037,0.0002,1.62663,1.61479,0.60659,0.62576,1.0,1.84,1.8416,118.4,-191.7,-73.3,779.29,-4447.18,-3667.89
6,LONG,2021-02-08 00:00:00,2021-02-24 06:20:00,390.33,PROFIT_TARGET,EURAUD,NZDCHF,20.8,12.1,0.00058,0.00059,1.56871,1.53506,0.64565,0.66741,1.0,0.99,0.9864,-336.5,217.6,-118.9,-2215.21,2716.5,501.29
7,SHORT,2021-05-13 01:30:00,2021-06-10 00:10:00,670.67,PROFIT_TARGET,EURAUD,NZDCHF,76.7,78.5,0.00027,0.00023,1.56202,1.57501,0.6514,0.64206,1.0,1.16,1.1565,-129.9,93.4,-36.5,-854.98,1366.0,511.02
8,SHORT,2021-07-05 01:40:00,2021-07-08 11:35:00,81.92,PROFIT_TARGET,EURAUD,NZDCHF,76.7,78.8,0.00028,0.00019,1.57654,1.5896599999999999,0.64765,0.63958,1.0,1.47,1.4737,-131.2,80.7,-50.5,-863.53,1495.67,632.14
9,LONG,2021-07-28 00:10:00,2021-07-30 13:55:00,61.75,PROFIT_TARGET,EURAUD,NZDCHF,21.4,16.4,0.00071,0.00078,1.60365,1.61444,0.63491,0.63388,1.0,0.92,0.9154,107.9,-10.3,97.6,710.32,-119.49,590.83
10,SHORT,2021-08-03 02:45:00,2021-10-07 17:00:00,1574.25,PROFIT_TARGET,EURAUD,NZDCHF,75.2,77.7,0.00028,0.00022,1.61223,1.58284,0.6325,0.64143,1.0,1.27,1.2727,293.9,-89.3,204.6,1934.39,-1429.88,504.51
11,LONG,2021-10-15 00:05:00,2021-10-15 15:20:00,15.25,PROFIT_TARGET,EURAUD,NZDCHF,22.8,20.5,0.00055,0.00053,1.5631,1.5640399999999999,0.6491,0.65269,1.0,1.03,1.0263,9.4,35.9,45.3,61.88,466.28,528.16
12,LONG,2021-11-19 06:45:00,2022-02-28 00:00:00,2417.25,TIME_LIMIT,EURAUD,NZDCHF,17.0,24.1,0.00028,0.00011,1.5603099999999999,1.54884,0.65184,0.61903,1.0,2.59,2.5926,-114.7,-328.1,-442.8,-755.08,-10715.73,-11470.81
13,LONG,2022-04-08 19:15:00,2022-04-11 00:10:00,52.92,PROFIT_TARGET,EURAUD,NZDCHF,21.0,23.8,0.00056,0.00024,1.45767,1.46176,0.63886,0.64235,1.0,2.36,2.3644,40.9,34.9,75.8,269.25,1038.61,1307.86
14,SHORT,2022-05-09 09:05:00,2022-05-11 12:10:00,51.08,PROFIT_TARGET,EURAUD,NZDCHF,75.1,75.4,0.00078,0.00048,1.50161,1.5070700000000001,0.63094,0.62674,1.0,1.63,1.6276,-54.6,42.0,-12.6,-359.37,863.14,503.77
15,LONG,2022-06-06 00:00:00,2022-06-06 02:45:00,2.75,PROFIT_TARGET,EURAUD,NZDCHF,22.4,23.1,0.00095,0.00054,1.48396,1.48718,0.6254,0.6267,1.0,1.76,1.7584,32.2,13.0,45.2,211.98,288.52,500.5
16,LONG,2022-06-13 15:20:00,2022-06-13 18:15:00,2.92,PROFIT_TARGET,EURAUD,NZDCHF,23.1,19.5,0.00098,0.00059,1.4990299999999999,1.50389,0.62383,0.62492,1.0,1.67,1.6724,48.6,10.9,59.5,319.94,229.54,549.48
17,LONG,2022-06-21 20:00:00,2022-09-13 18:10:00,2014.17,STOP_LOSS,EURAUD,NZDCHF,22.7,25.0,0.0007,0.00023,1.50935,1.47808,0.61213,0.57806,1.0,3.05,3.0522,-312.7,-340.7,-653.4,-2058.54,-13103.52,-15162.06
18,LONG,2022-09-21 09:35:00,2022-09-21 10:10:00,0.58,PROFIT_TARGET,EURAUD,NZDCHF,13.4,18.9,0.00153,0.00057,1.4862199999999999,1.48555,0.56655,0.56832,1.0,2.7,2.6996,-6.7,17.7,11.0,-44.11,602.63,558.52
19,LONG,2022-09-26 03:55:00,2022-09-26 04:00:00,0.08,PROFIT_TARGET,EURAUD,NZDCHF,14.1,19.7,0.0031,0.00091,1.47385,1.4729999999999999,0.56072,0.56262,1.0,3.42,3.4163,-8.5,19.0,10.5,-55.96,819.4,763.44
