ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-03 01:25:00,2020-01-03 09:45:00,8.33,PROFIT_TARGET,EURAUD,NZDJPY,78.4,81.7,0.00027,0.0194,1.5993300000000001,1.6040100000000002,72.748,71.883,1.0,1.41,1.4124,-46.8,86.5,39.7,-308.0,847.41,539.41
2,SHORT,2020-01-06 13:40:00,2020-02-10 16:50:00,843.17,PROFIT_TARGET,EURAUD,NZDJPY,77.6,79.8,0.00046,0.0318,1.61235,1.63479,72.126,70.134,1.0,1.43,1.434,-224.4,199.2,-25.2,-1476.82,1979.17,502.35
3,LONG,2020-02-11 00:00:00,2020-02-20 11:05:00,227.08,PROFIT_TARGET,EURAUD,NZDJPY,23.6,23.5,0.00042,0.034,1.6316199999999998,1.62872,70.03,70.857,1.0,1.22,1.2235,-29.0,82.7,53.7,-190.89,701.05,510.16
4,SHORT,2020-02-20 16:30:00,2020-04-23 09:40:00,1505.17,PROFIT_TARGET,EURAUD,NZDJPY,76.4,81.2,0.00054,0.0476,1.63254,1.7035200000000001,71.079,64.49,1.0,1.13,1.1303,-709.8,658.9,-50.9,-4671.34,5173.16,501.82
5,SHORT,2020-05-19 12:40:00,2020-08-27 12:40:00,2400.0,TIME_LIMIT,EURAUD,NZDJPY,75.3,77.5,0.00102,0.0346,1.67298,1.6308099999999999,65.462,70.359,1.0,2.94,2.9422,421.7,-489.7,-68.0,2775.29,-10003.11,-7227.82
6,LONG,2020-09-01 20:35:00,2020-09-02 04:35:00,8.0,PROFIT_TARGET,EURAUD,NZDJPY,23.1,22.6,0.00077,0.0362,1.61627,1.62054,71.554,71.74,1.0,2.14,2.1381,42.7,18.6,61.3,281.06,276.57,557.63
7,SHORT,2020-09-14 02:30:00,2020-09-15 16:15:00,37.75,PROFIT_TARGET,EURAUD,NZDJPY,78.5,77.0,0.00037,0.026,1.62663,1.61794,70.832,70.902,1.0,1.43,1.4308,86.9,-7.0,79.9,571.91,-69.55,502.36
8,SHORT,2020-10-16 15:15:00,2020-11-02 00:00:00,392.75,PROFIT_TARGET,EURAUD,NZDJPY,85.4,76.8,0.00056,0.035,1.65547,1.65757,69.652,69.074,1.0,1.6,1.6,-21.0,57.8,36.8,-138.21,642.55,504.34
9,SHORT,2020-11-25 04:35:00,2021-01-14 16:40:00,1212.08,PROFIT_TARGET,EURAUD,NZDJPY,76.3,85.0,0.0008,0.0328,1.61773,1.56456,72.993,74.752,1.0,2.45,2.4451,531.7,-175.9,355.8,3499.22,-2994.26,504.96
10,SHORT,2021-02-02 15:20:00,2021-02-04 19:45:00,52.42,PROFIT_TARGET,EURAUD,NZDJPY,76.7,76.6,0.0007,0.0348,1.58545,1.5754299999999999,75.298,75.412,1.0,2.0,2.0,100.2,-11.4,88.8,659.44,-158.41,501.03
11,LONG,2021-02-08 00:00:00,2021-02-26 06:35:00,438.58,PROFIT_TARGET,EURAUD,NZDJPY,20.8,13.1,0.00058,0.0564,1.56871,1.5517699999999999,75.682,77.984,1.0,1.03,1.0319,-169.4,230.2,60.8,-1115.04,1647.51,532.47
12,LONG,2021-03-16 16:05:00,2021-03-17 20:05:00,28.0,PROFIT_TARGET,EURAUD,NZDJPY,24.6,22.5,0.00076,0.0428,1.53745,1.54118,78.251,78.508,1.0,1.78,1.7804,37.3,25.7,63.0,245.52,317.86,563.38
13,LONG,2021-04-07 04:10:00,2021-04-07 11:50:00,7.67,PROFIT_TARGET,EURAUD,NZDJPY,19.3,23.1,0.00056,0.051,1.54732,1.5562399999999998,77.456,77.403,1.0,1.11,1.1059,89.2,-5.3,83.9,587.14,-40.88,546.26
