ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-07-20 09:05:00,2020-07-20 15:25:00,6.33,PROFIT_TARGET,EURCAD,CADCHF,82.5,75.3,0.00094,0.00023,1.5566499999999999,1.55243,0.69153,0.69107,1.0,4.11,4.114,42.2,4.6,46.8,310.14,238.39,548.53
2,SHORT,2020-10-22 01:45:00,2020-10-29 22:55:00,189.17,PROFIT_TARGET,EURCAD,CADCHF,81.1,80.5,0.00023,0.00025,1.5589499999999998,1.5552899999999998,0.68862,0.6862,1.0,0.91,0.9113,36.6,24.2,60.8,268.99,277.68,546.67
3,SHORT,2020-11-11 01:25:00,2020-11-12 10:05:00,32.67,PROFIT_TARGET,EURCAD,CADCHF,80.3,76.5,0.00037,0.0002,1.54026,1.5433400000000002,0.70198,0.69884,1.0,1.84,1.84,-30.8,31.4,0.6,-226.36,728.5,502.14
4,SHORT,2020-11-24 12:05:00,2020-11-26 23:50:00,59.75,PROFIT_TARGET,EURCAD,CADCHF,80.7,79.6,0.00055,0.00043,1.54843,1.5502799999999999,0.69993,0.696,1.0,1.29,1.2897,-18.5,39.3,20.8,-135.96,639.24,503.28
5,SHORT,2021-02-01 01:15:00,2021-05-12 01:15:00,2400.0,TIME_LIMIT,EURCAD,CADCHF,77.9,80.6,0.00093,0.00045,1.55356,1.46973,0.69572,0.7466,1.0,2.04,2.0441,838.3,-508.8,329.5,6160.98,-13087.61,-6926.63
6,SHORT,2021-05-20 02:00:00,2021-05-21 00:10:00,22.17,PROFIT_TARGET,EURCAD,CADCHF,86.4,78.4,0.00021,0.00012,1.47749,1.474,0.74463,0.74351,1.0,1.73,1.7258,34.9,11.2,46.1,256.49,244.31,500.8
7,SHORT,2021-05-26 01:50:00,2021-05-27 00:00:00,22.17,PROFIT_TARGET,EURCAD,CADCHF,78.1,84.3,0.00024,0.00014,1.47802,1.47691,0.74208,0.73981,1.0,1.65,1.6528,11.1,22.7,33.8,81.58,472.27,553.85
8,LONG,2021-07-21 00:10:00,2021-07-21 18:45:00,18.58,PROFIT_TARGET,EURCAD,CADCHF,23.7,25.0,0.00079,0.0004,1.49296,1.47828,0.72605,0.7324,1.0,1.98,1.9751,-146.8,63.5,-83.3,-1079.03,1585.54,506.51
9,SHORT,2021-07-23 01:30:00,2021-07-28 23:55:00,142.42,PROFIT_TARGET,EURCAD,CADCHF,80.7,79.1,0.00021,0.00017,1.47893,1.48325,0.73149,0.72563,1.0,1.21,1.2093,-43.2,58.6,15.4,-317.5,894.06,576.56
10,SHORT,2021-08-05 02:05:00,2021-10-14 09:10:00,1687.08,PROFIT_TARGET,EURCAD,CADCHF,75.2,75.9,0.00013,0.00012,1.4852,1.43953,0.72234,0.74213,1.0,1.12,1.1186,456.7,-197.9,258.8,3356.48,-2794.77,561.71
11,LONG,2021-11-12 00:15:00,2021-11-12 14:00:00,13.75,PROFIT_TARGET,EURCAD,CADCHF,23.7,24.2,0.00061,0.00034,1.43959,1.44125,0.73142,0.73321,1.0,1.78,1.7849,16.6,17.9,34.5,122.02,401.8,523.82
12,LONG,2022-02-17 06:00:00,2022-02-17 09:30:00,3.5,PROFIT_TARGET,EURCAD,CADCHF,11.1,22.8,0.00136,0.00064,1.44203,1.44449,0.72472,0.72596,1.0,2.13,2.1317,24.6,12.4,37.0,180.82,333.07,513.89
13,SHORT,2022-02-22 13:10:00,2022-02-23 17:05:00,27.92,PROFIT_TARGET,EURCAD,CADCHF,77.2,83.6,0.00104,0.00042,1.44544,1.44166,0.72209,0.72092,1.0,2.47,2.4667,37.8,11.7,49.5,277.81,364.39,642.2
14,SHORT,2022-02-25 14:20:00,2022-02-28 00:00:00,57.67,PROFIT_TARGET,EURCAD,CADCHF,81.7,80.8,0.00105,0.00039,1.4338600000000001,1.42108,0.72388,0.72391,1.0,2.7,2.701,127.8,-0.3,127.5,939.26,-10.21,929.05
15,LONG,2022-04-20 14:45:00,2022-04-20 16:00:00,1.25,PROFIT_TARGET,EURCAD,CADCHF,22.3,24.9,0.00075,0.00037,1.35868,1.35614,0.75458,0.75727,1.0,2.05,2.0546,-25.4,26.9,1.5,-186.7,695.41,508.71
16,LONG,2022-05-18 17:50:00,2022-06-07 12:35:00,474.75,PROFIT_TARGET,EURCAD,CADCHF,22.9,21.1,0.00117,0.00083,1.34729,1.34635,0.77173,0.77501,1.0,1.4,1.4048,-9.4,32.8,23.4,-69.09,579.08,509.99
17,SHORT,2022-06-27 01:10:00,2022-06-28 16:30:00,39.33,PROFIT_TARGET,EURCAD,CADCHF,83.2,82.2,0.0004,0.00087,1.36081,1.35239,0.74282,0.7449,1.0,0.45,0.4531,84.2,-20.8,63.4,618.82,-118.02,500.8
18,LONG,2022-06-30 14:25:00,2022-06-30 17:55:00,3.5,PROFIT_TARGET,EURCAD,CADCHF,21.5,24.4,0.00077,0.00043,1.34281,1.34792,0.74138,0.74245,1.0,1.79,1.786,51.1,10.7,61.8,375.6,241.53,617.13
19,SHORT,2022-07-11 01:10:00,2022-07-11 16:10:00,15.0,PROFIT_TARGET,EURCAD,CADCHF,82.5,75.2,0.00072,0.00072,1.31766,1.31025,0.75424,0.75436,1.0,1.0,1.0028,74.1,-1.2,72.9,544.59,-15.13,529.46
20,LONG,2022-07-13 10:40:00,2022-07-13 17:00:00,6.33,PROFIT_TARGET,EURCAD,CADCHF,23.2,22.9,0.00096,0.00054,1.30404,1.30152,0.75232,0.75699,1.0,1.77,1.7712,-25.2,46.7,21.5,-185.23,1042.38,857.15
21,LONG,2022-07-26 13:20:00,2022-09-02 15:05:00,913.75,PROFIT_TARGET,EURCAD,CADCHF,19.9,22.8,0.00135,0.00071,1.3065,1.31327,0.7485,0.74931,1.0,1.9,1.904,67.7,8.1,75.8,497.62,194.08,691.7
22,LONG,2022-09-02 19:40:00,2022-09-06 17:35:00,93.92,PROFIT_TARGET,EURCAD,CADCHF,19.2,23.4,0.00155,0.00049,1.3084500000000001,1.2991,0.74744,0.75062,1.0,3.16,3.1633,-93.5,31.8,-61.7,-687.26,1267.22,579.96
23,LONG,2022-09-21 09:30:00,2022-09-21 10:20:00,0.83,PROFIT_TARGET,EURCAD,CADCHF,8.4,21.6,0.00123,0.0005,1.32648,1.32442,0.72027,0.72267,1.0,2.48,2.4798,-20.6,24.0,3.4,-151.42,750.59,599.17
24,LONG,2022-11-01 11:05:00,2022-11-07 11:10:00,144.08,PROFIT_TARGET,EURCAD,CADCHF,20.0,20.5,0.0006,0.00048,1.34475,1.34769,0.73359,0.7357,1.0,1.24,1.2407,29.4,21.1,50.5,216.1,329.95,546.05
25,SHORT,2022-12-01 07:10:00,2022-12-01 21:05:00,13.92,PROFIT_TARGET,EURCAD,CADCHF,84.7,91.9,0.00024,0.00014,1.40084,1.41435,0.70297,0.69607,1.0,1.75,1.75,-135.1,69.0,-66.1,-992.9,1522.55,529.65
26,LONG,2022-12-19 23:55:00,2022-12-23 03:25:00,75.5,PROFIT_TARGET,EURCAD,CADCHF,16.7,17.2,0.00033,0.00018,1.44745,1.44589,0.68025,0.68297,1.0,1.81,1.8132,-15.6,27.2,11.6,-114.67,620.85,506.18
27,SHORT,2022-12-26 19:45:00,2022-12-27 16:10:00,20.42,PROFIT_TARGET,EURCAD,CADCHF,75.2,79.1,2e-05,0.0002,1.44346,1.43574,0.68602,0.68856,1.0,0.2,0.2,77.2,-25.4,51.8,567.37,-64.05,503.32
28,LONG,2022-12-28 00:00:00,2022-12-28 02:15:00,2.25,PROFIT_TARGET,EURCAD,CADCHF,21.4,9.4,0.00069,0.00055,1.43663,1.4387400000000001,0.68506,0.68725,1.0,1.26,1.2637,21.1,21.9,43.0,155.09,347.98,503.07
29,LONG,2023-03-06 00:05:00,2023-06-14 00:05:00,2400.0,TIME_LIMIT,EURCAD,CADCHF,20.5,24.0,0.00065,0.0004,1.44364,1.43606,0.68803,0.67872,1.0,1.62,1.6231,-75.8,-93.1,-168.9,-557.16,-1901.96,-2459.12
30,LONG,2023-07-03 00:05:00,2023-07-03 14:05:00,14.0,PROFIT_TARGET,EURCAD,CADCHF,22.4,18.1,0.00063,0.00072,1.4438900000000001,1.44442,0.67418,0.67839,1.0,0.88,0.8753,5.3,42.1,47.4,38.96,467.2,506.16
31,LONG,2023-07-13 00:00:00,2023-07-14 16:00:00,40.0,PROFIT_TARGET,EURCAD,CADCHF,16.4,15.0,0.00078,0.00066,1.4662899999999999,1.47194,0.65611,0.65679,1.0,1.17,1.1717,56.5,6.8,63.3,415.3,100.33,515.63
