ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-02 17:20:00,2020-01-13 11:00:00,257.67,PROFIT_TARGET,EURCAD,CADJPY,10.7,24.9,0.00048,0.0492,1.45152,1.4531800000000001,83.484,84.09,1.0,0.97,0.9675,16.6,60.6,77.2,122.0,408.42,530.42
2,SHORT,2020-03-02 09:50:00,2020-04-23 13:00:00,1251.17,PROFIT_TARGET,EURCAD,CADJPY,87.9,75.7,0.00083,0.0776,1.47742,1.52318,81.354,76.101,1.0,1.06,1.0644,-457.6,525.3,67.7,-3362.41,3868.54,506.13
3,SHORT,2020-04-30 17:50:00,2020-05-05 12:05:00,114.25,PROFIT_TARGET,EURCAD,CADJPY,77.6,76.2,0.00188,0.1336,1.51608,1.52563,77.031,75.783,1.0,1.41,1.4072,-95.5,124.8,29.3,-701.73,1222.55,520.82
4,SHORT,2020-05-27 13:10:00,2020-05-27 16:50:00,3.67,PROFIT_TARGET,EURCAD,CADJPY,75.9,76.1,0.00181,0.0544,1.51203,1.51653,78.426,78.013,1.0,3.32,3.3235,-45.0,41.3,-3.7,-330.66,952.62,621.96
5,SHORT,2020-06-02 12:05:00,2020-06-18 04:20:00,376.25,PROFIT_TARGET,EURCAD,CADJPY,78.5,80.1,0.00087,0.0404,1.5099399999999998,1.5269,79.741,78.564,1.0,2.15,2.1485,-169.6,117.7,-51.9,-1246.21,1758.12,511.91
6,LONG,2020-06-18 15:05:00,2020-06-23 02:20:00,107.25,PROFIT_TARGET,EURCAD,CADJPY,20.0,24.3,0.0009,0.0492,1.52098,1.52237,78.84,79.157,1.0,1.84,1.8374,13.9,31.7,45.6,102.15,405.26,507.41
7,LONG,2020-08-21 10:25:00,2020-08-25 10:35:00,96.17,PROFIT_TARGET,EURCAD,CADJPY,20.3,24.4,0.00098,0.0502,1.5601500000000001,1.56195,80.055,80.343,1.0,1.94,1.9442,18.0,28.8,46.8,132.28,388.2,520.48
8,SHORT,2020-08-25 10:50:00,2020-09-08 16:20:00,341.5,PROFIT_TARGET,EURCAD,CADJPY,79.1,82.2,0.00062,0.0224,1.56262,1.5523099999999999,80.345,80.469,1.0,2.76,2.7589,103.1,-12.4,90.7,757.57,-237.77,519.8
9,LONG,2020-09-17 03:15:00,2020-09-18 20:25:00,41.17,PROFIT_TARGET,EURCAD,CADJPY,9.1,21.2,0.00041,0.0542,1.55477,1.56459,79.519,79.146,1.0,0.75,0.7491,98.2,-37.3,60.9,721.68,-194.37,527.31
10,SHORT,2020-09-24 04:05:00,2020-09-28 03:55:00,95.83,PROFIT_TARGET,EURCAD,CADJPY,78.7,75.8,0.00035,0.0304,1.56185,1.55628,78.784,78.658,1.0,1.16,1.1579,55.7,12.6,68.3,409.28,101.55,510.83
