ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-08 03:55:00,2020-01-13 09:30:00,125.58,PROFIT_TARGET,EURGBP,GBPCAD,16.5,18.4,0.00026,0.00052,0.85038,0.85552,1.7028400000000001,1.69746,1.0,0.51,0.5116,51.4,-53.8,-2.4,706.04,-201.66,504.38
2,LONG,2020-01-30 22:45:00,2020-02-03 11:50:00,85.08,PROFIT_TARGET,EURGBP,GBPCAD,20.2,23.8,0.00018,0.00054,0.84275,0.84498,1.72736,1.73523,1.0,0.34,0.3382,22.3,78.7,101.0,306.32,196.67,502.99
3,SHORT,2020-02-03 18:45:00,2020-02-04 20:45:00,26.0,PROFIT_TARGET,EURGBP,GBPCAD,79.0,77.1,0.00034,0.00143,0.85037,0.84649,1.7303,1.73178,1.0,0.24,0.2367,38.8,-14.8,24.0,532.92,-26.1,506.82
4,LONG,2020-02-12 19:10:00,2020-02-26 14:05:00,330.92,PROFIT_TARGET,EURGBP,GBPCAD,17.2,24.9,0.00021,0.00063,0.83882,0.84227,1.7180499999999999,1.7193100000000001,1.0,0.34,0.3397,34.5,12.6,47.1,473.9,31.49,505.39
5,SHORT,2020-02-26 18:45:00,2020-06-05 18:45:00,2400.0,TIME_LIMIT,EURGBP,GBPCAD,75.2,76.5,0.00037,0.0008,0.84222,0.88991,1.72072,1.70276,1.0,0.47,0.4675,-476.9,179.6,-297.3,-6550.22,620.33,-5929.89
6,LONG,2020-07-08 21:20:00,2020-07-13 17:55:00,116.58,PROFIT_TARGET,EURGBP,GBPCAD,14.5,23.8,0.00019,0.00064,0.89818,0.90082,1.70329,1.7097799999999999,1.0,0.29,0.2947,26.4,64.9,91.3,362.64,138.33,500.97
7,LONG,2020-07-15 18:00:00,2020-07-17 12:00:00,42.0,PROFIT_TARGET,EURGBP,GBPCAD,22.8,24.3,0.00046,0.00124,0.90465,0.90875,1.70762,1.7055099999999999,1.0,0.37,0.3666,41.0,-21.1,19.9,563.18,-57.38,505.8
8,LONG,2020-07-20 00:00:00,2020-07-20 07:55:00,7.92,PROFIT_TARGET,EURGBP,GBPCAD,19.3,22.5,0.00058,0.00129,0.90843,0.91312,1.70276,1.70163,1.0,0.45,0.4495,46.9,-11.3,35.6,644.23,-37.37,606.86
9,LONG,2020-08-11 20:30:00,2020-08-12 15:00:00,18.5,PROFIT_TARGET,EURGBP,GBPCAD,24.1,25.0,0.00024,0.00051,0.89858,0.90425,1.73704,1.72997,1.0,0.47,0.4724,56.7,-70.7,-14.0,778.84,-244.23,534.61
10,SHORT,2020-08-28 07:10:00,2020-09-02 11:25:00,124.25,PROFIT_TARGET,EURGBP,GBPCAD,75.2,75.9,0.00027,0.00053,0.89507,0.88889,1.7357399999999998,1.74452,1.0,0.52,0.5189,61.8,-87.8,-26.0,848.82,-335.52,513.3
11,LONG,2020-10-29 05:50:00,2020-12-07 11:20:00,941.5,PROFIT_TARGET,EURGBP,GBPCAD,24.7,20.7,0.00013,0.00037,0.90392,0.91337,1.72762,1.6976200000000001,1.0,0.36,0.3622,94.5,-300.0,-205.5,1298.07,-793.74,504.33
12,SHORT,2020-12-16 06:00:00,2020-12-31 17:55:00,371.92,PROFIT_TARGET,EURGBP,GBPCAD,77.4,88.0,0.00017,0.00053,0.90471,0.8952,1.7093500000000001,1.7412999999999998,1.0,0.32,0.3221,95.1,-319.5,-224.4,1306.2,-751.32,554.88
13,LONG,2021-01-07 21:10:00,2021-04-19 00:00:00,2426.83,TIME_LIMIT,EURGBP,GBPCAD,18.9,23.8,0.0003,0.00077,0.90402,0.86525,1.72132,1.72862,1.0,0.39,0.387,-387.7,73.0,-314.7,-5325.56,209.24,-5116.32
