ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-04-09 01:40:00,2020-04-14 00:00:00,118.33,PROFIT_TARGET,EURGBP,GBPCHF,78.2,76.9,0.00023,0.00046,0.87652,0.87132,1.20425,1.20757,1.0,0.5,0.4957,52.0,-33.2,18.8,714.1,-209.31,504.79
2,SHORT,2020-04-14 01:45:00,2020-04-20 00:05:00,142.33,PROFIT_TARGET,EURGBP,GBPCHF,76.4,78.5,0.00014,0.0003,0.87199,0.86822,1.21028,1.20863,1.0,0.48,0.4832,37.7,16.5,54.2,517.72,99.87,617.59
3,SHORT,2020-10-05 08:00:00,2020-10-14 17:05:00,225.08,PROFIT_TARGET,EURGBP,GBPCHF,77.3,75.2,0.0001,0.00026,0.90669,0.90155,1.18674,1.19103,1.0,0.37,0.375,51.4,-42.9,8.5,705.86,-200.15,505.71
4,SHORT,2021-04-15 01:35:00,2021-04-19 00:00:00,94.42,PROFIT_TARGET,EURGBP,GBPCHF,83.3,75.1,0.00012,0.00026,0.86955,0.86525,1.2716,1.2704,1.0,0.44,0.4427,43.0,12.0,55.0,590.5,66.58,657.08
5,LONG,2021-05-04 00:00:00,2021-08-12 00:00:00,2400.0,TIME_LIMIT,EURGBP,GBPCHF,19.1,15.8,0.00022,0.00078,0.8669,0.84607,1.26587,1.27756,1.0,0.28,0.2795,-208.3,116.9,-91.4,-2860.73,412.77,-2447.96
6,LONG,2021-08-23 00:00:00,2021-08-23 08:05:00,8.08,PROFIT_TARGET,EURGBP,GBPCHF,22.5,14.6,0.00043,0.00051,0.85751,0.8584,1.2475100000000001,1.25113,1.0,0.83,0.832,8.9,36.2,45.1,122.23,378.9,501.13
7,SHORT,2021-08-25 01:20:00,2021-10-14 00:00:00,1198.67,PROFIT_TARGET,EURGBP,GBPCHF,75.5,77.6,0.00015,0.00027,0.85631,0.84822,1.2530299999999999,1.26119,1.0,0.55,0.5481,80.9,-81.6,-0.7,1110.95,-565.9,545.05
8,SHORT,2021-10-27 01:45:00,2021-11-17 05:40:00,507.92,PROFIT_TARGET,EURGBP,GBPCHF,85.9,75.5,4e-05,0.0002,0.84218,0.84151,1.26631,1.24977,1.0,0.2,0.2,6.7,165.4,172.1,92.01,417.11,509.12
9,LONG,2021-11-23 00:00:00,2021-11-23 15:45:00,15.75,PROFIT_TARGET,EURGBP,GBPCHF,16.3,17.9,0.00026,0.00102,0.83842,0.8424,1.24704,1.24706,1.0,0.26,0.2559,39.8,0.2,40.0,546.6,0.66,547.26
10,SHORT,2021-11-25 01:20:00,2021-12-30 13:35:00,852.25,PROFIT_TARGET,EURGBP,GBPCHF,86.1,75.4,0.0001,0.00034,0.84041,0.83937,1.24489,1.23477,1.0,0.28,0.2849,10.4,101.2,111.6,142.82,357.3,500.12
