ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-01-29 01:40:00,2021-02-04 14:20:00,156.67,PROFIT_TARGET,EURGBP,GBPJPY,75.4,83.2,9e-05,0.02,0.8831,0.87812,143.137,143.662,1.0,0.43,0.43,49.8,-52.5,-2.7,683.85,-156.84,527.01
2,SHORT,2021-02-05 14:45:00,2021-02-18 10:15:00,307.5,PROFIT_TARGET,EURGBP,GBPJPY,78.6,77.9,0.00022,0.0614,0.87556,0.86794,144.711,146.861,1.0,0.36,0.3648,76.2,-215.0,-138.8,1046.37,-537.74,508.63
3,SHORT,2021-02-22 01:10:00,2021-02-24 03:15:00,50.08,PROFIT_TARGET,EURGBP,GBPJPY,83.1,80.7,0.00027,0.063,0.86486,0.85828,147.925,149.275,1.0,0.42,0.4222,65.8,-135.0,-69.2,903.56,-393.92,509.64
4,SHORT,2021-03-31 06:05:00,2021-04-05 11:05:00,125.0,PROFIT_TARGET,EURGBP,GBPJPY,75.7,78.8,0.00016,0.0852,0.85318,0.84814,152.155,153.16,1.0,0.2,0.2,50.4,-100.5,-50.1,692.09,-139.64,552.45
5,SHORT,2021-04-05 15:55:00,2021-07-14 15:55:00,2400.0,TIME_LIMIT,EURGBP,GBPJPY,79.3,76.5,0.00033,0.0494,0.84876,0.85139,153.306,152.984,1.0,0.66,0.6599,-26.3,32.2,5.9,-361.15,147.65,-213.5
6,LONG,2021-07-22 19:05:00,2021-08-31 14:05:00,955.0,PROFIT_TARGET,EURGBP,GBPJPY,20.5,21.2,0.00023,0.0576,0.85595,0.85937,151.281,151.437,1.0,0.4,0.3958,34.2,15.6,49.8,469.67,43.36,513.03
7,SHORT,2021-10-13 01:15:00,2021-11-15 19:20:00,810.08,PROFIT_TARGET,EURGBP,GBPJPY,76.4,76.3,0.00016,0.0334,0.84841,0.84797,154.346,153.012,1.0,0.48,0.479,4.4,133.4,137.8,60.42,444.86,505.28
8,SHORT,2021-12-23 19:40:00,2022-01-10 14:30:00,426.83,PROFIT_TARGET,EURGBP,GBPJPY,80.2,76.0,0.00023,0.0456,0.84487,0.83373,153.511,156.383,1.0,0.51,0.5088,111.4,-287.2,-175.8,1529.73,-1017.6,512.13
9,LONG,2022-01-17 21:10:00,2022-02-03 18:15:00,405.08,PROFIT_TARGET,EURGBP,GBPJPY,24.4,22.3,0.00013,0.0192,0.83582,0.83972,156.383,156.356,1.0,0.67,0.6667,39.0,-2.7,36.3,535.59,-12.57,523.02
10,SHORT,2022-02-04 04:50:00,2022-02-11 20:35:00,183.75,PROFIT_TARGET,EURGBP,GBPJPY,79.5,81.7,0.00013,0.0514,0.84212,0.83703,156.418,156.906,1.0,0.26,0.2607,50.9,-48.8,2.1,698.95,-88.15,610.8
11,LONG,2022-02-11 20:40:00,2022-02-16 10:40:00,110.0,PROFIT_TARGET,EURGBP,GBPJPY,22.2,12.5,0.00053,0.214,0.83646,0.84007,156.849,156.921,1.0,0.25,0.2495,36.1,7.2,43.3,495.76,12.51,508.27
12,LONG,2022-02-17 05:50:00,2022-03-15 09:20:00,627.5,PROFIT_TARGET,EURGBP,GBPJPY,19.0,18.9,0.00015,0.1148,0.83681,0.84354,156.47,153.885,1.0,0.2,0.2,67.3,-258.5,-191.2,924.23,-359.21,565.02
13,SHORT,2022-03-16 21:50:00,2022-06-24 21:50:00,2400.0,TIME_LIMIT,EURGBP,GBPJPY,80.4,79.2,0.00037,0.0818,0.83987,0.85972,155.965,165.886,1.0,0.45,0.4523,-198.5,-992.1,-1190.6,-2725.78,-3101.69,-5827.47
14,SHORT,2022-07-05 01:10:00,2022-07-05 11:15:00,10.08,PROFIT_TARGET,EURGBP,GBPJPY,79.0,82.5,0.00023,0.07,0.86095,0.85801,164.395,163.895,1.0,0.32,0.3229,29.4,50.0,79.4,403.72,111.16,514.88
15,LONG,2022-07-05 11:25:00,2022-08-31 18:20:00,1374.92,PROFIT_TARGET,EURGBP,GBPJPY,13.2,18.0,0.00071,0.2416,0.85755,0.86469,163.625,161.443,1.0,0.3,0.2955,71.4,-218.2,-146.8,980.54,-454.81,525.73
16,SHORT,2022-09-01 01:10:00,2022-09-01 17:05:00,15.92,PROFIT_TARGET,EURGBP,GBPJPY,79.3,77.5,0.00029,0.0596,0.86541,0.86251,161.557,161.246,1.0,0.48,0.4832,29.0,31.1,60.1,398.23,103.71,501.94
17,SHORT,2022-09-06 18:00:00,2022-12-15 18:00:00,2400.0,TIME_LIMIT,EURGBP,GBPJPY,78.2,82.1,0.00056,0.128,0.85969,0.8718,164.509,168.11,1.0,0.44,0.4375,-121.1,-360.1,-481.2,-1662.93,-1100.79,-2763.72
18,LONG,2022-12-20 05:05:00,2022-12-22 09:10:00,52.08,PROFIT_TARGET,EURGBP,GBPJPY,23.3,6.2,0.00063,0.7826,0.87107,0.87914,164.051,159.736,1.0,0.2,0.2,80.7,-431.5,-350.8,1108.25,-599.61,508.64
19,SHORT,2022-12-28 02:20:00,2023-01-02 09:05:00,126.75,PROFIT_TARGET,EURGBP,GBPJPY,78.7,76.8,0.00017,0.0686,0.8846,0.88432,160.662,158.001,1.0,0.25,0.2478,2.8,266.1,268.9,38.45,462.18,500.63
20,LONG,2023-01-13 08:45:00,2023-02-02 11:25:00,482.67,PROFIT_TARGET,EURGBP,GBPJPY,21.7,12.7,0.00021,0.108,0.88885,0.89095,157.009,159.197,1.0,0.2,0.2,21.0,218.8,239.8,288.39,304.06,592.45
21,SHORT,2023-02-03 16:25:00,2023-02-07 17:00:00,96.58,PROFIT_TARGET,EURGBP,GBPJPY,76.3,87.0,0.00063,0.1676,0.89542,0.89138,157.912,158.02,1.0,0.37,0.3747,40.4,-10.8,29.6,554.77,-27.76,527.01
22,SHORT,2023-02-13 06:40:00,2023-02-28 17:50:00,371.17,PROFIT_TARGET,EURGBP,GBPJPY,77.3,77.5,9e-05,0.0508,0.88563,0.87557,159.14,165.052,1.0,0.2,0.2,100.6,-591.2,-490.6,1381.43,-821.5,559.93
23,SHORT,2023-03-06 02:15:00,2023-03-13 11:20:00,177.08,PROFIT_TARGET,EURGBP,GBPJPY,76.0,86.0,0.00018,0.0584,0.8835,0.88334,163.656,161.353,1.0,0.32,0.3151,1.6,230.3,231.9,21.97,512.02,533.99
24,LONG,2023-03-13 11:25:00,2023-03-15 07:00:00,43.58,PROFIT_TARGET,EURGBP,GBPJPY,23.6,2.5,0.00059,0.2016,0.88339,0.88357,161.207,163.609,1.0,0.29,0.2917,1.8,240.2,242.0,24.72,484.0,508.72
