ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-06 21:45:00,2020-01-07 09:25:00,11.67,PROFIT_TARGET,EURNZD,AUDCHF,76.5,76.1,0.00045,0.00021,1.67912,1.6798600000000001,0.67183,0.66965,1.0,2.12,2.1215,-7.4,21.8,14.4,-45.1,582.74,537.64
2,LONG,2020-02-10 00:05:00,2020-02-10 03:40:00,3.58,PROFIT_TARGET,EURNZD,AUDCHF,20.9,24.7,0.00076,0.00051,1.70842,1.7094200000000002,0.65119,0.65372,1.0,1.51,1.5059,10.0,25.3,35.3,60.96,481.76,542.72
3,SHORT,2020-05-18 20:10:00,2020-05-18 23:55:00,3.75,PROFIT_TARGET,EURNZD,AUDCHF,77.1,85.5,0.00112,0.00086,1.81181,1.80607,0.63448,0.63352,1.0,1.3,1.3039,57.4,9.6,67.0,349.86,157.36,507.22
4,SHORT,2020-07-31 02:15:00,2020-07-31 15:25:00,13.17,PROFIT_TARGET,EURNZD,AUDCHF,81.0,86.4,0.00097,0.00032,1.7713700000000001,1.7745199999999999,0.65421,0.65227,1.0,3.04,3.0375,-31.5,19.4,-12.1,-192.0,743.63,551.63
5,LONG,2020-08-03 00:00:00,2020-08-03 08:35:00,8.58,PROFIT_TARGET,EURNZD,AUDCHF,17.1,24.1,0.00107,0.00079,1.77346,1.77249,0.65085,0.65428,1.0,1.35,1.346,-9.7,34.3,24.6,-59.14,583.94,524.8
6,SHORT,2020-08-03 17:45:00,2020-08-03 18:45:00,1.0,PROFIT_TARGET,EURNZD,AUDCHF,75.6,76.6,0.00098,0.00052,1.78213,1.78006,0.65509,0.65348,1.0,1.9,1.8953,20.7,16.1,36.8,126.17,385.71,511.88
7,SHORT,2020-08-06 01:55:00,2020-08-06 13:35:00,11.67,PROFIT_TARGET,EURNZD,AUDCHF,78.1,83.1,0.00045,0.00014,1.78495,1.78379,0.65356,0.65227,1.0,3.13,3.125,11.6,12.9,24.5,70.7,509.12,579.82
8,SHORT,2020-08-11 12:25:00,2020-08-11 12:35:00,0.17,PROFIT_TARGET,EURNZD,AUDCHF,83.8,84.7,0.00225,0.00036,1.78644,1.78328,0.65659,0.65599,1.0,5.0,5.0,31.6,6.0,37.6,192.61,378.27,570.88
9,SHORT,2020-08-12 01:45:00,2020-08-12 10:35:00,8.83,PROFIT_TARGET,EURNZD,AUDCHF,77.6,79.0,0.00063,0.0002,1.78755,1.79301,0.65517,0.65311,1.0,3.21,3.2143,-54.6,20.6,-34.0,-332.79,833.79,501.0
10,SHORT,2020-08-17 02:00:00,2020-08-21 16:55:00,110.92,PROFIT_TARGET,EURNZD,AUDCHF,97.5,81.5,0.00057,0.00017,1.81075,1.80221,0.65242,0.65241,1.0,3.26,3.2644,85.4,0.1,85.5,520.52,4.11,524.63
11,SHORT,2020-10-05 08:30:00,2020-10-06 13:00:00,28.5,PROFIT_TARGET,EURNZD,AUDCHF,76.3,79.2,0.00029,0.00017,1.7650700000000001,1.7725,0.65868,0.65409,1.0,1.66,1.6628,-74.3,45.9,-28.4,-452.87,960.74,507.87
12,SHORT,2020-10-20 01:45:00,2020-10-20 02:30:00,0.75,PROFIT_TARGET,EURNZD,AUDCHF,81.4,85.9,0.00069,0.00011,1.7835100000000002,1.78567,0.64301,0.64161,1.0,5.0,5.0,-21.6,14.0,-7.6,-131.65,882.63,750.98
13,SHORT,2020-11-24 12:05:00,2020-11-25 19:30:00,31.42,PROFIT_TARGET,EURNZD,AUDCHF,89.3,76.6,0.00078,0.00053,1.6988699999999999,1.69984,0.67138,0.66834,1.0,1.46,1.4569,-9.7,30.4,20.7,-59.12,559.64,500.52
14,LONG,2020-12-08 21:05:00,2020-12-09 04:55:00,7.83,PROFIT_TARGET,EURNZD,AUDCHF,23.9,24.7,0.0004,0.00015,1.71773,1.72095,0.65862,0.65961,1.0,2.64,2.64,32.2,9.9,42.1,196.3,329.59,525.89
15,SHORT,2020-12-10 01:30:00,2021-02-23 03:50:00,1802.33,STOP_LOSS,EURNZD,AUDCHF,79.2,78.5,0.00038,0.00013,1.7216,1.66132,0.66115,0.71004,1.0,3.03,3.0317,602.8,-488.9,113.9,3674.13,-18678.66,-15004.53
16,SHORT,2021-04-05 01:55:00,2021-04-05 17:05:00,15.17,PROFIT_TARGET,EURNZD,AUDCHF,78.4,78.8,0.00057,0.00029,1.67516,1.6705999999999999,0.71746,0.71646,1.0,1.97,1.9653,45.6,10.0,55.6,277.94,248.4,526.34
17,LONG,2021-04-07 00:05:00,2021-07-16 00:05:00,2400.0,TIME_LIMIT,EURNZD,AUDCHF,15.9,24.3,0.0006,0.00056,1.68154,1.68805,0.7125,0.68036,1.0,1.06,1.0638,65.1,-321.4,-256.3,396.88,-4296.25,-3899.37
18,LONG,2021-08-03 13:55:00,2021-08-06 17:50:00,75.92,PROFIT_TARGET,EURNZD,AUDCHF,23.1,22.4,0.00053,0.0002,1.69451,1.6772200000000002,0.66746,0.67231,1.0,2.67,2.6667,-172.9,48.5,-124.4,-1054.07,1633.02,578.95
19,SHORT,2021-08-13 02:05:00,2021-08-13 16:30:00,14.42,PROFIT_TARGET,EURNZD,AUDCHF,77.3,84.9,0.00045,0.00014,1.6754099999999998,1.67707,0.67759,0.67601,1.0,3.14,3.1408,-16.6,15.8,-0.8,-101.18,625.56,524.38
20,LONG,2021-08-25 00:15:00,2021-08-25 04:05:00,3.83,PROFIT_TARGET,EURNZD,AUDCHF,21.9,23.2,0.00111,0.0007,1.68979,1.69366,0.6613,0.66266,1.0,1.59,1.5914,38.7,13.6,52.3,235.93,272.69,508.62
21,LONG,2021-09-02 00:05:00,2021-09-02 12:25:00,12.33,PROFIT_TARGET,EURNZD,AUDCHF,24.4,22.1,0.00076,0.00043,1.67388,1.67154,0.67356,0.67648,1.0,1.75,1.7546,-23.4,29.2,5.8,-142.66,644.4,501.74
22,SHORT,2021-09-03 02:00:00,2021-09-09 15:25:00,157.42,PROFIT_TARGET,EURNZD,AUDCHF,79.6,76.3,0.00036,0.00028,1.66937,1.66173,0.67682,0.6766,1.0,1.3,1.2971,76.4,2.2,78.6,465.67,36.06,501.73
23,SHORT,2021-09-21 01:40:00,2021-09-21 12:05:00,10.42,PROFIT_TARGET,EURNZD,AUDCHF,77.5,99.2,0.00089,0.00023,1.67165,1.66418,0.67336,0.67309,1.0,3.89,3.8947,74.7,2.7,77.4,455.3,132.43,587.73
24,SHORT,2021-09-29 03:00:00,2021-09-29 15:35:00,12.58,PROFIT_TARGET,EURNZD,AUDCHF,76.7,81.4,0.00055,0.00024,1.6798600000000001,1.68373,0.67321,0.67058,1.0,2.3,2.3025,-38.7,26.3,-12.4,-235.88,762.72,526.84
25,SHORT,2021-10-06 02:00:00,2021-10-06 17:40:00,15.67,PROFIT_TARGET,EURNZD,AUDCHF,78.0,76.1,0.00037,0.00022,1.66571,1.67066,0.67662,0.6728,1.0,1.69,1.6944,-49.5,38.2,-11.3,-301.71,814.02,512.31
26,SHORT,2021-10-08 01:30:00,2021-10-14 14:25:00,156.92,PROFIT_TARGET,EURNZD,AUDCHF,82.2,77.5,0.00025,0.00024,1.66711,1.65236,0.67887,0.68191,1.0,1.04,1.0413,147.5,-30.4,117.1,899.03,-398.65,500.38
27,SHORT,2021-11-15 21:55:00,2021-11-16 00:25:00,2.5,PROFIT_TARGET,EURNZD,AUDCHF,88.7,78.7,0.00048,0.0002,1.61638,1.61253,0.67963,0.67859,1.0,2.35,2.3529,38.5,10.4,48.9,234.66,308.17,542.83
28,LONG,2021-11-23 00:00:00,2021-11-23 01:50:00,1.83,PROFIT_TARGET,EURNZD,AUDCHF,24.2,24.0,0.00101,0.00063,1.6130900000000001,1.61707,0.67267,0.67411,1.0,1.59,1.5949,39.8,14.4,54.2,242.64,288.73,531.37
29,LONG,2021-12-09 22:35:00,2021-12-15 15:20:00,136.75,PROFIT_TARGET,EURNZD,AUDCHF,22.0,24.2,0.00033,0.00022,1.66248,1.6682299999999999,0.66011,0.66108,1.0,1.48,1.4818,57.5,9.7,67.2,350.54,181.04,531.58
30,LONG,2022-01-03 00:25:00,2022-01-03 00:30:00,0.08,PROFIT_TARGET,EURNZD,AUDCHF,24.8,12.2,0.00125,0.00105,1.65881,1.66342,0.66012,0.66173,1.0,1.19,1.1947,46.1,16.1,62.2,281.04,241.61,522.65
31,LONG,2022-01-18 00:05:00,2022-01-18 01:35:00,1.5,PROFIT_TARGET,EURNZD,AUDCHF,23.6,24.5,0.00279,0.00037,1.6776499999999999,1.6784400000000002,0.65826,0.65901,1.0,5.0,5.0,7.9,7.5,15.4,48.16,472.9,521.06
32,SHORT,2022-02-15 11:10:00,2022-02-17 05:55:00,42.75,PROFIT_TARGET,EURNZD,AUDCHF,77.3,80.0,0.00117,0.00044,1.71027,1.69926,0.6606,0.66018,1.0,2.65,2.6545,110.1,4.2,114.3,671.07,140.34,811.41
33,LONG,2022-02-28 00:00:00,2022-02-28 01:10:00,1.17,PROFIT_TARGET,EURNZD,AUDCHF,23.4,12.4,0.00256,0.00138,1.66442,1.6691500000000001,0.66408,0.66539,1.0,1.86,1.8565,47.3,13.1,60.4,288.36,307.27,595.63
