ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-02-15 08:05:00,2021-05-26 08:05:00,2400.0,TIME_LIMIT,EURNZD,AUDJPY,78.3,79.8,0.00028,0.0194,1.67599,1.67774,81.807,84.792,1.0,1.44,1.4433,-17.5,-298.5,-316.0,-106.68,-2986.43,-3093.11
2,SHORT,2021-05-27 15:20:00,2021-06-17 19:25:00,508.08,PROFIT_TARGET,EURNZD,AUDJPY,76.9,76.9,0.00092,0.0462,1.67222,1.6997,84.689,83.108,1.0,2.0,1.9957,-274.8,158.1,-116.7,-1675.21,2196.89,521.68
3,LONG,2021-06-21 00:05:00,2021-06-21 01:40:00,1.58,PROFIT_TARGET,EURNZD,AUDJPY,24.4,24.0,0.00249,0.07,1.70674,1.7090999999999998,82.416,82.591,1.0,3.55,3.5543,23.6,17.5,41.1,143.89,431.66,575.55
4,LONG,2021-06-28 00:00:00,2021-06-28 01:00:00,1.0,PROFIT_TARGET,EURNZD,AUDJPY,11.7,15.0,0.00175,0.0892,1.68276,1.6876600000000002,83.921,84.11,1.0,1.96,1.9596,49.0,18.9,67.9,298.76,257.39,556.15
5,LONG,2021-07-06 11:35:00,2021-10-14 11:35:00,2400.0,TIME_LIMIT,EURNZD,AUDJPY,20.3,23.6,0.00095,0.0484,1.6726999999999999,1.6545,83.938,84.041,1.0,1.97,1.9711,-182.0,10.3,-171.7,-1109.69,140.99,-968.7
6,LONG,2021-10-19 00:00:00,2021-10-20 07:45:00,31.75,PROFIT_TARGET,EURNZD,AUDJPY,19.5,22.1,0.00037,0.0222,1.6380400000000002,1.62351,84.68,85.888,1.0,1.66,1.6577,-145.3,120.8,-24.5,-885.92,1393.31,507.39
7,SHORT,2021-11-11 02:05:00,2021-11-15 19:20:00,113.25,PROFIT_TARGET,EURNZD,AUDJPY,75.5,81.4,0.00053,0.0406,1.62626,1.61422,83.554,83.79,1.0,1.3,1.3005,120.4,-23.6,96.8,733.93,-213.16,520.77
8,SHORT,2021-11-17 22:25:00,2021-11-19 11:35:00,37.17,PROFIT_TARGET,EURNZD,AUDJPY,79.1,80.7,0.00034,0.026,1.61799,1.6109200000000001,82.924,82.624,1.0,1.29,1.2923,70.7,30.0,100.7,430.97,268.88,699.85
9,SHORT,2021-12-06 20:55:00,2022-03-07 03:20:00,2166.42,PROFIT_TARGET,EURNZD,AUDJPY,76.7,75.1,0.00041,0.0256,1.6726100000000002,1.57066,80.007,85.126,1.0,1.6,1.6016,1019.5,-511.9,507.6,6214.67,-5690.5,524.17
10,LONG,2022-03-22 18:20:00,2022-03-23 07:55:00,13.58,PROFIT_TARGET,EURNZD,AUDJPY,19.0,22.1,0.00059,0.0584,1.58603,1.5863800000000001,89.623,90.318,1.0,1.01,1.0068,3.5,69.5,73.0,21.34,487.73,509.07
