ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2021-01-07 20:55:00,2021-04-19 00:00:00,2427.08,TIME_LIMIT,EURNZD,NZDCAD,12.8,15.5,0.00051,0.0004,1.69133,1.6778499999999998,0.92023,0.89138,1.0,1.28,1.2764,-134.8,-288.5,-423.3,-821.77,-2714.22,-3535.99
2,LONG,2021-04-21 17:20:00,2021-04-22 15:10:00,21.83,PROFIT_TARGET,EURNZD,NZDCAD,23.9,19.3,0.00137,0.00208,1.66887,1.67883,0.89951,0.89743,1.0,0.66,0.6612,99.6,-20.8,78.8,607.18,-100.9,506.28
3,LONG,2021-05-10 00:00:00,2021-05-26 15:30:00,399.5,PROFIT_TARGET,EURNZD,NZDCAD,17.9,20.6,0.00108,0.0005,1.66713,1.6726100000000002,0.8826,0.88431,1.0,2.14,2.1389,54.8,17.1,71.9,334.07,268.97,603.04
4,SHORT,2021-06-24 01:15:00,2021-06-28 00:00:00,94.75,PROFIT_TARGET,EURNZD,NZDCAD,80.5,87.5,0.00041,0.00038,1.69279,1.68276,0.86696,0.86801,1.0,1.09,1.0895,100.3,-10.5,89.8,611.35,-84.11,527.24
5,LONG,2021-07-16 00:05:00,2021-07-19 03:45:00,75.67,PROFIT_TARGET,EURNZD,NZDCAD,16.5,18.0,0.0016,0.0014,1.68805,1.69187,0.87778,0.88133,1.0,1.14,1.1412,38.2,35.5,73.7,232.87,297.46,530.33
6,LONG,2021-07-20 22:00:00,2021-08-20 04:45:00,726.75,PROFIT_TARGET,EURNZD,NZDCAD,22.2,15.6,0.00054,0.00038,1.70163,1.71478,0.87824,0.8754,1.0,1.42,1.4211,131.5,-28.4,103.1,801.65,-296.41,505.24
7,LONG,2021-09-30 17:45:00,2021-10-01 10:00:00,16.25,PROFIT_TARGET,EURNZD,NZDCAD,16.7,20.6,0.00105,0.00061,1.67888,1.68171,0.87432,0.8771,1.0,1.7,1.7036,28.3,27.8,56.1,172.52,347.36,519.88
8,SHORT,2021-10-04 09:10:00,2021-10-04 19:00:00,9.83,PROFIT_TARGET,EURNZD,NZDCAD,78.9,79.4,0.0007,0.00024,1.67181,1.6692200000000001,0.87675,0.87508,1.0,2.86,2.8607,25.9,16.7,42.6,157.87,351.0,508.87
9,LONG,2021-10-18 00:00:00,2021-10-18 15:00:00,15.0,PROFIT_TARGET,EURNZD,NZDCAD,6.7,24.1,0.00075,0.00077,1.63744,1.64415,0.87298,0.8744,1.0,0.98,0.9843,67.1,14.2,81.3,409.06,102.28,511.34
10,LONG,2021-10-20 10:35:00,2021-10-25 19:30:00,128.92,PROFIT_TARGET,EURNZD,NZDCAD,15.7,25.0,0.00067,0.00029,1.6212900000000001,1.6207500000000001,0.88448,0.88764,1.0,2.33,2.3333,-5.4,31.6,26.2,-32.92,541.16,508.24
11,SHORT,2021-12-03 19:00:00,2021-12-06 13:55:00,66.92,PROFIT_TARGET,EURNZD,NZDCAD,79.5,78.7,0.0009,0.00063,1.6746400000000001,1.66981,0.86644,0.86444,1.0,1.44,1.4409,48.3,20.0,68.3,294.4,211.65,506.05
12,SHORT,2021-12-16 15:05:00,2021-12-16 17:40:00,2.58,PROFIT_TARGET,EURNZD,NZDCAD,78.2,76.2,0.00145,0.00045,1.6612200000000001,1.6604999999999999,0.87194,0.86987,1.0,3.21,3.208,7.2,20.7,27.9,43.89,488.32,532.21
13,SHORT,2021-12-28 19:05:00,2021-12-30 21:25:00,50.33,PROFIT_TARGET,EURNZD,NZDCAD,75.0,75.4,0.00057,0.00031,1.66395,1.65615,0.8714,0.8712,1.0,1.83,1.8258,78.0,2.0,80.0,475.43,26.9,502.33
14,SHORT,2021-12-31 01:25:00,2022-02-28 17:25:00,1432.0,PROFIT_TARGET,EURNZD,NZDCAD,78.3,76.2,0.00039,0.00072,1.6580300000000001,1.65766,0.86991,0.85748,1.0,0.54,0.5432,3.7,124.3,128.0,22.55,493.28,515.83
15,LONG,2022-03-17 21:15:00,2022-06-27 00:00:00,2426.75,TIME_LIMIT,EURNZD,NZDCAD,17.9,23.1,0.00049,0.00024,1.61158,1.6669,0.86985,0.81211,1.0,1.99,1.9918,553.2,-577.4,-24.2,3372.42,-8445.31,-5072.89
16,LONG,2022-07-08 10:30:00,2022-07-08 15:10:00,4.67,PROFIT_TARGET,EURNZD,NZDCAD,15.5,18.3,0.0013,0.00047,1.64209,1.64615,0.80047,0.80177,1.0,2.76,2.7617,40.6,13.0,53.6,247.51,263.72,511.23
17,LONG,2022-07-11 00:10:00,2022-07-19 10:30:00,202.33,PROFIT_TARGET,EURNZD,NZDCAD,20.7,19.9,0.00221,0.00171,1.64203,1.64628,0.79932,0.80269,1.0,1.29,1.2939,42.5,33.7,76.2,259.09,319.53,578.62
18,SHORT,2022-07-27 20:30:00,2022-08-04 00:00:00,171.5,PROFIT_TARGET,EURNZD,NZDCAD,79.9,89.4,0.00063,0.00021,1.63212,1.6141,0.79945,0.8009,1.0,2.93,2.9252,180.2,-14.5,165.7,1098.36,-312.22,786.14
19,SHORT,2022-08-19 01:10:00,2022-08-22 14:25:00,85.25,PROFIT_TARGET,EURNZD,NZDCAD,86.2,89.0,0.00051,0.00034,1.61229,1.6132,0.80986,0.80483,1.0,1.52,1.5238,-9.1,50.3,41.2,-55.47,561.87,506.4
20,SHORT,2022-09-12 10:15:00,2022-09-12 13:00:00,2.75,PROFIT_TARGET,EURNZD,NZDCAD,77.6,91.3,0.00226,0.00058,1.65583,1.6521,0.79832,0.79731,1.0,3.88,3.8797,37.3,10.1,47.4,227.35,287.99,515.34
21,LONG,2022-09-26 03:55:00,2022-09-26 04:05:00,0.17,PROFIT_TARGET,EURNZD,NZDCAD,23.2,14.3,0.00326,0.00116,1.67951,1.6847699999999999,0.77487,0.77622,1.0,2.82,2.8235,52.6,13.5,66.1,320.66,279.81,600.47
22,LONG,2022-10-03 15:00:00,2022-10-03 17:40:00,2.67,PROFIT_TARGET,EURNZD,NZDCAD,18.2,20.8,0.00125,0.00041,1.7242899999999999,1.71621,0.77687,0.78154,1.0,3.01,3.0145,-80.8,46.7,-34.1,-492.57,1033.16,540.59
23,LONG,2022-10-25 00:00:00,2022-10-25 12:40:00,12.67,PROFIT_TARGET,EURNZD,NZDCAD,15.7,24.4,0.00095,0.00094,1.7315,1.7392400000000001,0.7788,0.7794,1.0,1.02,1.0192,77.4,6.0,83.4,471.85,44.98,516.83
24,LONG,2022-10-27 00:00:00,2022-10-27 02:05:00,2.08,PROFIT_TARGET,EURNZD,NZDCAD,22.9,16.9,0.00107,0.00091,1.7259,1.7316,0.7878,0.78957,1.0,1.18,1.1806,57.0,17.7,74.7,347.48,153.51,500.99
25,SHORT,2022-11-28 10:40:00,2022-11-28 18:40:00,8.0,PROFIT_TARGET,EURNZD,NZDCAD,75.4,78.0,0.00136,0.00062,1.67497,1.67397,0.83631,0.8333,1.0,2.19,2.1859,10.0,30.1,40.1,60.95,484.44,545.39
26,LONG,2022-11-29 20:05:00,2022-12-01 16:30:00,44.42,PROFIT_TARGET,EURNZD,NZDCAD,21.4,6.8,0.00104,0.00061,1.6669100000000001,1.6450399999999998,0.84253,0.85752,1.0,1.7,1.7003,-218.7,149.9,-68.8,-1333.24,1872.99,539.75
27,LONG,2022-12-06 00:00:00,2022-12-06 12:15:00,12.25,PROFIT_TARGET,EURNZD,NZDCAD,21.9,23.9,0.00085,0.00057,1.65883,1.66015,0.85699,0.86091,1.0,1.49,1.4895,13.2,39.2,52.4,80.47,429.3,509.77
28,LONG,2023-02-10 15:30:00,2023-02-14 16:20:00,96.83,PROFIT_TARGET,EURNZD,NZDCAD,21.3,20.8,0.0009,0.00101,1.68872,1.7007400000000001,0.84667,0.8433,1.0,0.89,0.8948,120.2,-33.7,86.5,732.76,-220.45,512.31
29,SHORT,2023-03-13 19:05:00,2023-03-13 23:00:00,3.92,PROFIT_TARGET,EURNZD,NZDCAD,77.5,78.3,0.00102,0.00048,1.72369,1.7227299999999999,0.85579,0.8523,1.0,2.13,2.1333,9.6,34.9,44.5,58.51,546.3,604.81
30,LONG,2023-03-16 19:10:00,2023-03-17 08:20:00,13.17,PROFIT_TARGET,EURNZD,NZDCAD,24.3,22.8,0.001,0.00045,1.71833,1.70591,0.84763,0.85534,1.0,2.23,2.2267,-124.2,77.1,-47.1,-757.15,1263.7,506.55
31,LONG,2023-04-03 00:05:00,2023-04-04 17:05:00,41.0,PROFIT_TARGET,EURNZD,NZDCAD,24.8,23.3,0.00125,0.00069,1.73123,1.73469,0.84359,0.84635,1.0,1.82,1.8198,34.6,27.6,62.2,210.93,369.2,580.13
