ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-02-19 22:05:00,2020-02-20 03:55:00,5.83,PROFIT_TARGET,EURNZD,NZDCHF,75.4,81.1,0.00055,0.00018,1.69339,1.69696,0.62727,0.62531,1.0,3.08,3.0778,-35.7,19.6,-16.1,-217.52,761.15,543.63
2,SHORT,2020-05-18 20:10:00,2020-05-18 23:55:00,3.75,PROFIT_TARGET,EURNZD,NZDCHF,77.1,86.2,0.00112,0.0007,1.81181,1.80607,0.58731,0.58641,1.0,1.6,1.6011,57.4,9.0,66.4,349.73,181.56,531.29
3,SHORT,2020-08-19 01:55:00,2020-08-21 16:40:00,62.75,PROFIT_TARGET,EURNZD,NZDCHF,76.2,77.3,0.00024,0.00014,1.80747,1.8020800000000001,0.59625,0.59527,1.0,1.79,1.7941,53.9,9.8,63.7,328.41,221.18,549.59
4,LONG,2020-10-05 00:05:00,2020-11-09 14:30:00,854.42,PROFIT_TARGET,EURNZD,NZDCHF,21.5,18.9,0.00107,0.00047,1.76241,1.74133,0.60958,0.6159,1.0,2.28,2.2766,-210.8,63.2,-147.6,-1284.57,1817.05,532.48
5,SHORT,2020-11-24 12:15:00,2020-11-26 17:30:00,53.25,PROFIT_TARGET,EURNZD,NZDCHF,92.8,80.8,0.00065,0.00044,1.69976,1.70007,0.63804,0.63514,1.0,1.47,1.4685,-3.1,29.0,25.9,-18.89,537.5,518.61
6,SHORT,2020-12-28 01:50:00,2020-12-29 00:00:00,22.17,PROFIT_TARGET,EURNZD,NZDCHF,75.3,75.3,0.00053,0.00022,1.71516,1.71848,0.63293,0.63043,1.0,2.42,2.4182,-33.2,25.0,-8.2,-202.28,762.81,560.53
7,SHORT,2021-04-27 22:05:00,2021-04-28 00:05:00,2.0,PROFIT_TARGET,EURNZD,NZDCHF,75.4,76.7,0.00066,0.0002,1.6768399999999999,1.67706,0.65888,0.65762,1.0,3.35,3.3535,-2.2,12.6,10.4,-13.4,532.2,518.8
8,SHORT,2021-06-24 01:15:00,2021-06-28 00:00:00,94.75,PROFIT_TARGET,EURNZD,NZDCHF,80.5,75.8,0.00041,0.00034,1.69279,1.68276,0.64689,0.64749,1.0,1.21,1.2105,100.3,-6.0,94.3,611.1,-91.54,519.56
9,SHORT,2021-07-28 01:15:00,2021-07-30 00:30:00,47.25,PROFIT_TARGET,EURNZD,NZDCHF,76.8,79.4,0.00052,0.00041,1.69828,1.69407,0.63619,0.63463,1.0,1.26,1.2647,42.1,15.6,57.7,256.5,247.83,504.33
10,LONG,2021-08-13 00:05:00,2021-09-02 10:20:00,490.25,PROFIT_TARGET,EURNZD,NZDCHF,12.1,23.4,0.00091,0.00041,1.67411,1.6723599999999998,0.64618,0.64843,1.0,2.2,2.199,-17.5,22.5,5.0,-106.64,624.2,517.56
