ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-02-19 22:05:00,2020-04-30 06:45:00,1688.67,PROFIT_TARGET,EURNZD,NZDJPY,75.4,78.1,0.00055,0.0424,1.69339,1.76999,71.099,65.412,1.0,1.31,1.3066,-766.0,568.7,-197.3,-4669.46,5177.08,507.62
2,SHORT,2020-05-27 13:20:00,2020-05-27 16:45:00,3.42,PROFIT_TARGET,EURNZD,NZDJPY,77.4,81.4,0.0018,0.0626,1.7701799999999999,1.78124,67.065,66.454,1.0,2.88,2.8786,-110.6,61.1,-49.5,-674.21,1222.82,548.61
3,SHORT,2020-07-17 11:55:00,2020-10-26 00:05:00,2412.17,TIME_LIMIT,EURNZD,NZDJPY,83.2,77.2,0.00058,0.0252,1.74208,1.77152,70.189,69.992,1.0,2.29,2.2857,-294.4,19.7,-274.7,-1794.57,313.5,-1481.07
4,SHORT,2021-05-17 02:05:00,2021-06-17 17:15:00,759.17,PROFIT_TARGET,EURNZD,NZDJPY,76.3,76.4,0.00038,0.0246,1.67641,1.70091,79.257,77.393,1.0,1.56,1.561,-245.0,186.4,-58.6,-1493.45,2020.71,527.26
5,LONG,2021-06-28 00:00:00,2021-06-28 01:05:00,1.08,PROFIT_TARGET,EURNZD,NZDJPY,11.7,15.1,0.00175,0.1242,1.68276,1.68892,78.143,78.296,1.0,1.41,1.4074,61.6,15.3,76.9,375.59,149.92,525.51
6,SHORT,2021-07-05 01:55:00,2021-07-06 12:10:00,34.25,PROFIT_TARGET,EURNZD,NZDJPY,76.8,80.6,0.00034,0.0198,1.6875200000000001,1.67229,78.092,78.444,1.0,1.72,1.7172,152.3,-35.2,117.1,928.38,-420.73,507.65
7,SHORT,2021-07-28 01:15:00,2021-08-03 16:45:00,159.5,PROFIT_TARGET,EURNZD,NZDJPY,76.8,78.4,0.00052,0.0206,1.69828,1.69801,76.368,76.081,1.0,2.5,2.5049,2.7,28.7,31.4,16.46,498.6,515.06
8,SHORT,2021-08-05 01:20:00,2021-08-16 05:05:00,267.75,PROFIT_TARGET,EURNZD,NZDJPY,95.7,76.1,0.00035,0.016,1.68078,1.67678,77.117,76.938,1.0,2.19,2.1875,40.0,17.9,57.9,243.83,272.41,516.24
9,SHORT,2021-10-11 06:25:00,2021-10-28 15:15:00,416.83,PROFIT_TARGET,EURNZD,NZDJPY,76.2,81.0,0.00038,0.0312,1.6691099999999999,1.61307,78.099,81.553,1.0,1.21,1.2115,560.4,-345.4,215.0,3416.03,-2904.3,511.73
10,LONG,2021-12-09 17:40:00,2021-12-15 22:15:00,148.58,PROFIT_TARGET,EURNZD,NZDJPY,22.9,24.5,0.00082,0.051,1.66281,1.66695,76.94,77.201,1.0,1.61,1.6078,41.4,26.1,67.5,252.42,292.02,544.44
