ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-03 09:55:00,2020-01-06 13:05:00,75.17,PROFIT_TARGET,EURUSD,USDCAD,15.8,22.7,0.00034,0.00058,1.11531,1.12018,1.29637,1.29714,1.0,0.58,0.5788,48.7,7.7,56.4,487.0,34.43,521.43
2,LONG,2020-01-21 23:55:00,2020-01-22 19:00:00,19.08,PROFIT_TARGET,EURUSD,USDCAD,23.5,19.5,0.00014,0.00016,1.10819,1.10847,1.3069,1.3139,1.0,0.9,0.8974,2.8,70.0,72.8,28.0,479.49,507.49
3,SHORT,2020-02-03 18:45:00,2020-02-05 12:50:00,42.08,PROFIT_TARGET,EURUSD,USDCAD,78.6,81.0,0.00031,0.00095,1.1062400000000001,1.10183,1.33015,1.32733,1.0,0.32,0.3249,44.1,28.2,72.3,441.0,67.99,508.99
4,SHORT,2020-02-07 15:00:00,2020-02-10 21:05:00,78.08,PROFIT_TARGET,EURUSD,USDCAD,91.2,77.8,0.00032,0.00033,1.09662,1.09127,1.33147,1.33194,1.0,0.98,0.9755,53.5,-4.7,48.8,535.0,-34.58,500.42
5,LONG,2020-02-18 19:25:00,2020-02-24 17:00:00,141.58,PROFIT_TARGET,EURUSD,USDCAD,18.8,21.5,0.00018,0.00028,1.0809,1.08528,1.32522,1.32672,1.0,0.64,0.6408,43.8,15.0,58.8,438.0,72.36,510.36
6,SHORT,2020-02-26 10:50:00,2020-02-26 16:40:00,5.83,PROFIT_TARGET,EURUSD,USDCAD,77.3,75.6,0.00046,0.0004,1.0897000000000001,1.0861,1.32944,1.3274,1.0,1.16,1.1616,36.0,20.4,56.4,360.0,178.27,538.27
7,SHORT,2020-03-02 13:50:00,2020-06-10 13:50:00,2400.0,TIME_LIMIT,EURUSD,USDCAD,82.6,75.9,0.00079,0.00074,1.11113,1.13655,1.33735,1.3392,1.0,1.06,1.0618,-254.2,-18.5,-272.7,-2542.0,-146.43,-2688.43
8,LONG,2020-06-10 18:30:00,2020-06-11 03:55:00,9.42,PROFIT_TARGET,EURUSD,USDCAD,22.6,22.9,0.0006,0.00085,1.13464,1.13865,1.33905,1.34115,1.0,0.71,0.7106,40.1,21.0,61.1,401.0,111.17,512.17
9,LONG,2020-07-21 14:25:00,2020-07-21 19:25:00,5.0,PROFIT_TARGET,EURUSD,USDCAD,22.5,18.5,0.00046,0.00045,1.14378,1.15125,1.34653,1.34376,1.0,1.02,1.0177,74.7,-27.7,47.0,747.0,-210.26,536.74
10,SHORT,2020-07-30 21:55:00,2020-07-31 18:30:00,20.58,PROFIT_TARGET,EURUSD,USDCAD,76.6,81.5,0.00047,0.00053,1.18383,1.18216,1.34391,1.33863,1.0,0.88,0.8826,16.7,52.8,69.5,167.0,347.1,514.1
