ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-08 15:10:00,2020-04-17 15:10:00,2400.0,TIME_LIMIT,EURUSD,USDCHF,23.6,22.2,0.00052,0.0004,1.11151,1.086,0.97084,0.96815,1.0,1.28,1.2772,-255.1,-26.9,-282.0,-2551.0,-355.65,-2906.65
2,LONG,2020-06-09 10:40:00,2020-06-10 08:35:00,21.92,PROFIT_TARGET,EURUSD,USDCHF,23.9,24.9,0.00057,0.00072,1.12597,1.13626,0.9555,0.9493,1.0,0.79,0.7883,102.9,-62.0,40.9,1029.0,-515.96,513.04
3,SHORT,2020-09-02 01:45:00,2020-09-02 18:20:00,16.58,PROFIT_TARGET,EURUSD,USDCHF,85.9,85.6,0.00014,6e-05,1.19203,1.1831,0.90936,0.91093,1.0,2.27,2.2667,89.3,-15.7,73.6,893.0,-391.24,501.76
4,SHORT,2020-11-24 12:20:00,2021-03-04 12:20:00,2400.0,TIME_LIMIT,EURUSD,USDCHF,76.7,75.9,0.00045,0.00064,1.1894,1.20402,0.91192,0.92219,1.0,0.7,0.7019,-146.2,-102.7,-248.9,-1462.0,-779.56,-2241.56
5,SHORT,2021-05-06 01:30:00,2021-06-08 12:20:00,802.83,PROFIT_TARGET,EURUSD,USDCHF,77.6,94.1,0.00011,0.0001,1.20057,1.21708,0.91313,0.89685,1.0,1.19,1.1875,-165.1,162.8,-2.3,-1651.0,2160.14,509.14
6,LONG,2021-06-16 00:05:00,2021-09-24 00:05:00,2400.0,TIME_LIMIT,EURUSD,USDCHF,23.2,23.1,0.00016,0.00041,1.21237,1.17376,0.89771,0.9241,1.0,0.39,0.3883,-386.1,263.9,-122.2,-3861.0,1113.74,-2747.26
7,SHORT,2021-09-30 01:15:00,2021-10-05 08:35:00,127.33,PROFIT_TARGET,EURUSD,USDCHF,78.6,78.6,0.00019,0.00036,1.1596899999999999,1.15903,0.9347,0.9269,1.0,0.52,0.5249,6.6,78.0,84.6,66.0,437.59,503.59
8,LONG,2021-10-13 00:05:00,2021-10-15 11:05:00,59.0,PROFIT_TARGET,EURUSD,USDCHF,24.1,20.6,0.0002,0.00038,1.1527,1.16185,0.92985,0.92249,1.0,0.52,0.5213,91.5,-73.6,17.9,915.0,-414.88,500.12
9,SHORT,2021-11-23 01:10:00,2021-12-03 17:25:00,256.25,PROFIT_TARGET,EURUSD,USDCHF,76.0,76.6,0.00019,0.00028,1.1238299999999999,1.12721,0.93281,0.92091,1.0,0.65,0.6549,-33.8,119.0,85.2,-338.0,839.93,501.93
10,LONG,2021-12-07 03:10:00,2022-01-10 18:00:00,830.83,PROFIT_TARGET,EURUSD,USDCHF,22.8,20.4,0.00025,0.00013,1.12778,1.13186,0.9253,0.92583,1.0,2.0,2.0,40.8,5.3,46.1,408.0,114.49,522.49
11,SHORT,2022-02-18 03:30:00,2022-02-21 01:40:00,70.17,PROFIT_TARGET,EURUSD,USDCHF,77.4,92.0,0.00035,0.00024,1.1367099999999999,1.13163,0.92077,0.92079,1.0,1.45,1.4508,50.8,-0.2,50.6,508.0,-3.15,504.85
12,SHORT,2022-02-22 10:30:00,2022-02-24 05:05:00,42.58,PROFIT_TARGET,EURUSD,USDCHF,77.6,85.7,0.00093,0.00044,1.13211,1.12659,0.9178,0.91779,1.0,2.1,2.0991,55.2,0.1,55.3,552.0,2.29,554.29
13,SHORT,2022-03-29 01:30:00,2022-03-31 16:55:00,63.42,PROFIT_TARGET,EURUSD,USDCHF,76.1,77.8,0.00025,0.00021,1.09896,1.10928,0.93456,0.92252,1.0,1.21,1.2095,-103.2,120.4,17.2,-1032.0,1579.2,547.2
14,LONG,2022-04-01 00:15:00,2022-07-11 00:00:00,2423.75,TIME_LIMIT,EURUSD,USDCHF,24.5,13.1,0.00033,0.00067,1.10622,1.01731,0.92219,0.97587,1.0,0.49,0.4926,-889.1,536.8,-352.3,-8891.0,2695.36,-6195.64
15,SHORT,2022-07-20 01:50:00,2022-07-21 00:05:00,22.25,PROFIT_TARGET,EURUSD,USDCHF,92.1,77.5,0.00023,0.00025,1.02405,1.01767,0.96863,0.96992,1.0,0.9,0.9048,63.8,-12.9,50.9,638.0,-119.7,518.3
16,SHORT,2022-09-22 10:45:00,2022-09-23 10:00:00,23.25,PROFIT_TARGET,EURUSD,USDCHF,75.0,76.2,0.00125,0.00398,0.9846,0.97813,0.97666,0.9796,1.0,0.31,0.3144,64.7,-29.4,35.3,647.0,-93.04,553.96
17,LONG,2022-10-07 00:00:00,2022-10-13 20:30:00,164.5,PROFIT_TARGET,EURUSD,USDCHF,20.1,22.6,0.0003,0.00064,0.97865,0.98038,0.98942,0.99742,1.0,0.47,0.4704,17.3,80.0,97.3,173.0,376.97,549.97
18,SHORT,2022-12-06 01:30:00,2022-12-07 09:55:00,32.42,PROFIT_TARGET,EURUSD,USDCHF,77.2,78.4,0.0003,0.00041,1.04972,1.04597,0.94239,0.94072,1.0,0.72,0.7233,37.5,16.7,54.2,375.0,127.82,502.82
19,LONG,2023-02-03 00:05:00,2023-04-13 16:30:00,1672.42,PROFIT_TARGET,EURUSD,USDCHF,25.0,23.3,0.00019,0.00057,1.09081,1.10627,0.91218,0.88652,1.0,0.34,0.3357,154.6,-256.6,-102.0,1546.0,-984.12,561.88
20,SHORT,2023-05-02 01:10:00,2023-05-04 18:30:00,65.33,PROFIT_TARGET,EURUSD,USDCHF,85.9,92.2,0.00017,0.00023,1.09749,1.09983,0.89566,0.88676,1.0,0.74,0.7434,-23.4,89.0,65.6,-234.0,742.7,508.7
21,LONG,2023-05-05 00:00:00,2023-05-05 10:45:00,10.75,PROFIT_TARGET,EURUSD,USDCHF,21.1,23.3,0.00017,0.00034,1.10099,1.10385,0.88455,0.88855,1.0,0.49,0.4941,28.6,40.0,68.6,286.0,220.58,506.58
22,SHORT,2023-06-08 01:20:00,2023-08-18 00:00:00,1702.67,PROFIT_TARGET,EURUSD,USDCHF,80.2,76.8,0.00014,0.00024,1.0701,1.08639,0.90983,0.87705,1.0,0.59,0.5917,-162.9,327.8,164.9,-1629.0,2205.14,576.14
23,SHORT,2023-09-01 01:10:00,2023-09-01 19:35:00,18.42,PROFIT_TARGET,EURUSD,USDCHF,79.2,76.0,0.00012,0.00029,1.08437,1.07806,0.88331,0.8861,1.0,0.39,0.3946,63.1,-27.9,35.2,631.0,-122.8,508.2
24,LONG,2023-09-12 10:05:00,2023-09-21 10:30:00,216.42,PROFIT_TARGET,EURUSD,USDCHF,23.5,22.1,0.00029,0.00034,1.07294,1.06519,0.89068,0.90473,1.0,0.87,0.8698,-77.5,140.5,63.0,-775.0,1351.07,576.07
25,SHORT,2023-09-22 01:10:00,2023-10-02 12:30:00,251.33,PROFIT_TARGET,EURUSD,USDCHF,83.2,80.7,0.00018,0.00024,1.06616,1.05424,0.90448,0.91237,1.0,0.77,0.7712,119.2,-78.9,40.3,1192.0,-665.88,526.12
26,SHORT,2023-10-12 01:10:00,2023-10-13 00:15:00,23.08,PROFIT_TARGET,EURUSD,USDCHF,76.4,75.5,0.00019,0.0003,1.06193,1.0527,0.9017,0.9073,1.0,0.63,0.6284,92.3,-56.0,36.3,923.0,-388.85,534.15
27,SHORT,2023-10-27 01:20:00,2023-12-04 00:00:00,910.67,PROFIT_TARGET,EURUSD,USDCHF,76.1,76.6,0.00019,0.00018,1.05632,1.08749,0.89899,0.86859,1.0,1.04,1.0444,-311.7,304.0,-7.7,-3117.0,3639.92,522.92
28,LONG,2023-12-20 09:10:00,2024-02-22 10:15:00,1537.08,PROFIT_TARGET,EURUSD,USDCHF,22.4,15.7,0.00036,0.00045,1.09558,1.08777,0.86068,0.87489,1.0,0.81,0.8089,-78.1,142.1,64.0,-781.0,1315.61,534.61
29,LONG,2024-04-12 15:40:00,2024-04-23 16:50:00,265.17,PROFIT_TARGET,EURUSD,USDCHF,22.4,24.3,0.00054,0.00073,1.06365,1.07022,0.91101,0.90922,1.0,0.74,0.7411,65.7,-17.9,47.8,657.0,-145.69,511.31
30,SHORT,2024-04-29 01:15:00,2024-06-10 06:55:00,1013.67,PROFIT_TARGET,EURUSD,USDCHF,87.3,89.6,0.00025,0.00044,1.07009,1.07555,0.91405,0.89755,1.0,0.58,0.5753,-54.6,165.0,110.4,-546.0,1066.24,520.24
31,LONG,2024-06-10 07:20:00,2024-07-01 11:15:00,507.92,PROFIT_TARGET,EURUSD,USDCHF,24.5,21.0,0.00034,0.00028,1.07533,1.076,0.89703,0.90035,1.0,1.18,1.1831,6.7,33.2,39.9,67.0,435.12,502.12
32,LONG,2024-07-16 00:35:00,2024-10-24 00:35:00,2400.0,TIME_LIMIT,EURUSD,USDCHF,23.3,20.4,0.00012,8e-05,1.08945,1.07831,0.89512,0.86613,1.0,1.48,1.4762,-111.4,-289.9,-401.3,-1114.0,-4953.67,-6067.67
33,LONG,2024-11-11 00:00:00,2025-01-24 07:05:00,1783.08,PROFIT_TARGET,EURUSD,USDCHF,24.1,24.3,0.00034,0.00037,1.07098,1.04523,0.87507,0.90534,1.0,0.92,0.9194,-257.5,302.7,45.2,-2575.0,3076.02,501.02
34,LONG,2025-02-13 00:00:00,2025-02-13 06:35:00,6.58,PROFIT_TARGET,EURUSD,USDCHF,22.5,23.5,0.00023,0.0006,1.03826,1.0435,0.91115,0.91153,1.0,0.38,0.3833,52.4,3.8,56.2,524.0,15.84,539.84
35,LONG,2025-02-13 10:45:00,2025-03-05 14:25:00,483.67,PROFIT_TARGET,EURUSD,USDCHF,24.5,20.0,0.00039,0.00038,1.04146,1.07029,0.90831,0.88832,1.0,1.04,1.0372,288.3,-199.9,88.4,2883.0,-2340.33,542.67
36,LONG,2025-03-06 19:15:00,2025-03-11 11:20:00,112.08,PROFIT_TARGET,EURUSD,USDCHF,19.1,24.5,0.00062,0.00059,1.08038,1.08998,0.88358,0.8798,1.0,1.06,1.0648,96.0,-37.8,58.2,960.0,-455.42,504.58
37,SHORT,2025-03-14 01:10:00,2025-03-24 16:50:00,255.67,PROFIT_TARGET,EURUSD,USDCHF,85.6,82.3,0.00014,0.00026,1.08529,1.07988,0.88249,0.88312,1.0,0.53,0.5312,54.1,-6.3,47.8,541.0,-37.81,503.19
