ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-06-04 00:00:00,2020-06-19 00:00:00,360.0,PROFIT_TARGET,EURUSD,USDJPY,85.7,81.3,0.00026,0.7392,1.12328,1.1204,109.142,106.823,1.0,0.2,0.2,28.8,231.9,260.7,288.0,434.18,722.18
2,SHORT,2023-01-20 08:00:00,2023-02-06 18:00:00,418.0,PROFIT_TARGET,EURUSD,USDJPY,80.5,78.2,0.00027,0.2444,1.08359,1.0729,129.166,132.845,1.0,0.2,0.2,106.9,-367.9,-261.0,1069.0,-553.88,515.12
3,LONG,2023-03-15 17:00:00,2023-03-15 21:00:00,4.0,PROFIT_TARGET,EURUSD,USDJPY,9.4,24.0,0.00128,0.8166,1.05388,1.05921,132.731,133.044,1.0,0.2,0.2,53.3,31.3,84.6,533.0,47.05,580.05
4,SHORT,2023-03-21 14:00:00,2023-03-24 12:00:00,70.0,PROFIT_TARGET,EURUSD,USDJPY,78.8,80.3,0.00052,0.3572,1.07796,1.07314,132.21,130.076,1.0,0.2,0.2,48.2,213.4,261.6,482.0,328.12,810.12
5,SHORT,2023-03-27 05:00:00,2023-07-05 05:00:00,2400.0,TIME_LIMIT,EURUSD,USDJPY,75.2,79.3,0.00038,0.2952,1.07641,1.08772,130.876,144.598,1.0,0.2,0.2,-113.1,-1372.2,-1485.3,-1131.0,-1897.95,-3028.95
6,LONG,2023-09-07 16:00:00,2023-09-13 01:00:00,129.0,PROFIT_TARGET,EURUSD,USDJPY,23.0,21.7,0.00054,0.1778,1.06949,1.07583,147.28,147.112,1.0,0.3,0.3026,63.4,-16.8,46.6,634.0,-34.26,599.74
7,SHORT,2023-10-31 13:00:00,2023-10-31 16:00:00,3.0,PROFIT_TARGET,EURUSD,USDJPY,77.0,94.2,0.00039,0.287,1.06647,1.05959,150.683,150.931,1.0,0.2,0.2,68.8,-24.8,44.0,688.0,-32.86,655.14
8,LONG,2023-12-07 08:00:00,2023-12-13 21:00:00,157.0,PROFIT_TARGET,EURUSD,USDJPY,11.9,19.0,0.00023,0.2484,1.07595,1.08347,146.542,145.086,1.0,0.2,0.2,75.2,-145.6,-70.4,752.0,-200.71,551.29
9,SHORT,2023-12-18 17:00:00,2024-01-29 17:00:00,1008.0,PROFIT_TARGET,EURUSD,USDJPY,75.2,89.0,0.00046,0.2386,1.09269,1.08049,142.963,147.928,1.0,0.2,0.2,122.0,-496.5,-374.5,1220.0,-671.27,548.73
10,SHORT,2024-02-08 08:00:00,2024-02-13 16:00:00,128.0,PROFIT_TARGET,EURUSD,USDJPY,75.8,83.1,0.00017,0.2036,1.0782,1.0706,148.581,150.433,1.0,0.2,0.2,76.0,-185.2,-109.2,760.0,-246.22,513.78
11,SHORT,2024-04-03 16:00:00,2024-04-12 13:00:00,213.0,PROFIT_TARGET,EURUSD,USDJPY,79.8,82.1,0.00084,0.0918,1.08047,1.06587,151.849,153.301,1.0,0.92,0.9194,146.0,-145.2,0.8,1460.0,-871.38,588.62
12,SHORT,2024-04-25 06:00:00,2024-08-05 01:00:00,2443.0,TIME_LIMIT,EURUSD,USDJPY,79.9,84.1,0.00013,0.0932,1.07079,1.09113,155.433,146.44,1.0,0.2,0.2,-203.4,899.3,695.9,-2034.0,1228.22,-805.78
13,LONG,2024-09-19 02:25:00,2024-09-19 11:30:00,9.08,PROFIT_TARGET,EURUSD,USDJPY,20.6,18.7,0.00021,0.1002,1.11129,1.11623,141.928,142.174,1.0,0.21,0.2116,49.4,24.6,74.0,494.0,36.34,530.34
14,SHORT,2024-09-19 12:15:00,2024-09-23 11:05:00,94.83,PROFIT_TARGET,EURUSD,USDJPY,82.8,88.2,0.00055,0.13,1.11737,1.10927,142.847,143.872,1.0,0.43,0.4262,81.0,-102.5,-21.5,810.0,-306.35,503.65
15,LONG,2024-09-23 11:15:00,2024-09-23 17:25:00,6.17,PROFIT_TARGET,EURUSD,USDJPY,17.3,22.2,0.0007,0.1472,1.10894,1.11349,143.661,143.864,1.0,0.48,0.4755,45.5,20.3,65.8,455.0,67.73,522.73
16,SHORT,2024-09-24 08:15:00,2024-10-01 16:35:00,176.33,PROFIT_TARGET,EURUSD,USDJPY,79.7,78.9,0.00019,0.067,1.11172,1.1066799999999999,143.856,143.863,1.0,0.28,0.2806,50.4,-0.7,49.7,504.0,-1.36,502.64
17,SHORT,2024-10-01 22:20:00,2024-10-10 19:45:00,213.42,PROFIT_TARGET,EURUSD,USDJPY,75.8,85.4,0.00025,0.0714,1.10731,1.09048,143.825,148.523,1.0,0.36,0.3557,168.3,-469.8,-301.5,1683.0,-1138.73,544.27
18,LONG,2024-10-10 19:50:00,2024-10-10 21:10:00,1.33,PROFIT_TARGET,EURUSD,USDJPY,14.7,23.8,0.00063,0.0726,1.09051,1.09238,148.502,149.052,1.0,0.87,0.8678,18.7,55.0,73.7,187.0,321.03,508.03
19,SHORT,2024-10-11 06:00:00,2024-10-16 09:00:00,123.0,PROFIT_TARGET,EURUSD,USDJPY,83.2,78.7,0.00011,0.07,1.0937000000000001,1.08808,148.771,149.218,1.0,0.2,0.2,56.2,-44.7,11.5,562.0,-59.91,502.09
20,SHORT,2024-10-16 12:35:00,2024-10-17 06:40:00,18.08,PROFIT_TARGET,EURUSD,USDJPY,84.8,75.6,0.00034,0.0456,1.08961,1.08518,149.409,149.294,1.0,0.75,0.75,44.3,11.5,55.8,443.0,57.77,500.77
21,SHORT,2024-10-17 18:45:00,2024-11-15 17:30:00,694.75,PROFIT_TARGET,EURUSD,USDJPY,84.7,78.3,0.0005,0.0656,1.08377,1.05329,149.989,155.072,1.0,0.77,0.7683,304.8,-508.3,-203.5,3048.0,-2523.93,524.07
22,SHORT,2024-11-27 01:10:00,2024-11-29 13:10:00,60.0,PROFIT_TARGET,EURUSD,USDJPY,77.6,82.1,0.00022,0.0394,1.04903,1.05552,153.111,149.912,1.0,0.55,0.5533,-64.9,319.9,255.0,-649.0,1173.66,524.66
23,SHORT,2024-12-06 10:10:00,2024-12-06 17:10:00,7.0,PROFIT_TARGET,EURUSD,USDJPY,75.4,80.8,0.00063,0.0806,1.05883,1.05583,150.278,149.82,1.0,0.78,0.7792,30.0,45.8,75.8,300.0,238.45,538.45
24,SHORT,2024-12-09 09:00:00,2024-12-18 21:45:00,228.75,PROFIT_TARGET,EURUSD,USDJPY,75.1,76.5,0.00027,0.065,1.05471,1.03753,150.199,154.631,1.0,0.42,0.4215,171.8,-443.2,-271.4,1718.0,-1203.79,514.21
25,SHORT,2024-12-19 09:10:00,2025-01-02 10:15:00,337.08,PROFIT_TARGET,EURUSD,USDJPY,82.4,86.1,0.00071,0.1962,1.04079,1.03533,156.507,156.617,1.0,0.36,0.3639,54.6,-11.0,43.6,546.0,-25.28,520.72
26,LONG,2025-01-09 06:20:00,2025-01-20 16:40:00,274.33,PROFIT_TARGET,EURUSD,USDJPY,15.9,23.6,0.00024,0.0732,1.03083,1.04249,157.763,155.419,1.0,0.33,0.3306,116.6,-234.4,-117.8,1166.0,-497.7,668.3
27,SHORT,2025-01-30 06:10:00,2025-01-31 03:25:00,21.25,PROFIT_TARGET,EURUSD,USDJPY,78.5,76.9,0.00018,0.0552,1.0427,1.0386,154.521,154.016,1.0,0.32,0.3225,41.0,50.5,91.5,410.0,104.92,514.92
28,SHORT,2025-01-31 18:25:00,2025-02-03 00:00:00,53.58,PROFIT_TARGET,EURUSD,USDJPY,80.2,76.6,0.0004,0.0822,1.03953,1.02419,154.913,154.812,1.0,0.48,0.4818,153.4,10.1,163.5,1534.0,31.32,1565.32
29,SHORT,2025-02-03 21:15:00,2025-02-06 14:00:00,64.75,PROFIT_TARGET,EURUSD,USDJPY,75.4,76.5,0.00049,0.0726,1.02919,1.03596,154.949,152.303,1.0,0.68,0.6777,-67.7,264.6,196.9,-677.0,1181.38,504.38
30,LONG,2025-02-11 02:10:00,2025-02-11 17:15:00,15.08,PROFIT_TARGET,EURUSD,USDJPY,24.0,21.1,0.00016,0.0558,1.03002,1.03385,151.719,152.407,1.0,0.28,0.2832,38.3,68.8,107.1,383.0,126.4,509.4
31,LONG,2025-02-12 11:10:00,2025-02-12 17:35:00,6.42,PROFIT_TARGET,EURUSD,USDJPY,24.1,13.9,0.00041,0.0706,1.03678,1.03803,153.462,154.474,1.0,0.58,0.5807,12.5,101.2,113.7,125.0,379.97,504.97
32,LONG,2025-02-14 07:15:00,2025-03-04 20:55:00,445.67,PROFIT_TARGET,EURUSD,USDJPY,24.7,20.0,0.00019,0.0528,1.04521,1.05904,152.627,149.107,1.0,0.37,0.3674,138.3,-352.0,-213.7,1383.0,-873.47,509.53
33,SHORT,2025-03-04 22:50:00,2025-06-12 22:50:00,2400.0,TIME_LIMIT,EURUSD,USDJPY,88.3,78.1,0.00071,0.0982,1.06108,1.15798,149.084,143.515,1.0,0.72,0.721,-969.0,556.9,-412.1,-9690.0,2793.91,-6896.09
34,SHORT,2025-06-16 21:40:00,2025-06-17 21:25:00,23.75,PROFIT_TARGET,EURUSD,USDJPY,75.4,79.5,0.0003,0.031,1.15798,1.14787,144.51,145.267,1.0,0.95,0.9548,101.1,-75.7,25.4,1011.0,-495.05,515.95
