ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2021-01-13 18:40:00,2021-01-22 19:55:00,217.25,PROFIT_TARGET,GBPAUD,AUDCAD,23.5,19.3,0.00066,0.00034,1.7606199999999999,1.7729300000000001,0.98423,0.98212,1.0,1.94,1.9412,123.1,-21.1,102.0,810.29,-300.87,509.42
2,LONG,2021-02-04 09:55:00,2021-02-04 14:00:00,4.08,PROFIT_TARGET,GBPAUD,AUDCAD,24.7,23.4,0.00061,0.0003,1.78111,1.7906300000000002,0.97586,0.97572,1.0,2.05,2.047,95.2,-1.4,93.8,626.63,-21.09,605.54
3,SHORT,2021-02-19 01:35:00,2021-02-26 06:25:00,172.83,PROFIT_TARGET,GBPAUD,AUDCAD,76.4,79.7,0.00031,0.00015,1.79805,1.78213,0.98506,0.98847,1.0,2.15,2.1507,159.2,-34.1,125.1,1047.71,-538.8,508.91
4,SHORT,2021-03-18 19:05:00,2021-03-22 04:35:00,81.5,PROFIT_TARGET,GBPAUD,AUDCAD,76.6,79.1,0.00078,0.00044,1.79067,1.79173,0.97035,0.96586,1.0,1.78,1.7818,-10.6,44.9,34.3,-69.76,587.36,517.6
5,LONG,2021-04-07 00:05:00,2021-04-07 11:30:00,11.42,PROFIT_TARGET,GBPAUD,AUDCAD,23.4,20.9,0.00099,0.0008,1.80263,1.81147,0.96246,0.96187,1.0,1.25,1.2487,88.4,-5.9,82.5,581.87,-54.21,527.66
6,LONG,2021-04-09 21:55:00,2021-04-12 11:00:00,61.08,PROFIT_TARGET,GBPAUD,AUDCAD,21.3,24.7,0.00041,0.00022,1.79847,1.80379,0.95523,0.95656,1.0,1.89,1.8889,53.2,13.3,66.5,350.17,184.76,534.93
7,LONG,2021-04-16 09:50:00,2021-04-16 14:55:00,5.08,PROFIT_TARGET,GBPAUD,AUDCAD,21.7,19.4,0.00069,0.0004,1.77528,1.78013,0.96804,0.96956,1.0,1.73,1.725,48.5,15.2,63.7,319.24,193.28,512.52
8,LONG,2021-04-21 18:00:00,2021-07-19 12:10:00,2130.17,PROFIT_TARGET,GBPAUD,AUDCAD,15.6,22.2,0.00127,0.0007,1.79623,1.86402,0.96746,0.93862,1.0,1.81,1.8138,677.9,-288.4,389.5,4461.94,-3836.77,625.17
9,SHORT,2021-07-19 12:50:00,2021-07-19 17:40:00,4.83,PROFIT_TARGET,GBPAUD,AUDCAD,78.0,78.6,0.00082,0.00062,1.86518,1.86274,0.94009,0.93616,1.0,1.34,1.3377,24.4,39.3,63.7,160.58,387.02,547.6
10,LONG,2021-07-23 00:05:00,2021-07-23 01:10:00,1.08,PROFIT_TARGET,GBPAUD,AUDCAD,22.6,19.4,0.0023,0.00046,1.86075,1.86467,0.92646,0.92721,1.0,5.0,5.0,39.2,7.5,46.7,258.01,275.63,533.64
11,SHORT,2021-07-26 01:55:00,2021-09-28 15:30:00,1549.58,PROFIT_TARGET,GBPAUD,AUDCAD,78.9,77.7,0.00031,0.00024,1.86773,1.87302,0.9258,0.91645,1.0,1.27,1.275,-52.9,93.5,40.6,-348.13,872.68,524.55
12,LONG,2021-09-30 17:45:00,2021-10-01 12:15:00,18.5,PROFIT_TARGET,GBPAUD,AUDCAD,24.8,24.6,0.00203,0.00075,1.86334,1.86389,0.91629,0.91867,1.0,2.73,2.7265,5.5,23.8,29.3,36.2,477.57,513.77
13,LONG,2021-10-13 00:10:00,2021-10-13 16:35:00,16.42,PROFIT_TARGET,GBPAUD,AUDCAD,24.6,18.4,0.00082,0.00056,1.84768,1.8527,0.91496,0.91655,1.0,1.48,1.4767,50.2,15.9,66.1,330.42,172.96,503.38
14,SHORT,2021-10-13 22:40:00,2021-10-14 17:55:00,19.25,PROFIT_TARGET,GBPAUD,AUDCAD,79.7,76.7,0.00047,0.00024,1.8515000000000001,1.84336,0.91787,0.91758,1.0,1.93,1.9344,81.4,2.9,84.3,535.69,41.13,576.82
15,LONG,2021-11-05 10:35:00,2021-11-08 14:30:00,75.92,PROFIT_TARGET,GBPAUD,AUDCAD,17.1,23.5,0.0011,0.00032,1.8237,1.82498,0.92028,0.92202,1.0,3.47,3.4684,12.8,17.4,30.2,84.25,443.79,528.04
16,LONG,2021-11-11 09:50:00,2021-11-11 12:50:00,3.0,PROFIT_TARGET,GBPAUD,AUDCAD,22.5,23.7,0.00066,0.00025,1.83304,1.83653,0.91438,0.91645,1.0,2.61,2.6063,34.9,20.7,55.6,229.71,397.11,626.82
