ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-30 00:10:00,2020-02-05 11:30:00,155.33,PROFIT_TARGET,GBPAUD,AUDCHF,20.9,21.1,0.00114,0.00035,1.92488,1.9282,0.65673,0.65746,1.0,3.24,3.2443,33.2,7.3,40.5,218.53,298.26,516.79
2,LONG,2020-05-20 10:10:00,2020-05-21 17:20:00,31.17,PROFIT_TARGET,GBPAUD,AUDCHF,23.0,23.6,0.0011,0.00052,1.86929,1.85704,0.63338,0.63864,1.0,2.1,2.1031,-122.5,52.6,-69.9,-806.33,1392.92,586.59
3,LONG,2020-08-03 12:45:00,2020-08-03 15:35:00,2.83,PROFIT_TARGET,GBPAUD,AUDCHF,24.9,17.2,0.0011,0.00047,1.8362500000000002,1.83712,0.65167,0.65331,1.0,2.33,2.3347,8.7,16.4,25.1,57.27,481.86,539.13
4,LONG,2020-08-04 11:20:00,2020-08-06 16:45:00,53.42,PROFIT_TARGET,GBPAUD,AUDCHF,21.4,24.2,0.00138,0.00047,1.82957,1.82609,0.65344,0.65579,1.0,2.9,2.903,-34.8,23.5,-11.3,-229.06,859.38,630.32
5,SHORT,2020-08-20 19:10:00,2020-08-21 17:30:00,22.33,PROFIT_TARGET,GBPAUD,AUDCHF,78.0,77.6,0.00125,0.00026,1.8376299999999999,1.83434,0.65231,0.65178,1.0,4.76,4.7634,32.9,5.3,38.2,216.52,318.09,534.61
6,SHORT,2020-09-15 20:15:00,2020-09-21 16:30:00,140.25,PROFIT_TARGET,GBPAUD,AUDCHF,75.3,81.4,0.00081,0.0002,1.7657,1.77233,0.66352,0.66161,1.0,3.96,3.9608,-66.3,19.1,-47.2,-436.33,953.68,517.35
7,LONG,2020-10-01 12:35:00,2020-10-01 14:10:00,1.58,PROFIT_TARGET,GBPAUD,AUDCHF,24.9,21.9,0.00117,0.00032,1.7863799999999999,1.7919100000000001,0.65933,0.66006,1.0,3.69,3.6899,55.3,7.3,62.6,364.0,339.68,703.68
8,SHORT,2020-10-01 15:00:00,2020-10-01 16:05:00,1.08,PROFIT_TARGET,GBPAUD,AUDCHF,78.2,75.7,0.00131,0.00037,1.79966,1.79531,0.6608,0.65976,1.0,3.55,3.5514,43.5,10.4,53.9,286.28,465.52,751.8
9,LONG,2020-10-01 16:55:00,2020-10-01 17:00:00,0.08,PROFIT_TARGET,GBPAUD,AUDCHF,15.1,19.8,0.0022,0.00059,1.79023,1.79406,0.65813,0.65915,1.0,3.71,3.7128,38.3,10.2,48.5,252.1,477.19,729.29
10,SHORT,2020-10-05 11:25:00,2020-10-05 12:30:00,1.08,PROFIT_TARGET,GBPAUD,AUDCHF,76.5,75.5,0.0012,0.00034,1.8039800000000001,1.8025099999999998,0.65861,0.65753,1.0,3.52,3.5205,14.7,10.8,25.5,96.74,479.33,576.07
11,LONG,2020-10-09 11:25:00,2020-10-09 16:20:00,4.92,PROFIT_TARGET,GBPAUD,AUDCHF,22.5,22.1,0.00157,0.00038,1.80099,1.79724,0.65652,0.65796,1.0,4.13,4.1263,-37.5,14.4,-23.1,-246.84,749.95,503.11
12,LONG,2020-10-14 09:50:00,2020-10-14 11:40:00,1.83,PROFIT_TARGET,GBPAUD,AUDCHF,24.9,21.3,0.00094,0.00021,1.79992,1.7982399999999998,0.65495,0.65607,1.0,4.4,4.4019,-16.8,11.2,-5.6,-110.58,621.43,510.85
13,SHORT,2020-10-14 12:20:00,2020-10-14 13:55:00,1.58,PROFIT_TARGET,GBPAUD,AUDCHF,77.5,76.8,0.00303,0.00037,1.8025600000000002,1.80724,0.65663,0.65529,1.0,5.0,5.0,-46.8,13.4,-33.4,-308.0,844.79,536.79
14,LONG,2020-10-19 00:05:00,2020-10-19 01:05:00,1.0,PROFIT_TARGET,GBPAUD,AUDCHF,24.1,18.2,0.00142,0.00035,1.8218999999999999,1.82437,0.64701,0.64768,1.0,4.06,4.0571,24.7,6.7,31.4,162.58,343.02,505.6
15,LONG,2020-11-02 00:00:00,2020-11-02 13:20:00,13.33,PROFIT_TARGET,GBPAUD,AUDCHF,24.2,24.1,0.00133,0.00056,1.83899,1.83548,0.64335,0.64599,1.0,2.37,2.3652,-35.1,26.4,-8.7,-231.04,788.99,557.95
16,SHORT,2020-11-10 11:50:00,2020-11-10 16:00:00,4.17,PROFIT_TARGET,GBPAUD,AUDCHF,75.8,87.2,0.00154,0.00066,1.8181699999999998,1.82247,0.66747,0.66461,1.0,2.33,2.3343,-43.0,28.6,-14.4,-282.99,840.22,557.23
17,LONG,2020-11-23 13:10:00,2020-11-24 09:30:00,20.33,PROFIT_TARGET,GBPAUD,AUDCHF,25.0,15.6,0.00094,0.0004,1.82248,1.82184,0.6661,0.66795,1.0,2.34,2.345,-6.4,18.5,12.1,-42.13,545.89,503.76
18,LONG,2020-11-27 12:35:00,2020-12-17 09:55:00,477.33,PROFIT_TARGET,GBPAUD,AUDCHF,21.8,20.2,0.00101,0.00026,1.80748,1.78152,0.66861,0.6731,1.0,3.95,3.9453,-259.6,44.9,-214.7,-1708.77,2236.48,527.71
19,SHORT,2020-12-17 13:30:00,2020-12-17 17:25:00,3.92,PROFIT_TARGET,GBPAUD,AUDCHF,78.0,75.5,0.00076,0.00024,1.78314,1.7818399999999999,0.67465,0.6736,1.0,3.22,3.2203,13.0,10.5,23.5,85.56,426.3,511.86
