ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-03-08 01:10:00,2021-03-23 12:00:00,370.83,PROFIT_TARGET,GBPAUD,AUDJPY,84.2,82.9,0.00122,0.063,1.7978800000000001,1.79692,83.56,83.166,1.0,1.93,1.9302,9.6,39.4,49.0,63.19,528.44,591.63
2,LONG,2021-04-07 00:00:00,2021-04-07 03:25:00,3.42,PROFIT_TARGET,GBPAUD,AUDJPY,17.7,22.4,0.00091,0.0232,1.8026200000000001,1.8045900000000001,84.054,84.194,1.0,3.91,3.9138,19.7,14.0,33.7,129.68,380.42,510.1
3,LONG,2021-04-07 15:55:00,2021-04-20 04:45:00,300.83,PROFIT_TARGET,GBPAUD,AUDJPY,24.6,19.4,0.0014,0.0464,1.8066,1.7979,83.689,84.238,1.0,3.03,3.0259,-87.0,54.9,-32.1,-572.7,1156.04,583.34
4,SHORT,2021-05-27 15:10:00,2021-06-10 10:10:00,331.0,PROFIT_TARGET,GBPAUD,AUDJPY,88.1,78.5,0.00086,0.0472,1.83018,1.82112,84.697,84.707,1.0,1.81,1.8136,90.6,-1.0,89.6,596.33,-12.58,583.75
5,SHORT,2021-06-10 15:35:00,2021-06-17 16:00:00,168.42,PROFIT_TARGET,GBPAUD,AUDJPY,84.3,76.5,0.00115,0.0668,1.82481,1.8409499999999999,84.88,83.531,1.0,1.73,1.7275,-161.4,134.9,-26.5,-1062.33,1621.81,559.48
6,SHORT,2021-06-28 10:05:00,2021-06-28 17:55:00,7.83,PROFIT_TARGET,GBPAUD,AUDJPY,82.2,75.1,0.00106,0.0386,1.8337400000000001,1.83491,84.095,83.749,1.0,2.75,2.7461,-11.7,34.6,22.9,-77.01,661.23,584.22
7,LONG,2021-07-05 00:00:00,2021-07-06 05:55:00,29.92,PROFIT_TARGET,GBPAUD,AUDJPY,19.9,22.3,0.00141,0.066,1.83582,1.83616,83.464,83.792,1.0,2.14,2.1364,3.4,32.8,36.2,22.38,487.8,510.18
8,SHORT,2021-07-09 20:05:00,2021-07-12 13:20:00,65.25,PROFIT_TARGET,GBPAUD,AUDJPY,77.9,77.4,0.00048,0.0156,1.85239,1.85832,82.474,82.043,1.0,3.09,3.0897,-59.3,43.1,-16.2,-390.31,925.5,535.19
9,SHORT,2021-07-21 20:20:00,2021-08-17 10:10:00,637.83,PROFIT_TARGET,GBPAUD,AUDJPY,88.4,77.9,0.00062,0.0292,1.86468,1.89405,81.141,79.463,1.0,2.12,2.1164,-293.7,167.8,-125.9,-1933.13,2472.12,538.99
10,LONG,2021-08-18 00:15:00,2021-08-18 06:15:00,6.0,PROFIT_TARGET,GBPAUD,AUDJPY,23.6,24.2,0.00178,0.065,1.8921000000000001,1.89304,79.397,79.636,1.0,2.74,2.7354,9.4,23.9,33.3,61.88,455.1,516.98
