ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-02 16:55:00,2020-01-03 05:45:00,12.83,PROFIT_TARGET,GBPAUD,AUDNZD,24.5,18.3,0.00105,0.00046,1.88015,1.88493,1.04255,1.04395,1.0,2.28,2.2814,47.8,14.0,61.8,314.67,194.62,509.29
2,LONG,2020-01-06 10:10:00,2020-01-06 11:35:00,1.42,PROFIT_TARGET,GBPAUD,AUDNZD,17.7,17.4,0.00108,0.0003,1.88041,1.88998,1.0428,1.04237,1.0,3.61,3.6107,95.7,-4.3,91.4,630.0,-94.65,535.35
3,SHORT,2020-01-15 15:20:00,2020-01-16 02:55:00,11.58,PROFIT_TARGET,GBPAUD,AUDNZD,76.4,80.6,0.00109,0.00047,1.88959,1.8859599999999999,1.04427,1.0424,1.0,2.34,2.3376,36.3,18.7,55.0,238.93,266.74,505.67
4,LONG,2020-01-23 19:40:00,2020-01-27 11:20:00,87.67,PROFIT_TARGET,GBPAUD,AUDNZD,20.7,23.6,0.00061,0.00038,1.91627,1.93024,1.03676,1.03299,1.0,1.58,1.5833,139.7,-37.7,102.0,919.66,-363.18,556.48
5,SHORT,2020-01-30 12:15:00,2020-03-13 18:05:00,1037.83,PROFIT_TARGET,GBPAUD,AUDNZD,77.0,83.1,0.00133,0.00021,1.9350100000000001,2.01303,1.03531,1.01625,1.0,5.0,5.0,-780.2,190.6,-589.6,-5135.28,5809.39,674.11
6,SHORT,2020-03-17 19:30:00,2020-03-17 19:55:00,0.42,PROFIT_TARGET,GBPAUD,AUDNZD,85.4,75.4,0.00227,0.00075,2.02249,2.01545,1.00758,1.00604,1.0,3.05,3.0456,70.4,15.4,85.8,463.37,286.32,749.69
7,SHORT,2020-03-18 10:15:00,2020-03-18 13:15:00,3.0,PROFIT_TARGET,GBPAUD,AUDNZD,75.9,75.5,0.00318,0.00083,2.02221,2.01449,1.01073,1.01018,1.0,3.85,3.845,77.2,5.5,82.7,508.13,129.08,637.21
8,LONG,2020-03-18 13:45:00,2020-03-18 14:10:00,0.42,PROFIT_TARGET,GBPAUD,AUDNZD,24.8,22.3,0.00385,0.00108,2.00806,2.01201,1.00802,1.00914,1.0,3.57,3.5743,39.5,11.2,50.7,260.03,243.79,503.82
9,LONG,2020-03-26 05:05:00,2020-03-26 07:50:00,2.75,PROFIT_TARGET,GBPAUD,AUDNZD,23.0,20.8,0.00319,0.00082,2.00766,2.00423,1.01263,1.0159,1.0,3.87,3.8689,-34.3,32.7,-1.6,-225.8,771.58,545.78
10,SHORT,2020-03-27 06:25:00,2020-03-27 10:05:00,3.67,PROFIT_TARGET,GBPAUD,AUDNZD,76.1,76.1,0.00343,0.00106,2.00966,2.00487,1.02104,1.01922,1.0,3.24,3.2401,47.9,18.2,66.1,315.28,359.46,674.74
11,SHORT,2020-04-09 13:50:00,2020-04-09 15:50:00,2.0,PROFIT_TARGET,GBPAUD,AUDNZD,75.3,79.9,0.00137,0.00043,1.99739,1.98274,1.03735,1.0392,1.0,3.21,3.2103,146.5,-18.5,128.0,964.26,-362.01,602.25
12,LONG,2020-04-10 22:05:00,2020-04-13 05:00:00,54.92,PROFIT_TARGET,GBPAUD,AUDNZD,17.0,3.1,0.00086,0.00061,1.96234,1.9674399999999999,1.0414,1.04348,1.0,1.41,1.4098,51.0,20.8,71.8,335.74,178.82,514.56
13,LONG,2020-04-20 07:05:00,2020-04-21 04:55:00,21.83,PROFIT_TARGET,GBPAUD,AUDNZD,22.8,15.0,0.00127,0.0011,1.96364,1.9705300000000001,1.04985,1.05083,1.0,1.16,1.1603,68.9,9.8,78.7,453.58,69.31,522.89
14,SHORT,2020-04-23 02:35:00,2020-04-23 08:10:00,5.58,PROFIT_TARGET,GBPAUD,AUDNZD,86.7,77.4,0.0015,0.00079,1.95722,1.95127,1.06275,1.0609,1.0,1.9,1.8985,59.5,18.5,78.0,391.63,214.27,605.9
15,SHORT,2020-05-15 18:35:00,2020-05-15 23:50:00,5.25,PROFIT_TARGET,GBPAUD,AUDNZD,75.1,78.9,0.00114,0.00051,1.8917199999999998,1.88599,1.08161,1.08064,1.0,2.25,2.249,57.3,9.7,67.0,377.15,133.04,510.19
16,LONG,2020-06-10 02:35:00,2020-07-30 07:20:00,1204.75,PROFIT_TARGET,GBPAUD,AUDNZD,24.4,21.5,0.00073,0.00028,1.82882,1.80934,1.06816,1.07966,1.0,2.56,2.5563,-194.8,115.0,-79.8,-1282.39,1794.99,512.6
17,SHORT,2020-07-31 14:45:00,2020-08-03 13:10:00,70.42,PROFIT_TARGET,GBPAUD,AUDNZD,82.3,84.1,0.00075,0.00033,1.8296000000000001,1.83345,1.07774,1.07207,1.0,2.24,2.2395,-38.5,56.7,18.2,-253.41,774.23,520.82
18,SHORT,2020-08-03 15:30:00,2020-09-09 10:35:00,883.08,PROFIT_TARGET,GBPAUD,AUDNZD,78.7,84.3,0.00093,0.00037,1.8359100000000002,1.7911000000000001,1.07329,1.08897,1.0,2.54,2.538,448.1,-156.8,291.3,2949.44,-2427.83,521.61
19,SHORT,2020-09-16 13:50:00,2020-09-17 14:40:00,24.83,PROFIT_TARGET,GBPAUD,AUDNZD,79.4,77.4,0.00098,0.00027,1.7660900000000002,1.76549,1.08784,1.08534,1.0,3.62,3.6176,6.0,25.0,31.0,39.49,551.68,591.17
20,SHORT,2020-09-22 14:25:00,2020-09-22 16:50:00,2.42,PROFIT_TARGET,GBPAUD,AUDNZD,82.9,75.3,0.00109,0.00039,1.77904,1.77265,1.08273,1.08148,1.0,2.79,2.7897,63.9,12.5,76.4,420.6,212.59,633.19
21,LONG,2020-09-30 19:30:00,2020-10-05 21:00:00,121.5,PROFIT_TARGET,GBPAUD,AUDNZD,21.3,21.4,0.00077,0.00046,1.79989,1.80885,1.08203,1.08144,1.0,1.67,1.6667,89.6,-5.9,83.7,589.85,-60.07,529.78
22,SHORT,2020-10-08 03:55:00,2020-10-08 12:35:00,8.67,PROFIT_TARGET,GBPAUD,AUDNZD,78.4,75.3,0.00073,0.00088,1.8117,1.80496,1.08844,1.08701,1.0,0.83,0.8273,67.4,14.3,81.7,443.63,72.35,515.98
23,LONG,2020-10-08 13:15:00,2020-10-08 16:45:00,3.5,PROFIT_TARGET,GBPAUD,AUDNZD,23.4,16.6,0.00098,0.00032,1.8043900000000002,1.80628,1.08594,1.08815,1.0,3.11,3.1139,18.9,22.1,41.0,124.42,419.06,543.48
24,LONG,2020-10-19 13:45:00,2020-10-19 15:10:00,1.42,PROFIT_TARGET,GBPAUD,AUDNZD,18.9,23.7,0.00111,0.00025,1.82638,1.82928,1.06961,1.07079,1.0,4.43,4.432,29.0,11.8,40.8,190.91,318.72,509.63
25,SHORT,2020-10-20 09:20:00,2020-10-20 20:05:00,10.75,PROFIT_TARGET,GBPAUD,AUDNZD,81.2,77.0,0.00085,0.00047,1.84128,1.8317700000000001,1.07099,1.0721,1.0,1.8,1.8017,95.1,-11.1,84.0,625.96,-121.8,504.16
26,LONG,2020-10-26 16:05:00,2020-10-26 19:25:00,3.33,PROFIT_TARGET,GBPAUD,AUDNZD,24.4,24.8,0.0011,0.00028,1.8251300000000001,1.83124,1.0647199999999999,1.0653299999999999,1.0,3.95,3.9496,61.1,6.1,67.2,402.23,146.91,549.14
27,SHORT,2020-10-29 04:55:00,2020-10-29 16:50:00,11.92,PROFIT_TARGET,GBPAUD,AUDNZD,76.1,80.6,0.00039,0.00019,1.8406500000000001,1.835,1.06302,1.06161,1.0,2.11,2.1075,56.5,14.1,70.6,371.89,181.36,553.25
28,LONG,2020-10-30 14:55:00,2020-10-30 17:15:00,2.33,PROFIT_TARGET,GBPAUD,AUDNZD,23.0,24.5,0.00165,0.00057,1.83545,1.8403800000000001,1.05987,1.06093,1.0,2.9,2.9049,49.3,10.6,59.9,324.55,187.42,511.97
29,LONG,2020-11-09 00:00:00,2021-02-17 00:00:00,2400.0,TIME_LIMIT,GBPAUD,AUDNZD,21.0,18.7,0.00171,0.00048,1.80727,1.79098,1.07117,1.07457,1.0,3.57,3.569,-162.9,34.0,-128.9,-1072.37,740.07,-332.3
30,SHORT,2021-02-17 01:10:00,2021-02-19 14:30:00,61.33,PROFIT_TARGET,GBPAUD,AUDNZD,87.6,81.0,0.00126,0.0005,1.7962799999999999,1.78108,1.0760399999999999,1.07792,1.0,2.53,2.5341,152.0,-18.8,133.2,1000.48,-289.95,710.53
31,LONG,2021-02-24 22:40:00,2021-02-26 02:30:00,27.83,PROFIT_TARGET,GBPAUD,AUDNZD,19.1,23.6,0.00083,0.00119,1.7742200000000001,1.78228,1.06885,1.06821,1.0,0.7,0.6963,80.6,-6.4,74.2,530.6,-27.32,503.28
32,SHORT,2021-03-02 09:15:00,2021-06-10 09:15:00,2400.0,TIME_LIMIT,GBPAUD,AUDNZD,75.2,80.2,0.00085,0.00027,1.79121,1.8233000000000001,1.0713300000000001,1.07699,1.0,3.13,3.1333,-320.9,-56.6,-377.5,-2112.04,-1079.92,-3191.96
33,SHORT,2021-06-17 09:10:00,2021-06-24 14:00:00,172.83,PROFIT_TARGET,GBPAUD,AUDNZD,80.3,84.7,0.00074,0.00034,1.8367499999999999,1.8367200000000001,1.07699,1.07294,1.0,2.18,2.1775,0.3,40.5,40.8,1.97,538.2,540.17
