ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-01-04 01:15:00,2021-01-04 16:50:00,15.58,PROFIT_TARGET,GBPAUD,NZDCAD,76.9,78.5,0.00173,0.00047,1.7735400000000001,1.7657,0.91504,0.91493,1.0,3.66,3.6568,78.4,1.1,79.5,515.98,29.58,545.56
2,SHORT,2021-01-04 18:15:00,2021-01-05 21:15:00,27.0,PROFIT_TARGET,GBPAUD,NZDCAD,75.5,76.9,0.00148,0.00061,1.76868,1.75428,0.91594,0.91842,1.0,2.44,2.4422,144.0,-24.8,119.2,947.72,-444.64,503.08
3,SHORT,2021-01-11 15:35:00,2021-01-11 18:15:00,2.67,PROFIT_TARGET,GBPAUD,NZDCAD,75.1,78.3,0.00129,0.00052,1.75244,1.75329,0.91973,0.9166,1.0,2.47,2.4656,-8.5,31.3,22.8,-55.94,568.07,512.13
4,LONG,2021-01-12 10:15:00,2021-01-12 12:10:00,1.92,PROFIT_TARGET,GBPAUD,NZDCAD,24.3,24.4,0.00065,0.00038,1.7544300000000002,1.7583199999999999,0.91513,0.91721,1.0,1.68,1.6823,38.9,20.8,59.7,256.06,256.81,512.87
5,LONG,2021-01-20 17:50:00,2021-01-20 22:50:00,5.0,PROFIT_TARGET,GBPAUD,NZDCAD,21.2,24.5,0.00098,0.00055,1.75898,1.76244,0.90431,0.90644,1.0,1.78,1.7754,34.6,21.3,55.9,227.76,278.63,506.39
6,LONG,2021-02-01 07:20:00,2021-02-03 03:30:00,44.17,PROFIT_TARGET,GBPAUD,NZDCAD,23.4,22.6,0.00043,0.00028,1.79427,1.79814,0.9185,0.9207,1.0,1.55,1.5507,38.7,22.0,60.7,254.75,250.6,505.35
7,LONG,2021-02-04 09:55:00,2021-02-04 14:00:00,4.08,PROFIT_TARGET,GBPAUD,NZDCAD,24.7,14.5,0.00061,0.00027,1.78111,1.7906300000000002,0.92041,0.92,1.0,2.23,2.2263,95.2,-4.1,91.1,626.66,-67.19,559.47
8,LONG,2021-02-08 00:00:00,2021-02-18 17:05:00,257.08,PROFIT_TARGET,GBPAUD,NZDCAD,12.0,12.5,0.00081,0.00074,1.78756,1.7999100000000001,0.91677,0.91375,1.0,1.09,1.0914,123.5,-30.2,93.3,812.96,-241.91,571.05
9,LONG,2021-02-23 03:45:00,2021-02-23 11:45:00,8.0,PROFIT_TARGET,GBPAUD,NZDCAD,20.7,22.0,0.00075,0.0004,1.77498,1.78227,0.92249,0.92289,1.0,1.86,1.8614,72.9,4.0,76.9,479.86,54.68,534.54
10,LONG,2021-03-16 23:00:00,2021-03-17 09:05:00,10.08,PROFIT_TARGET,GBPAUD,NZDCAD,18.1,23.9,0.00081,0.00054,1.79265,1.7985,0.89306,0.89443,1.0,1.51,1.5074,58.5,13.7,72.2,385.08,152.03,537.11
