ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-17 23:30:00,2020-01-21 11:40:00,84.17,PROFIT_TARGET,GBPAUD,NZDCHF,20.5,24.1,0.00039,0.00025,1.89166,1.90313,0.63947,0.63828,1.0,1.55,1.5476,114.7,-11.9,102.8,755.05,-232.6,522.45
2,SHORT,2020-01-22 07:45:00,2020-01-23 02:35:00,18.83,PROFIT_TARGET,GBPAUD,NZDCHF,78.1,75.3,0.00056,0.00011,1.90838,1.91279,0.63916,0.63777,1.0,5.0,5.0,-44.1,13.9,-30.2,-290.24,876.24,586.0
3,SHORT,2020-01-23 23:15:00,2020-01-28 10:00:00,106.75,PROFIT_TARGET,GBPAUD,NZDCHF,76.8,75.3,0.00036,0.00023,1.91753,1.9275799999999998,0.63977,0.63345,1.0,1.59,1.5877,-100.5,63.2,-37.3,-661.43,1266.93,605.5
4,SHORT,2020-02-14 19:10:00,2020-02-17 13:35:00,66.42,PROFIT_TARGET,GBPAUD,NZDCHF,76.9,76.6,0.00049,0.00016,1.94047,1.93632,0.6317,0.63093,1.0,2.98,2.9756,41.5,7.7,49.2,273.13,289.3,562.43
5,SHORT,2020-02-19 22:15:00,2020-02-20 04:15:00,6.0,PROFIT_TARGET,GBPAUD,NZDCHF,81.7,77.0,0.00053,0.00016,1.93615,1.9438499999999999,0.62746,0.62486,1.0,3.29,3.2875,-77.0,26.0,-51.0,-506.77,1078.47,571.7
6,LONG,2020-03-05 23:40:00,2020-03-06 02:00:00,2.33,PROFIT_TARGET,GBPAUD,NZDCHF,19.2,19.2,0.00068,0.00023,1.9599199999999999,1.95648,0.59507,0.59725,1.0,2.95,2.9483,-34.4,21.8,-12.6,-226.45,810.98,584.53
7,SHORT,2020-03-19 17:25:00,2020-03-19 19:10:00,1.75,PROFIT_TARGET,GBPAUD,NZDCHF,75.6,76.1,0.00512,0.00139,2.00059,1.99967,0.57027,0.56894,1.0,3.68,3.6758,9.2,13.3,22.5,60.55,617.08,677.63
8,LONG,2020-04-10 19:35:00,2020-04-10 21:20:00,1.75,PROFIT_TARGET,GBPAUD,NZDCHF,23.5,25.0,0.00106,0.00037,1.96449,1.96429,0.58547,0.58727,1.0,2.86,2.8602,-2.0,18.0,16.0,-13.17,649.19,636.02
9,SHORT,2020-05-08 17:30:00,2020-05-08 17:55:00,0.42,PROFIT_TARGET,GBPAUD,NZDCHF,78.1,75.5,0.00218,0.00038,1.90472,1.90395,0.59576,0.5948,1.0,5.0,5.0,7.7,9.6,17.3,50.68,605.17,655.85
10,LONG,2020-05-20 10:10:00,2020-05-20 16:15:00,6.08,PROFIT_TARGET,GBPAUD,NZDCHF,23.0,16.7,0.0011,0.00043,1.86929,1.86547,0.59004,0.59243,1.0,2.57,2.5748,-38.2,23.9,-14.3,-251.46,774.57,523.11
