ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-03 01:25:00,2020-01-03 03:55:00,2.5,PROFIT_TARGET,GBPAUD,NZDJPY,77.9,81.7,0.00043,0.0194,1.88111,1.88371,72.748,72.297,1.0,2.24,2.2371,-26.0,45.1,19.1,-171.13,702.01,530.88
2,SHORT,2020-01-06 12:15:00,2020-01-08 01:40:00,37.42,PROFIT_TARGET,GBPAUD,NZDJPY,77.4,77.2,0.00146,0.0282,1.89119,1.91319,72.086,71.519,1.0,5.0,5.0,-220.0,56.7,-163.3,-1448.04,1970.02,521.98
3,LONG,2020-01-14 22:50:00,2020-01-16 10:30:00,35.67,PROFIT_TARGET,GBPAUD,NZDJPY,11.9,22.2,0.00034,0.0248,1.88598,1.8888099999999999,72.691,73.056,1.0,1.38,1.379,28.3,36.5,64.8,186.3,350.04,536.34
4,SHORT,2020-01-21 15:55:00,2020-01-21 20:55:00,5.0,PROFIT_TARGET,GBPAUD,NZDJPY,77.8,79.4,0.00086,0.025,1.90357,1.9061599999999999,72.736,72.451,1.0,3.42,3.424,-25.9,28.5,2.6,-170.47,677.31,506.84
5,SHORT,2020-01-22 07:45:00,2020-01-23 03:00:00,19.25,PROFIT_TARGET,GBPAUD,NZDJPY,78.1,76.3,0.00056,0.014,1.90838,1.9138199999999999,72.534,72.182,1.0,4.0,4.0,-54.4,35.2,-19.2,-358.06,978.41,620.35
6,SHORT,2020-01-27 06:40:00,2020-01-28 16:20:00,33.67,PROFIT_TARGET,GBPAUD,NZDJPY,78.9,82.1,0.00047,0.0218,1.91885,1.9237,71.715,71.15,1.0,2.15,2.1468,-48.5,56.5,8.0,-319.23,844.12,524.89
7,LONG,2020-03-16 11:20:00,2020-03-16 15:50:00,4.5,PROFIT_TARGET,GBPAUD,NZDJPY,23.3,23.8,0.00354,0.0784,1.9916,2.0043,64.067,64.036,1.0,4.52,4.5153,127.0,-3.1,123.9,836.04,-97.37,738.67
8,SHORT,2020-03-19 17:25:00,2020-03-19 17:55:00,0.5,PROFIT_TARGET,GBPAUD,NZDJPY,75.6,75.2,0.00512,0.202,2.00059,1.99192,64.182,64.006,1.0,2.54,2.5366,86.7,17.6,104.3,570.66,310.65,881.31
9,SHORT,2020-03-25 19:00:00,2020-03-25 19:55:00,0.92,PROFIT_TARGET,GBPAUD,NZDJPY,78.2,75.1,0.00269,0.063,1.98457,1.97825,64.914,64.875,1.0,4.27,4.2698,63.2,3.9,67.1,415.98,115.72,531.7
10,LONG,2020-04-16 00:15:00,2020-04-16 02:45:00,2.5,PROFIT_TARGET,GBPAUD,NZDJPY,23.0,19.8,0.00176,0.127,1.97957,1.98354,64.25,64.501,1.0,1.39,1.3858,39.7,25.1,64.8,261.35,242.45,503.8
11,SHORT,2020-05-29 17:10:00,2020-05-29 18:50:00,1.67,PROFIT_TARGET,GBPAUD,NZDJPY,85.7,79.1,0.00152,0.061,1.8607,1.85429,66.745,66.69,1.0,2.5,2.4951,64.1,5.5,69.6,421.91,95.55,517.46
