ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-03 03:55:00,2020-01-07 11:25:00,103.5,PROFIT_TARGET,GBPCAD,CADCHF,23.8,22.9,0.0009,0.00038,1.70543,1.7105299999999999,0.74719,0.74761,1.0,2.4,2.4043,51.0,4.2,55.2,374.82,127.11,501.93
2,SHORT,2020-01-14 01:35:00,2020-02-28 11:10:00,1089.58,PROFIT_TARGET,GBPCAD,CADCHF,77.4,85.9,0.00019,0.00022,1.69611,1.73278,0.74346,0.71458,1.0,0.88,0.8807,-366.7,288.8,-77.9,-2694.54,3204.03,509.49
3,LONG,2020-03-06 00:15:00,2020-03-06 01:05:00,0.83,PROFIT_TARGET,GBPCAD,CADCHF,21.5,23.0,0.00149,0.00051,1.73462,1.73593,0.70426,0.70554,1.0,2.91,2.9141,13.1,12.8,25.9,96.28,469.69,565.97
4,LONG,2020-03-23 17:35:00,2020-03-23 19:15:00,1.67,PROFIT_TARGET,GBPCAD,CADCHF,24.2,21.6,0.00346,0.00078,1.67118,1.67085,0.67521,0.67623,1.0,4.42,4.422,-3.3,10.2,6.9,-24.25,568.5,544.25
5,SHORT,2020-05-07 09:00:00,2020-05-12 16:05:00,127.08,PROFIT_TARGET,GBPCAD,CADCHF,79.1,85.5,0.00186,0.0003,1.7448299999999999,1.72889,0.69102,0.69191,1.0,5.0,5.0,159.4,-8.9,150.5,1171.28,-561.02,610.26
6,LONG,2020-05-18 00:00:00,2020-05-18 01:45:00,1.75,PROFIT_TARGET,GBPCAD,CADCHF,22.9,5.9,0.00112,0.00024,1.70482,1.70464,0.68835,0.68948,1.0,4.72,4.7227,-1.8,11.3,9.5,-13.23,672.56,659.33
7,SHORT,2020-06-02 12:35:00,2020-06-04 12:15:00,47.67,PROFIT_TARGET,GBPCAD,CADCHF,76.1,88.3,0.00104,0.00052,1.69653,1.6907100000000002,0.71115,0.71086,1.0,2.0,2.0,58.2,2.9,61.1,427.66,73.12,500.78
8,SHORT,2020-06-10 04:05:00,2020-06-10 11:50:00,7.75,PROFIT_TARGET,GBPCAD,CADCHF,79.3,78.8,0.00051,0.00023,1.70715,1.70909,0.70887,0.7065,1.0,2.18,2.1795,-19.4,23.7,4.3,-142.55,651.36,508.81
9,LONG,2020-06-11 06:55:00,2020-06-16 05:55:00,119.0,PROFIT_TARGET,GBPCAD,CADCHF,23.1,19.0,0.00132,0.0004,1.7078600000000002,1.71167,0.70151,0.70205,1.0,3.33,3.3333,38.1,5.4,43.5,280.01,226.75,506.76
10,SHORT,2020-06-16 06:00:00,2020-06-16 09:35:00,3.58,PROFIT_TARGET,GBPCAD,CADCHF,76.5,75.2,0.00083,0.00029,1.7121499999999998,1.71372,0.70193,0.70011,1.0,2.86,2.8621,-15.7,18.2,2.5,-115.36,656.23,540.87
11,SHORT,2020-06-18 01:30:00,2020-06-18 12:40:00,11.17,PROFIT_TARGET,GBPCAD,CADCHF,76.9,84.2,0.00039,0.00019,1.70339,1.69253,0.69965,0.70054,1.0,2.1,2.0968,108.6,-8.9,99.7,798.0,-235.63,562.37
12,LONG,2020-06-22 13:25:00,2020-06-22 19:25:00,6.0,PROFIT_TARGET,GBPCAD,CADCHF,18.5,24.3,0.00088,0.00032,1.6822,1.68711,0.69932,0.69978,1.0,2.74,2.7437,49.1,4.6,53.7,360.85,158.93,519.78
13,SHORT,2020-06-23 02:20:00,2020-06-23 04:20:00,2.0,PROFIT_TARGET,GBPCAD,CADCHF,77.6,76.9,0.00049,0.00022,1.68738,1.68788,0.70109,0.69887,1.0,2.26,2.2569,-5.0,22.2,17.2,-36.74,632.53,595.79
