ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-03 03:55:00,2020-01-07 02:40:00,94.75,PROFIT_TARGET,GBPCAD,CADJPY,23.8,16.7,0.0009,0.0542,1.70543,1.70753,83.335,83.66,1.0,1.67,1.6679,21.0,32.5,53.5,154.34,377.16,531.5
2,LONG,2020-01-07 07:55:00,2020-01-07 10:45:00,2.83,PROFIT_TARGET,GBPCAD,CADJPY,19.6,20.2,0.00054,0.0216,1.70588,1.71,83.599,83.719,1.0,2.5,2.5,41.2,12.0,53.2,302.8,208.47,511.27
3,SHORT,2020-01-08 09:05:00,2020-01-28 10:00:00,480.92,PROFIT_TARGET,GBPCAD,CADJPY,86.0,75.5,0.00086,0.0356,1.70595,1.71661,83.501,82.642,1.0,2.4,2.4045,-106.6,85.9,-20.7,-783.35,1432.51,649.16
4,LONG,2020-02-03 12:00:00,2020-02-04 11:35:00,23.58,PROFIT_TARGET,GBPCAD,CADJPY,20.5,23.4,0.00162,0.0338,1.73194,1.72597,81.884,82.2,1.0,4.8,4.8047,-59.7,31.6,-28.1,-438.76,1054.02,615.26
5,LONG,2020-02-05 16:40:00,2020-02-05 19:30:00,2.83,PROFIT_TARGET,GBPCAD,CADJPY,17.9,12.8,0.00135,0.0444,1.7234500000000001,1.7267299999999999,82.515,82.644,1.0,3.03,3.0315,32.8,12.9,45.7,241.06,271.61,512.67
6,LONG,2020-02-10 06:15:00,2020-02-10 15:10:00,8.92,PROFIT_TARGET,GBPCAD,CADJPY,20.0,24.2,0.00023,0.0174,1.71426,1.72272,82.529,82.414,1.0,1.31,1.3103,84.6,-11.5,73.1,621.76,-104.69,517.07
7,SHORT,2020-02-17 01:20:00,2020-02-18 00:05:00,22.75,PROFIT_TARGET,GBPCAD,CADJPY,89.4,75.6,0.00056,0.0284,1.7289400000000001,1.7204000000000002,82.886,82.978,1.0,1.96,1.9648,85.4,-9.2,76.2,627.56,-125.3,502.26
8,SHORT,2020-03-03 01:55:00,2020-03-13 18:45:00,256.83,PROFIT_TARGET,GBPCAD,CADJPY,78.7,77.5,0.00045,0.063,1.70099,1.72039,81.435,77.32,1.0,0.71,0.7079,-194.0,411.5,217.5,-1425.61,2030.12,604.51
9,LONG,2020-03-30 05:05:00,2020-03-30 08:35:00,3.5,PROFIT_TARGET,GBPCAD,CADJPY,21.0,19.2,0.00122,0.0542,1.74265,1.73898,76.269,76.773,1.0,2.25,2.2546,-36.7,50.4,13.7,-269.72,788.01,518.29
10,SHORT,2020-04-30 17:50:00,2020-05-01 14:20:00,20.5,PROFIT_TARGET,GBPCAD,CADJPY,83.3,76.2,0.00269,0.1336,1.74779,1.75902,77.031,76.061,1.0,2.02,2.0165,-112.3,97.0,-15.3,-825.24,1361.5,536.26
