ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-01-04 01:45:00,2021-01-04 02:35:00,0.83,PROFIT_TARGET,GBPNZD,AUDCAD,82.7,76.4,0.00093,0.00033,1.90096,1.9016199999999999,0.98115,0.9785,1.0,2.78,2.7784,-6.6,26.5,19.9,-40.23,541.36,501.13
2,LONG,2021-01-13 18:35:00,2021-01-19 12:05:00,137.5,PROFIT_TARGET,GBPNZD,AUDCAD,20.6,19.2,0.00079,0.00037,1.89656,1.9125100000000002,0.98424,0.9813,1.0,2.16,2.1576,159.5,-29.4,130.1,972.49,-466.72,505.77
3,LONG,2021-01-20 15:25:00,2021-01-28 23:45:00,200.33,PROFIT_TARGET,GBPNZD,AUDCAD,24.3,21.4,0.00097,0.0004,1.9151500000000001,1.9127800000000001,0.98091,0.98452,1.0,2.43,2.4271,-23.7,36.1,12.4,-144.5,644.72,500.22
4,LONG,2021-01-29 22:45:00,2021-02-01 19:40:00,68.92,PROFIT_TARGET,GBPNZD,AUDCAD,23.0,23.4,0.00095,0.00048,1.9057300000000001,1.9098199999999999,0.97681,0.97874,1.0,1.99,1.9916,40.9,19.3,60.2,249.37,282.27,531.64
5,SHORT,2021-02-18 13:35:00,2021-02-18 17:15:00,3.67,PROFIT_TARGET,GBPNZD,AUDCAD,81.5,81.5,0.00098,0.00023,1.93414,1.93941,0.98695,0.98421,1.0,4.33,4.3274,-52.7,27.4,-25.3,-321.26,871.84,550.58
6,LONG,2021-02-23 22:30:00,2021-02-24 03:00:00,4.5,PROFIT_TARGET,GBPNZD,AUDCAD,24.8,11.5,0.00037,0.00024,1.92082,1.9290699999999998,0.99588,0.99677,1.0,1.52,1.5246,82.5,8.9,91.4,503.01,99.42,602.43
7,SHORT,2021-03-04 05:10:00,2021-03-04 19:55:00,14.75,PROFIT_TARGET,GBPNZD,AUDCAD,79.4,77.9,0.00049,0.00024,1.92258,1.9296799999999998,0.98592,0.97929,1.0,2.02,2.0165,-71.0,66.3,-4.7,-432.82,984.15,551.33
8,SHORT,2021-03-11 07:10:00,2021-03-12 13:40:00,30.5,PROFIT_TARGET,GBPNZD,AUDCAD,80.4,76.2,0.00041,0.00023,1.9346999999999999,1.9367100000000002,0.97674,0.97147,1.0,1.79,1.7895,-20.1,52.7,32.6,-122.53,693.2,570.67
9,SHORT,2021-03-29 10:35:00,2021-03-29 11:40:00,1.08,PROFIT_TARGET,GBPNZD,AUDCAD,75.7,76.8,0.00198,0.00041,1.98033,1.97771,0.96332,0.96217,1.0,4.89,4.8867,26.2,11.5,37.7,159.72,413.24,572.96
10,LONG,2021-03-30 21:45:00,2021-03-31 11:40:00,13.92,PROFIT_TARGET,GBPNZD,AUDCAD,24.6,17.5,0.00062,0.00027,1.96492,1.9712800000000001,0.95872,0.95966,1.0,2.32,2.3158,63.6,9.4,73.0,387.78,160.28,548.06
11,LONG,2021-04-01 08:15:00,2021-07-12 00:00:00,2439.75,TIME_LIMIT,GBPNZD,AUDCAD,10.2,11.3,0.00058,0.00067,1.9781300000000002,1.98471,0.9498,0.93112,1.0,0.87,0.8743,65.8,-186.8,-121.0,401.19,-1194.41,-793.22
12,SHORT,2021-07-12 02:05:00,2021-07-14 04:00:00,49.92,PROFIT_TARGET,GBPNZD,AUDCAD,76.2,75.9,0.00089,0.00031,1.98567,1.9727700000000001,0.93259,0.93228,1.0,2.86,2.859,129.0,3.1,132.1,786.4,65.15,851.55
13,SHORT,2021-07-19 12:10:00,2021-07-19 22:25:00,10.25,PROFIT_TARGET,GBPNZD,AUDCAD,85.7,78.8,0.00135,0.00078,1.97081,1.97068,0.93862,0.93444,1.0,1.74,1.7423,1.3,41.8,43.1,7.92,534.47,542.39
14,LONG,2021-07-20 04:15:00,2021-07-20 07:45:00,3.5,PROFIT_TARGET,GBPNZD,AUDCAD,23.5,22.5,0.00077,0.0005,1.97055,1.97916,0.93488,0.93481,1.0,1.56,1.5605,86.1,-0.7,85.4,524.96,-8.03,516.93
15,SHORT,2021-07-22 07:40:00,2021-08-10 17:10:00,465.5,PROFIT_TARGET,GBPNZD,AUDCAD,76.2,89.6,0.00053,0.00025,1.9716200000000002,1.9769700000000001,0.92605,0.9206,1.0,2.1,2.1024,-53.5,54.5,1.0,-326.14,841.03,514.89
16,SHORT,2021-08-13 13:15:00,2021-08-17 21:55:00,104.67,PROFIT_TARGET,GBPNZD,AUDCAD,76.3,80.0,0.00092,0.00017,1.97204,1.98657,0.91924,0.91542,1.0,5.0,5.0,-145.3,38.2,-107.1,-885.76,1403.56,517.8
17,SHORT,2021-08-20 07:10:00,2021-08-20 20:50:00,13.67,PROFIT_TARGET,GBPNZD,AUDCAD,79.3,78.3,0.0006,0.00025,1.99526,1.99226,0.91825,0.9163,1.0,2.42,2.416,30.0,19.5,49.5,182.88,346.77,529.65
18,LONG,2021-08-20 21:00:00,2021-09-01 17:15:00,284.25,PROFIT_TARGET,GBPNZD,AUDCAD,7.8,23.5,0.00064,0.0002,1.99142,1.95046,0.91612,0.92894,1.0,3.23,3.2323,-409.6,128.2,-281.4,-2497.37,3043.32,545.95
19,SHORT,2021-09-03 01:40:00,2021-09-15 23:20:00,309.67,PROFIT_TARGET,GBPNZD,AUDCAD,79.1,83.1,0.00031,0.00016,1.94589,1.9445999999999999,0.92907,0.92601,1.0,1.96,1.9625,12.9,30.6,43.5,78.64,440.73,519.37
20,SHORT,2021-09-21 01:25:00,2021-09-21 08:20:00,6.92,PROFIT_TARGET,GBPNZD,AUDCAD,76.2,81.6,0.00063,0.00026,1.94832,1.9454,0.92995,0.928,1.0,2.43,2.4341,29.2,19.5,48.7,178.01,348.21,526.22
21,LONG,2021-09-22 18:45:00,2021-09-23 04:10:00,9.42,PROFIT_TARGET,GBPNZD,AUDCAD,23.9,24.2,0.00056,0.00038,1.94275,1.9501300000000001,0.92417,0.92471,1.0,1.47,1.4712,73.8,5.4,79.2,449.97,58.34,508.31
22,LONG,2021-09-23 06:00:00,2021-10-07 15:20:00,345.33,PROFIT_TARGET,GBPNZD,AUDCAD,3.0,10.3,0.00067,0.0004,1.9482,1.96609,0.92286,0.91822,1.0,1.69,1.6869,178.9,-46.4,132.5,1090.77,-576.32,514.45
23,LONG,2021-10-11 02:50:00,2021-10-11 04:00:00,1.17,PROFIT_TARGET,GBPNZD,AUDCAD,23.0,17.8,0.0007,0.00022,1.96479,1.9665,0.91047,0.91221,1.0,3.24,3.2407,17.1,17.4,34.5,104.26,414.33,518.59
24,SHORT,2021-10-11 05:15:00,2021-10-14 13:40:00,80.42,PROFIT_TARGET,GBPNZD,AUDCAD,86.0,84.0,0.00046,0.00024,1.96784,1.95103,0.91328,0.91701,1.0,1.89,1.8934,168.1,-37.3,130.8,1024.75,-518.04,506.71
25,LONG,2021-10-18 00:10:00,2021-10-18 00:40:00,0.5,PROFIT_TARGET,GBPNZD,AUDCAD,20.4,17.8,0.00211,0.00048,1.93667,1.93968,0.91628,0.91733,1.0,4.37,4.3734,30.1,10.5,40.6,183.52,337.23,520.75
26,SHORT,2021-10-21 18:05:00,2021-10-22 09:50:00,15.75,PROFIT_TARGET,GBPNZD,AUDCAD,80.9,95.4,0.0006,0.00041,1.92687,1.91923,0.92492,0.92452,1.0,1.47,1.4657,76.4,4.0,80.4,465.74,43.21,508.95
27,SHORT,2021-10-25 04:15:00,2021-10-27 17:10:00,60.92,PROFIT_TARGET,GBPNZD,AUDCAD,86.0,75.3,0.00053,0.00032,1.92576,1.91368,0.92465,0.92626,1.0,1.64,1.6437,120.8,-16.1,104.7,736.41,-194.03,542.38
28,SHORT,2021-10-28 01:15:00,2021-11-01 01:30:00,96.25,PROFIT_TARGET,GBPNZD,AUDCAD,80.1,82.3,0.0004,0.00033,1.9174,1.90778,0.92957,0.93043,1.0,1.21,1.2147,96.2,-8.6,87.6,586.44,-76.47,509.97
29,LONG,2021-11-01 12:40:00,2021-11-01 15:50:00,3.17,PROFIT_TARGET,GBPNZD,AUDCAD,17.4,23.3,0.00059,0.00025,1.90073,1.90221,0.92869,0.9312,1.0,2.35,2.352,14.8,25.1,39.9,90.24,433.51,523.75
30,SHORT,2021-11-02 00:45:00,2021-11-02 05:30:00,4.75,PROFIT_TARGET,GBPNZD,AUDCAD,76.9,78.2,0.00041,0.00019,1.9012799999999999,1.90115,0.93073,0.92757,1.0,2.2,2.2021,1.3,31.6,32.9,7.92,510.86,518.78
31,LONG,2021-11-05 10:30:00,2021-11-08 16:15:00,77.75,PROFIT_TARGET,GBPNZD,AUDCAD,17.6,18.5,0.00153,0.00034,1.8996499999999998,1.88778,0.9202,0.92406,1.0,4.56,4.5595,-118.7,38.6,-80.1,-723.73,1293.63,569.9
32,LONG,2021-11-10 00:15:00,2021-11-11 14:25:00,38.17,PROFIT_TARGET,GBPNZD,AUDCAD,24.5,16.2,0.00101,0.00039,1.90015,1.90648,0.91761,0.91821,1.0,2.61,2.6082,63.3,6.0,69.3,385.95,115.09,501.04
33,LONG,2021-11-17 10:50:00,2021-11-17 13:40:00,2.83,PROFIT_TARGET,GBPNZD,AUDCAD,22.9,21.1,0.00097,0.00033,1.9155,1.9191799999999999,0.91456,0.91607,1.0,2.93,2.9273,36.8,15.1,51.9,224.37,325.16,549.53
34,LONG,2021-11-22 00:00:00,2021-11-22 01:00:00,1.0,PROFIT_TARGET,GBPNZD,AUDCAD,20.4,21.7,0.00171,0.00022,1.9177499999999998,1.9223400000000002,0.91429,0.91491,1.0,5.0,5.0,45.9,6.2,52.1,279.86,227.83,507.69
35,LONG,2021-11-29 20:50:00,2021-11-30 10:35:00,13.75,PROFIT_TARGET,GBPNZD,AUDCAD,18.4,19.9,0.00051,0.00033,1.95312,1.9599600000000001,0.90976,0.91066,1.0,1.56,1.5583,68.4,9.0,77.4,417.04,103.19,520.23
36,LONG,2021-12-13 00:10:00,2021-12-13 14:40:00,14.5,PROFIT_TARGET,GBPNZD,AUDCAD,18.0,23.6,0.00215,0.00056,1.94787,1.95629,0.91108,0.91107,1.0,3.82,3.8185,84.2,-0.1,84.1,513.38,-2.81,510.57
37,LONG,2021-12-13 19:20:00,2021-12-14 13:30:00,18.17,PROFIT_TARGET,GBPNZD,AUDCAD,24.0,22.7,0.00079,0.00034,1.9558499999999999,1.95998,0.91143,0.91302,1.0,2.35,2.3491,41.3,15.9,57.2,251.81,274.61,526.42
38,SHORT,2021-12-16 14:15:00,2021-12-16 17:35:00,3.33,PROFIT_TARGET,GBPNZD,AUDCAD,81.5,78.5,0.00374,0.00033,1.95848,1.9564599999999999,0.92106,0.91971,1.0,5.0,5.0,20.2,13.5,33.7,123.14,496.02,619.16
39,SHORT,2021-12-17 04:00:00,2022-01-18 13:45:00,777.75,PROFIT_TARGET,GBPNZD,AUDCAD,79.8,77.3,0.0007,0.0003,1.9621,2.00855,0.91792,0.89875,1.0,2.37,2.3716,-464.5,191.7,-272.8,-2831.64,3338.62,506.98
40,LONG,2022-01-18 21:35:00,2022-01-19 16:20:00,18.75,PROFIT_TARGET,GBPNZD,AUDCAD,23.8,21.1,0.00076,0.00025,2.00746,2.00512,0.89964,0.90271,1.0,3.02,3.024,-23.4,30.7,7.3,-142.67,681.4,538.73
41,LONG,2022-01-25 12:35:00,2022-01-26 02:20:00,13.75,PROFIT_TARGET,GBPNZD,AUDCAD,20.6,22.4,0.00087,0.00031,2.01532,2.01949,0.90221,0.90347,1.0,2.84,2.8366,41.7,12.6,54.3,254.25,262.99,517.24
42,SHORT,2022-01-31 15:05:00,2022-01-31 17:55:00,2.83,PROFIT_TARGET,GBPNZD,AUDCAD,84.6,79.6,0.00085,0.00038,2.0427,2.04122,0.89928,0.8963,1.0,2.21,2.2135,14.8,29.8,44.6,90.22,483.95,574.17
43,SHORT,2022-01-31 20:40:00,2022-02-24 15:35:00,570.92,PROFIT_TARGET,GBPNZD,AUDCAD,97.5,83.7,0.00046,0.0003,2.04538,1.99927,0.89742,0.91707,1.0,1.54,1.54,461.1,-196.5,264.6,2810.91,-2223.72,587.19
44,LONG,2022-02-28 23:35:00,2022-06-08 23:35:00,2400.0,TIME_LIMIT,GBPNZD,AUDCAD,20.3,24.8,0.00045,0.00028,1.98193,1.9444,0.92021,0.90285,1.0,1.6,1.6043,-375.3,-173.6,-548.9,-2288.24,-2041.41,-4329.65
45,LONG,2022-06-10 03:25:00,2022-06-10 14:30:00,11.08,PROFIT_TARGET,GBPNZD,AUDCAD,21.2,24.1,0.00093,0.00045,1.95252,1.9452,0.90054,0.90767,1.0,2.07,2.0667,-73.2,71.3,-1.9,-446.31,1084.73,638.42
46,SHORT,2022-06-15 10:20:00,2022-06-27 06:15:00,283.92,PROFIT_TARGET,GBPNZD,AUDCAD,82.9,76.7,0.00183,0.00057,1.93709,1.94664,0.89554,0.89083,1.0,3.23,3.2261,-95.5,47.1,-48.4,-582.18,1117.94,535.76
47,SHORT,2022-06-28 09:40:00,2022-06-28 12:55:00,3.25,PROFIT_TARGET,GBPNZD,AUDCAD,75.2,80.5,0.00164,0.00071,1.95114,1.9487999999999999,0.89329,0.89113,1.0,2.32,2.3192,23.4,21.6,45.0,142.65,368.25,510.9
48,SHORT,2022-06-30 08:10:00,2022-06-30 09:30:00,1.33,PROFIT_TARGET,GBPNZD,AUDCAD,78.8,75.0,0.00118,0.00027,1.9550999999999998,1.9502199999999998,0.88912,0.88788,1.0,4.43,4.4286,48.8,12.4,61.2,297.49,403.67,701.16
49,SHORT,2022-06-30 16:25:00,2022-06-30 17:35:00,1.17,PROFIT_TARGET,GBPNZD,AUDCAD,84.3,77.3,0.00142,0.00072,1.9538600000000002,1.9500899999999999,0.89098,0.889,1.0,1.97,1.9667,37.7,19.8,57.5,229.82,286.63,516.45
50,LONG,2022-06-30 17:45:00,2022-07-27 21:35:00,651.83,PROFIT_TARGET,GBPNZD,AUDCAD,24.7,22.4,0.00163,0.00079,1.9492099999999999,1.9419300000000002,0.88781,0.89477,1.0,2.05,2.0529,-72.8,69.6,-3.2,-443.87,1048.62,604.75
51,LONG,2022-08-01 06:35:00,2022-08-01 11:05:00,4.5,PROFIT_TARGET,GBPNZD,AUDCAD,21.8,15.1,0.00054,0.00024,1.93448,1.93452,0.8943,0.89783,1.0,2.25,2.25,0.4,35.3,35.7,2.44,583.73,586.17
52,SHORT,2022-08-01 11:35:00,2022-08-02 10:00:00,22.42,PROFIT_TARGET,GBPNZD,AUDCAD,80.6,84.7,0.00078,0.00033,1.93509,1.94109,0.89843,0.89329,1.0,2.36,2.3554,-60.0,51.4,-8.6,-365.77,891.4,525.63
53,LONG,2022-08-05 03:35:00,2022-08-05 04:45:00,1.17,PROFIT_TARGET,GBPNZD,AUDCAD,23.5,23.9,0.0007,0.00027,1.92818,1.93032,0.89507,0.89731,1.0,2.61,2.6074,21.4,22.4,43.8,130.48,429.68,560.16
54,SHORT,2022-08-08 05:45:00,2022-08-08 16:50:00,11.08,PROFIT_TARGET,GBPNZD,AUDCAD,79.6,77.9,0.00047,0.00027,1.93446,1.92225,0.89626,0.89796,1.0,1.75,1.7537,122.1,-17.0,105.1,744.33,-218.62,525.71
55,LONG,2022-08-09 21:20:00,2022-08-10 15:30:00,18.17,PROFIT_TARGET,GBPNZD,AUDCAD,23.1,23.7,0.00055,0.00019,1.92205,1.9118300000000001,0.8971,0.90404,1.0,2.87,2.875,-102.2,69.4,-32.8,-623.12,1463.84,840.72
56,LONG,2022-08-16 19:35:00,2022-08-26 16:25:00,236.83,PROFIT_TARGET,GBPNZD,AUDCAD,20.9,22.3,0.00045,0.0003,1.9058000000000002,1.9102700000000001,0.90166,0.9041,1.0,1.49,1.4934,44.7,24.4,69.1,272.54,267.2,539.74
57,SHORT,2022-09-05 18:45:00,2022-09-06 15:55:00,21.17,PROFIT_TARGET,GBPNZD,AUDCAD,79.2,80.6,0.00054,0.00017,1.8899599999999999,1.90066,0.89336,0.88797,1.0,3.16,3.1628,-107.0,53.9,-53.1,-652.28,1251.63,599.35
58,LONG,2022-09-16 08:50:00,2022-09-19 01:50:00,65.0,PROFIT_TARGET,GBPNZD,AUDCAD,23.4,22.0,0.0012,0.00035,1.91255,1.9063400000000001,0.88842,0.89261,1.0,3.46,3.4624,-62.1,41.9,-20.2,-378.63,1065.48,686.85
59,SHORT,2022-09-19 16:05:00,2022-09-23 12:50:00,92.75,PROFIT_TARGET,GBPNZD,AUDCAD,88.8,78.9,0.001,0.00027,1.9187699999999999,1.91197,0.88996,0.88914,1.0,3.77,3.7744,68.0,8.2,76.2,414.53,227.17,641.7
60,SHORT,2022-09-26 15:20:00,2022-09-26 15:25:00,0.08,PROFIT_TARGET,GBPNZD,AUDCAD,79.2,84.1,0.00308,0.00059,1.90088,1.89566,0.88859,0.88803,1.0,5.0,5.0,52.2,5.6,57.8,318.22,205.76,523.98
61,LONG,2022-09-27 18:55:00,2022-09-28 17:45:00,22.83,PROFIT_TARGET,GBPNZD,AUDCAD,20.6,17.6,0.00184,0.00051,1.89562,1.90124,0.8852,0.88594,1.0,3.64,3.6364,56.2,7.4,63.6,342.66,197.96,540.62
62,LONG,2022-09-29 05:55:00,2022-09-29 08:00:00,2.08,PROFIT_TARGET,GBPNZD,AUDCAD,23.5,22.4,0.00112,0.00037,1.89668,1.9005800000000002,0.88487,0.88626,1.0,3.05,3.0492,39.0,13.9,52.9,237.79,311.58,549.37
63,SHORT,2022-09-29 14:40:00,2022-10-07 15:45:00,193.08,PROFIT_TARGET,GBPNZD,AUDCAD,80.3,78.2,0.00307,0.00059,1.91656,1.97477,0.88799,0.87668,1.0,5.0,5.0,-582.1,113.1,-469.0,-3548.54,4155.58,607.04
64,LONG,2022-10-10 01:55:00,2022-10-13 14:10:00,84.25,PROFIT_TARGET,GBPNZD,AUDCAD,19.3,18.4,0.00104,0.00037,1.9743,2.00071,0.87237,0.86739,1.0,2.85,2.8525,264.1,-49.8,214.3,1610.24,-1043.1,567.14
65,LONG,2022-10-18 05:50:00,2022-10-18 16:20:00,10.5,PROFIT_TARGET,GBPNZD,AUDCAD,20.9,23.6,0.00143,0.00046,2.00233,1.99101,0.86236,0.86765,1.0,3.09,3.0909,-113.2,52.9,-60.3,-690.19,1201.34,511.15
66,SHORT,2022-10-24 07:55:00,2022-10-24 09:00:00,1.08,PROFIT_TARGET,GBPNZD,AUDCAD,76.7,95.9,0.00157,0.00032,1.9797500000000001,1.9789400000000001,0.8681,0.86673,1.0,4.98,4.981,8.1,13.7,21.8,49.38,501.36,550.74
67,SHORT,2022-10-25 11:05:00,2022-10-25 12:35:00,1.5,PROFIT_TARGET,GBPNZD,AUDCAD,94.5,76.0,0.00223,0.00043,1.99194,1.99397,0.86826,0.86639,1.0,5.0,5.0,-20.3,18.7,-1.6,-123.75,687.09,563.34
68,SHORT,2022-10-26 10:15:00,2022-10-27 16:50:00,30.58,PROFIT_TARGET,GBPNZD,AUDCAD,77.7,85.5,0.00226,0.00068,1.99556,1.98062,0.87503,0.87564,1.0,3.34,3.3363,149.4,-6.1,143.3,910.76,-149.72,761.04
69,SHORT,2022-11-07 10:50:00,2022-11-09 17:40:00,54.83,PROFIT_TARGET,GBPNZD,AUDCAD,79.8,79.8,0.00181,0.00051,1.92927,1.92988,0.87047,0.86773,1.0,3.55,3.549,-6.1,27.4,21.3,-37.19,714.79,677.6
