ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-16 10:10:00,2020-01-16 13:35:00,3.42,PROFIT_TARGET,GBPNZD,AUDCHF,24.1,23.5,0.00101,0.00034,1.96302,1.96223,0.66527,0.66678,1.0,2.94,2.9419,-7.9,15.1,7.2,-48.17,559.9,511.73
2,LONG,2020-01-20 00:10:00,2020-01-20 00:55:00,0.75,PROFIT_TARGET,GBPNZD,AUDCHF,21.9,15.3,0.00171,0.00029,1.96454,1.96522,0.66478,0.66553,1.0,5.0,5.0,6.8,7.5,14.3,41.46,472.95,514.41
3,LONG,2020-01-30 00:05:00,2020-02-05 10:35:00,154.5,PROFIT_TARGET,GBPNZD,AUDCHF,23.7,23.1,0.00136,0.00036,1.99149,2.00922,0.65688,0.6557,1.0,3.8,3.8045,177.3,-11.8,165.5,1081.09,-565.53,515.56
4,LONG,2020-02-10 00:05:00,2020-02-10 03:40:00,3.58,PROFIT_TARGET,GBPNZD,AUDCHF,20.2,24.7,0.00078,0.00051,2.01128,2.01291,0.65119,0.65372,1.0,1.54,1.5375,16.3,25.3,41.6,99.39,491.39,590.78
5,SHORT,2020-02-14 22:55:00,2020-02-17 17:55:00,67.0,PROFIT_TARGET,GBPNZD,AUDCHF,79.4,76.3,0.00046,0.00021,2.02829,2.02054,0.65929,0.65917,1.0,2.2,2.2,77.5,1.2,78.7,472.46,33.29,505.75
6,SHORT,2020-02-18 12:20:00,2020-02-20 03:00:00,38.67,PROFIT_TARGET,GBPNZD,AUDCHF,78.0,80.9,0.00149,0.00029,2.03588,2.02246,0.65536,0.65576,1.0,5.0,5.0,134.2,-4.0,130.2,818.11,-252.2,565.91
7,SHORT,2020-02-27 19:30:00,2020-02-27 23:30:00,4.0,PROFIT_TARGET,GBPNZD,AUDCHF,81.5,75.1,0.00073,0.00032,2.03914,2.0433,0.63976,0.63673,1.0,2.31,2.3082,-41.6,30.3,-11.3,-253.6,882.61,629.01
8,LONG,2020-03-04 10:30:00,2020-03-04 13:25:00,2.92,PROFIT_TARGET,GBPNZD,AUDCHF,24.9,22.6,0.00138,0.00051,2.03376,2.02901,0.63071,0.63302,1.0,2.72,2.7244,-47.5,23.1,-24.4,-289.63,792.44,502.81
9,SHORT,2020-03-04 14:20:00,2020-03-04 15:10:00,0.83,PROFIT_TARGET,GBPNZD,AUDCHF,77.0,76.0,0.00155,0.00037,2.03497,2.03367,0.63381,0.63284,1.0,4.15,4.1497,13.0,9.7,22.7,79.25,507.62,586.87
10,SHORT,2020-03-30 02:40:00,2020-03-30 03:35:00,0.92,PROFIT_TARGET,GBPNZD,AUDCHF,76.0,75.2,0.00339,0.00117,2.06442,2.05862,0.5864,0.58593,1.0,2.89,2.8908,58.0,4.7,62.7,353.58,171.28,524.86
11,SHORT,2020-03-30 08:10:00,2020-03-30 09:20:00,1.17,PROFIT_TARGET,GBPNZD,AUDCHF,80.3,79.7,0.00277,0.00106,2.05879,2.05434,0.58818,0.58698,1.0,2.62,2.6231,44.5,12.0,56.5,271.28,396.46,667.74
12,LONG,2020-04-06 02:40:00,2020-04-06 03:15:00,0.58,PROFIT_TARGET,GBPNZD,AUDCHF,19.7,23.4,0.00247,0.0007,2.07997,2.08121,0.58557,0.58733,1.0,3.53,3.5343,12.4,17.6,30.0,75.61,783.56,859.17
13,SHORT,2020-04-06 04:00:00,2020-04-06 06:20:00,2.33,PROFIT_TARGET,GBPNZD,AUDCHF,76.9,79.5,0.00126,0.00098,2.08412,2.07942,0.58918,0.58733,1.0,1.28,1.2764,47.0,18.5,65.5,286.52,298.61,585.13
14,SHORT,2020-04-06 09:00:00,2020-04-07 00:40:00,15.67,PROFIT_TARGET,GBPNZD,AUDCHF,77.5,77.6,0.00171,0.0009,2.08162,2.05837,0.58988,0.59362,1.0,1.9,1.902,232.5,-37.4,195.1,1417.37,-896.07,521.3
15,LONG,2020-04-08 06:30:00,2020-04-08 07:15:00,0.75,PROFIT_TARGET,GBPNZD,AUDCHF,20.6,16.7,0.00127,0.00055,2.06556,2.06558,0.59503,0.59703,1.0,2.3,2.2996,0.2,20.0,20.2,1.22,580.16,581.38
16,SHORT,2020-04-08 13:45:00,2020-04-28 09:15:00,475.5,STOP_LOSS,GBPNZD,AUDCHF,75.7,85.0,0.00156,0.00041,2.06856,2.06535,0.59898,0.63068,1.0,3.81,3.8137,32.1,-317.0,-284.9,195.69,-15230.01,-15034.32
17,SHORT,2020-04-29 07:00:00,2020-04-29 10:55:00,3.92,PROFIT_TARGET,GBPNZD,AUDCHF,82.3,82.6,0.00087,0.00026,2.04682,2.04017,0.63549,0.63515,1.0,3.35,3.3462,66.5,3.4,69.9,405.4,143.63,549.03
18,LONG,2020-05-07 01:45:00,2020-05-07 03:10:00,1.42,PROFIT_TARGET,GBPNZD,AUDCHF,22.0,24.1,0.00115,0.0004,2.05215,2.04837,0.62242,0.62448,1.0,2.91,2.9091,-37.8,20.6,-17.2,-230.49,756.04,525.55
19,SHORT,2020-05-08 13:20:00,2020-05-08 14:05:00,0.75,PROFIT_TARGET,GBPNZD,AUDCHF,77.0,75.2,0.00101,0.00024,2.02087,2.01781,0.63339,0.63276,1.0,4.29,4.2881,30.6,6.3,36.9,186.54,340.81,527.35
20,SHORT,2020-05-11 05:05:00,2020-05-11 12:25:00,7.33,PROFIT_TARGET,GBPNZD,AUDCHF,77.3,91.0,0.00084,0.00052,2.02358,2.02616,0.63622,0.63277,1.0,1.63,1.6279,-25.8,34.5,8.7,-157.28,709.12,551.84
21,SHORT,2020-05-11 20:25:00,2020-05-11 20:55:00,0.5,PROFIT_TARGET,GBPNZD,AUDCHF,75.6,85.0,0.00114,0.00035,2.03229,2.03111,0.63192,0.63083,1.0,3.28,3.2759,11.8,10.9,22.7,71.94,450.83,522.77
22,LONG,2020-05-14 05:15:00,2020-05-14 07:05:00,1.83,PROFIT_TARGET,GBPNZD,AUDCHF,22.0,18.1,0.00109,0.00052,2.03872,2.04073,0.62482,0.62632,1.0,2.12,2.1163,20.1,15.0,35.1,122.56,401.06,523.62
23,LONG,2020-05-14 08:20:00,2020-05-14 09:30:00,1.17,PROFIT_TARGET,GBPNZD,AUDCHF,24.5,17.9,0.00133,0.0003,2.03727,2.03718,0.62566,0.62669,1.0,4.48,4.4797,-0.9,10.3,9.4,-5.49,581.97,576.48
24,SHORT,2020-05-19 03:15:00,2020-05-19 04:25:00,1.17,PROFIT_TARGET,GBPNZD,AUDCHF,75.8,89.7,0.0014,0.00066,2.02231,2.01867,0.63579,0.63392,1.0,2.11,2.1145,36.4,18.7,55.1,221.9,497.55,719.45
25,LONG,2020-05-22 08:15:00,2020-05-25 02:50:00,66.58,PROFIT_TARGET,GBPNZD,AUDCHF,7.3,18.7,0.00129,0.0004,1.99559,1.99749,0.63466,0.63569,1.0,3.26,3.2576,19.0,10.3,29.3,115.85,423.49,539.34
26,SHORT,2020-05-25 07:40:00,2020-09-01 15:40:00,2384.0,STOP_LOSS,GBPNZD,AUDCHF,92.9,87.6,0.0006,0.00017,1.99861,1.9872100000000001,0.63539,0.66976,1.0,3.63,3.6265,114.0,-343.7,-229.7,694.97,-15732.65,-15037.68
27,LONG,2020-09-01 18:35:00,2020-09-01 19:50:00,1.25,PROFIT_TARGET,GBPNZD,AUDCHF,21.1,23.6,0.00135,0.00035,1.97878,1.98273,0.66923,0.66994,1.0,3.85,3.8514,39.5,7.1,46.6,240.85,344.75,585.6
28,LONG,2020-09-04 02:50:00,2020-09-04 04:00:00,1.17,PROFIT_TARGET,GBPNZD,AUDCHF,18.8,15.8,0.00075,0.00027,1.9798200000000001,1.9813100000000001,0.65998,0.66118,1.0,2.81,2.8134,14.9,12.0,26.9,90.85,425.28,516.13
29,LONG,2020-09-08 12:10:00,2020-12-17 12:10:00,2400.0,TIME_LIMIT,GBPNZD,AUDCHF,14.6,14.4,0.00141,0.00037,1.9580199999999999,1.8964699999999999,0.66677,0.6738,1.0,3.83,3.8261,-615.5,70.3,-545.2,-3753.01,3395.79,-357.22
30,LONG,2020-12-17 22:20:00,2020-12-23 16:15:00,137.92,PROFIT_TARGET,GBPNZD,AUDCHF,20.6,17.6,0.00087,0.00024,1.89942,1.9059300000000001,0.67389,0.67419,1.0,3.61,3.6116,65.1,3.0,68.1,396.95,136.59,533.54
31,SHORT,2020-12-23 16:20:00,2020-12-23 16:40:00,0.33,PROFIT_TARGET,GBPNZD,AUDCHF,78.0,80.3,0.00195,0.00041,1.90577,1.90624,0.6744,0.67306,1.0,4.76,4.7561,-4.7,13.4,8.7,-28.65,804.32,775.67
