ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-01-04 01:15:00,2021-01-04 15:20:00,14.08,PROFIT_TARGET,GBPNZD,NZDCAD,82.1,78.5,0.00129,0.00047,1.90003,1.8904100000000001,0.91504,0.91528,1.0,2.73,2.7331,96.2,-2.4,93.8,586.36,-48.15,538.21
2,LONG,2021-01-20 17:35:00,2021-01-21 04:30:00,10.92,PROFIT_TARGET,GBPNZD,NZDCAD,21.9,19.7,0.00155,0.00061,1.90431,1.89998,0.90417,0.90835,1.0,2.54,2.5359,-43.3,41.8,-1.5,-263.97,780.36,516.39
3,LONG,2021-01-29 22:40:00,2021-02-01 22:55:00,72.25,PROFIT_TARGET,GBPNZD,NZDCAD,17.4,22.1,0.00092,0.00035,1.90547,1.9089399999999999,0.91866,0.9202,1.0,2.62,2.6171,34.7,15.4,50.1,211.54,296.56,508.1
4,SHORT,2021-03-11 01:50:00,2021-03-12 11:15:00,33.42,PROFIT_TARGET,GBPNZD,NZDCAD,75.8,79.3,0.00035,0.0002,1.93683,1.94036,0.90758,0.90197,1.0,1.76,1.7576,-35.3,56.1,20.8,-215.16,725.61,510.45
5,LONG,2021-03-29 12:05:00,2021-04-05 19:35:00,175.5,PROFIT_TARGET,GBPNZD,NZDCAD,23.7,17.9,0.00081,0.00033,1.9773100000000001,1.96895,0.87951,0.88535,1.0,2.43,2.4251,-83.6,58.4,-25.2,-509.64,1043.06,533.42
6,SHORT,2021-04-05 19:40:00,2021-04-06 14:45:00,19.08,PROFIT_TARGET,GBPNZD,NZDCAD,82.9,91.2,0.0004,0.00028,1.96914,1.96779,0.88554,0.88149,1.0,1.41,1.4143,13.5,40.5,54.0,82.29,419.66,501.95
7,LONG,2021-04-06 19:15:00,2021-04-06 21:35:00,2.33,PROFIT_TARGET,GBPNZD,NZDCAD,16.0,24.1,0.00097,0.00033,1.96033,1.96027,0.88334,0.8861,1.0,2.92,2.9157,-0.6,27.6,27.0,-3.66,592.35,588.69
8,LONG,2021-04-07 22:35:00,2021-04-19 13:55:00,279.33,PROFIT_TARGET,GBPNZD,NZDCAD,21.2,21.4,0.00048,0.00027,1.95884,1.9370699999999998,0.8837,0.8976,1.0,1.8,1.797,-217.7,139.0,-78.7,-1327.14,1838.98,511.84
9,SHORT,2021-04-19 14:35:00,2021-04-22 15:00:00,72.42,PROFIT_TARGET,GBPNZD,NZDCAD,89.3,77.0,0.00091,0.00035,1.9399199999999999,1.9318300000000002,0.89797,0.89778,1.0,2.6,2.6,80.9,1.9,82.8,493.1,36.3,529.4
10,LONG,2021-04-26 14:40:00,2021-07-19 11:30:00,2012.83,PROFIT_TARGET,GBPNZD,NZDCAD,22.7,21.3,0.00113,0.00035,1.92118,1.97043,0.89775,0.88719,1.0,3.22,3.2229,492.5,-105.6,386.9,3002.38,-2499.24,503.14
11,SHORT,2021-07-19 12:05:00,2021-07-19 15:25:00,3.33,PROFIT_TARGET,GBPNZD,NZDCAD,86.3,78.3,0.00129,0.00073,1.9712,1.9700600000000001,0.8879,0.88433,1.0,1.76,1.7623,11.4,35.7,47.1,69.48,461.75,531.23
12,LONG,2021-07-19 15:30:00,2021-07-28 02:05:00,202.58,PROFIT_TARGET,GBPNZD,NZDCAD,11.8,20.9,0.00126,0.00069,1.96982,1.9954,0.88474,0.87686,1.0,1.81,1.8098,255.8,-78.8,177.0,1559.41,-1048.32,511.09
13,LONG,2021-07-28 03:30:00,2021-08-03 17:40:00,158.17,PROFIT_TARGET,GBPNZD,NZDCAD,22.2,8.9,0.0011,0.00029,1.99257,1.98309,0.87565,0.87956,1.0,3.84,3.8392,-94.8,39.1,-55.7,-577.92,1103.56,525.64
14,LONG,2021-08-12 04:50:00,2021-08-16 13:25:00,104.58,PROFIT_TARGET,GBPNZD,NZDCAD,17.9,22.0,0.00042,0.00023,1.9699499999999999,1.97363,0.87985,0.88218,1.0,1.88,1.8761,36.8,23.3,60.1,224.34,321.96,546.3
15,SHORT,2021-08-16 18:20:00,2021-08-17 13:20:00,19.0,PROFIT_TARGET,GBPNZD,NZDCAD,76.4,89.8,0.00058,0.00029,1.9724300000000001,1.99072,0.88368,0.87235,1.0,1.98,1.9796,-182.9,113.3,-69.6,-1114.78,1648.63,533.85
16,LONG,2021-08-17 13:35:00,2021-08-18 04:00:00,14.42,PROFIT_TARGET,GBPNZD,NZDCAD,20.9,25.0,0.00083,0.00034,1.9896500000000001,1.99729,0.87223,0.87456,1.0,2.43,2.4269,76.4,23.3,99.7,465.75,416.15,881.9
17,LONG,2021-08-20 13:40:00,2021-11-29 00:00:00,2410.33,TIME_LIMIT,GBPNZD,NZDCAD,22.3,20.4,0.00079,0.00039,1.9944199999999999,1.9494,0.87986,0.87055,1.0,2.04,2.0359,-450.2,-93.1,-543.3,-2744.51,-1395.95,-4140.46
18,LONG,2021-12-08 23:45:00,2021-12-09 15:30:00,15.75,PROFIT_TARGET,GBPNZD,NZDCAD,22.0,24.0,0.00062,0.00022,1.9384700000000001,1.94513,0.8611,0.86167,1.0,2.89,2.8889,66.6,5.7,72.3,406.01,121.08,527.09
