ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-22 14:05:00,2020-01-22 15:55:00,1.83,PROFIT_TARGET,GBPNZD,NZDCHF,80.5,80.1,0.00161,0.00031,1.9857900000000002,1.98781,0.64126,0.64026,1.0,5.0,5.0,-20.2,10.0,-10.2,-123.13,630.48,507.35
2,LONG,2020-03-04 10:30:00,2020-03-04 13:25:00,2.92,PROFIT_TARGET,GBPNZD,NZDCHF,24.9,22.5,0.00138,0.0004,2.03376,2.02901,0.60014,0.60207,1.0,3.49,3.4949,-47.5,19.3,-28.2,-289.58,849.44,559.86
3,SHORT,2020-03-30 02:40:00,2020-03-30 02:45:00,0.08,PROFIT_TARGET,GBPNZD,NZDCHF,76.0,80.9,0.00339,0.00079,2.06442,2.0645,0.5752,0.57423,1.0,4.28,4.2778,-0.8,9.7,8.9,-4.88,523.5,518.62
4,SHORT,2020-04-06 04:00:00,2020-04-06 06:10:00,2.17,PROFIT_TARGET,GBPNZD,NZDCHF,76.9,81.7,0.00126,0.00061,2.08412,2.07999,0.57453,0.57349,1.0,2.06,2.059,41.3,10.4,51.7,251.74,270.15,521.89
5,SHORT,2020-04-06 09:00:00,2020-04-21 15:55:00,366.92,PROFIT_TARGET,GBPNZD,NZDCHF,77.5,79.6,0.00171,0.00061,2.08162,2.06321,0.57571,0.57704,1.0,2.82,2.8185,184.1,-13.3,170.8,1122.18,-472.92,649.26
6,LONG,2020-05-04 03:15:00,2020-05-04 04:05:00,0.83,PROFIT_TARGET,GBPNZD,NZDCHF,22.2,22.3,0.00177,0.00032,2.06554,2.06531,0.57899,0.57984,1.0,5.0,5.0,-2.3,8.5,6.2,-14.02,535.96,521.94
7,LONG,2020-05-07 01:45:00,2020-05-07 03:05:00,1.33,PROFIT_TARGET,GBPNZD,NZDCHF,22.0,24.8,0.00115,0.00031,2.05215,2.0491,0.58477,0.58638,1.0,3.67,3.6688,-30.5,16.1,-14.4,-185.94,745.14,559.2
8,LONG,2020-05-07 16:25:00,2020-05-07 16:50:00,0.42,PROFIT_TARGET,GBPNZD,NZDCHF,18.6,19.9,0.00165,0.00031,2.03227,2.03525,0.58955,0.59054,1.0,5.0,5.0,29.8,9.9,39.7,181.67,624.24,805.91
9,LONG,2020-05-11 04:00:00,2020-05-11 04:30:00,0.5,PROFIT_TARGET,GBPNZD,NZDCHF,22.0,24.1,0.00108,0.0003,2.02046,2.02194,0.59537,0.59631,1.0,3.59,3.5867,14.8,9.4,24.2,90.23,425.56,515.79
10,SHORT,2020-05-11 05:05:00,2020-05-11 10:45:00,5.67,PROFIT_TARGET,GBPNZD,NZDCHF,77.3,86.4,0.00084,0.00039,2.02358,2.02637,0.59678,0.59419,1.0,2.13,2.132,-27.9,25.9,-2.0,-170.06,695.61,525.55
11,SHORT,2020-05-11 20:25:00,2020-05-11 21:00:00,0.58,PROFIT_TARGET,GBPNZD,NZDCHF,75.6,79.6,0.00114,0.00033,2.03229,2.03109,0.59136,0.59023,1.0,3.48,3.4756,12.0,11.3,23.3,73.15,495.85,569.0
12,SHORT,2020-05-19 03:15:00,2020-05-19 04:00:00,0.75,PROFIT_TARGET,GBPNZD,NZDCHF,75.8,80.3,0.0014,0.00056,2.02231,2.02122,0.5879,0.58639,1.0,2.52,2.5161,10.9,15.1,26.0,66.44,479.81,546.25
13,LONG,2020-05-20 10:40:00,2020-05-20 11:45:00,1.08,PROFIT_TARGET,GBPNZD,NZDCHF,23.4,22.2,0.00107,0.00045,2.00422,2.00456,0.58963,0.59123,1.0,2.39,2.3901,3.4,16.0,19.4,20.73,482.24,502.97
14,SHORT,2020-05-25 07:40:00,2020-05-25 10:45:00,3.08,PROFIT_TARGET,GBPNZD,NZDCHF,92.9,92.4,0.0006,0.00015,1.99861,1.99714,0.59291,0.59188,1.0,4.01,4.0133,14.7,10.3,25.0,89.6,520.8,610.4
15,LONG,2020-05-26 19:20:00,2020-05-26 21:45:00,2.42,PROFIT_TARGET,GBPNZD,NZDCHF,16.1,17.8,0.00094,0.00031,1.98564,1.98618,0.59935,0.60079,1.0,2.99,2.9936,5.4,14.4,19.8,32.92,542.97,575.89
16,SHORT,2020-05-26 21:55:00,2020-05-26 22:40:00,0.75,PROFIT_TARGET,GBPNZD,NZDCHF,79.9,77.9,0.00127,0.00033,1.98827,1.98849,0.60053,0.59925,1.0,3.85,3.8485,-2.2,12.8,10.6,-13.41,621.38,607.97
17,LONG,2020-05-27 17:00:00,2020-05-28 09:05:00,16.08,PROFIT_TARGET,GBPNZD,NZDCHF,25.0,24.5,0.00209,0.00084,1.9813100000000001,1.9823300000000001,0.59812,0.60007,1.0,2.49,2.4929,10.2,19.5,29.7,62.18,612.32,674.5
