ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-06 12:15:00,2020-01-07 16:45:00,28.5,PROFIT_TARGET,GBPNZD,NZDJPY,77.9,77.2,0.00169,0.0282,1.97149,1.9776500000000001,72.086,71.821,1.0,5.0,5.0,-61.6,26.5,-35.1,-375.45,920.6,545.15
2,SHORT,2020-01-22 14:10:00,2020-01-22 20:05:00,5.92,PROFIT_TARGET,GBPNZD,NZDJPY,78.0,76.3,0.0016,0.0334,1.98609,1.99233,72.62,72.353,1.0,4.8,4.7964,-62.4,26.7,-35.7,-380.32,890.45,510.13
3,LONG,2020-03-16 11:20:00,2020-03-16 16:40:00,5.33,PROFIT_TARGET,GBPNZD,NZDJPY,20.5,23.8,0.00345,0.0784,2.03173,2.02362,64.067,64.394,1.0,4.41,4.4056,-81.1,32.7,-48.4,-494.4,1002.0,507.6
4,SHORT,2020-04-06 04:00:00,2020-04-06 07:45:00,3.75,PROFIT_TARGET,GBPNZD,NZDJPY,76.9,79.3,0.00126,0.0824,2.08412,2.07594,64.059,63.942,1.0,1.52,1.5243,81.8,11.7,93.5,498.56,123.56,622.12
5,SHORT,2020-04-06 09:00:00,2020-04-06 15:10:00,6.17,PROFIT_TARGET,GBPNZD,NZDJPY,77.5,77.8,0.00171,0.084,2.08162,2.06554,64.263,64.561,1.0,2.03,2.0333,160.8,-29.8,131.0,980.06,-420.31,559.75
6,LONG,2020-04-13 13:30:00,2020-04-14 04:45:00,15.25,PROFIT_TARGET,GBPNZD,NZDJPY,23.2,23.4,0.00142,0.0368,2.05508,2.05029,65.519,65.816,1.0,3.85,3.8533,-47.9,29.7,-18.2,-292.01,794.51,502.5
7,LONG,2020-04-14 10:00:00,2020-04-14 10:50:00,0.83,PROFIT_TARGET,GBPNZD,NZDJPY,23.6,24.0,0.00133,0.066,2.05357,2.0607,65.643,65.79,1.0,2.02,2.0152,71.3,14.7,86.0,434.66,206.32,640.98
8,LONG,2020-04-15 09:50:00,2020-04-15 11:10:00,1.33,PROFIT_TARGET,GBPNZD,NZDJPY,24.6,17.5,0.00215,0.0572,2.07995,2.08142,64.53,64.71,1.0,3.76,3.7622,14.7,18.0,32.7,89.61,470.26,559.87
9,SHORT,2020-04-16 02:55:00,2020-04-16 03:15:00,0.33,PROFIT_TARGET,GBPNZD,NZDJPY,75.1,77.2,0.00185,0.0738,2.09724,2.09487,64.518,64.291,1.0,2.51,2.5095,23.7,22.7,46.4,144.45,395.87,540.32
10,LONG,2020-04-17 09:20:00,2020-04-17 09:45:00,0.42,PROFIT_TARGET,GBPNZD,NZDJPY,20.6,22.1,0.00182,0.0728,2.07542,2.08301,64.625,64.654,1.0,2.49,2.4945,75.9,2.9,78.8,462.7,50.17,512.87
11,LONG,2020-04-17 11:00:00,2020-04-20 01:45:00,62.75,PROFIT_TARGET,GBPNZD,NZDJPY,24.4,14.5,0.00117,0.059,2.07821,2.07404,64.373,64.935,1.0,1.98,1.9831,-41.7,56.2,14.5,-254.21,773.18,518.97
12,SHORT,2020-04-20 07:55:00,2020-04-20 09:05:00,1.17,PROFIT_TARGET,GBPNZD,NZDJPY,76.7,85.5,0.00101,0.0462,2.0635,2.06051,65.317,65.078,1.0,2.19,2.1905,29.9,23.9,53.8,182.24,363.66,545.9
13,LONG,2020-04-21 05:35:00,2020-04-21 10:25:00,4.83,PROFIT_TARGET,GBPNZD,NZDJPY,23.1,17.2,0.00142,0.093,2.06588,2.07521,64.412,64.351,1.0,1.52,1.5247,93.3,-6.1,87.2,568.78,-64.43,504.35
14,SHORT,2020-04-23 22:05:00,2020-04-23 23:55:00,1.83,PROFIT_TARGET,GBPNZD,NZDJPY,82.9,75.7,0.0012,0.0422,2.05463,2.05261,64.79,64.598,1.0,2.84,2.8436,20.2,19.2,39.4,123.12,378.86,501.98
15,LONG,2020-04-29 13:15:00,2020-04-29 15:30:00,2.25,PROFIT_TARGET,GBPNZD,NZDJPY,24.1,21.2,0.00169,0.0388,2.03603,2.04017,64.765,64.886,1.0,4.37,4.366,41.4,12.1,53.5,252.38,367.41,619.79
16,LONG,2020-05-04 03:15:00,2020-05-04 06:05:00,2.83,PROFIT_TARGET,GBPNZD,NZDJPY,22.2,24.8,0.00177,0.057,2.06554,2.0642,64.168,64.442,1.0,3.1,3.1018,-13.4,27.4,14.0,-81.69,590.19,508.5
17,SHORT,2020-05-05 21:55:00,2020-05-06 00:00:00,2.08,PROFIT_TARGET,GBPNZD,NZDJPY,81.0,75.1,0.00104,0.0326,2.05319,2.0559,64.669,64.324,1.0,3.19,3.1902,-27.1,34.5,7.4,-165.17,764.65,599.48
18,LONG,2020-05-07 01:40:00,2020-05-07 08:35:00,6.92,PROFIT_TARGET,GBPNZD,NZDJPY,23.5,24.7,0.0012,0.045,2.05277,2.05255,63.611,63.959,1.0,2.67,2.6711,-2.2,34.8,32.6,-13.41,645.61,632.2
19,LONG,2020-05-13 07:30:00,2020-05-13 08:20:00,0.83,PROFIT_TARGET,GBPNZD,NZDJPY,22.6,24.2,0.00163,0.06,2.03799,2.04105,64.335,64.519,1.0,2.72,2.72,30.6,18.4,49.0,186.54,347.75,534.29
20,SHORT,2020-05-19 03:15:00,2020-05-19 06:00:00,2.75,PROFIT_TARGET,GBPNZD,NZDJPY,75.8,83.9,0.0014,0.0844,2.02231,2.01771,65.026,64.828,1.0,1.66,1.6635,46.0,19.8,65.8,280.37,228.36,508.73
21,SHORT,2020-05-19 21:15:00,2020-05-19 22:35:00,1.33,PROFIT_TARGET,GBPNZD,NZDJPY,77.6,91.5,0.00179,0.032,2.01299,2.01506,65.828,65.586,1.0,5.0,5.0,-20.7,24.2,3.5,-126.16,840.7,714.54
22,LONG,2020-05-20 05:30:00,2020-05-26 18:10:00,156.67,PROFIT_TARGET,GBPNZD,NZDJPY,24.8,24.4,0.001,0.0526,2.00756,1.98957,65.719,66.946,1.0,1.9,1.8973,-179.9,122.7,-57.2,-1096.71,1619.87,523.16
23,LONG,2020-05-26 19:20:00,2020-05-26 21:55:00,2.58,PROFIT_TARGET,GBPNZD,NZDJPY,16.1,17.2,0.00094,0.0406,1.98564,1.98827,66.71,66.93,1.0,2.32,2.3153,26.3,22.0,48.3,160.33,354.64,514.97
24,SHORT,2020-05-26 22:05:00,2020-05-26 22:55:00,0.83,PROFIT_TARGET,GBPNZD,NZDJPY,87.9,76.5,0.00125,0.0432,1.9887899999999998,1.9893100000000001,66.925,66.616,1.0,2.9,2.8981,-5.2,30.9,25.7,-31.69,622.6,590.91
25,LONG,2020-05-28 07:20:00,2020-05-28 09:05:00,1.75,PROFIT_TARGET,GBPNZD,NZDJPY,23.8,20.7,0.00075,0.0372,1.98047,1.9823300000000001,66.549,66.865,1.0,2.02,2.0215,18.6,31.6,50.2,113.39,443.53,556.92
26,SHORT,2020-06-02 03:30:00,2020-06-11 07:20:00,219.83,PROFIT_TARGET,GBPNZD,NZDJPY,81.1,75.9,0.00098,0.0598,1.9894699999999998,1.95134,67.795,69.376,1.0,1.65,1.6455,381.3,-158.1,223.2,2323.99,-1812.47,511.52
27,SHORT,2020-06-12 05:30:00,2020-06-12 17:55:00,12.42,PROFIT_TARGET,GBPNZD,NZDJPY,81.3,77.3,0.00082,0.0694,1.96009,1.9479199999999999,68.583,68.797,1.0,1.18,1.1844,121.7,-21.4,100.3,741.75,-175.45,566.3
28,LONG,2020-06-12 18:00:00,2020-06-15 00:15:00,54.25,PROFIT_TARGET,GBPNZD,NZDJPY,22.6,19.6,0.00202,0.1332,1.94592,1.94591,68.697,69.241,1.0,1.52,1.5195,-0.1,54.4,54.3,-0.61,574.55,573.94
