ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-03 09:55:00,2020-01-06 11:35:00,73.67,PROFIT_TARGET,GBPUSD,USDCAD,18.8,22.7,0.00087,0.00058,1.30908,1.31399,1.29637,1.29675,1.0,1.48,1.4829,49.1,3.8,52.9,491.0,43.37,534.37
2,LONG,2020-01-13 03:05:00,2020-01-17 11:15:00,104.17,PROFIT_TARGET,GBPUSD,USDCAD,10.1,23.0,0.00024,0.00017,1.30337,1.31144,1.30575,1.30401,1.0,1.38,1.3793,80.7,-17.4,63.3,807.0,-184.14,622.86
3,SHORT,2020-01-17 14:35:00,2020-01-20 08:25:00,65.83,PROFIT_TARGET,GBPUSD,USDCAD,80.1,78.4,0.0006,0.00023,1.3053,1.29938,1.30567,1.30602,1.0,2.62,2.6174,59.2,-3.5,55.7,592.0,-70.21,521.79
4,SHORT,2020-01-23 02:05:00,2020-01-24 11:55:00,33.83,PROFIT_TARGET,GBPUSD,USDCAD,77.3,76.8,0.00016,0.00038,1.31455,1.3093,1.3148,1.31344,1.0,0.42,0.4202,52.5,13.6,66.1,525.0,43.49,568.49
5,SHORT,2020-01-31 09:35:00,2020-02-12 16:45:00,295.17,PROFIT_TARGET,GBPUSD,USDCAD,77.6,79.5,0.00074,0.00021,1.31179,1.29561,1.32164,1.32581,1.0,3.49,3.4906,161.8,-41.7,120.1,1618.0,-1097.69,520.31
6,SHORT,2020-02-13 09:15:00,2020-02-19 19:05:00,153.83,PROFIT_TARGET,GBPUSD,USDCAD,77.9,75.0,0.00028,0.00027,1.29543,1.29251,1.32634,1.32309,1.0,1.07,1.0677,29.2,32.5,61.7,292.0,262.83,554.83
7,SHORT,2020-02-25 11:55:00,2020-02-25 14:35:00,2.67,PROFIT_TARGET,GBPUSD,USDCAD,80.7,76.9,0.00078,0.00031,1.2993999999999999,1.29663,1.32986,1.3286,1.0,2.49,2.4904,27.7,12.6,40.3,277.0,236.14,513.14
8,LONG,2020-02-26 05:10:00,2020-03-05 22:45:00,209.58,PROFIT_TARGET,GBPUSD,USDCAD,18.9,16.8,0.00019,0.00023,1.29975,1.29645,1.32758,1.34155,1.0,0.82,0.8158,-33.0,139.7,106.7,-330.0,853.89,523.89
9,SHORT,2020-03-06 21:45:00,2020-03-12 15:40:00,137.92,PROFIT_TARGET,GBPUSD,USDCAD,81.4,83.6,0.00048,0.00044,1.30179,1.2651,1.34306,1.3829,1.0,1.09,1.0905,366.9,-398.4,-31.5,3669.0,-3140.18,528.82
10,SHORT,2020-03-17 19:10:00,2020-03-18 13:15:00,18.08,PROFIT_TARGET,GBPUSD,USDCAD,80.0,78.6,0.00136,0.00137,1.20628,1.19317,1.42337,1.43256,1.0,0.99,0.9927,131.1,-91.9,39.2,1311.0,-635.09,675.91
11,SHORT,2020-03-24 13:10:00,2020-03-25 15:25:00,26.25,PROFIT_TARGET,GBPUSD,USDCAD,80.8,82.4,0.00164,0.0012,1.17834,1.18344,1.4415,1.4306,1.0,1.37,1.3667,-51.0,109.0,58.0,-510.0,1043.83,533.83
12,LONG,2020-03-25 15:35:00,2020-03-26 09:25:00,17.83,PROFIT_TARGET,GBPUSD,USDCAD,22.9,18.9,0.0019,0.00175,1.1796,1.1890100000000001,1.43098,1.42602,1.0,1.09,1.0892,94.1,-49.6,44.5,941.0,-379.13,561.87
13,LONG,2020-04-13 23:10:00,2020-04-14 05:00:00,5.83,PROFIT_TARGET,GBPUSD,USDCAD,23.7,23.2,0.00035,0.0007,1.25109,1.2559,1.38556,1.38704,1.0,0.5,0.4957,48.1,14.8,62.9,481.0,53.35,534.35
14,LONG,2020-04-15 06:20:00,2020-04-15 21:20:00,15.0,PROFIT_TARGET,GBPUSD,USDCAD,24.4,24.1,0.00027,0.00034,1.26072,1.25651,1.38968,1.40629,1.0,0.8,0.7976,-42.1,166.1,124.0,-421.0,944.9,523.9
15,LONG,2020-05-07 03:00:00,2020-05-07 10:10:00,7.17,PROFIT_TARGET,GBPUSD,USDCAD,21.6,20.0,0.00026,0.00042,1.23233,1.23971,1.4154200000000001,1.41068,1.0,0.63,0.6268,73.8,-47.4,26.4,738.0,-211.69,526.31
16,LONG,2020-05-25 23:55:00,2020-05-26 12:00:00,12.08,PROFIT_TARGET,GBPUSD,USDCAD,16.7,17.9,0.00094,0.00084,1.21799,1.2312,1.39777,1.38832,1.0,1.12,1.1164,132.1,-94.5,37.6,1321.0,-762.36,558.64
17,SHORT,2020-07-16 18:35:00,2020-07-17 15:35:00,21.0,PROFIT_TARGET,GBPUSD,USDCAD,75.3,83.5,0.0007,0.0005,1.26144,1.25245,1.35357,1.35736,1.0,1.41,1.4137,89.9,-37.9,52.0,899.0,-393.7,505.3
18,SHORT,2020-07-30 21:55:00,2020-08-03 12:50:00,86.92,PROFIT_TARGET,GBPUSD,USDCAD,75.4,81.5,0.00039,0.00053,1.309,1.30412,1.34391,1.3431199999999999,1.0,0.74,0.7424,48.8,7.9,56.7,488.0,43.53,531.53
19,SHORT,2020-09-01 13:05:00,2020-09-02 10:30:00,21.42,PROFIT_TARGET,GBPUSD,USDCAD,76.8,79.5,0.00052,0.00039,1.34418,1.33323,1.3014700000000001,1.30721,1.0,1.33,1.3299,109.5,-57.4,52.1,1095.0,-584.01,510.99
