ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-03 04:10:00,2020-01-07 10:35:00,102.42,PROFIT_TARGET,GBPUSD,USDCHF,23.6,12.6,0.00058,0.0004,1.31363,1.32042,0.96985,0.96887,1.0,1.45,1.4472,67.9,-9.8,58.1,679.0,-146.67,532.33
2,SHORT,2020-01-08 04:00:00,2020-01-09 11:40:00,31.67,PROFIT_TARGET,GBPUSD,USDCHF,75.8,87.7,0.00043,0.00066,1.3125,1.30429,0.9697,0.97404,1.0,0.65,0.6476,82.1,-43.4,38.7,821.0,-289.62,531.38
3,SHORT,2020-01-09 22:35:00,2020-01-13 07:25:00,80.83,PROFIT_TARGET,GBPUSD,USDCHF,76.5,77.2,0.00024,0.00017,1.3067,1.3026900000000001,0.97356,0.97284,1.0,1.43,1.4286,40.1,7.2,47.3,401.0,105.83,506.83
4,SHORT,2020-01-14 01:25:00,2020-01-14 10:50:00,9.42,PROFIT_TARGET,GBPUSD,USDCHF,75.3,76.1,0.00014,0.00012,1.29911,1.29674,0.97078,0.9685,1.0,1.17,1.1724,23.7,22.8,46.5,237.0,275.44,512.44
5,SHORT,2020-01-22 02:25:00,2020-01-30 10:15:00,199.83,PROFIT_TARGET,GBPUSD,USDCHF,75.3,75.4,0.00015,0.00018,1.30531,1.29797,0.969,0.97118,1.0,0.82,0.8222,73.4,-21.8,51.6,734.0,-184.06,549.94
6,SHORT,2020-01-31 03:00:00,2020-02-03 11:10:00,80.17,PROFIT_TARGET,GBPUSD,USDCHF,90.0,75.7,0.00031,0.00029,1.31025,1.31046,0.97009,0.96548,1.0,1.1,1.0979,-2.1,46.1,44.0,-21.0,525.23,504.23
7,LONG,2020-02-03 12:00:00,2020-02-04 07:35:00,19.58,PROFIT_TARGET,GBPUSD,USDCHF,17.2,23.9,0.00116,0.00032,1.30746,1.30164,0.96413,0.96709,1.0,3.66,3.6646,-58.2,29.6,-28.6,-582.0,1120.23,538.23
8,LONG,2020-02-05 07:35:00,2020-02-05 11:30:00,3.92,PROFIT_TARGET,GBPUSD,USDCHF,22.9,18.8,0.00015,0.00014,1.30151,1.3061,0.96908,0.97083,1.0,1.07,1.0725,45.9,17.5,63.4,459.0,192.88,651.88
9,SHORT,2020-02-10 04:15:00,2020-02-27 12:05:00,415.83,PROFIT_TARGET,GBPUSD,USDCHF,76.3,77.3,0.00015,0.00023,1.28972,1.28742,0.97746,0.97254,1.0,0.67,0.6726,23.0,49.2,72.2,230.0,338.95,568.95
10,LONG,2020-03-02 13:25:00,2020-03-04 21:05:00,55.67,PROFIT_TARGET,GBPUSD,USDCHF,24.9,22.0,0.00087,0.00047,1.2756,1.2865,0.95967,0.95699,1.0,1.86,1.8584,109.0,-26.8,82.2,1090.0,-520.88,569.12
