ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-10-20 00:00:00,2021-10-25 00:00:00,120.0,PROFIT_TARGET,GBPUSD,USDJPY,81.7,81.4,0.00024,0.582,1.37928,1.37366,114.209,113.697,1.0,0.2,0.2,56.2,51.2,107.4,562.0,90.06,652.06
2,LONG,2023-01-02 20:00:00,2023-01-04 20:00:00,48.0,PROFIT_TARGET,GBPUSD,USDJPY,21.2,22.1,0.00028,0.1324,1.20459,1.2068699999999999,130.772,132.547,1.0,0.21,0.2115,22.8,177.5,200.3,228.0,281.22,509.22
3,SHORT,2023-02-13 15:00:00,2023-02-15 16:00:00,49.0,PROFIT_TARGET,GBPUSD,USDJPY,76.4,75.5,0.00089,0.312,1.21068,1.20144,132.431,133.901,1.0,0.29,0.2853,92.4,-147.0,-54.6,924.0,-318.37,605.63
4,SHORT,2023-02-28 17:00:00,2023-02-28 19:00:00,2.0,PROFIT_TARGET,GBPUSD,USDJPY,76.4,76.9,0.0011,0.1914,1.21398,1.20905,136.671,136.097,1.0,0.57,0.5737,49.3,57.4,106.7,493.0,240.4,733.4
5,LONG,2023-03-15 17:00:00,2023-03-16 19:00:00,26.0,PROFIT_TARGET,GBPUSD,USDJPY,21.4,24.0,0.00121,0.8166,1.2059199999999999,1.21071,132.731,133.016,1.0,0.2,0.2,47.9,28.5,76.4,479.0,42.85,521.85
6,SHORT,2023-03-27 05:00:00,2023-07-05 05:00:00,2400.0,TIME_LIMIT,GBPUSD,USDJPY,78.6,79.3,0.00049,0.2952,1.22397,1.27064,130.876,144.598,1.0,0.2,0.2,-466.7,-1372.2,-1838.9,-4667.0,-1897.95,-6564.95
7,LONG,2023-08-23 12:00:00,2023-08-30 17:00:00,173.0,PROFIT_TARGET,GBPUSD,USDJPY,23.8,20.3,0.00083,0.199,1.2674400000000001,1.2736399999999999,145.362,145.617,1.0,0.42,0.4171,62.0,25.5,87.5,620.0,73.55,693.55
8,LONG,2023-12-07 08:00:00,2023-12-14 14:00:00,174.0,PROFIT_TARGET,GBPUSD,USDJPY,8.2,19.0,0.0003,0.2484,1.25473,1.27084,146.542,141.421,1.0,0.2,0.2,161.1,-512.1,-351.0,1611.0,-724.22,886.78
9,SHORT,2023-12-19 11:00:00,2023-12-20 15:00:00,28.0,PROFIT_TARGET,GBPUSD,USDJPY,88.8,76.5,0.0006,0.619,1.26807,1.26444,144.607,143.567,1.0,0.2,0.2,36.3,104.0,140.3,363.0,144.88,507.88
10,SHORT,2024-04-15 13:00:00,2024-04-16 06:00:00,17.0,PROFIT_TARGET,GBPUSD,USDJPY,86.2,77.6,0.00057,0.1378,1.24871,1.24249,153.873,154.317,1.0,0.41,0.4122,62.2,-44.4,17.8,622.0,-117.96,504.04
11,SHORT,2024-04-25 02:00:00,2024-08-05 01:00:00,2447.0,TIME_LIMIT,GBPUSD,USDJPY,77.7,78.8,0.0001,0.083,1.24589,1.27957,155.224,146.44,1.0,0.2,0.2,-336.8,878.4,541.6,-3368.0,1199.67,-2168.33
12,LONG,2024-08-08 04:00:00,2024-08-08 18:00:00,14.0,PROFIT_TARGET,GBPUSD,USDJPY,24.7,21.8,0.00049,0.5768,1.26846,1.2720500000000001,146.0,147.291,1.0,0.2,0.2,35.9,129.1,165.0,359.0,175.3,534.3
13,SHORT,2024-08-09 03:00:00,2024-11-15 22:05:00,2371.08,PROFIT_TARGET,GBPUSD,USDJPY,88.9,80.7,0.00025,0.2464,1.27428,1.26074,147.694,154.231,1.0,0.2,0.2,135.4,-653.7,-518.3,1354.0,-847.69,506.31
14,LONG,2024-11-19 10:35:00,2024-11-19 21:10:00,10.58,PROFIT_TARGET,GBPUSD,USDJPY,23.7,4.1,0.00077,0.1994,1.26541,1.268,153.56,154.637,1.0,0.39,0.3852,25.9,107.7,133.6,259.0,271.62,530.62
15,SHORT,2024-11-21 13:25:00,2024-11-21 18:45:00,5.33,PROFIT_TARGET,GBPUSD,USDJPY,77.2,78.5,0.00053,0.07,1.26479,1.25887,154.458,154.604,1.0,0.76,0.76,59.2,-14.6,44.6,592.0,-71.77,520.23
16,LONG,2024-12-04 05:15:00,2024-12-04 09:00:00,3.75,PROFIT_TARGET,GBPUSD,USDJPY,17.6,24.1,0.00033,0.0804,1.26583,1.26977,149.644,150.057,1.0,0.41,0.408,39.4,41.3,80.7,394.0,112.84,506.84
