ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2021-01-04 02:50:00,2021-01-06 06:20:00,51.5,PROFIT_TARGET,NZDCAD,CADJPY,22.4,18.4,0.0003,0.0432,0.91429,0.92012,80.959,81.113,1.0,0.7,0.7037,58.3,15.4,73.7,428.5,74.91,503.41
2,SHORT,2021-01-13 01:10:00,2021-01-14 00:00:00,22.83,PROFIT_TARGET,NZDCAD,CADJPY,77.3,75.6,0.00037,0.0252,0.9186,0.91052,81.628,81.68,1.0,1.45,1.4524,80.8,-5.2,75.6,593.78,-52.39,541.39
3,LONG,2021-01-15 10:45:00,2021-01-26 14:40:00,267.92,PROFIT_TARGET,NZDCAD,CADJPY,14.3,20.0,0.00043,0.0292,0.91022,0.91923,81.735,81.584,1.0,1.49,1.4863,90.1,-15.1,75.0,662.22,-156.35,505.87
4,LONG,2021-01-27 15:00:00,2021-01-29 13:35:00,46.58,PROFIT_TARGET,NZDCAD,CADJPY,17.8,22.3,0.00047,0.0448,0.91752,0.92009,81.361,81.795,1.0,1.04,1.0446,25.7,43.4,69.1,188.89,313.66,502.55
5,SHORT,2021-01-29 14:25:00,2021-02-02 00:00:00,81.58,PROFIT_TARGET,NZDCAD,CADJPY,79.3,75.0,0.00061,0.033,0.92102,0.91956,81.863,81.557,1.0,1.85,1.8545,14.6,30.6,45.2,107.29,393.37,500.66
6,SHORT,2021-02-03 01:20:00,2021-05-14 01:20:00,2400.0,TIME_LIMIT,NZDCAD,CADJPY,77.3,82.5,0.00043,0.0202,0.92018,0.87405,82.176,90.001,1.0,2.15,2.1485,461.3,-782.5,-321.2,3390.04,-11690.55,-8300.51
7,SHORT,2021-05-17 01:35:00,2021-05-17 13:40:00,12.08,PROFIT_TARGET,NZDCAD,CADJPY,87.3,87.9,0.00023,0.0194,0.87711,0.87268,90.316,90.097,1.0,1.2,1.1959,44.3,21.9,66.2,325.56,182.62,508.18
8,LONG,2021-05-18 23:55:00,2021-05-26 06:10:00,174.25,PROFIT_TARGET,NZDCAD,CADJPY,16.0,25.0,0.00025,0.034,0.87266,0.87898,90.194,90.289,1.0,0.73,0.7294,63.2,9.5,72.7,464.51,48.19,512.7
9,LONG,2021-05-27 00:00:00,2021-05-27 10:20:00,10.33,PROFIT_TARGET,NZDCAD,CADJPY,24.7,18.4,0.00115,0.0256,0.88176,0.88398,89.98,90.097,1.0,4.48,4.4844,22.2,11.7,33.9,163.17,364.26,527.43
10,LONG,2021-05-28 07:50:00,2021-09-06 00:00:00,2416.17,TIME_LIMIT,NZDCAD,CADJPY,23.1,21.9,0.00021,0.0162,0.8779,0.89543,90.928,87.535,1.0,1.31,1.3086,175.3,-339.3,-164.0,1288.44,-3088.83,-1800.39
