ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-07 16:50:00,2020-03-09 04:10:00,1475.33,PROFIT_TARGET,NZDUSD,EURAUD,20.3,23.3,0.0003,0.00064,0.66281,0.6214,1.62367,1.77489,1.0,0.47,0.4671,-414.1,1512.2,1098.1,-4141.0,4677.98,536.98
2,SHORT,2020-05-27 13:30:00,2020-09-04 13:30:00,2400.0,TIME_LIMIT,NZDUSD,EURAUD,77.7,76.3,0.00046,0.00123,0.62297,0.67229,1.6519300000000001,1.6261100000000002,1.0,0.37,0.3701,-493.2,258.2,-235.0,-4932.0,628.67,-4303.33
3,LONG,2020-10-08 16:20:00,2020-10-09 15:45:00,23.42,PROFIT_TARGET,NZDUSD,EURAUD,24.9,23.9,0.0004,0.00086,0.65785,0.66374,1.63958,1.63715,1.0,0.46,0.4605,58.9,-24.3,34.6,589.0,-73.57,515.43
4,SHORT,2020-10-16 15:15:00,2021-01-25 00:00:00,2408.75,TIME_LIMIT,NZDUSD,EURAUD,75.2,85.4,0.00034,0.00056,0.66176,0.71704,1.65547,1.5757400000000001,1.0,0.61,0.6071,-552.8,797.3,244.5,-5528.0,3200.59,-2327.41
5,LONG,2021-02-08 00:00:00,2021-02-25 13:20:00,421.33,PROFIT_TARGET,NZDUSD,EURAUD,16.9,20.8,0.00049,0.00058,0.71862,0.74551,1.56871,1.53029,1.0,0.84,0.8351,268.9,-384.2,-115.3,2689.0,-2124.2,564.8
6,SHORT,2021-04-22 13:15:00,2021-05-04 13:00:00,287.75,PROFIT_TARGET,NZDUSD,EURAUD,75.5,80.2,0.00033,0.00059,0.71882,0.7129,1.5550199999999998,1.55647,1.0,0.55,0.5522,59.2,-14.5,44.7,592.0,-52.48,539.52
7,SHORT,2021-05-13 01:30:00,2021-06-16 23:20:00,837.83,PROFIT_TARGET,NZDUSD,EURAUD,79.5,76.7,0.0002,0.00027,0.71676,0.70472,1.56202,1.57618,1.0,0.75,0.7519,120.4,-141.6,-21.2,1204.0,-698.88,505.12
8,SHORT,2021-06-22 19:35:00,2021-07-02 10:50:00,231.25,PROFIT_TARGET,NZDUSD,EURAUD,85.4,80.5,0.00045,0.0008,0.70147,0.69541,1.58332,1.5859999999999999,1.0,0.56,0.5636,60.6,-26.8,33.8,606.0,-98.77,507.23
9,LONG,2021-07-06 11:10:00,2021-07-08 16:45:00,53.58,PROFIT_TARGET,NZDUSD,EURAUD,22.7,21.8,0.00046,0.00053,0.70837,0.69608,1.56534,1.59545,1.0,0.88,0.8788,-122.9,301.1,178.2,-1229.0,1743.99,514.99
10,LONG,2021-07-23 00:00:00,2021-07-26 16:35:00,88.58,PROFIT_TARGET,NZDUSD,EURAUD,24.3,24.9,0.00055,0.00105,0.69657,0.69937,1.59252,1.60029,1.0,0.53,0.5276,28.0,77.7,105.7,280.0,271.05,551.05
