ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-03-04 14:45:00,2020-03-06 09:30:00,42.75,PROFIT_TARGET,NZDUSD,EURNZD,15.2,24.0,0.00017,0.00062,0.62943,0.63364,1.7671999999999999,1.77238,1.0,0.27,0.2727,42.1,51.8,93.9,421.0,85.24,506.24
2,SHORT,2020-05-27 13:20:00,2020-05-27 18:40:00,5.33,PROFIT_TARGET,NZDUSD,EURNZD,75.9,77.4,0.00055,0.0018,0.62274,0.61544,1.7701799999999999,1.78098,1.0,0.31,0.3052,73.0,-108.0,-35.0,730.0,-204.02,525.98
3,SHORT,2020-07-17 11:55:00,2020-10-26 00:05:00,2412.17,TIME_LIMIT,NZDUSD,EURNZD,77.4,83.2,0.00022,0.00058,0.65519,0.66862,1.74208,1.77152,1.0,0.38,0.375,-134.3,-294.4,-428.7,-1343.0,-681.74,-2024.74
4,SHORT,2021-05-31 17:55:00,2021-06-03 16:40:00,70.75,PROFIT_TARGET,NZDUSD,EURNZD,80.8,77.3,0.00038,0.00056,0.72798,0.71665,1.6795900000000001,1.69504,1.0,0.67,0.6714,113.3,-154.5,-41.2,1133.0,-630.81,502.19
5,LONG,2021-06-28 00:00:00,2021-09-03 15:30:00,1623.5,PROFIT_TARGET,NZDUSD,EURNZD,17.9,11.7,0.00053,0.00175,0.70547,0.71567,1.68276,1.66187,1.0,0.3,0.3021,102.0,-208.9,-106.9,1020.0,-381.97,638.03
6,LONG,2021-12-09 17:40:00,2021-12-29 17:40:00,480.0,PROFIT_TARGET,NZDUSD,EURNZD,23.2,22.9,0.00036,0.00082,0.67835,0.68366,1.66281,1.66168,1.0,0.44,0.4415,53.1,-11.3,41.8,531.0,-30.3,500.7
7,LONG,2022-01-03 00:25:00,2022-01-13 09:45:00,249.33,PROFIT_TARGET,NZDUSD,EURNZD,18.8,24.8,0.00024,0.00125,0.6832,0.68698,1.65881,1.6688399999999999,1.0,0.2,0.2,37.8,100.3,138.1,378.0,122.26,500.26
8,SHORT,2022-02-03 16:00:00,2022-02-14 10:25:00,258.42,PROFIT_TARGET,NZDUSD,EURNZD,75.4,87.5,0.00077,0.00314,0.66658,0.66064,1.70945,1.71356,1.0,0.25,0.2465,59.4,-41.1,18.3,594.0,-62.61,531.39
9,LONG,2022-02-28 00:00:00,2022-02-28 12:55:00,12.92,PROFIT_TARGET,NZDUSD,EURNZD,6.1,23.4,0.00179,0.00256,0.66806,0.67387,1.66442,1.66601,1.0,0.7,0.6987,58.1,15.9,74.0,581.0,67.84,648.84
10,LONG,2022-03-07 01:05:00,2022-03-09 18:10:00,65.08,PROFIT_TARGET,NZDUSD,EURNZD,21.7,19.5,0.00061,0.00217,0.68461,0.68482,1.58681,1.61615,1.0,0.28,0.2835,2.1,293.4,295.5,21.0,500.71,521.71
