ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-02 19:20:00,2020-01-07 10:30:00,111.17,PROFIT_TARGET,NZDUSD,GBPAUD,14.5,23.0,0.00029,0.00076,0.66898,0.66643,1.87887,1.9100700000000002,1.0,0.38,0.3806,-25.5,312.0,286.5,-255.0,780.36,525.36
2,SHORT,2020-01-07 10:45:00,2020-01-09 11:40:00,48.92,PROFIT_TARGET,NZDUSD,GBPAUD,78.1,81.6,0.00041,0.00193,0.66675,0.66272,1.9094,1.9014600000000002,1.0,0.21,0.211,40.3,79.4,119.7,403.0,109.73,512.73
3,LONG,2020-01-17 23:30:00,2020-01-22 15:05:00,111.58,PROFIT_TARGET,NZDUSD,GBPAUD,16.7,20.5,0.00013,0.00039,0.6611,0.66054,1.89166,1.91669,1.0,0.34,0.3385,-5.6,250.3,244.7,-56.0,560.14,504.14
4,LONG,2020-01-28 09:30:00,2020-05-07 09:30:00,2400.0,TIME_LIMIT,NZDUSD,GBPAUD,21.9,18.4,0.00016,0.00067,0.65393,0.60273,1.9275600000000002,1.9196499999999999,1.0,0.24,0.244,-512.0,-79.1,-591.1,-5120.0,-124.95,-5244.95
5,SHORT,2020-06-05 15:20:00,2020-06-12 17:55:00,170.58,PROFIT_TARGET,NZDUSD,GBPAUD,82.3,79.2,0.00049,0.00118,0.65146,0.64107,1.81538,1.8335599999999999,1.0,0.41,0.415,103.9,-181.8,-77.9,1039.0,-490.53,548.47
6,SHORT,2020-07-08 14:40:00,2020-07-14 16:05:00,145.42,PROFIT_TARGET,NZDUSD,GBPAUD,75.1,80.7,0.00028,0.00058,0.6549,0.65173,1.80673,1.80046,1.0,0.48,0.4793,31.7,62.7,94.4,317.0,198.06,515.06
7,LONG,2020-08-10 13:25:00,2020-08-19 12:05:00,214.67,PROFIT_TARGET,NZDUSD,GBPAUD,24.9,22.5,0.00022,0.00073,0.65842,0.66401,1.82399,1.82221,1.0,0.3,0.3049,55.9,-17.8,38.1,559.0,-35.15,523.85
8,SHORT,2020-08-20 19:05:00,2020-09-23 21:15:00,818.17,PROFIT_TARGET,NZDUSD,GBPAUD,78.6,80.6,0.00037,0.00117,0.65185,0.65493,1.8377599999999998,1.79671,1.0,0.31,0.3135,-30.8,410.5,379.7,-308.0,837.45,529.45
9,SHORT,2020-10-01 14:45:00,2020-10-06 23:50:00,129.08,PROFIT_TARGET,NZDUSD,GBPAUD,79.6,83.7,0.00043,0.00212,0.66524,0.65828,1.79979,1.81236,1.0,0.2,0.2047,69.6,-125.7,-56.1,696.0,-165.44,530.56
10,LONG,2020-10-07 12:05:00,2020-10-09 17:45:00,53.67,PROFIT_TARGET,NZDUSD,GBPAUD,23.8,19.5,0.00023,0.00102,0.65923,0.6658,1.80725,1.79739,1.0,0.22,0.222,65.7,-98.6,-32.9,657.0,-142.78,514.22
11,LONG,2020-10-14 09:50:00,2020-10-14 18:15:00,8.42,PROFIT_TARGET,NZDUSD,GBPAUD,23.8,24.9,0.00019,0.00094,0.66502,0.66813,1.79992,1.81392,1.0,0.21,0.2059,31.1,140.0,171.1,311.0,193.51,504.51
12,LONG,2020-10-14 23:40:00,2020-10-21 17:30:00,161.83,PROFIT_TARGET,NZDUSD,GBPAUD,23.7,23.6,0.00011,0.00051,0.66558,0.66687,1.81671,1.84561,1.0,0.21,0.2095,12.9,289.0,301.9,129.0,399.46,528.46
13,SHORT,2020-11-13 23:10:00,2021-02-22 00:00:00,2400.83,TIME_LIMIT,NZDUSD,GBPAUD,86.9,83.0,0.00014,0.00049,0.68478,0.729,1.81542,1.77977,1.0,0.29,0.2915,-442.2,356.5,-85.7,-4422.0,680.37,-3741.63
14,LONG,2021-03-16 23:00:00,2021-03-17 20:40:00,21.67,PROFIT_TARGET,NZDUSD,GBPAUD,15.9,18.1,0.00035,0.00081,0.71786,0.7241,1.79265,1.78838,1.0,0.43,0.4349,62.4,-42.7,19.7,624.0,-120.85,503.15
15,LONG,2021-04-07 15:55:00,2021-04-14 09:15:00,161.33,PROFIT_TARGET,NZDUSD,GBPAUD,13.4,24.6,0.00042,0.0014,0.70235,0.70963,1.8066,1.7955999999999999,1.0,0.3,0.2991,72.8,-110.0,-37.2,728.0,-217.21,510.79
16,SHORT,2021-05-05 13:20:00,2021-06-17 16:00:00,1034.67,PROFIT_TARGET,NZDUSD,GBPAUD,79.1,87.0,0.00036,0.00077,0.71828,0.70025,1.80029,1.8409499999999999,1.0,0.48,0.4752,180.3,-406.6,-226.3,1803.0,-1284.34,518.66
17,LONG,2021-06-25 00:00:00,2021-07-16 11:40:00,515.67,PROFIT_TARGET,NZDUSD,GBPAUD,24.1,22.3,0.00029,0.00064,0.70566,0.7025,1.83443,1.86238,1.0,0.45,0.4469,-31.6,279.5,247.9,-316.0,827.85,511.85
18,SHORT,2021-07-16 11:50:00,2021-07-19 10:30:00,70.67,PROFIT_TARGET,NZDUSD,GBPAUD,75.3,79.8,0.00046,0.00073,0.70274,0.69796,1.86208,1.8613,1.0,0.63,0.6281,47.8,7.8,55.6,478.0,32.34,510.34
19,SHORT,2021-07-21 20:50:00,2021-09-29 16:05:00,1675.25,PROFIT_TARGET,NZDUSD,GBPAUD,75.7,75.5,0.00019,0.00041,0.69689,0.69039,1.86435,1.8691499999999999,1.0,0.47,0.4683,65.0,-48.0,17.0,650.0,-148.46,501.54
20,SHORT,2021-10-08 13:00:00,2021-11-24 14:15:00,1129.25,PROFIT_TARGET,NZDUSD,GBPAUD,80.5,81.0,0.00019,0.00074,0.69244,0.68955,1.8672900000000001,1.8548,1.0,0.26,0.2575,28.9,124.9,153.8,289.0,213.7,502.7
21,SHORT,2021-11-29 22:10:00,2021-12-07 15:35:00,185.42,PROFIT_TARGET,NZDUSD,GBPAUD,75.4,78.0,0.00026,0.00048,0.68079,0.67549,1.86523,1.8653,1.0,0.55,0.5458,53.0,-0.7,52.3,530.0,-2.53,527.47
