ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-06 00:50:00,2020-01-09 17:20:00,88.5,PROFIT_TARGET,USDCAD,AUDCHF,20.4,14.9,0.00011,0.00035,1.2986,1.30888,0.67353,0.66636,1.0,0.31,0.3143,102.8,-71.7,31.1,785.4,-280.33,505.07
2,SHORT,2020-01-10 10:50:00,2020-01-14 20:45:00,105.92,PROFIT_TARGET,USDCAD,AUDCHF,89.4,76.5,0.00028,0.00024,1.30714,1.30535,0.66979,0.66724,1.0,1.16,1.1583,17.9,25.5,43.4,137.13,373.0,510.13
3,SHORT,2020-01-14 22:25:00,2020-01-22 16:20:00,185.92,PROFIT_TARGET,USDCAD,AUDCHF,75.2,85.4,0.00015,0.00018,1.30593,1.30476,0.66775,0.66357,1.0,0.84,0.8409,11.7,41.8,53.5,89.67,442.76,532.43
4,SHORT,2020-01-23 02:35:00,2020-05-04 00:05:00,2445.5,TIME_LIMIT,USDCAD,AUDCHF,78.0,77.9,0.00038,0.00112,1.31511,1.4080300000000001,0.66483,0.616,1.0,0.34,0.3416,-929.2,488.3,-440.9,-6599.29,2093.54,-4505.75
5,LONG,2020-07-13 16:40:00,2020-07-15 03:15:00,34.58,PROFIT_TARGET,USDCAD,AUDCHF,23.9,24.7,0.00046,0.00034,1.35397,1.3597000000000001,0.65669,0.65716,1.0,1.38,1.375,57.3,4.7,62.0,421.42,81.8,503.22
6,SHORT,2020-07-17 01:45:00,2020-07-21 19:25:00,113.67,PROFIT_TARGET,USDCAD,AUDCHF,82.4,77.9,0.00015,0.00019,1.35762,1.34376,0.65902,0.6642,1.0,0.77,0.7708,138.6,-51.8,86.8,1031.43,-502.96,528.47
7,LONG,2020-07-28 19:55:00,2020-07-29 03:05:00,7.17,PROFIT_TARGET,USDCAD,AUDCHF,20.0,24.1,0.00039,0.00019,1.33503,1.33769,0.65636,0.65764,1.0,2.02,2.0206,26.6,12.8,39.4,198.85,326.1,524.95
8,LONG,2020-08-11 13:35:00,2020-08-28 20:15:00,414.67,PROFIT_TARGET,USDCAD,AUDCHF,22.6,20.2,0.00047,0.00032,1.32882,1.31204,0.65502,0.66456,1.0,1.49,1.4906,-167.8,95.4,-72.4,-1278.92,1792.76,513.84
9,SHORT,2020-09-07 08:20:00,2020-10-06 13:40:00,701.33,PROFIT_TARGET,USDCAD,AUDCHF,78.7,81.3,0.00019,0.00016,1.30934,1.32619,0.66593,0.65391,1.0,1.18,1.1772,-168.5,120.2,-48.3,-1270.56,1788.56,518.0
10,LONG,2020-10-12 16:30:00,2020-11-09 17:10:00,672.67,PROFIT_TARGET,USDCAD,AUDCHF,20.9,23.6,0.00043,0.0003,1.31118,1.29616,0.65561,0.6648,1.0,1.44,1.4392,-150.2,91.9,-58.3,-1158.81,1669.03,510.22
11,SHORT,2020-11-11 01:15:00,2020-11-30 10:35:00,465.33,PROFIT_TARGET,USDCAD,AUDCHF,75.8,80.3,0.00035,0.00034,1.3034,1.29756,0.66669,0.66622,1.0,1.03,1.0296,58.4,4.7,63.1,450.08,61.05,511.13
12,LONG,2020-12-28 15:15:00,2020-12-31 19:45:00,76.5,PROFIT_TARGET,USDCAD,AUDCHF,21.9,23.2,0.00043,0.00039,1.28308,1.2766199999999999,0.67432,0.68168,1.0,1.09,1.0863,-64.6,73.6,9.0,-506.02,1011.79,505.77
13,SHORT,2021-01-11 12:15:00,2021-01-13 19:45:00,55.5,PROFIT_TARGET,USDCAD,AUDCHF,80.4,81.0,0.00036,0.00039,1.27681,1.26972,0.68656,0.68698,1.0,0.94,0.9378,70.9,-4.2,66.7,558.39,-49.78,508.61
14,LONG,2021-01-19 12:05:00,2021-01-29 04:50:00,232.75,PROFIT_TARGET,USDCAD,AUDCHF,21.3,24.3,0.00042,0.00039,1.27294,1.2851,0.68446,0.68134,1.0,1.08,1.0761,121.6,-31.2,90.4,946.23,-424.98,521.25
15,SHORT,2021-02-12 15:45:00,2021-02-16 07:30:00,87.75,PROFIT_TARGET,USDCAD,AUDCHF,81.3,79.0,0.00055,0.0003,1.27526,1.26288,0.69008,0.69212,1.0,1.82,1.8224,123.8,-20.4,103.4,980.3,-468.18,512.12
16,SHORT,2021-02-17 09:45:00,2021-04-29 00:05:00,1694.33,PROFIT_TARGET,USDCAD,AUDCHF,76.9,77.7,0.0004,0.00026,1.2707600000000001,1.23188,0.69332,0.70729,1.0,1.5,1.5,388.8,-139.7,249.1,3156.15,-2642.43,513.72
17,LONG,2021-05-07 00:00:00,2021-05-07 13:40:00,13.67,PROFIT_TARGET,USDCAD,AUDCHF,21.1,15.3,0.00074,0.00046,1.21466,1.21814,0.70542,0.70648,1.0,1.62,1.6174,34.8,10.6,45.4,285.68,216.57,502.25
18,LONG,2021-05-10 09:55:00,2021-05-10 13:00:00,3.08,PROFIT_TARGET,USDCAD,AUDCHF,19.1,24.3,0.00048,0.0003,1.20978,1.21188,0.70763,0.70929,1.0,1.64,1.6351,21.0,16.6,37.6,173.28,343.35,516.63
19,SHORT,2021-05-18 01:40:00,2021-05-18 11:25:00,9.75,PROFIT_TARGET,USDCAD,AUDCHF,75.6,85.1,0.0001,0.00012,1.20695,1.2021,0.70158,0.70032,1.0,0.8,0.8033,48.5,12.6,61.1,403.46,127.11,530.57
20,SHORT,2021-05-31 14:25:00,2021-06-01 14:30:00,24.08,PROFIT_TARGET,USDCAD,AUDCHF,75.2,80.9,0.00026,0.0002,1.20719,1.20341,0.69664,0.69545,1.0,1.29,1.2871,37.8,11.9,49.7,314.11,193.58,507.69
21,SHORT,2021-06-01 20:35:00,2021-06-03 20:20:00,47.75,PROFIT_TARGET,USDCAD,AUDCHF,79.2,78.1,0.00034,0.00016,1.20554,1.21093,0.69541,0.69184,1.0,2.1,2.0976,-53.9,35.7,-18.2,-445.11,945.3,500.19
22,SHORT,2021-06-07 09:40:00,2021-06-08 13:10:00,27.5,PROFIT_TARGET,USDCAD,AUDCHF,75.5,80.3,0.0003,0.00027,1.21005,1.20816,0.69637,0.69383,1.0,1.13,1.1278,18.9,25.4,44.3,156.44,361.91,518.35
23,LONG,2021-06-09 11:30:00,2021-06-14 15:20:00,123.83,PROFIT_TARGET,USDCAD,AUDCHF,21.3,22.7,0.00033,0.0002,1.20876,1.216,0.69433,0.69398,1.0,1.64,1.6373,72.4,-3.5,68.9,595.39,-72.39,523.0
24,LONG,2021-06-16 00:05:00,2021-06-16 21:00:00,20.92,PROFIT_TARGET,USDCAD,AUDCHF,23.5,20.9,0.00046,0.00046,1.21789,1.22301,0.68947,0.69146,1.0,0.98,0.9828,51.2,19.9,71.1,418.64,245.94,664.58
