ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2021-01-19 18:30:00,2021-01-28 16:00:00,213.5,PROFIT_TARGET,USDCAD,AUDJPY,24.4,24.1,0.00061,0.0398,1.27307,1.28265,79.937,79.784,1.0,1.53,1.5327,95.8,-15.3,80.5,746.89,-162.67,584.22
2,LONG,2021-02-26 04:45:00,2021-03-01 00:55:00,68.17,PROFIT_TARGET,USDCAD,AUDJPY,23.9,24.6,0.00046,0.0562,1.25933,1.2732999999999999,83.281,82.241,1.0,0.82,0.8221,139.7,-104.0,35.7,1097.15,-592.61,504.54
3,LONG,2021-04-08 14:50:00,2021-07-19 00:00:00,2433.17,TIME_LIMIT,USDCAD,AUDJPY,24.2,12.3,0.00042,0.0392,1.25932,1.26025,83.484,81.407,1.0,1.08,1.0765,9.3,-207.7,-198.4,73.79,-1558.77,-1484.98
4,SHORT,2021-07-26 01:10:00,2021-07-28 21:55:00,68.75,PROFIT_TARGET,USDCAD,AUDJPY,77.1,79.9,0.00034,0.0414,1.25622,1.2530000000000001,81.46,81.01,1.0,0.83,0.8309,32.2,45.0,77.2,256.98,259.53,516.51
5,SHORT,2021-08-06 15:30:00,2021-08-13 18:30:00,171.0,PROFIT_TARGET,USDCAD,AUDJPY,76.8,81.8,0.00097,0.0556,1.25202,1.25057,81.274,80.954,1.0,1.75,1.7518,14.5,32.0,46.5,115.95,389.12,505.07
6,SHORT,2021-08-18 01:20:00,2021-11-26 01:20:00,2400.0,TIME_LIMIT,USDCAD,AUDJPY,75.6,77.1,0.00023,0.024,1.26277,1.26526,79.491,82.798,1.0,0.98,0.975,-24.9,-330.7,-355.6,-196.8,-2251.94,-2448.74
7,SHORT,2021-12-24 07:40:00,2021-12-31 14:30:00,174.83,PROFIT_TARGET,USDCAD,AUDJPY,79.0,82.0,8e-05,0.0128,1.2824900000000001,1.27167,82.728,83.456,1.0,0.59,0.5937,108.2,-72.8,35.4,850.85,-298.46,552.39
8,SHORT,2022-01-04 10:40:00,2022-01-06 16:35:00,53.92,PROFIT_TARGET,USDCAD,AUDJPY,76.2,85.9,0.00053,0.0382,1.2745600000000001,1.2729,83.519,83.107,1.0,1.39,1.3874,16.6,41.2,57.8,130.41,397.93,528.34
9,LONG,2022-01-31 17:55:00,2022-02-04 15:30:00,93.58,PROFIT_TARGET,USDCAD,AUDJPY,16.5,24.6,0.00118,0.1232,1.27139,1.2781500000000001,81.233,81.362,1.0,0.96,0.9594,67.6,12.9,80.5,528.89,86.06,614.95
10,LONG,2022-03-14 06:40:00,2022-03-22 07:30:00,192.83,PROFIT_TARGET,USDCAD,AUDJPY,22.8,16.8,0.00028,0.0372,1.27767,1.26029,85.34,88.906,1.0,0.76,0.7581,-173.8,356.6,182.8,-1379.05,1883.28,504.23
11,LONG,2022-03-28 13:35:00,2022-03-28 16:45:00,3.17,PROFIT_TARGET,USDCAD,AUDJPY,24.1,24.5,0.00039,0.1958,1.24745,1.2559,93.111,92.604,1.0,0.2,0.2012,84.5,-50.7,33.8,672.82,-70.46,602.36
12,LONG,2022-03-30 04:15:00,2022-04-05 22:45:00,162.5,PROFIT_TARGET,USDCAD,AUDJPY,24.3,15.8,0.0005,0.145,1.24901,1.24977,91.7,93.608,1.0,0.34,0.3421,7.6,190.8,198.4,60.81,450.79,511.6
13,SHORT,2022-04-11 01:10:00,2022-07-20 01:10:00,2400.0,TIME_LIMIT,USDCAD,AUDJPY,77.7,87.3,0.00043,0.0698,1.25705,1.2871000000000001,92.743,95.319,1.0,0.62,0.6189,-300.5,-257.6,-558.1,-2334.71,-1109.77,-3444.48
14,LONG,2022-07-28 02:30:00,2022-08-18 19:55:00,521.42,PROFIT_TARGET,USDCAD,AUDJPY,20.9,20.3,0.0002,0.0382,1.28148,1.29618,95.339,93.735,1.0,0.53,0.534,147.0,-160.4,-13.4,1134.1,-590.75,543.35
15,LONG,2022-09-05 00:00:00,2022-09-07 03:15:00,51.25,PROFIT_TARGET,USDCAD,AUDJPY,20.7,18.5,0.00029,0.1274,1.31241,1.31701,94.985,96.215,1.0,0.22,0.2245,46.0,123.0,169.0,349.28,188.04,537.32
16,SHORT,2022-09-09 15:00:00,2022-12-19 00:00:00,2409.0,TIME_LIMIT,USDCAD,AUDJPY,82.8,77.7,0.00051,0.0972,1.30172,1.36752,97.446,91.06,1.0,0.52,0.5226,-658.0,638.6,-19.4,-4811.63,2307.45,-2504.18
