ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-02 19:05:00,2020-01-06 19:15:00,96.17,PROFIT_TARGET,USDCAD,CADCHF,78.7,75.9,0.00051,0.0003,1.29995,1.29631,0.74779,0.74655,1.0,1.72,1.7181,36.4,12.4,48.8,280.8,268.96,549.76
2,LONG,2020-04-07 10:15:00,2020-04-24 09:50:00,407.58,PROFIT_TARGET,USDCAD,CADCHF,24.7,22.5,0.00077,0.00042,1.40143,1.4086699999999999,0.69418,0.69422,1.0,1.84,1.8421,72.4,0.4,72.8,513.96,9.28,523.24
3,LONG,2020-04-30 00:25:00,2020-08-10 00:00:00,2447.58,TIME_LIMIT,USDCAD,CADCHF,24.7,21.7,0.00027,0.0002,1.38804,1.33839,0.70115,0.68152,1.0,1.35,1.3465,-496.5,-196.3,-692.8,-3709.68,-3342.39,-7052.07
4,SHORT,2020-08-11 16:35:00,2020-08-13 08:55:00,40.33,PROFIT_TARGET,USDCAD,CADCHF,75.8,76.8,0.00074,0.00044,1.3303,1.32382,0.68742,0.68732,1.0,1.67,1.6727,64.8,1.0,65.8,489.49,21.06,510.55
5,LONG,2020-08-17 17:05:00,2020-08-19 17:15:00,48.17,PROFIT_TARGET,USDCAD,CADCHF,15.9,23.0,0.00056,0.00035,1.32038,1.31464,0.68575,0.69088,1.0,1.61,1.6057,-57.4,51.3,-6.1,-436.62,1041.71,605.09
6,LONG,2020-08-27 16:15:00,2020-08-27 16:35:00,0.33,PROFIT_TARGET,USDCAD,CADCHF,17.6,21.4,0.0016,0.00069,1.31086,1.31446,0.68994,0.69106,1.0,2.31,2.3064,36.0,11.2,47.2,273.88,326.31,600.19
7,SHORT,2020-08-28 01:55:00,2020-08-28 10:20:00,8.42,PROFIT_TARGET,USDCAD,CADCHF,75.4,91.7,0.00015,0.00017,1.31273,1.30892,0.69258,0.69042,1.0,0.87,0.8736,38.1,21.6,59.7,291.08,236.98,528.06
8,SHORT,2020-09-02 03:50:00,2020-09-03 17:40:00,37.83,PROFIT_TARGET,USDCAD,CADCHF,76.0,81.0,0.00036,0.0002,1.30644,1.30946,0.69707,0.69378,1.0,1.83,1.8283,-30.2,32.9,2.7,-230.63,759.24,528.61
9,SHORT,2020-09-04 01:45:00,2020-09-10 15:50:00,158.08,PROFIT_TARGET,USDCAD,CADCHF,77.0,84.9,0.00019,0.00013,1.31312,1.31336,0.6927,0.68974,1.0,1.45,1.4478,-2.4,29.6,27.2,-18.27,541.24,522.97
10,LONG,2020-09-30 18:10:00,2020-09-30 19:05:00,0.92,PROFIT_TARGET,USDCAD,CADCHF,23.6,15.6,0.00167,0.00111,1.33279,1.33294,0.68764,0.69057,1.0,1.5,1.5027,1.5,29.3,30.8,11.25,554.32,565.57
11,LONG,2020-10-19 12:10:00,2020-11-02 10:35:00,334.42,PROFIT_TARGET,USDCAD,CADCHF,24.3,24.1,0.00024,0.00018,1.31785,1.3343,0.69265,0.68829,1.0,1.32,1.3152,164.5,-43.6,120.9,1232.86,-725.88,506.98
12,LONG,2020-11-19 21:05:00,2020-11-24 12:05:00,111.0,PROFIT_TARGET,USDCAD,CADCHF,19.0,18.1,0.00032,0.00015,1.3066200000000001,1.30312,0.69704,0.69993,1.0,2.22,2.2192,-35.0,28.9,-6.1,-268.59,809.2,540.61
13,SHORT,2020-12-18 01:50:00,2020-12-18 23:25:00,21.58,PROFIT_TARGET,USDCAD,CADCHF,79.5,77.0,0.00021,0.00012,1.2729300000000001,1.27782,0.69498,0.69078,1.0,1.7,1.7049,-48.9,42.0,-6.9,-382.68,900.39,517.71
14,LONG,2020-12-28 15:10:00,2021-01-14 15:25:00,408.25,PROFIT_TARGET,USDCAD,CADCHF,20.6,13.6,0.00042,0.00033,1.28298,1.26885,0.6923,0.70254,1.0,1.25,1.253,-141.3,102.4,-38.9,-1113.61,1614.41,500.8
15,SHORT,2021-02-01 01:15:00,2021-05-12 01:15:00,2400.0,TIME_LIMIT,USDCAD,CADCHF,78.0,80.6,0.00092,0.00045,1.28177,1.20989,0.69572,0.7466,1.0,2.03,2.0308,718.8,-508.8,210.0,5941.04,-13024.93,-7083.89
16,SHORT,2021-05-19 11:10:00,2021-05-21 00:40:00,37.5,PROFIT_TARGET,USDCAD,CADCHF,79.0,76.5,0.00067,0.00047,1.20829,1.2056499999999999,0.74481,0.74317,1.0,1.44,1.4378,26.4,16.4,42.8,218.97,297.81,516.78
17,SHORT,2021-06-11 11:30:00,2021-09-20 00:00:00,2412.5,TIME_LIMIT,USDCAD,CADCHF,79.2,77.2,0.00038,0.00029,1.20943,1.27541,0.74049,0.7294,1.0,1.29,1.2877,-659.8,110.9,-548.9,-5173.24,1804.07,-3369.17
18,LONG,2021-10-14 09:10:00,2021-11-15 22:55:00,781.75,PROFIT_TARGET,USDCAD,CADCHF,17.3,24.9,0.00037,0.00042,1.24138,1.25157,0.74213,0.73942,1.0,0.88,0.8804,101.9,-27.1,74.8,814.18,-300.78,513.4
19,SHORT,2021-11-16 11:35:00,2021-11-19 11:45:00,72.17,PROFIT_TARGET,USDCAD,CADCHF,76.1,76.1,0.00041,0.00031,1.2533,1.26391,0.74,0.73185,1.0,1.32,1.3185,-106.1,81.5,-24.6,-839.46,1356.62,517.16
20,SHORT,2021-12-30 07:35:00,2021-12-31 14:35:00,31.0,PROFIT_TARGET,USDCAD,CADCHF,77.8,79.6,0.00015,0.00014,1.27963,1.27227,0.71598,0.71642,1.0,1.09,1.087,73.6,-4.4,69.2,578.49,-60.48,518.01
21,SHORT,2022-01-18 05:35:00,2022-01-21 10:20:00,76.75,PROFIT_TARGET,USDCAD,CADCHF,75.8,75.3,0.00066,0.00026,1.25091,1.25308,0.73201,0.72987,1.0,2.52,2.5231,-21.7,21.4,-0.3,-173.17,680.05,506.88
22,SHORT,2022-03-23 06:35:00,2022-03-24 23:00:00,40.42,PROFIT_TARGET,USDCAD,CADCHF,77.8,75.4,0.00015,0.00019,1.25796,1.25258,0.74314,0.74241,1.0,0.81,0.8065,53.8,7.3,61.1,429.51,74.56,504.07
23,LONG,2022-03-31 09:10:00,2022-04-05 19:05:00,129.92,PROFIT_TARGET,USDCAD,CADCHF,24.5,23.1,0.00029,0.00032,1.25139,1.24601,0.73793,0.74597,1.0,0.92,0.9182,-53.8,80.4,26.6,-431.78,932.93,501.15
24,SHORT,2022-04-07 12:15:00,2022-07-18 00:00:00,2435.75,TIME_LIMIT,USDCAD,CADCHF,80.8,75.8,0.00035,0.00047,1.25685,1.30151,0.74353,0.74961,1.0,0.75,0.7511,-446.6,-60.8,-507.4,-3431.4,-575.02,-4006.42
25,SHORT,2022-07-18 07:25:00,2022-07-19 10:35:00,27.17,PROFIT_TARGET,USDCAD,CADCHF,78.0,75.0,0.00033,0.0002,1.30005,1.29426,0.7506,0.75026,1.0,1.64,1.6436,57.9,3.4,61.3,447.36,70.31,517.67
26,LONG,2022-07-20 00:00:00,2022-07-21 11:10:00,35.17,PROFIT_TARGET,USDCAD,CADCHF,22.1,13.8,0.00023,0.00077,1.2868,1.2915,0.74966,0.75367,1.0,0.3,0.3023,47.0,40.1,87.1,363.92,151.73,515.65
27,LONG,2022-07-21 15:45:00,2022-07-21 16:25:00,0.67,PROFIT_TARGET,USDCAD,CADCHF,22.9,19.8,0.00117,0.00068,1.28909,1.29222,0.75017,0.75161,1.0,1.7,1.7047,31.3,14.4,45.7,242.22,308.75,550.97
28,SHORT,2022-07-29 15:10:00,2022-08-01 00:15:00,57.08,PROFIT_TARGET,USDCAD,CADCHF,78.6,76.3,0.00047,0.00047,1.28457,1.28009,0.74367,0.7423,1.0,0.99,0.9873,44.8,13.7,58.5,349.98,171.03,521.01
29,LONG,2022-08-03 06:55:00,2022-08-03 13:20:00,6.42,PROFIT_TARGET,USDCAD,CADCHF,22.4,22.2,0.00024,0.00025,1.28575,1.28592,0.74244,0.74671,1.0,0.95,0.9524,1.7,42.7,44.4,13.22,511.62,524.84
30,LONG,2022-08-03 19:20:00,2022-08-23 15:55:00,476.58,PROFIT_TARGET,USDCAD,CADCHF,19.7,24.1,0.0006,0.00037,1.28623,1.30256,0.74764,0.74394,1.0,1.61,1.6096,163.3,-37.0,126.3,1253.69,-751.31,502.38
31,SHORT,2022-08-25 13:55:00,2022-08-26 16:10:00,26.25,PROFIT_TARGET,USDCAD,CADCHF,75.3,76.8,0.00035,0.00017,1.2922,1.29068,0.74586,0.7439,1.0,2.03,2.0345,15.2,19.6,34.8,117.77,501.73,619.5
32,SHORT,2022-08-29 01:55:00,2022-09-09 10:00:00,272.08,PROFIT_TARGET,USDCAD,CADCHF,81.4,76.3,0.00025,0.00021,1.3050899999999999,1.30156,0.74128,0.73932,1.0,1.18,1.1792,35.3,19.6,54.9,271.21,291.64,562.85
