ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-02 17:30:00,2020-01-08 18:50:00,145.33,PROFIT_TARGET,USDCAD,CADJPY,19.3,16.8,0.00054,0.0726,1.29825,1.30223,83.381,83.757,1.0,0.75,0.7493,39.8,37.6,77.4,305.63,195.93,501.56
2,SHORT,2020-02-20 09:25:00,2020-02-28 22:25:00,205.0,PROFIT_TARGET,USDCAD,CADJPY,80.6,84.4,0.00035,0.0596,1.32422,1.34051,84.413,80.218,1.0,0.59,0.594,-162.9,419.5,256.6,-1215.21,1719.56,504.35
3,SHORT,2020-04-10 02:35:00,2020-04-13 09:35:00,79.0,PROFIT_TARGET,USDCAD,CADJPY,79.2,81.0,0.00024,0.0352,1.39813,1.39231,77.625,77.411,1.0,0.69,0.6875,58.2,21.4,79.6,418.01,102.59,520.6
4,SHORT,2020-07-30 08:20:00,2020-08-18 09:30:00,457.17,PROFIT_TARGET,USDCAD,CADJPY,82.5,79.9,0.00032,0.032,1.33565,1.3174299999999999,78.785,80.065,1.0,0.99,0.9875,182.2,-128.0,54.2,1383.0,-880.4,502.6
5,SHORT,2020-08-25 11:35:00,2020-08-27 01:40:00,38.08,PROFIT_TARGET,USDCAD,CADJPY,78.8,75.4,0.00043,0.0294,1.32263,1.3142,80.401,80.517,1.0,1.47,1.4694,84.3,-11.6,72.7,641.45,-118.47,522.98
6,LONG,2020-08-28 12:15:00,2020-09-03 13:30:00,145.25,PROFIT_TARGET,USDCAD,CADJPY,5.8,16.4,0.00038,0.0484,1.3063,1.30961,80.811,81.266,1.0,0.79,0.7934,33.1,45.5,78.6,252.75,249.74,502.49
7,SHORT,2020-11-23 17:15:00,2020-12-03 15:25:00,238.17,PROFIT_TARGET,USDCAD,CADJPY,81.9,78.4,0.00082,0.0628,1.30859,1.2906900000000001,79.638,80.603,1.0,1.31,1.3089,179.0,-96.5,82.5,1386.86,-878.28,508.58
8,LONG,2020-12-03 17:10:00,2020-12-04 17:50:00,24.67,PROFIT_TARGET,USDCAD,CADJPY,19.6,23.7,0.00065,0.0366,1.28897,1.28024,80.44,81.398,1.0,1.78,1.7814,-87.3,95.8,8.5,-681.9,1184.79,502.89
9,SHORT,2021-01-14 04:30:00,2021-01-14 18:25:00,13.92,PROFIT_TARGET,USDCAD,CADJPY,77.2,77.6,0.00058,0.0512,1.2705899999999999,1.26419,81.998,82.004,1.0,1.13,1.1328,64.0,-0.6,63.4,506.25,-4.71,501.54
10,LONG,2021-02-17 04:15:00,2021-03-02 09:40:00,317.42,PROFIT_TARGET,USDCAD,CADJPY,16.4,21.9,0.00027,0.0254,1.27006,1.26979,83.422,84.138,1.0,1.05,1.0472,-2.7,71.6,68.9,-21.26,522.36,501.1
11,LONG,2021-04-05 17:15:00,2021-07-14 17:15:00,2400.0,TIME_LIMIT,USDCAD,CADJPY,24.4,16.4,0.00047,0.0684,1.25167,1.2489,87.918,88.132,1.0,0.69,0.6901,-27.7,21.4,-6.3,-221.8,102.6,-119.2
12,SHORT,2021-07-20 01:20:00,2021-07-29 18:00:00,232.67,PROFIT_TARGET,USDCAD,CADJPY,75.7,78.8,0.0002,0.0158,1.27502,1.24424,85.849,88.033,1.0,1.27,1.2658,307.8,-218.4,89.4,2473.8,-1927.02,546.78
13,SHORT,2021-10-05 04:45:00,2022-01-13 04:45:00,2400.0,TIME_LIMIT,USDCAD,CADJPY,77.5,75.9,0.00042,0.044,1.26095,1.24993,88.09,91.713,1.0,0.96,0.9636,110.2,-362.3,-252.1,881.65,-2416.41,-1534.76
14,SHORT,2022-01-18 05:35:00,2022-01-19 07:45:00,26.17,PROFIT_TARGET,USDCAD,CADJPY,75.8,77.7,0.00066,0.0538,1.25091,1.25044,91.909,91.337,1.0,1.22,1.2193,4.7,57.2,61.9,37.59,484.83,522.42
15,SHORT,2022-03-11 07:10:00,2022-03-21 18:05:00,250.92,PROFIT_TARGET,USDCAD,CADJPY,78.8,82.0,0.00019,0.0396,1.27846,1.25716,91.234,94.75,1.0,0.48,0.4848,213.0,-351.6,-138.6,1694.3,-1172.52,521.78
16,SHORT,2022-03-22 06:35:00,2022-06-30 06:35:00,2400.0,TIME_LIMIT,USDCAD,CADJPY,76.0,89.6,0.00046,0.09,1.25873,1.28853,95.647,106.01,1.0,0.52,0.5156,-298.0,-1036.3,-1334.3,-2312.71,-3743.86,-6056.57
17,LONG,2022-07-22 00:00:00,2022-08-19 14:15:00,686.25,PROFIT_TARGET,USDCAD,CADJPY,24.8,24.1,0.00025,0.0486,1.28648,1.29912,106.693,105.387,1.0,0.51,0.5144,126.4,-130.6,-4.2,972.97,-462.78,510.19
18,SHORT,2022-08-29 02:40:00,2022-12-07 02:40:00,2400.0,TIME_LIMIT,USDCAD,CADJPY,91.9,77.7,0.00038,0.0692,1.30664,1.36489,105.748,100.39,1.0,0.55,0.5462,-582.5,535.8,-46.7,-4267.74,2047.4,-2220.34
19,SHORT,2022-12-08 06:20:00,2022-12-08 14:55:00,8.58,PROFIT_TARGET,USDCAD,CADJPY,76.6,76.8,0.00022,0.0708,1.36882,1.36129,100.238,100.381,1.0,0.31,0.3051,75.3,-14.3,61.0,553.15,-30.8,522.35
20,LONG,2022-12-09 03:20:00,2022-12-09 17:05:00,13.75,PROFIT_TARGET,USDCAD,CADJPY,23.5,22.8,0.00085,0.1056,1.35768,1.36462,100.227,100.239,1.0,0.8,0.8011,69.4,1.2,70.6,508.57,6.67,515.24
21,LONG,2022-12-13 15:35:00,2022-12-15 11:00:00,43.42,PROFIT_TARGET,USDCAD,CADJPY,24.1,12.5,0.00275,0.337,1.35491,1.35865,100.015,100.571,1.0,0.82,0.8154,37.4,55.6,93.0,275.27,316.78,592.05
22,SHORT,2022-12-15 17:20:00,2022-12-19 00:00:00,78.67,PROFIT_TARGET,USDCAD,CADJPY,82.7,84.0,0.00151,0.1488,1.36422,1.36752,100.746,99.317,1.0,1.02,1.0175,-33.0,142.9,109.9,-241.31,1012.67,771.36
23,LONG,2022-12-20 00:10:00,2023-03-08 01:50:00,1873.67,PROFIT_TARGET,USDCAD,CADJPY,19.8,22.0,0.00064,0.0534,1.36413,1.37514,100.192,99.891,1.0,1.2,1.1985,110.1,-30.1,80.0,800.65,-250.96,549.69
24,SHORT,2023-03-08 05:30:00,2023-03-09 12:50:00,31.33,PROFIT_TARGET,USDCAD,CADJPY,75.4,76.7,0.00026,0.0342,1.37683,1.37903,99.99,98.686,1.0,0.75,0.7544,-22.0,130.4,108.4,-159.53,679.48,519.95
25,SHORT,2023-03-21 08:30:00,2023-03-23 05:15:00,44.75,PROFIT_TARGET,USDCAD,CADJPY,78.0,79.3,0.0004,0.0558,1.36978,1.36752,96.09,95.405,1.0,0.71,0.7133,22.6,68.5,91.1,165.26,337.9,503.16
26,LONG,2023-03-28 03:05:00,2023-04-28 08:50:00,749.75,PROFIT_TARGET,USDCAD,CADJPY,22.6,16.5,0.00018,0.05,1.36545,1.36167,95.994,99.158,1.0,0.36,0.356,-37.8,316.4,278.6,-277.6,791.41,513.81
27,SHORT,2023-04-28 10:05:00,2023-05-01 00:00:00,61.92,PROFIT_TARGET,USDCAD,CADJPY,79.1,79.4,0.00067,0.1584,1.36371,1.3532600000000001,99.576,100.464,1.0,0.43,0.4255,104.5,-88.8,15.7,772.21,-265.29,506.92
28,LONG,2023-05-03 04:20:00,2023-05-24 10:15:00,509.92,PROFIT_TARGET,USDCAD,CADJPY,22.1,5.6,0.00031,0.0468,1.36212,1.35416,100.054,102.399,1.0,0.67,0.6667,-79.6,234.5,154.9,-587.82,1091.64,503.82
29,LONG,2023-05-31 21:00:00,2023-06-05 02:15:00,101.25,PROFIT_TARGET,USDCAD,CADJPY,24.9,19.5,0.00063,0.0476,1.35824,1.3428200000000001,102.58,104.377,1.0,1.33,1.3319,-154.2,179.7,25.5,-1148.33,1660.58,512.25
30,SHORT,2023-06-06 01:15:00,2023-06-08 16:55:00,63.67,PROFIT_TARGET,USDCAD,CADJPY,81.8,79.5,0.00021,0.0324,1.34422,1.33547,103.82,104.082,1.0,0.64,0.642,87.5,-26.2,61.3,655.2,-116.5,538.7
31,LONG,2023-06-12 00:00:00,2023-06-15 03:55:00,75.92,PROFIT_TARGET,USDCAD,CADJPY,10.1,16.6,0.00038,0.0486,1.33308,1.33314,104.323,105.284,1.0,0.77,0.7737,0.6,96.1,96.7,4.5,514.13,518.63
32,SHORT,2023-06-15 04:10:00,2023-06-15 17:25:00,13.25,PROFIT_TARGET,USDCAD,CADJPY,76.5,90.7,0.00042,0.0898,1.33402,1.32541,105.435,105.818,1.0,0.47,0.4699,86.1,-38.3,47.8,649.61,-125.06,524.55
33,SHORT,2023-06-16 05:55:00,2023-06-22 11:10:00,149.25,PROFIT_TARGET,USDCAD,CADJPY,82.7,94.4,0.00031,0.173,1.32382,1.31411,106.262,107.967,1.0,0.2,0.2,97.1,-170.5,-73.4,738.9,-236.91,501.99
34,LONG,2023-07-06 08:25:00,2023-07-06 17:30:00,9.08,PROFIT_TARGET,USDCAD,CADJPY,20.9,23.8,0.00018,0.0476,1.3293,1.33627,108.159,108.214,1.0,0.38,0.3824,69.7,5.5,75.2,521.6,14.52,536.12
35,LONG,2023-07-10 14:25:00,2023-08-01 17:30:00,531.08,PROFIT_TARGET,USDCAD,CADJPY,20.7,21.4,0.00041,0.0504,1.32825,1.32972,107.1,107.816,1.0,0.81,0.8095,14.7,71.6,86.3,110.55,402.96,513.51
