ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-06 00:55:00,2020-01-09 11:40:00,82.75,PROFIT_TARGET,USDCAD,NZDCHF,23.2,22.3,9e-05,0.0004,1.29865,1.30527,0.64562,0.64546,1.0,0.23,0.2338,66.2,-1.6,64.6,507.17,-4.64,502.53
2,SHORT,2020-02-05 21:30:00,2020-02-07 03:30:00,30.0,PROFIT_TARGET,USDCAD,NZDCHF,76.4,83.5,0.0003,0.00015,1.32934,1.329,0.62998,0.62806,1.0,2.0,2.0,3.4,19.2,22.6,25.58,484.21,509.79
3,SHORT,2020-02-12 21:40:00,2020-02-18 03:10:00,125.5,PROFIT_TARGET,USDCAD,NZDCHF,76.1,76.7,0.00023,0.00018,1.3254299999999999,1.3248199999999999,0.63198,0.62913,1.0,1.31,1.3146,6.1,28.5,34.6,46.04,470.78,516.82
4,SHORT,2020-03-19 12:20:00,2020-03-20 08:40:00,20.33,PROFIT_TARGET,USDCAD,NZDCHF,85.7,81.1,0.00132,0.0031,1.4522599999999999,1.4311,0.55241,0.57032,1.0,0.42,0.4246,211.6,-179.1,32.5,1478.58,-948.53,530.05
5,SHORT,2020-03-31 01:50:00,2020-03-31 18:30:00,16.67,PROFIT_TARGET,USDCAD,NZDCHF,82.1,77.0,0.00042,0.00038,1.41753,1.41323,0.57669,0.57424,1.0,1.13,1.1277,43.0,24.5,67.5,304.27,349.1,653.37
6,LONG,2020-04-28 00:10:00,2020-04-29 19:10:00,43.0,PROFIT_TARGET,USDCAD,NZDCHF,23.2,23.6,0.00061,0.00039,1.40286,1.39358,0.58934,0.59527,1.0,1.57,1.5663,-92.8,59.3,-33.5,-665.91,1174.21,508.3
7,LONG,2020-04-30 10:45:00,2020-05-06 11:20:00,144.58,PROFIT_TARGET,USDCAD,NZDCHF,23.3,23.8,0.00059,0.00054,1.38663,1.40534,0.59556,0.58979,1.0,1.1,1.1004,187.1,-57.7,129.4,1331.35,-800.5,530.85
8,SHORT,2020-06-29 17:20:00,2020-07-01 00:15:00,30.92,PROFIT_TARGET,USDCAD,NZDCHF,78.4,75.1,0.00067,0.0004,1.3691,1.35731,0.60887,0.61048,1.0,1.68,1.6766,117.9,-16.1,101.8,868.63,-341.07,527.56
9,LONG,2020-07-03 22:55:00,2020-07-08 09:05:00,106.17,PROFIT_TARGET,USDCAD,NZDCHF,11.6,9.6,0.00018,0.00107,1.35521,1.36171,0.6149,0.6161,1.0,0.2,0.2,65.0,12.0,77.0,477.34,30.27,507.61
10,SHORT,2020-07-17 01:40:00,2020-07-21 04:25:00,98.75,PROFIT_TARGET,USDCAD,NZDCHF,83.5,80.7,0.00018,0.00028,1.35758,1.35153,0.61817,0.6171,1.0,0.64,0.6429,60.5,10.7,71.2,447.64,86.35,533.99
