ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-06 00:50:00,2020-01-08 17:45:00,64.92,PROFIT_TARGET,USDCAD,NZDJPY,20.4,9.3,0.00011,0.0174,1.2986,1.30337,71.767,72.074,1.0,0.63,0.6322,47.7,30.7,78.4,365.97,134.4,500.37
2,SHORT,2020-01-23 05:05:00,2020-01-28 02:55:00,117.83,PROFIT_TARGET,USDCAD,NZDJPY,80.0,78.6,0.00017,0.0194,1.31593,1.3188900000000001,72.336,71.123,1.0,0.86,0.8557,-29.6,121.3,91.7,-224.43,724.86,500.43
3,LONG,2020-02-05 20:00:00,2020-03-19 17:45:00,1029.75,PROFIT_TARGET,USDCAD,NZDJPY,20.3,13.1,0.00028,0.016,1.32779,1.44388,71.003,64.885,1.0,1.76,1.7625,1160.9,-611.8,549.1,8040.14,-7482.39,557.75
4,SHORT,2020-03-31 01:30:00,2020-03-31 17:55:00,16.42,PROFIT_TARGET,USDCAD,NZDJPY,79.5,78.0,0.00085,0.0542,1.41729,1.4234,64.907,63.99,1.0,1.57,1.572,-61.1,91.7,30.6,-429.25,1000.38,571.13
5,LONG,2020-04-13 04:15:00,2020-04-15 19:15:00,63.0,PROFIT_TARGET,USDCAD,NZDJPY,24.7,21.6,0.00059,0.0644,1.3942,1.41253,65.625,64.374,1.0,0.91,0.913,183.3,-125.1,58.2,1297.67,-791.07,506.6
6,SHORT,2020-04-28 18:20:00,2020-05-14 04:45:00,370.42,PROFIT_TARGET,USDCAD,NZDJPY,77.5,76.2,0.00098,0.0476,1.3994900000000001,1.41036,64.752,63.85,1.0,2.05,2.0546,-108.7,90.2,-18.5,-770.73,1284.86,514.13
7,LONG,2020-07-03 22:55:00,2020-07-08 09:05:00,106.17,PROFIT_TARGET,USDCAD,NZDJPY,11.6,14.1,0.00018,0.0898,1.35521,1.36171,70.049,70.296,1.0,0.2,0.2027,65.0,24.7,89.7,477.34,34.33,511.67
8,SHORT,2020-07-17 01:35:00,2020-07-21 17:35:00,112.0,PROFIT_TARGET,USDCAD,NZDJPY,81.5,79.7,0.00018,0.0208,1.3576,1.34576,70.139,70.747,1.0,0.88,0.8846,118.4,-60.8,57.6,879.8,-371.78,508.02
9,SHORT,2020-07-31 23:15:00,2020-08-04 18:05:00,90.83,PROFIT_TARGET,USDCAD,NZDJPY,81.8,82.6,0.00041,0.034,1.34017,1.3366500000000001,70.205,69.917,1.0,1.22,1.2176,35.2,28.8,64.0,263.34,244.14,507.48
10,SHORT,2020-08-25 11:35:00,2020-10-20 16:55:00,1349.33,PROFIT_TARGET,USDCAD,NZDJPY,78.8,82.6,0.00043,0.0292,1.32263,1.3164500000000001,69.379,69.328,1.0,1.48,1.4795,61.8,5.1,66.9,469.44,52.45,521.89
