ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-06 00:55:00,2020-01-09 17:15:00,88.33,PROFIT_TARGET,USDCAD,NZDUSD,23.2,22.2,9e-05,0.00022,1.29865,1.30859,0.66533,0.66036,1.0,0.43,0.4312,99.4,-49.7,49.7,759.6,-213.71,545.89
2,LONG,2020-01-09 21:45:00,2020-01-10 17:35:00,19.83,PROFIT_TARGET,USDCAD,NZDUSD,19.9,23.0,0.00026,8e-05,1.30756,1.30426,0.66088,0.66339,1.0,3.45,3.4474,-33.0,25.1,-7.9,-253.02,865.95,612.93
3,LONG,2020-02-05 19:55:00,2020-03-09 16:40:00,788.75,PROFIT_TARGET,USDCAD,NZDUSD,17.5,14.7,0.00031,0.00013,1.32773,1.35613,0.64704,0.64064,1.0,2.28,2.2836,284.0,-64.0,220.0,2094.19,-1459.2,634.99
4,LONG,2020-03-10 07:20:00,2020-03-10 11:10:00,3.83,PROFIT_TARGET,USDCAD,NZDUSD,21.3,21.0,0.00059,0.00101,1.36189,1.36751,0.62974,0.63149,1.0,0.59,0.5873,56.2,17.5,73.7,410.97,103.25,514.22
5,LONG,2020-03-26 23:25:00,2020-03-27 01:55:00,2.5,PROFIT_TARGET,USDCAD,NZDUSD,21.0,22.0,0.00101,0.00064,1.4013900000000001,1.40411,0.59525,0.59744,1.0,1.59,1.5862,27.2,21.9,49.1,193.72,348.21,541.93
6,SHORT,2020-03-31 01:50:00,2020-03-31 03:50:00,2.0,PROFIT_TARGET,USDCAD,NZDUSD,82.1,76.6,0.00042,0.00035,1.41753,1.42009,0.60196,0.596,1.0,1.2,1.1977,-25.6,59.6,34.0,-180.27,715.2,534.93
7,LONG,2020-06-19 09:15:00,2020-06-25 09:10:00,143.92,PROFIT_TARGET,USDCAD,NZDUSD,21.8,24.5,0.00029,0.00036,1.35927,1.36483,0.64104,0.64236,1.0,0.83,0.8258,55.6,13.2,68.8,407.38,109.56,516.94
8,LONG,2020-07-03 22:55:00,2020-07-08 03:35:00,100.67,PROFIT_TARGET,USDCAD,NZDUSD,11.6,9.0,0.00018,0.00077,1.35521,1.36096,0.65132,0.65489,1.0,0.24,0.2376,57.5,35.7,93.2,422.5,85.68,508.18
9,SHORT,2020-07-17 01:30:00,2020-07-30 02:55:00,313.42,PROFIT_TARGET,USDCAD,NZDUSD,84.8,84.1,0.00016,0.00015,1.3574899999999999,1.33426,0.65387,0.66534,1.0,1.08,1.08,232.3,-114.7,117.6,1741.04,-1238.76,502.28
10,LONG,2020-09-16 19:35:00,2020-09-18 05:00:00,33.42,PROFIT_TARGET,USDCAD,NZDUSD,20.9,23.8,0.00035,0.00018,1.31514,1.3163,0.675,0.67722,1.0,1.88,1.8804,11.6,22.2,33.8,88.13,417.36,505.49
11,LONG,2020-11-17 00:30:00,2020-11-20 17:40:00,89.17,PROFIT_TARGET,USDCAD,NZDUSD,22.9,23.4,0.00022,0.00018,1.30742,1.30654,0.69006,0.69458,1.0,1.27,1.2727,-8.8,45.2,36.4,-67.35,574.04,506.69
12,SHORT,2020-11-26 22:35:00,2020-12-03 19:50:00,165.25,PROFIT_TARGET,USDCAD,NZDUSD,77.1,85.4,0.00012,0.00014,1.30203,1.28688,0.70049,0.7079,1.0,0.9,0.8971,151.5,-74.1,77.4,1177.27,-666.9,510.37
13,SHORT,2021-01-28 19:10:00,2021-02-05 12:45:00,185.58,PROFIT_TARGET,USDCAD,NZDUSD,76.4,75.9,0.00052,0.00035,1.28176,1.27892,0.71742,0.71542,1.0,1.46,1.4633,28.4,20.0,48.4,222.06,292.0,514.06
14,LONG,2021-02-15 13:45:00,2021-02-19 18:15:00,100.5,PROFIT_TARGET,USDCAD,NZDUSD,15.6,22.6,0.00022,0.00019,1.26559,1.26154,0.723,0.73048,1.0,1.11,1.1134,-40.5,74.8,34.3,-321.04,830.28,509.24
15,LONG,2021-05-06 16:20:00,2021-05-07 18:05:00,25.75,PROFIT_TARGET,USDCAD,NZDUSD,15.0,23.2,0.0006,0.00046,1.22215,1.21513,0.71971,0.72797,1.0,1.32,1.3158,-70.2,82.6,12.4,-577.72,1090.32,512.6
16,SHORT,2021-05-18 01:40:00,2021-08-26 01:40:00,2400.0,TIME_LIMIT,USDCAD,NZDUSD,75.6,85.6,0.0001,0.00019,1.20695,1.25868,0.72121,0.69718,1.0,0.53,0.5269,-517.3,240.3,-277.0,-4109.86,1273.59,-2836.27
17,SHORT,2021-09-01 01:55:00,2021-09-27 00:00:00,622.08,PROFIT_TARGET,USDCAD,NZDUSD,84.8,79.1,0.00017,0.00012,1.26155,1.26391,0.70491,0.69965,1.0,1.39,1.3871,-23.6,52.6,29.0,-186.72,731.14,544.42
18,LONG,2021-09-29 03:35:00,2021-10-26 09:20:00,653.75,PROFIT_TARGET,USDCAD,NZDUSD,25.0,24.7,0.00045,0.00037,1.26696,1.23816,0.69472,0.71757,1.0,1.24,1.2404,-288.0,228.5,-59.5,-2326.03,2833.4,507.37
19,SHORT,2021-12-15 10:50:00,2021-12-31 17:20:00,390.5,PROFIT_TARGET,USDCAD,NZDUSD,76.0,77.1,0.00033,0.00024,1.28644,1.26701,0.67563,0.68324,1.0,1.35,1.3525,194.3,-76.1,118.2,1533.53,-1027.35,506.18
20,LONG,2022-01-31 17:55:00,2022-02-01 16:00:00,22.08,PROFIT_TARGET,USDCAD,NZDUSD,16.5,19.2,0.00118,0.00083,1.27139,1.27021,0.65726,0.66165,1.0,1.42,1.4207,-11.8,43.9,32.1,-92.9,623.38,530.48
21,LONG,2022-04-15 00:00:00,2022-04-15 01:05:00,1.08,PROFIT_TARGET,USDCAD,NZDUSD,16.8,22.9,0.00073,0.00028,1.25929,1.26016,0.67835,0.68078,1.0,2.63,2.6304,8.7,24.3,33.0,69.04,639.09,708.13
22,LONG,2022-07-04 00:00:00,2022-07-05 15:00:00,39.0,PROFIT_TARGET,USDCAD,NZDUSD,23.9,5.2,0.00046,0.00074,1.28681,1.29672,0.61745,0.61338,1.0,0.62,0.6226,99.1,-40.7,58.4,764.24,-252.34,511.9
23,LONG,2022-09-05 00:00:00,2022-09-15 22:15:00,262.25,PROFIT_TARGET,USDCAD,NZDUSD,20.7,17.8,0.00029,0.0009,1.31241,1.3238699999999999,0.6078,0.5964,1.0,0.32,0.3178,114.6,-114.0,0.6,865.64,-364.8,500.84
24,LONG,2022-12-20 00:00:00,2023-03-30 00:00:00,2400.0,TIME_LIMIT,USDCAD,NZDUSD,19.5,20.0,0.00041,0.00039,1.3642699999999999,1.3557299999999999,0.63521,0.62177,1.0,1.05,1.0457,-85.4,-134.4,-219.8,-629.92,-1411.2,-2041.12
25,LONG,2023-04-06 00:00:00,2023-04-25 16:35:00,472.58,PROFIT_TARGET,USDCAD,NZDUSD,20.5,20.4,0.00043,0.00088,1.34525,1.36103,0.62881,0.61537,1.0,0.49,0.4887,157.8,-134.4,23.4,1159.42,-658.56,500.86
26,LONG,2023-05-01 00:00:00,2023-05-02 11:25:00,35.42,PROFIT_TARGET,USDCAD,NZDUSD,24.7,21.5,0.00043,0.00041,1.3532600000000001,1.35697,0.61713,0.61942,1.0,1.05,1.0534,37.1,22.9,60.0,273.4,240.45,513.85
27,LONG,2023-05-09 00:00:00,2023-05-10 15:45:00,39.75,PROFIT_TARGET,USDCAD,NZDUSD,22.8,17.8,0.00036,0.00018,1.33631,1.33372,0.63403,0.63758,1.0,2.05,2.0455,-25.9,35.5,9.6,-194.19,727.75,533.56
28,LONG,2023-05-22 00:00:00,2023-08-30 00:00:00,2400.0,TIME_LIMIT,USDCAD,NZDUSD,16.8,17.4,0.00027,0.00047,1.34937,1.3550900000000001,0.62601,0.59654,1.0,0.58,0.5837,57.2,-294.7,-237.5,422.11,-1709.26,-1287.15
29,LONG,2023-08-31 00:00:00,2023-09-01 19:20:00,43.33,PROFIT_TARGET,USDCAD,NZDUSD,21.8,12.6,0.00039,0.00087,1.35226,1.36026,0.59549,0.59419,1.0,0.45,0.4493,80.0,-13.0,67.0,588.12,-58.5,529.62
30,SHORT,2023-09-04 01:10:00,2023-09-12 00:00:00,190.83,PROFIT_TARGET,USDCAD,NZDUSD,75.6,75.9,0.00031,0.00033,1.35946,1.35677,0.59431,0.59053,1.0,0.92,0.9162,26.9,37.8,64.7,198.26,347.76,546.02
31,LONG,2023-09-19 00:00:00,2023-09-26 14:55:00,182.92,PROFIT_TARGET,USDCAD,NZDUSD,7.7,23.1,0.00035,0.0007,1.34805,1.35086,0.58998,0.59603,1.0,0.5,0.5014,28.1,60.5,88.6,208.02,302.5,510.52
32,SHORT,2023-10-05 01:35:00,2023-10-13 10:10:00,200.58,PROFIT_TARGET,USDCAD,NZDUSD,82.4,76.3,0.00014,0.00014,1.37427,1.3673899999999999,0.5917,0.59165,1.0,1.03,1.0294,68.8,0.5,69.3,503.15,5.15,508.3
33,LONG,2023-11-21 00:00:00,2023-11-21 10:35:00,10.58,PROFIT_TARGET,USDCAD,NZDUSD,24.9,20.9,0.00042,0.00062,1.3716599999999999,1.3727,0.60204,0.60829,1.0,0.68,0.6786,10.4,62.5,72.9,75.76,425.0,500.76
34,LONG,2023-11-27 22:55:00,2023-11-28 17:35:00,18.67,PROFIT_TARGET,USDCAD,NZDUSD,23.9,22.6,0.0003,0.00011,1.36151,1.35867,0.60995,0.61262,1.0,2.67,2.6667,-28.4,26.7,-1.7,-209.03,712.89,503.86
35,LONG,2023-12-01 16:25:00,2023-12-01 18:10:00,1.75,PROFIT_TARGET,USDCAD,NZDUSD,15.7,24.1,0.00053,0.00029,1.35201,1.35115,0.61568,0.61895,1.0,1.82,1.8163,-8.6,32.7,24.1,-63.65,595.14,531.49
36,LONG,2023-12-04 23:45:00,2023-12-07 18:50:00,67.08,PROFIT_TARGET,USDCAD,NZDUSD,16.2,24.7,0.00016,0.00016,1.3535599999999999,1.35969,0.61632,0.61689,1.0,0.98,0.9753,61.3,5.7,67.0,450.84,55.86,506.7
37,SHORT,2023-12-20 06:05:00,2023-12-22 10:00:00,51.92,PROFIT_TARGET,USDCAD,NZDUSD,75.8,85.9,0.00019,0.00028,1.33488,1.32707,0.62756,0.62844,1.0,0.69,0.6879,78.1,-8.8,69.3,588.51,-60.72,527.79
