ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-01-11 12:05:00,2021-01-14 00:00:00,59.92,PROFIT_TARGET,USDCHF,AUDCAD,83.9,77.3,0.00042,0.00049,0.88991,0.88739,0.98489,0.98121,1.0,0.86,0.8571,25.2,36.8,62.0,283.98,232.58,516.56
2,LONG,2021-01-18 20:50:00,2021-02-01 15:35:00,330.75,PROFIT_TARGET,USDCHF,AUDCAD,20.6,17.8,9e-05,0.00023,0.89091,0.89596,0.97955,0.97745,1.0,0.4,0.3982,50.5,-21.0,29.5,563.64,-61.74,501.9
3,SHORT,2021-02-08 14:55:00,2021-02-09 11:40:00,20.75,PROFIT_TARGET,USDCHF,AUDCAD,87.7,75.9,0.00033,0.00027,0.90184,0.89389,0.97897,0.98324,1.0,1.23,1.2279,79.5,-42.7,36.8,889.37,-385.98,503.39
4,SHORT,2021-02-19 04:00:00,2021-05-07 15:30:00,1859.5,PROFIT_TARGET,USDCHF,AUDCAD,75.2,87.1,0.00013,0.00026,0.89655,0.90393,0.98639,0.9493,1.0,0.5,0.5,-73.8,370.9,297.1,-816.43,1362.87,546.44
5,LONG,2021-05-17 00:10:00,2021-06-16 22:40:00,742.5,PROFIT_TARGET,USDCHF,AUDCAD,18.8,20.5,0.00035,0.0011,0.9014,0.90781,0.94134,0.93356,1.0,0.32,0.3188,64.1,-77.8,-13.7,706.09,-182.99,523.1
6,SHORT,2021-06-17 18:45:00,2021-07-08 17:45:00,503.0,PROFIT_TARGET,USDCHF,AUDCAD,76.0,77.1,0.00053,0.00043,0.91769,0.91414,0.93353,0.93226,1.0,1.25,1.2535,35.5,12.7,48.2,388.34,116.67,505.01
7,LONG,2021-07-15 11:40:00,2021-07-15 18:35:00,6.92,PROFIT_TARGET,USDCHF,AUDCAD,20.5,19.0,0.00053,0.00033,0.912,0.91827,0.93517,0.93379,1.0,1.6,1.6,62.7,-13.8,48.9,682.81,-162.29,520.52
8,SHORT,2021-07-15 18:55:00,2021-07-21 18:25:00,143.5,PROFIT_TARGET,USDCHF,AUDCAD,75.7,82.9,0.00026,0.00058,0.91874,0.91779,0.93537,0.92212,1.0,0.45,0.4464,9.5,132.5,142.0,103.51,438.18,541.69
9,SHORT,2021-08-02 20:55:00,2021-11-10 20:55:00,2400.0,TIME_LIMIT,USDCHF,AUDCAD,83.9,77.1,0.00013,0.00019,0.90563,0.91744,0.92103,0.9171,1.0,0.69,0.6907,-118.1,39.3,-78.8,-1287.28,199.28,-1088.0
10,SHORT,2021-11-11 13:40:00,2021-11-30 12:40:00,455.0,PROFIT_TARGET,USDCHF,AUDCAD,75.4,81.4,0.00016,0.00034,0.92053,0.91748,0.9169,0.91145,1.0,0.47,0.4702,30.5,54.5,85.0,332.43,188.24,520.67
11,LONG,2021-12-03 05:20:00,2021-12-06 19:50:00,86.5,PROFIT_TARGET,USDCHF,AUDCAD,23.9,22.2,0.00014,0.00032,0.92007,0.92643,0.90588,0.90015,1.0,0.43,0.4259,63.6,-57.3,6.3,686.51,-181.1,505.41
12,SHORT,2021-12-10 09:00:00,2021-12-31 12:25:00,507.42,PROFIT_TARGET,USDCHF,AUDCAD,77.7,93.0,0.0003,0.00037,0.92476,0.91208,0.90975,0.92462,1.0,0.81,0.8087,126.8,-148.7,-21.9,1390.23,-885.16,505.07
13,SHORT,2022-01-03 01:20:00,2022-01-13 14:15:00,252.92,PROFIT_TARGET,USDCHF,AUDCAD,95.7,75.7,0.00032,0.00042,0.91236,0.91173,0.91887,0.91072,1.0,0.77,0.774,6.3,81.5,87.8,69.1,461.19,530.29
14,LONG,2022-01-18 21:30:00,2022-01-25 12:15:00,158.75,PROFIT_TARGET,USDCHF,AUDCAD,24.8,23.4,0.00019,0.00023,0.91663,0.9196,0.89987,0.90283,1.0,0.84,0.8421,29.7,29.6,59.3,322.97,182.75,505.72
15,LONG,2022-01-26 04:35:00,2022-01-26 21:40:00,17.08,PROFIT_TARGET,USDCHF,AUDCAD,17.5,19.6,6e-05,0.0002,0.91763,0.92327,0.90239,0.90101,1.0,0.29,0.2929,56.4,-13.8,42.6,610.87,-29.42,581.45
16,SHORT,2022-02-04 02:05:00,2022-05-16 00:00:00,2421.92,TIME_LIMIT,USDCHF,AUDCAD,78.6,76.8,0.00017,0.00027,0.92057,1.00186,0.90551,0.89454,1.0,0.62,0.6204,-812.9,109.7,-703.2,-8113.91,499.84,-7614.07
17,LONG,2022-05-19 10:15:00,2022-05-23 01:55:00,87.67,PROFIT_TARGET,USDCHF,AUDCAD,21.7,17.2,0.0012,0.00065,0.98242,0.97433,0.89577,0.90572,1.0,1.86,1.8576,-80.9,99.5,18.6,-830.31,1360.27,529.96
18,SHORT,2022-05-25 01:30:00,2022-05-27 04:45:00,51.25,PROFIT_TARGET,USDCHF,AUDCAD,83.4,76.7,0.00018,0.00028,0.96051,0.95682,0.91198,0.90894,1.0,0.64,0.6408,36.9,30.4,67.3,385.65,142.98,528.63
19,LONG,2022-06-06 06:55:00,2022-06-06 17:15:00,10.33,PROFIT_TARGET,USDCHF,AUDCAD,21.3,12.7,0.00019,0.00025,0.96135,0.96567,0.90501,0.90605,1.0,0.78,0.776,43.2,10.4,53.6,447.36,59.62,506.98
20,SHORT,2022-06-08 21:45:00,2022-06-09 15:55:00,18.17,PROFIT_TARGET,USDCHF,AUDCAD,77.7,78.5,0.00035,0.00029,0.9777,0.97514,0.90359,0.90049,1.0,1.2,1.2,25.6,31.0,56.6,262.53,273.39,535.92
21,LONG,2022-06-10 03:30:00,2022-06-10 14:10:00,10.67,PROFIT_TARGET,USDCHF,AUDCAD,23.7,21.7,0.00026,0.0004,0.98013,0.98217,0.90057,0.90768,1.0,0.67,0.6667,20.4,71.1,91.5,207.7,350.13,557.83
