ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-03 04:15:00,2020-04-13 00:05:00,2419.83,TIME_LIMIT,USDCHF,AUDUSD,12.5,24.9,0.00027,0.00031,0.96984,0.96489,0.69723,0.6343,1.0,0.86,0.8581,-49.5,-629.3,-678.8,-513.01,-5411.98,-5924.99
2,LONG,2020-04-16 01:30:00,2020-04-16 18:00:00,16.5,PROFIT_TARGET,USDCHF,AUDUSD,24.8,11.2,0.00012,0.00026,0.96464,0.97001,0.63113,0.63029,1.0,0.46,0.458,53.7,-8.4,45.3,553.6,-38.64,514.96
3,SHORT,2020-04-22 01:20:00,2020-07-31 01:20:00,2400.0,TIME_LIMIT,USDCHF,AUDUSD,81.0,76.1,0.00036,0.00031,0.97001,0.90928,0.62845,0.71948,1.0,1.16,1.1634,607.3,-910.3,-303.0,6678.91,-10559.48,-3880.57
4,SHORT,2020-09-17 20:35:00,2020-10-12 15:55:00,595.33,PROFIT_TARGET,USDCHF,AUDUSD,76.1,79.6,0.00012,0.00018,0.91006,0.9097,0.7291,0.72148,1.0,0.63,0.6304,3.6,76.2,79.8,39.57,480.06,519.63
5,SHORT,2020-10-19 01:50:00,2020-10-19 17:30:00,15.67,PROFIT_TARGET,USDCHF,AUDUSD,75.5,80.9,0.00017,0.00018,0.91509,0.90957,0.70846,0.7094,1.0,0.96,0.956,55.2,-9.4,45.8,606.88,-90.24,516.64
6,SHORT,2020-10-23 01:50:00,2020-11-06 14:05:00,348.25,PROFIT_TARGET,USDCHF,AUDUSD,78.8,77.2,0.00013,0.00058,0.9072,0.89991,0.71319,0.72702,1.0,0.22,0.218,72.9,-138.3,-65.4,810.08,-304.26,505.82
7,SHORT,2020-11-13 01:50:00,2020-11-17 15:45:00,109.92,PROFIT_TARGET,USDCHF,AUDUSD,75.8,83.6,6e-05,0.00036,0.91487,0.90892,0.72387,0.73142,1.0,0.2,0.2,59.5,-75.5,-16.0,654.62,-151.0,503.62
8,LONG,2020-12-02 14:15:00,2020-12-10 17:35:00,195.33,PROFIT_TARGET,USDCHF,AUDUSD,23.5,14.9,0.00051,0.00044,0.89855,0.88667,0.73635,0.75232,1.0,1.17,1.1651,-118.8,159.7,40.9,-1339.84,1868.49,528.65
9,LONG,2021-01-18 21:05:00,2021-01-20 17:00:00,43.92,PROFIT_TARGET,USDCHF,AUDUSD,21.7,17.3,5e-05,7e-05,0.89087,0.89145,0.76783,0.7738,1.0,0.74,0.7429,5.8,59.7,65.5,65.06,441.78,506.84
10,SHORT,2021-02-22 20:30:00,2021-05-17 13:40:00,2009.17,PROFIT_TARGET,USDCHF,AUDUSD,78.4,77.9,0.00018,0.0003,0.89577,0.90033,0.79247,0.77546,1.0,0.6,0.6,-45.6,170.1,124.5,-506.48,1020.6,514.12
11,SHORT,2021-06-22 07:35:00,2021-07-08 11:00:00,387.42,PROFIT_TARGET,USDCHF,AUDUSD,76.0,76.1,0.0001,0.00015,0.91937,0.92003,0.75207,0.74269,1.0,0.68,0.6753,-6.6,93.8,87.2,-71.74,637.84,566.1
12,SHORT,2021-07-08 19:05:00,2021-07-19 16:45:00,261.67,PROFIT_TARGET,USDCHF,AUDUSD,79.9,82.0,0.00025,0.00034,0.91581,0.91654,0.74396,0.73606,1.0,0.74,0.7427,-7.3,79.0,71.7,-79.65,584.6,504.95
13,SHORT,2021-08-10 14:50:00,2021-08-13 19:45:00,76.92,PROFIT_TARGET,USDCHF,AUDUSD,75.4,77.0,0.00025,0.00026,0.92262,0.91563,0.73466,0.73742,1.0,0.95,0.9535,69.9,-27.6,42.3,763.41,-262.2,501.21
