ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-10 00:20:00,2020-02-03 20:35:00,596.25,PROFIT_TARGET,USDCHF,EURCAD,16.0,18.5,0.00041,0.00054,0.97269,0.96638,1.44968,1.47016,1.0,0.77,0.7667,-63.1,204.8,141.7,-652.95,1158.93,505.98
2,SHORT,2020-02-20 05:20:00,2020-03-02 13:35:00,272.25,PROFIT_TARGET,USDCHF,EURCAD,76.1,77.6,0.00018,0.00036,0.98348,0.95902,1.42917,1.48368,1.0,0.51,0.5084,244.6,-545.1,-300.5,2550.52,-2042.79,507.73
3,LONG,2020-03-03 05:25:00,2020-03-12 16:35:00,227.17,PROFIT_TARGET,USDCHF,EURCAD,17.7,21.3,0.00018,0.00047,0.95772,0.94869,1.48496,1.53803,1.0,0.39,0.3856,-90.3,530.7,440.4,-951.84,1521.08,569.24
4,LONG,2020-03-19 08:25:00,2020-03-19 09:15:00,0.83,PROFIT_TARGET,USDCHF,EURCAD,21.1,22.9,0.00088,0.00171,0.96576,0.9698,1.5883699999999998,1.5949,1.0,0.51,0.5141,40.4,65.3,105.7,416.58,244.75,661.33
5,LONG,2020-03-27 20:00:00,2020-03-30 14:20:00,66.33,PROFIT_TARGET,USDCHF,EURCAD,18.6,25.0,0.00062,0.00209,0.95414,0.95729,1.55304,1.56262,1.0,0.3,0.2991,31.5,95.8,127.3,329.05,211.21,540.26
6,LONG,2020-04-02 09:00:00,2020-04-02 16:10:00,7.17,PROFIT_TARGET,USDCHF,EURCAD,24.6,21.6,0.00039,0.00121,0.96666,0.97143,1.54454,1.5513400000000002,1.0,0.32,0.3245,47.7,68.0,115.7,491.03,159.92,650.95
7,LONG,2020-04-13 19:15:00,2020-04-15 15:35:00,44.33,PROFIT_TARGET,USDCHF,EURCAD,17.4,23.8,0.00029,0.00075,0.96717,0.96899,1.5205,1.53198,1.0,0.39,0.392,18.2,114.8,133.0,187.82,329.04,516.86
8,LONG,2020-04-17 00:40:00,2020-04-21 11:00:00,106.33,PROFIT_TARGET,USDCHF,EURCAD,22.0,17.0,0.00059,0.00228,0.96908,0.97134,1.52275,1.53739,1.0,0.26,0.2588,22.6,146.4,169.0,232.67,279.74,512.41
9,LONG,2020-04-23 00:15:00,2020-08-03 00:00:00,2447.75,TIME_LIMIT,USDCHF,EURCAD,22.0,22.8,0.00062,0.00081,0.97127,0.91324,1.53248,1.57733,1.0,0.77,0.7666,-580.3,448.5,-131.8,-6354.3,2538.0,-3816.3
10,LONG,2020-08-05 02:50:00,2020-08-10 12:40:00,129.83,PROFIT_TARGET,USDCHF,EURCAD,21.4,24.7,0.00019,0.00052,0.91285,0.91645,1.57008,1.5743800000000001,1.0,0.36,0.3643,36.0,43.0,79.0,392.82,113.76,506.58
11,LONG,2020-08-13 00:00:00,2020-08-19 23:25:00,167.42,PROFIT_TARGET,USDCHF,EURCAD,17.7,18.0,0.00042,0.00093,0.91147,0.91458,1.56055,1.5661,1.0,0.45,0.4528,31.1,55.5,86.6,340.05,183.55,523.6
12,SHORT,2020-08-24 16:55:00,2020-08-27 16:10:00,71.25,PROFIT_TARGET,USDCHF,EURCAD,76.5,81.8,0.00047,0.00072,0.9092,0.90587,1.56006,1.55666,1.0,0.65,0.6537,33.3,34.0,67.3,367.6,162.39,529.99
13,LONG,2020-09-01 18:55:00,2020-09-04 18:05:00,71.17,PROFIT_TARGET,USDCHF,EURCAD,20.8,18.4,0.00031,0.00053,0.90713,0.91619,1.55846,1.54762,1.0,0.59,0.5856,90.6,-108.4,-17.8,988.88,-470.02,518.86
14,LONG,2020-09-09 11:05:00,2020-09-23 09:10:00,334.08,PROFIT_TARGET,USDCHF,EURCAD,21.7,24.4,0.00044,0.00081,0.91718,0.9217,1.55698,1.5574599999999998,1.0,0.54,0.5419,45.2,4.8,50.0,490.4,19.05,509.45
15,LONG,2020-09-24 19:25:00,2021-01-04 00:00:00,2428.58,TIME_LIMIT,USDCHF,EURCAD,13.2,17.4,0.00027,0.00053,0.92604,0.88333,1.55858,1.55686,1.0,0.5,0.4981,-427.1,-17.2,-444.3,-4835.11,-63.2,-4898.31
16,LONG,2021-01-05 04:55:00,2021-01-11 04:00:00,143.08,PROFIT_TARGET,USDCHF,EURCAD,20.8,20.7,0.00022,0.00045,0.88046,0.88877,1.5644,1.5520800000000001,1.0,0.48,0.4843,83.1,-123.2,-40.1,935.0,-434.59,500.41
17,LONG,2021-01-14 16:55:00,2021-01-18 01:55:00,81.0,PROFIT_TARGET,USDCHF,EURCAD,22.0,22.8,0.00045,0.00072,0.88978,0.89252,1.53641,1.54104,1.0,0.63,0.6278,27.4,46.3,73.7,307.0,214.36,521.36
18,LONG,2021-01-29 16:10:00,2021-01-29 20:10:00,4.0,PROFIT_TARGET,USDCHF,EURCAD,17.1,23.3,0.00051,0.00092,0.8878,0.89087,1.54974,1.5542799999999999,1.0,0.55,0.5531,30.7,45.4,76.1,344.61,183.51,528.12
19,SHORT,2021-02-01 01:15:00,2021-02-09 18:40:00,209.42,PROFIT_TARGET,USDCHF,EURCAD,87.9,77.9,0.00056,0.00093,0.89191,0.89329,1.55356,1.53868,1.0,0.6,0.6013,-13.8,148.8,135.0,-154.49,656.02,501.53
20,SHORT,2021-02-10 02:40:00,2021-02-15 14:45:00,132.08,PROFIT_TARGET,USDCHF,EURCAD,75.5,78.0,0.00016,0.00017,0.89284,0.89047,1.53877,1.53513,1.0,0.93,0.9286,23.7,36.4,60.1,266.15,248.74,514.89
21,SHORT,2021-02-16 09:40:00,2021-04-29 15:05:00,1733.42,PROFIT_TARGET,USDCHF,EURCAD,75.9,75.6,0.00023,0.00028,0.88979,0.90857,1.53342,1.48983,1.0,0.81,0.8129,-187.8,435.9,248.1,-2066.98,2594.38,527.4
22,SHORT,2021-05-06 05:50:00,2021-05-06 13:20:00,7.5,PROFIT_TARGET,USDCHF,EURCAD,75.5,82.5,0.0004,0.00045,0.91439,0.90894,1.47354,1.47502,1.0,0.88,0.8805,54.5,-14.8,39.7,599.6,-95.7,503.9
23,LONG,2021-05-06 22:55:00,2021-06-17 10:25:00,995.5,PROFIT_TARGET,USDCHF,EURCAD,18.7,19.8,0.00017,0.00057,0.90816,0.91248,1.46712,1.46895,1.0,0.29,0.2912,43.2,18.3,61.5,473.44,39.0,512.44
24,SHORT,2021-06-18 08:05:00,2021-06-23 15:10:00,127.08,PROFIT_TARGET,USDCHF,EURCAD,89.0,80.6,0.00028,0.00033,0.91816,0.91732,1.47335,1.46666,1.0,0.85,0.8494,8.4,66.9,75.3,91.57,417.84,509.41
25,LONG,2021-07-02 14:05:00,2021-07-06 17:25:00,99.33,PROFIT_TARGET,USDCHF,EURCAD,15.5,21.9,0.00051,0.00049,0.92488,0.92432,1.46783,1.47556,1.0,1.05,1.0492,-5.6,77.3,71.7,-60.59,596.49,535.9
26,LONG,2021-07-07 07:00:00,2021-07-19 09:45:00,290.75,PROFIT_TARGET,USDCHF,EURCAD,23.3,24.8,0.00012,0.00019,0.92376,0.92012,1.4736500000000001,1.49341,1.0,0.64,0.6392,-36.4,197.6,161.2,-395.6,929.39,533.79
27,SHORT,2021-07-19 10:00:00,2021-07-21 17:40:00,55.67,PROFIT_TARGET,USDCHF,EURCAD,80.3,87.1,0.00036,0.00089,0.92095,0.91874,1.49526,1.48509,1.0,0.4,0.4013,22.1,101.7,123.8,240.55,298.91,539.46
28,LONG,2021-07-21 17:45:00,2021-08-19 22:10:00,700.42,PROFIT_TARGET,USDCHF,EURCAD,11.9,20.3,0.00055,0.00112,0.9183,0.91877,1.48533,1.49786,1.0,0.5,0.4955,4.7,125.3,130.0,51.16,460.42,511.58
29,LONG,2021-08-20 04:00:00,2021-09-08 17:20:00,469.33,PROFIT_TARGET,USDCHF,EURCAD,10.2,23.5,0.00011,0.00026,0.91799,0.92221,1.49708,1.49906,1.0,0.42,0.4154,42.2,19.8,62.0,457.6,61.11,518.71
30,SHORT,2021-09-09 01:25:00,2021-09-09 15:15:00,13.83,PROFIT_TARGET,USDCHF,EURCAD,94.9,76.1,7e-05,0.00016,0.92182,0.91713,1.49979,1.49982,1.0,0.43,0.4321,46.9,-0.3,46.6,511.38,-0.95,510.43
