ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-03 01:35:00,2020-01-08 02:15:00,120.67,PROFIT_TARGET,USDCHF,GBPCAD,84.5,76.5,0.00013,0.00031,0.97151,0.96694,1.7067,1.70466,1.0,0.42,0.4204,45.7,20.4,66.1,472.62,62.97,535.59
2,LONG,2020-01-10 00:20:00,2020-01-10 15:05:00,14.75,PROFIT_TARGET,USDCHF,GBPCAD,16.0,15.2,0.00041,0.00049,0.97269,0.97569,1.7054,1.7088700000000001,1.0,0.84,0.8415,30.0,34.7,64.7,307.47,214.24,521.71
3,SHORT,2020-01-14 01:35:00,2020-01-15 15:40:00,38.08,PROFIT_TARGET,USDCHF,GBPCAD,77.7,77.4,0.00012,0.00019,0.97071,0.96383,1.69611,1.70046,1.0,0.6,0.6042,68.8,-43.5,25.3,713.82,-191.81,522.01
4,SHORT,2020-01-16 03:55:00,2020-03-02 14:20:00,1114.42,PROFIT_TARGET,USDCHF,GBPCAD,79.8,78.1,0.00011,0.00021,0.96426,0.95697,1.70126,1.7070400000000001,1.0,0.53,0.534,72.9,-57.8,15.1,761.78,-225.13,536.65
5,SHORT,2020-03-04 14:20:00,2020-03-05 23:10:00,32.83,PROFIT_TARGET,USDCHF,GBPCAD,80.0,77.2,0.00043,0.0013,0.95697,0.94595,1.7110400000000001,1.73786,1.0,0.33,0.3297,110.2,-268.2,-158.0,1164.97,-650.44,514.53
6,LONG,2020-03-12 19:05:00,2020-03-13 14:50:00,19.75,PROFIT_TARGET,USDCHF,GBPCAD,15.7,22.3,0.00223,0.00508,0.94828,0.95378,1.72814,1.72728,1.0,0.44,0.4391,55.0,-8.6,46.4,576.65,-27.81,548.84
7,SHORT,2020-03-19 13:30:00,2020-03-19 15:00:00,1.5,PROFIT_TARGET,USDCHF,GBPCAD,75.2,76.6,0.00184,0.00304,0.98139,0.9752,1.6812,1.6838600000000001,1.0,0.61,0.6051,61.9,-26.6,35.3,634.74,-119.25,515.49
8,SHORT,2020-03-31 11:40:00,2020-05-20 10:10:00,1198.5,PROFIT_TARGET,USDCHF,GBPCAD,76.6,76.3,0.00041,0.00143,0.9637,0.96761,1.74831,1.7055500000000001,1.0,0.29,0.2853,-39.1,427.6,388.5,-404.09,911.31,507.22
9,SHORT,2020-05-21 17:45:00,2020-05-26 20:05:00,122.33,PROFIT_TARGET,USDCHF,GBPCAD,83.1,76.9,0.0006,0.00119,0.96984,0.96648,1.7037900000000001,1.69958,1.0,0.5,0.5008,33.6,42.1,75.7,347.65,154.7,502.35
10,LONG,2020-05-29 00:00:00,2020-09-07 00:05:00,2424.08,TIME_LIMIT,USDCHF,GBPCAD,17.8,20.7,0.00028,0.0009,0.96354,0.91312,1.69496,1.73204,1.0,0.31,0.306,-504.2,370.8,-133.4,-5521.73,844.88,-4676.85
11,SHORT,2020-09-07 19:40:00,2020-09-09 10:00:00,38.33,PROFIT_TARGET,USDCHF,GBPCAD,76.0,88.8,0.00028,0.00031,0.91643,0.91837,1.7240799999999998,1.7130100000000001,1.0,0.92,0.915,-19.4,110.7,91.3,-211.24,748.46,537.22
