ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2021-01-05 13:55:00,2021-01-06 17:50:00,27.92,PROFIT_TARGET,USDCHF,NZDCAD,21.0,24.4,0.0003,0.00038,0.87954,0.8813,0.91735,0.92267,1.0,0.78,0.7789,17.6,53.2,70.8,199.7,304.97,504.67
2,SHORT,2021-01-08 01:25:00,2021-01-19 12:45:00,275.33,PROFIT_TARGET,USDCHF,NZDCAD,83.1,91.2,0.00017,0.00028,0.88542,0.88705,0.92121,0.9057,1.0,0.6,0.6028,-16.3,155.1,138.8,-183.76,683.84,500.08
3,LONG,2021-02-09 12:10:00,2021-02-22 03:20:00,303.17,PROFIT_TARGET,USDCHF,NZDCAD,18.3,23.0,0.0004,0.00029,0.89342,0.89632,0.92114,0.92287,1.0,1.39,1.3931,29.0,17.3,46.3,323.55,176.73,500.28
4,SHORT,2021-02-22 10:20:00,2021-02-23 00:05:00,13.75,PROFIT_TARGET,USDCHF,NZDCAD,78.6,75.1,0.00069,0.00047,0.90112,0.89571,0.92153,0.92249,1.0,1.47,1.4723,54.1,-9.6,44.5,603.99,-103.7,500.29
5,SHORT,2021-02-23 11:10:00,2021-04-09 00:05:00,1068.92,PROFIT_TARGET,USDCHF,NZDCAD,82.1,77.0,0.00039,0.00034,0.8996,0.92373,0.92259,0.88522,1.0,1.15,1.1453,-241.3,373.7,132.4,-2612.24,3157.99,545.75
6,SHORT,2021-04-20 12:45:00,2021-04-22 09:35:00,44.83,PROFIT_TARGET,USDCHF,NZDCAD,86.4,77.3,0.00041,0.00031,0.91631,0.91507,0.90202,0.89807,1.0,1.35,1.3464,12.4,39.5,51.9,135.51,391.85,527.36
7,LONG,2021-04-23 21:30:00,2021-08-02 00:00:00,2402.5,TIME_LIMIT,USDCHF,NZDCAD,21.8,22.4,0.00024,0.0003,0.91361,0.90481,0.89745,0.86872,1.0,0.79,0.7881,-88.0,-287.3,-375.3,-972.58,-1668.08,-2640.66
8,SHORT,2021-08-17 17:50:00,2021-11-25 17:50:00,2400.0,TIME_LIMIT,USDCHF,NZDCAD,83.0,79.0,0.00049,0.00042,0.91459,0.9355,0.87298,0.86704,1.0,1.18,1.1762,-209.1,59.4,-149.7,-2235.17,515.06,-1720.11
9,LONG,2021-12-02 04:30:00,2021-12-15 16:05:00,323.58,PROFIT_TARGET,USDCHF,NZDCAD,24.6,10.2,0.00016,0.00025,0.91881,0.92512,0.87255,0.8695,1.0,0.66,0.6613,63.1,-30.5,32.6,682.07,-147.94,534.13
10,LONG,2021-12-16 04:30:00,2022-03-07 12:10:00,1951.67,PROFIT_TARGET,USDCHF,NZDCAD,24.0,20.0,0.00026,0.00029,0.92415,0.92516,0.86877,0.87487,1.0,0.9,0.9034,10.1,61.0,71.1,109.17,403.48,512.65
