ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,LONG,2020-01-03 03:50:00,2020-04-13 00:05:00,2420.25,TIME_LIMIT,USDCHF,NZDUSD,9.0,23.7,0.00027,0.0004,0.97,0.96489,0.66821,0.60728,1.0,0.67,0.6716,-51.1,-609.3,-660.4,-529.59,-4082.31,-4611.9
2,LONG,2020-05-04 23:55:00,2020-05-05 11:55:00,12.0,PROFIT_TARGET,USDCHF,NZDUSD,21.1,23.2,0.00029,0.00046,0.96476,0.97032,0.6041,0.60359,1.0,0.63,0.632,55.6,-5.1,50.5,573.01,-32.13,540.88
3,SHORT,2020-05-25 07:40:00,2020-05-29 17:55:00,106.25,PROFIT_TARGET,USDCHF,NZDUSD,76.5,75.9,9e-05,0.00012,0.97225,0.96026,0.60998,0.61929,1.0,0.76,0.7627,119.9,-93.1,26.8,1248.62,-707.56,541.06
4,SHORT,2020-06-02 12:35:00,2020-06-11 18:45:00,222.17,PROFIT_TARGET,USDCHF,NZDUSD,82.0,87.4,0.0006,0.0005,0.9603,0.93908,0.63087,0.64501,1.0,1.19,1.1905,212.2,-141.4,70.8,2259.66,-1682.66,577.0
5,SHORT,2020-06-19 12:50:00,2020-06-24 07:35:00,114.75,PROFIT_TARGET,USDCHF,NZDUSD,76.1,75.8,0.00025,0.00035,0.95131,0.94408,0.64314,0.64647,1.0,0.72,0.72,72.3,-33.3,39.0,765.82,-239.76,526.06
6,LONG,2020-07-13 00:00:00,2020-07-15 20:30:00,68.5,PROFIT_TARGET,USDCHF,NZDUSD,21.5,21.4,0.0003,0.00034,0.94031,0.94468,0.65639,0.65693,1.0,0.88,0.8765,43.7,5.4,49.1,462.59,47.52,510.11
7,LONG,2020-07-23 12:45:00,2020-11-02 00:00:00,2435.25,TIME_LIMIT,USDCHF,NZDUSD,19.9,21.3,0.00027,0.00038,0.92731,0.91614,0.66682,0.66069,1.0,0.7,0.7016,-111.7,-61.3,-173.0,-1219.25,-429.1,-1648.35
8,SHORT,2020-11-13 01:50:00,2020-11-17 15:40:00,109.83,PROFIT_TARGET,USDCHF,NZDUSD,75.8,79.4,6e-05,0.00029,0.91487,0.90927,0.68376,0.68888,1.0,0.2,0.2028,56.0,-51.2,4.8,615.88,-102.4,513.48
9,LONG,2020-12-02 14:15:00,2020-12-30 14:00:00,671.75,PROFIT_TARGET,USDCHF,NZDUSD,23.5,1.9,0.00051,0.00038,0.89855,0.88487,0.70425,0.71971,1.0,1.33,1.3298,-136.8,154.6,17.8,-1545.99,2056.18,510.19
10,LONG,2020-12-30 22:15:00,2021-01-06 07:20:00,153.08,PROFIT_TARGET,USDCHF,NZDUSD,24.5,9.8,0.00021,0.00015,0.88197,0.8782,0.72008,0.72694,1.0,1.43,1.4267,-37.7,68.6,30.9,-429.29,980.98,551.69
11,SHORT,2021-01-08 01:25:00,2021-01-18 12:55:00,251.5,PROFIT_TARGET,USDCHF,NZDUSD,83.1,83.4,0.00017,0.00024,0.88542,0.89079,0.72615,0.71032,1.0,0.7,0.6967,-53.7,158.3,104.6,-602.84,1108.1,505.26
12,LONG,2021-02-15 11:50:00,2021-02-19 08:15:00,92.42,PROFIT_TARGET,USDCHF,NZDUSD,19.7,24.3,0.0003,0.00022,0.89035,0.89601,0.72373,0.7228,1.0,1.38,1.3761,56.6,-9.3,47.3,631.69,-128.34,503.35
13,SHORT,2021-02-22 20:30:00,2021-05-18 21:55:00,2041.42,PROFIT_TARGET,USDCHF,NZDUSD,78.4,82.1,0.00018,0.00028,0.89577,0.89645,0.73408,0.725,1.0,0.65,0.6522,-6.8,90.8,84.0,-75.85,590.2,514.35
14,LONG,2021-05-21 00:00:00,2021-05-26 15:25:00,135.42,PROFIT_TARGET,USDCHF,NZDUSD,22.2,15.1,0.00029,0.00059,0.89725,0.8966,0.71905,0.73069,1.0,0.5,0.4966,-6.5,116.4,109.9,-72.5,582.0,509.5
15,LONG,2021-06-11 00:10:00,2021-06-16 21:00:00,140.83,PROFIT_TARGET,USDCHF,NZDUSD,23.8,8.0,0.00019,0.00056,0.89433,0.90357,0.7189,0.70874,1.0,0.34,0.3405,92.4,-101.6,-9.2,1022.61,-345.44,677.17
16,SHORT,2021-07-28 01:35:00,2021-07-28 22:40:00,21.08,PROFIT_TARGET,USDCHF,NZDUSD,76.2,75.4,0.00015,0.00023,0.91464,0.91034,0.69588,0.69541,1.0,0.67,0.6696,43.0,4.7,47.7,472.35,31.49,503.84
17,SHORT,2021-08-05 03:10:00,2021-11-15 00:00:00,2444.83,TIME_LIMIT,USDCHF,NZDUSD,81.6,75.6,0.00011,0.00026,0.90669,0.92096,0.70489,0.70362,1.0,0.43,0.4341,-142.7,12.7,-130.0,-1549.47,54.61,-1494.86
18,LONG,2021-11-17 12:35:00,2022-02-25 12:35:00,2400.0,TIME_LIMIT,USDCHF,NZDUSD,24.6,17.9,0.00033,0.00027,0.93093,0.92601,0.69963,0.67078,1.0,1.19,1.1898,-49.2,-288.5,-337.7,-531.31,-3433.15,-3964.46
