ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-06-03 00:00:00,2020-06-12 00:00:00,216.0,PROFIT_TARGET,USDJPY,AUDUSD,79.2,79.9,0.6892,0.00031,108.887,107.374,0.68914,0.68452,1.0,5.0,5.0,151.3,46.2,197.5,1409.09,2310.0,3719.09
2,SHORT,2021-10-20 00:00:00,2021-10-22 00:00:00,48.0,PROFIT_TARGET,USDJPY,AUDUSD,81.4,93.2,0.582,0.00023,114.209,113.486,0.74692,0.74646,1.0,5.0,5.0,72.3,4.6,76.9,637.08,230.0,867.08
3,SHORT,2021-10-26 00:00:00,2021-11-03 00:00:00,192.0,PROFIT_TARGET,USDJPY,AUDUSD,76.6,79.4,0.653,0.00026,114.128,114.007,0.74843,0.74304,1.0,5.0,5.0,12.1,53.9,66.0,106.13,2695.0,2801.13
4,SHORT,2022-04-06 00:00:00,2022-04-07 00:00:00,24.0,PROFIT_TARGET,USDJPY,AUDUSD,75.3,83.9,1.0394,0.00031,123.755,123.936,0.75712,0.75082,1.0,5.0,5.0,-18.1,63.0,44.9,-146.04,3150.0,3003.96
5,SHORT,2022-06-08 00:00:00,2022-06-09 00:00:00,24.0,PROFIT_TARGET,USDJPY,AUDUSD,83.8,76.6,1.3378,0.00026,134.221,134.33,0.72302,0.71883,1.0,5.0,5.0,-10.9,41.9,31.0,-81.14,2095.0,2013.86
6,SHORT,2023-02-13 15:00:00,2023-02-13 16:00:00,1.0,PROFIT_TARGET,USDJPY,AUDUSD,75.5,75.9,0.312,0.00038,132.431,132.709,0.69464,0.6931,1.0,5.0,5.0,-27.8,15.4,-12.4,-209.48,770.0,560.52
7,LONG,2023-03-15 17:00:00,2023-03-15 21:00:00,4.0,PROFIT_TARGET,USDJPY,AUDUSD,24.0,24.3,0.8166,0.00083,132.731,133.044,0.66139,0.66263,1.0,5.0,5.0,31.3,12.4,43.7,235.26,620.0,855.26
8,SHORT,2023-05-01 07:00:00,2023-05-04 02:00:00,67.0,PROFIT_TARGET,USDJPY,AUDUSD,79.5,75.1,0.2698,0.00025,136.878,134.572,0.66363,0.66453,1.0,5.0,5.0,230.6,-9.0,221.6,1713.58,-450.0,1263.58
9,LONG,2023-05-24 09:00:00,2023-06-02 06:00:00,213.0,PROFIT_TARGET,USDJPY,AUDUSD,23.3,22.6,0.1336,0.00042,138.288,138.739,0.65938,0.66081,1.0,3.21,3.2115,45.1,14.3,59.4,325.07,459.03,784.1
10,SHORT,2023-07-31 12:00:00,2023-08-01 08:00:00,20.0,PROFIT_TARGET,USDJPY,AUDUSD,81.9,91.5,0.3498,0.00032,142.419,142.722,0.66943,0.66712,1.0,5.0,5.0,-30.3,23.1,-7.2,-212.3,1155.0,942.7
