ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2022-12-05 19:00:00,2023-01-03 10:00:00,687.0,PROFIT_TARGET,USDJPY,EURCAD,85.2,75.6,0.4584,0.00108,136.552,130.095,1.42438,1.43751,1.0,4.24,4.2366,645.7,-131.3,514.4,4963.3,-4091.3,872.0
2,SHORT,2023-01-06 15:00:00,2023-01-06 16:00:00,1.0,PROFIT_TARGET,USDJPY,EURCAD,80.3,77.8,0.277,0.00076,134.667,133.367,1.43331,1.4258600000000001,1.0,3.64,3.6447,130.0,74.5,204.5,974.75,1992.92,2967.67
3,LONG,2023-02-07 12:00:00,2023-02-07 13:00:00,1.0,PROFIT_TARGET,USDJPY,EURCAD,20.9,16.1,0.2946,0.00061,131.806,131.964,1.43663,1.43819,1.0,4.8,4.798,15.8,15.6,31.4,119.73,550.37,670.1
4,SHORT,2023-02-09 04:00:00,2023-02-09 09:00:00,5.0,PROFIT_TARGET,USDJPY,EURCAD,76.9,75.3,0.207,0.0003,131.523,131.268,1.4423599999999999,1.44086,1.0,5.0,5.0,25.5,15.0,40.5,194.26,551.18,745.44
5,LONG,2023-03-15 17:00:00,2023-03-15 21:00:00,4.0,PROFIT_TARGET,USDJPY,EURCAD,24.0,21.7,0.8166,0.00112,132.731,133.044,1.45453,1.4558900000000001,1.0,5.0,5.0,31.3,13.6,44.9,235.26,499.8,735.06
6,SHORT,2023-03-21 14:00:00,2023-03-28 07:00:00,161.0,PROFIT_TARGET,USDJPY,EURCAD,80.3,85.4,0.3572,0.00065,132.21,130.581,1.47262,1.47449,1.0,5.0,5.0,162.9,-18.7,144.2,1247.5,-687.14,560.36
7,SHORT,2023-05-12 06:00:00,2023-05-12 14:00:00,8.0,PROFIT_TARGET,USDJPY,EURCAD,86.0,75.9,0.1306,0.00024,134.646,134.659,1.47266,1.47118,1.0,5.0,5.0,-1.3,14.8,13.5,-9.65,543.83,534.18
8,SHORT,2023-05-26 01:00:00,2023-05-26 10:00:00,9.0,PROFIT_TARGET,USDJPY,EURCAD,78.1,80.0,0.1352,0.00049,140.064,139.659,1.46295,1.46176,1.0,2.77,2.7705,40.5,11.9,52.4,289.99,242.25,532.24
9,SHORT,2023-06-28 17:00:00,2023-06-28 18:00:00,1.0,PROFIT_TARGET,USDJPY,EURCAD,81.0,83.3,0.2476,0.00141,144.401,144.533,1.4497900000000001,1.44477,1.0,1.75,1.7511,-13.2,50.2,37.0,-91.33,645.61,554.28
10,SHORT,2023-07-14 21:00:00,2023-07-17 17:00:00,68.0,PROFIT_TARGET,USDJPY,EURCAD,77.4,75.8,0.3676,0.0004,138.789,139.127,1.48383,1.48006,1.0,5.0,5.0,-33.8,37.7,3.9,-242.94,1385.3,1142.36
11,LONG,2023-07-24 16:00:00,2023-07-27 12:00:00,68.0,PROFIT_TARGET,USDJPY,EURCAD,15.9,21.7,0.2578,0.00057,140.986,139.965,1.4626700000000001,1.46654,1.0,4.51,4.507,-102.1,38.7,-63.4,-729.47,1282.85,553.38
12,SHORT,2023-07-31 04:00:00,2023-07-31 16:00:00,12.0,PROFIT_TARGET,USDJPY,EURCAD,80.0,79.9,0.2254,0.00042,140.896,142.262,1.46047,1.45633,1.0,5.0,5.0,-136.6,41.4,-95.2,-960.2,1521.25,561.05
13,SHORT,2023-08-01 16:00:00,2023-09-14 16:00:00,1056.0,PROFIT_TARGET,USDJPY,EURCAD,77.9,75.9,0.2148,0.00058,143.266,147.414,1.45652,1.44413,1.0,3.72,3.7163,-414.8,123.9,-290.9,-2813.84,3387.24,573.4
14,SHORT,2023-09-15 14:00:00,2023-09-18 16:00:00,74.0,PROFIT_TARGET,USDJPY,EURCAD,76.4,78.9,0.1596,0.00046,147.944,147.729,1.44034,1.4381,1.0,3.48,3.4847,21.5,22.4,43.9,145.54,572.87,718.41
15,SHORT,2023-10-02 04:00:00,2023-10-03 00:00:00,20.0,PROFIT_TARGET,USDJPY,EURCAD,81.3,75.1,0.2022,0.00027,149.678,149.843,1.434,1.43023,1.0,5.0,5.0,-16.5,37.7,21.2,-110.12,1385.3,1275.18
