ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2023-01-18 09:00:00,2023-01-18 11:00:00,2.0,PROFIT_TARGET,USDJPY,NZDCAD,76.0,75.7,1.0494,0.00062,130.726,129.66,0.86524,0.86516,1.0,5.0,5.0,106.6,0.8,107.4,822.15,29.39,851.54
2,SHORT,2023-01-20 08:00:00,2023-01-31 22:00:00,278.0,PROFIT_TARGET,USDJPY,NZDCAD,78.2,80.1,0.2444,0.00025,129.166,130.151,0.86357,0.8594,1.0,5.0,5.0,-98.5,41.7,-56.8,-756.81,1532.21,775.4
3,SHORT,2023-02-13 13:00:00,2023-02-14 04:00:00,15.0,PROFIT_TARGET,USDJPY,NZDCAD,80.2,79.8,0.2864,0.00027,132.553,132.051,0.84648,0.846,1.0,5.0,5.0,50.2,4.8,55.0,380.16,176.37,556.53
4,SHORT,2023-04-28 14:00:00,2023-05-02 00:00:00,82.0,PROFIT_TARGET,USDJPY,NZDCAD,79.6,81.0,0.4318,0.00028,136.071,137.467,0.83856,0.83386,1.0,5.0,5.0,-139.6,47.0,-92.6,-1015.52,1726.95,711.43
5,SHORT,2023-05-17 14:00:00,2023-05-17 23:00:00,9.0,PROFIT_TARGET,USDJPY,NZDCAD,82.4,83.5,0.2022,0.00027,136.99,137.611,0.84336,0.84075,1.0,5.0,5.0,-62.1,26.1,-36.0,-451.27,959.01,507.74
6,LONG,2023-05-24 09:00:00,2023-05-25 01:00:00,16.0,PROFIT_TARGET,USDJPY,NZDCAD,23.3,19.1,0.1336,0.00055,138.288,139.363,0.83214,0.83082,1.0,2.44,2.438,107.5,-13.2,94.3,771.37,-236.72,534.65
7,LONG,2023-07-18 16:00:00,2023-07-18 17:00:00,1.0,PROFIT_TARGET,USDJPY,NZDCAD,22.4,19.1,0.3562,0.00063,138.102,138.696,0.82894,0.82968,1.0,5.0,5.0,59.4,7.4,66.8,428.27,271.94,700.21
8,SHORT,2023-07-31 07:00:00,2023-08-01 00:00:00,17.0,PROFIT_TARGET,USDJPY,NZDCAD,81.9,81.9,0.3684,0.00051,141.743,142.262,0.81976,0.81732,1.0,5.0,5.0,-51.9,24.4,-27.5,-364.82,896.54,531.72
9,SHORT,2023-09-22 14:00:00,2023-10-20 16:00:00,674.0,PROFIT_TARGET,USDJPY,NZDCAD,78.0,76.4,0.2158,0.00042,148.255,149.96,0.80232,0.79721,1.0,5.0,5.0,-170.5,51.1,-119.4,-1136.97,1877.6,740.63
10,SHORT,2023-12-19 12:00:00,2023-12-21 00:00:00,36.0,PROFIT_TARGET,USDJPY,NZDCAD,76.2,76.9,0.6214,0.00023,144.538,143.559,0.83473,0.83476,1.0,5.0,5.0,97.9,-0.3,97.6,681.95,-11.02,670.93
